date,volume,open,high,low,close,MACD,RSI
2020-08-11,239143597.8,0.07367,0.096,0.06364,0.06895,0.0,
2020-08-12,721527265.7,0.06916,0.08498,0.0678,0.07666,0.0,
2020-08-13,288618639.0,0.07667,0.079,0.06828,0.06955,0.0,
2020-08-14,219080041.2,0.0698,0.087,0.06887,0.07166,0.0,
2020-08-15,131735843.6,0.07167,0.0725,0.06781,0.07104,0.0,
2020-08-16,161679979.1,0.07095,0.07529,0.06901,0.07374,0.0,
2020-08-17,213188098.3,0.07341,0.08,0.07178,0.07417,0.0,
2020-08-18,113143726.6,0.07436,0.07483,0.06612,0.0675,0.0,
2020-08-19,106978180.6,0.06749,0.06794,0.05781,0.06004,-0.0,
2020-08-20,49985839.9,0.06002,0.06232,0.05895,0.06098,-0.0,
2020-08-21,124325526.0,0.0611,0.06386,0.04656,0.04799,-0.0,
2020-08-22,100168742.7,0.048,0.0516,0.04313,0.05,-0.0,
2020-08-23,98623237.0,0.04996,0.05757,0.047,0.05299,-0.0,
2020-08-24,119871311.2,0.05294,0.0641,0.05131,0.064,-0.0,
2020-08-25,99831652.6,0.06408,0.06408,0.05206,0.05602,-0.0,41.11
2020-08-26,86228114.5,0.05606,0.0606,0.05405,0.0593,-0.0,37.29
2020-08-27,63623295.7,0.05926,0.0593,0.05088,0.05458,-0.0,38.64
2020-08-28,59546267.2,0.05463,0.0585,0.0534,0.05683,-0.0,38.77
2020-08-29,53834901.9,0.05684,0.058,0.05371,0.05433,-0.0,37.7
2020-08-30,167217196.2,0.05433,0.06465,0.05384,0.0597,-0.0,40.06
2020-08-31,128849409.3,0.05958,0.06212,0.05775,0.05885,-0.0,39.21
2020-09-01,128008054.7,0.059,0.05941,0.05482,0.05767,-0.0,42.5
2020-09-02,295690888.8,0.05755,0.063,0.05488,0.06068,-0.0,50.52
2020-09-03,549638747.7,0.06071,0.07273,0.05505,0.05638,-0.0,46.43
2020-09-04,294990471.3,0.05623,0.05633,0.04266,0.04903,-0.0,50.88
2020-09-05,163572521.6,0.04908,0.05019,0.03602,0.03783,-0.0,41.05
2020-09-06,160192672.5,0.03789,0.04189,0.03125,0.04004,-0.01,40.37
2020-09-07,89142866.3,0.04008,0.041,0.03432,0.03955,-0.01,28.44
2020-09-08,86689340.4,0.03949,0.04205,0.03673,0.03962,-0.01,33.19
