date,volume,open,high,low,close,MACD,RSI
2023-12-07,126427052.7,0.15,4.94,0.15,2.3936,0.0,
2023-12-08,218161446.6,2.3935,3.77,2.3722,3.5794,0.09,
2023-12-09,142849533.3,3.5794,4.45,3.2275,3.3499,0.15,
2023-12-10,67453495.0,3.3499,3.74,3.17,3.455,0.2,
2023-12-11,67623014.6,3.4553,3.47,2.5412,3.0028,0.2,
2023-12-12,54414281.4,3.0032,3.3555,2.792,2.9607,0.19,
2023-12-13,39287095.2,2.9606,2.985,2.6,2.836,0.18,
2023-12-14,61268666.1,2.8349,3.46,2.715,3.4552,0.21,
2023-12-15,72838328.8,3.4576,3.6277,2.8,2.8381,0.19,
2023-12-16,34650006.4,2.8386,3.2,2.7964,2.9249,0.17,
2023-12-17,25773740.0,2.9241,2.9665,2.689,2.7041,0.14,
2023-12-18,40083686.2,2.7049,2.7426,2.2232,2.5054,0.1,
2023-12-19,30475352.9,2.5062,2.6551,2.3331,2.3739,0.06,
2023-12-20,43017609.0,2.3742,2.8262,2.3294,2.657,0.04,
2023-12-21,38344796.0,2.6557,2.8951,2.551,2.8213,0.05,54.79
2023-12-22,34051743.9,2.8221,2.942,2.45,2.6008,0.03,36.0
2023-12-23,17315524.3,2.6008,2.6612,2.4851,2.6296,0.02,39.07
2023-12-24,24584505.5,2.6297,2.723,2.3521,2.4482,-0.0,35.07
2023-12-25,31208354.3,2.4484,2.9074,2.4196,2.7486,0.0,46.05
2023-12-26,26791330.4,2.7486,2.8649,2.3,2.5193,-0.01,43.52
2023-12-27,17511614.3,2.5193,2.5359,2.411,2.4497,-0.03,44.24
2023-12-28,15572965.5,2.4485,2.5085,2.2439,2.3176,-0.05,30.14
2023-12-29,15925678.0,2.321,2.3341,2.105,2.2416,-0.07,37.16
2023-12-30,9401420.3,2.2424,2.3006,2.1354,2.2071,-0.09,34.2
2023-12-31,17270575.5,2.2072,2.2815,1.5912,1.8841,-0.13,32.72
2024-01-01,24700863.5,1.8847,2.0504,1.8081,2.0068,-0.15,39.15
2024-01-02,19007964.1,2.0062,2.0568,1.8666,1.93,-0.18,40.1
2024-01-03,29349727.8,1.9307,1.962,1.323,1.5494,-0.22,26.33
2024-01-04,15240031.6,1.5493,1.6597,1.5019,1.6213,-0.25,23.3
2024-01-05,17185711.2,1.621,1.6399,1.45,1.5818,-0.27,25.35
2024-01-06,58610259.4,1.5812,1.93,1.469,1.7394,-0.27,29.73
2024-01-07,31487149.9,1.7393,1.8426,1.5352,1.5566,-0.28,29.71
2024-01-08,28968870.8,1.5573,1.7379,1.4159,1.6874,-0.28,23.83
2024-01-09,21874324.8,1.6874,1.768,1.4617,1.5763,-0.28,25.3
2024-01-10,32755802.5,1.5743,2.1,1.5209,1.9535,-0.25,38.81
2024-01-11,42274398.6,1.9534,2.2,1.7901,2.1133,-0.21,45.45
2024-01-12,34382535.0,2.1133,2.2781,1.8633,1.9682,-0.19,44.09
2024-01-13,38184574.4,1.9692,2.5492,1.9489,2.4727,-0.13,54.77
2024-01-14,45852749.1,2.4723,2.7878,2.3921,2.5257,-0.07,62.76
2024-01-15,21784017.1,2.5267,2.6415,2.33,2.3935,-0.04,57.66
2024-01-16,28726788.7,2.3929,2.7467,2.3035,2.5892,-0.0,62.48
2024-01-17,26139802.5,2.5898,2.7738,2.5329,2.5632,0.03,72.16
2024-01-18,21718805.8,2.5633,2.5889,2.1407,2.1571,0.02,60.22
2024-01-19,30203975.6,2.1572,2.38,2.01,2.2536,0.02,62.54
2024-01-20,11033193.0,2.2538,2.3133,2.1182,2.1908,0.01,58.74
2024-01-21,7256700.6,2.1908,2.2253,2.0913,2.1096,0.0,61.14
2024-01-22,12505727.0,2.1096,2.1815,1.9719,2.0065,-0.01,56.5
2024-01-23,15410030.4,2.0064,2.08,1.7745,1.9534,-0.03,57.87
2024-01-24,9552519.2,1.9532,1.9839,1.8756,1.96,-0.04,50.16
2024-01-25,6416905.4,1.9597,1.9597,1.8138,1.8742,-0.06,43.87
2024-01-26,13588784.8,1.8731,2.235,1.85,2.0964,-0.05,53.16
2024-01-27,9165697.8,2.0976,2.1728,2.0235,2.0882,-0.05,37.46
2024-01-28,8420061.9,2.0878,2.1622,1.967,1.99,-0.05,33.02
2024-01-29,9608149.6,1.9911,2.111,1.9791,2.0733,-0.05,39.53
2024-01-30,22554597.3,2.0727,2.33,2.0542,2.1738,-0.04,35.51
2024-01-31,20179248.2,2.1729,2.1828,1.8905,1.9124,-0.05,30.5
2024-02-01,10313574.0,1.9117,1.935,1.833,1.8906,-0.06,39.63
2024-02-02,7670221.5,1.8898,1.9998,1.8816,1.9603,-0.06,38.34
2024-02-03,4889734.8,1.9611,2.0014,1.8759,1.8955,-0.06,38.28
2024-02-04,4245145.0,1.8966,1.8999,1.802,1.8168,-0.07,38.36
2024-02-05,5667901.6,1.8167,1.8493,1.7559,1.8008,-0.08,41.21
2024-02-06,5483739.0,1.8001,1.8203,1.7078,1.7718,-0.09,42.08
2024-02-07,6001820.7,1.7719,1.8734,1.7361,1.8586,-0.09,45.87
2024-02-08,5570193.1,1.8583,1.8861,1.8251,1.8388,-0.09,48.47
2024-02-09,10780954.4,1.8388,2.01,1.8373,1.9724,-0.08,44.22
2024-02-10,5513036.2,1.9724,2.0194,1.9098,1.9426,-0.07,43.34
2024-02-11,9357213.6,1.9435,2.1411,1.9371,2.012,-0.05,51.03
2024-02-12,7922595.5,2.0119,2.1076,1.922,2.0676,-0.04,49.73
2024-02-13,15588182.3,2.0667,2.22,2.0192,2.1557,-0.02,49.12
2024-02-14,13838908.0,2.156,2.29,2.1283,2.2306,0.0,68.99
2024-02-15,7711555.5,2.2311,2.2956,2.1331,2.1888,0.01,67.38
2024-02-16,11693913.9,2.1888,2.3165,2.14,2.2367,0.03,66.53
2024-02-17,6874005.9,2.239,2.2511,2.0628,2.1623,0.03,65.77
2024-02-18,14142994.5,2.1641,2.4634,2.149,2.3565,0.05,78.07
2024-02-19,9637671.0,2.3568,2.4445,2.317,2.3791,0.07,79.87
2024-02-20,10951780.1,2.3785,2.4124,2.0203,2.2451,0.07,72.06
2024-02-21,9359984.5,2.2452,2.2521,1.9903,2.0822,0.06,59.73
2024-02-22,7479278.7,2.0836,2.1837,2.0052,2.084,0.05,60.84
2024-02-23,6635208.3,2.0846,2.1248,1.95,1.9988,0.03,51.22
2024-02-24,5562190.1,1.9992,2.13,1.9337,2.1047,0.03,56.99
