date,volume,open,high,low,close,MACD,RSI
2020-12-21,3278164.576,14.66,43.43,12.0,25.2,0.0,
2020-12-22,1206688.379,25.375,27.6,17.971,18.948,-0.5,
2020-12-23,631433.985,18.948,20.642,11.999,13.803,-1.29,
2020-12-24,449740.907,13.866,17.602,12.05,15.102,-1.8,
2020-12-25,198716.797,15.305,15.684,13.5,14.457,-2.23,
2020-12-26,134181.034,14.456,16.2,13.263,13.358,-2.62,
2020-12-27,134351.187,13.383,16.0,13.371,15.058,-2.77,
2020-12-28,214201.884,14.954,17.588,14.618,15.988,-2.78,
2020-12-29,98663.674,15.997,16.024,14.34,14.65,-2.86,
2020-12-30,129237.3,14.65,14.993,13.304,13.55,-2.98,
2020-12-31,78603.171,13.559,13.762,11.996,12.089,-3.15,
2021-01-01,71965.942,12.084,13.96,11.75,12.555,-3.22,
2021-01-02,22951.864,12.553,13.646,11.7,11.868,-3.28,
2021-01-03,35323.277,11.875,12.5,11.072,11.33,-3.34,
2021-01-04,29550.483,11.363,12.0,10.1,10.51,-3.42,18.72
2021-01-05,44327.817,10.51,11.198,9.546,10.399,-3.45,25.35
2021-01-06,20933.829,10.439,10.623,9.65,9.82,-3.47,34.41
2021-01-07,46156.814,9.899,10.475,8.5,9.551,-3.48,26.36
2021-01-08,78127.915,9.678,13.399,8.943,10.223,-3.39,32.01
2021-01-09,28377.925,10.176,11.119,9.903,10.425,-3.26,36.51
2021-01-10,15095.4,10.531,11.0,9.451,9.709,-3.19,22.95
2021-01-11,33000.944,9.684,9.891,8.31,9.554,-3.1,14.7
2021-01-12,35658.847,9.438,10.499,8.889,9.342,-3.02,16.78
2021-01-13,221687.46,9.284,13.911,9.08,10.31,-2.84,29.38
2021-01-14,102291.814,10.347,11.0,9.9,10.317,-2.66,36.16
2021-01-15,339728.514,10.317,10.377,9.524,9.991,-2.52,29.53
2021-01-16,309733.349,9.99,10.5,9.749,10.05,-2.38,33.87
2021-01-17,260546.04,10.059,10.109,9.81,9.852,-2.26,36.04
2021-01-18,240902.576,9.854,10.05,9.7,9.829,-2.14,42.43
2021-01-19,351538.918,9.829,9.95,9.7,9.701,-2.03,42.27
2021-01-20,114163.836,9.701,9.746,9.367,9.668,-1.92,48.08
2021-01-21,58066.9,9.668,9.753,4.701,8.532,-1.91,39.46
2021-01-22,17823.258,8.532,9.496,7.948,9.186,-1.83,39.24
2021-01-23,17775.793,9.185,9.294,8.826,9.2,-1.74,36.77
2021-01-24,14497.1,9.133,9.223,8.698,9.048,-1.66,41.87
2021-01-25,17926.944,9.054,9.399,8.553,8.797,-1.6,40.9
2021-01-26,12087.092,8.702,8.905,8.39,8.658,-1.55,41.63
2021-01-27,20031.764,8.688,8.786,7.826,7.85,-1.55,18.69
2021-01-28,40835.373,7.85,9.054,7.828,8.39,-1.5,28.4
2021-01-29,35599.949,8.39,8.432,7.699,7.954,-1.47,27.72
2021-01-30,36598.571,7.953,8.4,7.509,7.872,-1.44,26.3
2021-01-31,159077.334,7.872,10.8,7.555,7.783,-1.4,26.93
2021-02-01,57363.213,7.831,8.479,7.741,8.149,-1.33,32.6
2021-02-02,43903.654,8.131,8.402,7.702,8.007,-1.27,32.51
2021-02-03,45659.022,7.969,8.3,7.81,7.938,-1.22,32.27
2021-02-04,52820.1,7.939,7.993,7.561,7.82,-1.17,40.78
2021-02-05,88576.753,7.821,8.782,7.762,8.249,-1.08,37.11
2021-02-06,327615.954,8.249,11.699,7.96,8.842,-0.96,45.75
2021-02-07,98238.836,8.853,8.942,8.16,8.321,-0.89,42.07
