date,volume,open,high,low,close,MACD,RSI
2019-10-25,31814627.92,0.46,1.644,0.46,1.2983,0.0,
2019-10-26,12400051.14,1.2966,1.3612,0.9355,0.9762,-0.03,
2019-10-27,7005026.47,0.975,0.9996,0.7711,0.8068,-0.06,
2019-10-28,9038951.45,0.8127,1.0749,0.7335,0.9079,-0.08,
2019-10-29,4917546.31,0.9105,0.9656,0.8314,0.8694,-0.09,
2019-10-30,2281113.86,0.868,0.9036,0.8001,0.8565,-0.1,
2019-10-31,1238606.17,0.853,0.8565,0.7755,0.7999,-0.12,
2019-11-01,1976372.17,0.7998,0.8615,0.7699,0.8324,-0.12,
2019-11-02,4037814.98,0.8324,0.993,0.822,0.9501,-0.12,
2019-11-03,10514830.74,0.9501,1.2752,0.942,1.1706,-0.09,
2019-11-04,7974245.29,1.1706,1.388,1.0784,1.158,-0.08,
2019-11-05,4385750.16,1.1557,1.18,1.0251,1.0504,-0.07,
2019-11-06,2844899.11,1.0534,1.1,0.95,0.9658,-0.07,
2019-11-07,3029139.22,0.9686,1.1,0.9518,1.0609,-0.06,
2019-11-08,5776695.23,1.0584,1.1919,1.0201,1.0529,-0.06,41.1
2019-11-09,3257314.17,1.0529,1.1653,1.0208,1.1369,-0.04,57.04
2019-11-10,4035377.67,1.1321,1.2354,1.0733,1.1447,-0.03,67.25
2019-11-11,2080656.39,1.149,1.1999,1.11,1.1579,-0.02,64.02
2019-11-12,2063123.14,1.1579,1.17,1.0514,1.089,-0.02,61.91
2019-11-13,736102.41,1.089,1.11,1.0601,1.0685,-0.02,61.4
2019-11-14,1683584.38,1.0694,1.085,0.9875,1.0409,-0.02,63.38
2019-11-15,1387490.97,1.0422,1.0701,1.0102,1.045,-0.02,62.19
2019-11-16,2855570.15,1.0426,1.162,1.0237,1.0998,-0.02,59.25
2019-11-17,1169707.81,1.0957,1.1221,1.0551,1.0716,-0.02,41.98
2019-11-18,3875454.26,1.0716,1.2142,1.066,1.1474,-0.01,49.22
2019-11-19,5173952.69,1.1473,1.3061,1.1383,1.26,0.0,65.29
2019-11-20,6923323.43,1.26,1.4681,1.17,1.197,0.01,67.42
2019-11-21,2353515.17,1.197,1.2016,1.043,1.1631,0.01,58.48
2019-11-22,2944183.98,1.1621,1.2131,1.06,1.1025,0.01,53.79
2019-11-23,1524300.85,1.1048,1.19,1.0927,1.15,0.01,51.06
2019-11-24,2144576.15,1.1485,1.2289,1.1307,1.1949,0.02,53.83
2019-11-25,2736230.11,1.1949,1.1949,0.9924,1.089,0.01,45.4
2019-11-26,1229805.34,1.089,1.138,1.0709,1.0915,0.01,50.18
2019-11-27,1457034.1,1.0918,1.0983,1.0166,1.0652,0.0,49.76
2019-11-28,630862.49,1.0652,1.098,1.032,1.0611,-0.0,51.52
2019-11-29,972690.32,1.0662,1.1256,1.0601,1.0861,-0.0,53.0
2019-11-30,669721.65,1.086,1.0947,1.06,1.0787,-0.01,48.35
2019-12-01,703203.13,1.0782,1.0783,1.0073,1.0631,-0.01,49.32
2019-12-02,522904.92,1.0663,1.0663,1.0095,1.0218,-0.01,39.37
2019-12-03,553849.51,1.0175,1.0565,1.01,1.0447,-0.02,28.51
2019-12-04,1074715.24,1.0447,1.0622,0.9226,0.9404,-0.03,26.34
2019-12-05,1103152.98,0.9425,1.0014,0.8811,0.9258,-0.03,27.31
2019-12-06,1133416.29,0.9258,1.031,0.9089,0.9776,-0.04,37.85
2019-12-07,527485.1,0.9723,1.01,0.9476,0.9817,-0.04,32.12
2019-12-08,477944.03,0.9811,0.9856,0.9477,0.9584,-0.04,23.67
2019-12-09,360056.08,0.9586,0.9725,0.907,0.9161,-0.04,27.57
2019-12-10,1059213.68,0.9161,0.9173,0.7756,0.8026,-0.06,20.91
2019-12-11,381526.93,0.8026,0.8363,0.799,0.82,-0.06,24.86
2019-12-12,322232.25,0.8222,0.8364,0.801,0.8361,-0.07,27.48
2019-12-13,1747143.55,0.8361,0.99,0.8158,0.9667,-0.06,40.14
2019-12-14,1317205.42,0.963,1.0491,0.8921,0.9362,-0.06,38.66
2019-12-15,1872819.11,0.9413,1.0978,0.8912,1.049,-0.04,49.03
2019-12-16,997943.94,1.049,1.07,0.9533,0.957,-0.04,45.83
2019-12-17,2425968.96,0.9595,1.1,0.9533,1.0447,-0.03,50.0
2019-12-18,1816153.03,1.0447,1.0752,0.913,0.9948,-0.02,53.46
2019-12-19,719847.19,0.9948,1.0353,0.9606,0.9795,-0.02,53.41
2019-12-20,736362.73,0.9813,1.0459,0.9531,1.0349,-0.01,53.62
2019-12-21,1696582.87,1.0313,1.1627,1.0226,1.0589,-0.01,54.76
2019-12-22,939183.43,1.0589,1.13,1.0491,1.0688,-0.0,56.92
2019-12-23,733154.36,1.072,1.0847,0.97,1.0006,-0.0,55.13
2019-12-24,1036282.48,1.001,1.112,0.9901,1.071,0.0,67.2
2019-12-25,460903.26,1.0666,1.0871,1.0287,1.0678,0.01,66.17
2019-12-26,940483.32,1.0621,1.136,1.0621,1.0836,0.01,66.16
2019-12-27,1023734.5,1.0836,1.2074,1.0836,1.1991,0.02,65.48
2019-12-28,1455734.65,1.1995,1.3201,1.171,1.1728,0.03,65.85
2019-12-29,871270.05,1.176,1.2127,1.1155,1.1549,0.04,58.13
2019-12-30,729643.28,1.1547,1.204,1.127,1.1367,0.04,65.55
