date,volume,open,high,low,close,MACD,RSI
2021-06-24,34224060.0,0.8974,1.356,0.8974,1.0157,0.0,
2021-06-25,9375602.0,1.0158,1.0791,0.9178,0.931,-0.01,
2021-06-26,3597904.0,0.93,0.965,0.8635,0.9341,-0.01,
2021-06-27,2319212.0,0.9341,1.0014,0.92,0.9933,-0.01,
2021-06-28,2989909.0,0.9911,1.046,0.957,1.0028,-0.01,
2021-06-29,3946774.0,1.0029,1.07,1.0004,1.0301,-0.01,
2021-06-30,1762565.0,1.0289,1.0322,0.956,1.0241,-0.0,
2021-07-01,1712900.0,1.0243,1.04,0.953,0.9745,-0.01,
2021-07-02,2043087.0,0.9745,1.0359,0.9394,0.9784,-0.01,
2021-07-03,2158216.0,0.9771,1.054,0.9641,1.0084,-0.0,
2021-07-04,1408172.0,1.0084,1.04,0.9998,1.0177,-0.0,
2021-07-05,3772542.0,1.0199,1.0763,0.9997,1.017,-0.0,
2021-07-06,2682586.0,1.017,1.06,1.0046,1.0235,0.0,
2021-07-07,2355550.0,1.0235,1.0522,1.002,1.0045,0.0,
2021-07-08,1847518.0,1.005,1.0086,0.931,0.9405,-0.01,39.91
2021-07-09,2538217.0,0.9421,1.0392,0.9,0.9581,-0.01,54.43
2021-07-10,1154327.0,0.955,0.9754,0.93,0.9517,-0.01,52.85
2021-07-11,1187757.0,0.9517,0.9999,0.94,0.9827,-0.01,48.11
2021-07-12,1854646.0,0.985,0.99,0.9312,0.9453,-0.01,40.69
2021-07-13,1135100.0,0.9489,0.9516,0.903,0.917,-0.02,31.74
2021-07-14,1719300.0,0.9214,0.9353,0.8645,0.9186,-0.02,32.72
2021-07-15,778470.0,0.919,0.9485,0.8788,0.9001,-0.02,36.43
2021-07-16,667048.0,0.9044,0.9246,0.8698,0.879,-0.03,32.94
2021-07-17,765046.0,0.879,0.8926,0.861,0.8899,-0.03,28.24
2021-07-18,777185.0,0.8868,0.9217,0.8857,0.9042,-0.03,29.53
2021-07-19,2389598.0,0.9076,0.9729,0.8743,0.9165,-0.03,32.61
2021-07-20,8143823.0,0.9111,1.23,0.824,0.8876,-0.03,28.17
2021-07-21,2142352.0,0.8875,0.96,0.8646,0.938,-0.03,40.3
2021-07-22,928017.0,0.9371,0.9561,0.9166,0.944,-0.02,50.61
2021-07-23,1483181.0,0.9467,0.985,0.9234,0.9707,-0.02,52.14
2021-07-24,1527307.0,0.972,1.0,0.9561,0.9888,-0.01,56.07
2021-07-25,1083261.0,0.9931,0.999,0.9592,0.9902,-0.01,51.36
2021-07-26,2812904.0,0.9924,1.0999,0.984,1.0003,-0.0,61.06
2021-07-27,1278914.0,1.0023,1.0124,0.9525,1.0056,0.0,69.64
2021-07-28,1243423.0,1.0057,1.0463,0.9962,1.0086,0.01,69.82
2021-07-29,1129008.0,1.0087,1.0378,0.9984,1.0244,0.01,77.71
2021-07-30,1754002.0,1.0244,1.0734,1.0004,1.047,0.01,87.2
2021-07-31,951881.0,1.047,1.0916,1.0244,1.0569,0.02,87.14
2021-08-01,1108709.0,1.0568,1.0805,1.0047,1.0229,0.02,74.27
2021-08-02,835606.0,1.0191,1.0452,1.0061,1.0287,0.02,73.57
2021-08-03,1490159.0,1.0291,1.0354,0.9976,1.009,0.02,76.53
2021-08-04,2551755.0,1.0091,1.0814,1.0053,1.0773,0.02,78.23
2021-08-05,1942617.0,1.0773,1.0844,1.0233,1.0837,0.03,78.27
2021-08-06,3421098.0,1.0836,1.25,1.0625,1.1886,0.04,83.49
2021-08-07,3874372.0,1.1884,1.3006,1.1824,1.2469,0.05,85.31
2021-08-08,2054376.0,1.2464,1.2933,1.1778,1.1989,0.06,75.32
2021-08-09,1549975.0,1.1989,1.2359,1.1505,1.2304,0.06,76.54
2021-08-10,2663766.0,1.232,1.3048,1.2057,1.2582,0.07,77.7
2021-08-11,4585332.0,1.2629,1.5251,1.2587,1.4306,0.09,83.74
2021-08-12,4418124.0,1.4306,1.602,1.4,1.4783,0.1,84.53
2021-08-13,3203969.0,1.4771,1.6804,1.4733,1.6799,0.13,87.84
2021-08-14,5742374.0,1.6808,1.9249,1.6514,1.7784,0.16,89.0
2021-08-15,2265103.0,1.7846,1.9397,1.6697,1.9169,0.19,93.42
2021-08-16,3325715.0,1.9197,1.9799,1.8,1.8115,0.21,84.67
