date,volume,open,high,low,close,MACD,RSI
2021-11-12,23772.46,1049.35,1542.21,930.42,1490.57,0.0,
2021-11-13,110874.11,1490.44,2065.0,1460.61,1658.01,13.36,
2021-11-14,26354.2,1655.0,1850.0,1433.11,1670.04,24.63,
2021-11-15,38020.74,1674.09,1939.16,1448.88,1640.01,30.78,
2021-11-16,25518.78,1640.02,1809.5,1480.3,1586.67,31.0,
2021-11-17,12411.39,1585.06,1585.36,1366.65,1443.05,19.36,
2021-11-18,16629.65,1443.79,1550.0,1133.16,1263.82,-4.28,
2021-11-19,11306.73,1265.75,1390.0,1190.0,1294.52,-20.3,
2021-11-20,10878.89,1294.47,1295.0,1136.84,1212.11,-39.19,
2021-11-21,12633.04,1213.36,1290.0,1064.91,1227.33,-52.34,
2021-11-22,67131.45,1222.67,1762.07,1176.43,1327.26,-54.07,
2021-11-23,14489.27,1330.74,1420.0,1212.58,1302.0,-56.82,
2021-11-24,5930.18,1302.0,1339.99,1213.01,1219.71,-64.9,
2021-11-25,11646.52,1219.62,1319.0,1150.0,1203.11,-71.81,
2021-11-26,11151.21,1203.12,1260.0,1003.0,1005.0,-92.21,28.63
2021-11-27,13395.02,1005.29,1146.24,988.99,1036.15,-104.65,18.9
2021-11-28,55934.71,1036.92,1342.28,1000.0,1179.54,-101.77,28.32
2021-11-29,7116.02,1181.86,1195.81,1105.01,1120.59,-103.06,27.62
2021-11-30,5088.13,1120.59,1130.0,1051.0,1080.63,-106.08,27.94
2021-12-01,5732.33,1077.26,1157.99,1065.0,1078.62,-107.4,31.87
2021-12-02,4248.55,1081.15,1138.0,1028.03,1035.86,-110.62,36.88
2021-12-03,5391.42,1034.7,1050.4,908.67,967.92,-117.3,31.98
2021-12-04,6991.33,969.9,969.9,617.66,807.34,-134.01,29.44
2021-12-05,16378.87,807.97,1137.28,740.33,1090.64,-122.98,44.54
2021-12-06,32559.62,1090.64,1093.0,738.6,866.04,-130.85,33.25
2021-12-07,9757.7,866.75,913.29,820.43,867.61,-135.39,33.95
2021-12-08,3979.37,862.92,870.48,802.23,848.87,-138.91,35.62
2021-12-09,5299.47,848.8,881.11,790.26,791.66,-144.64,34.54
2021-12-10,2378.32,791.01,821.24,761.03,776.19,-148.72,40.03
2021-12-11,2767.33,776.06,813.8,761.14,803.06,-148.08,39.81
2021-12-12,9745.8,802.23,802.63,687.68,732.86,-151.49,29.13
2021-12-13,7474.22,732.0,732.16,597.27,608.99,-162.32,27.46
2021-12-14,6524.92,608.99,625.99,575.07,598.16,-169.81,28.19
2021-12-15,25063.35,598.95,820.0,547.25,707.0,-165.07,34.68
2021-12-16,37988.5,706.05,815.0,685.33,709.06,-159.31,36.06
2021-12-17,8414.73,707.46,715.0,630.42,653.39,-157.42,36.44
2021-12-18,28830.66,654.62,858.31,639.03,791.81,-143.1,49.32
2021-12-19,19854.93,787.44,873.28,755.0,762.71,-132.57,31.44
2021-12-20,7930.72,764.49,798.03,712.16,772.36,-122.05,42.99
2021-12-21,11495.15,772.36,893.69,762.01,883.0,-103.58,50.99
2021-12-22,10051.66,887.91,986.4,867.32,869.64,-89.0,51.34
2021-12-23,8157.96,868.48,979.0,849.31,959.98,-69.36,60.45
