date,volume,open,high,low,close,MACD,RSI
2022-05-09,14518671.25,2.81,3.89,1.802,2.0,0.0,
2022-05-10,10067540.92,2.0,2.37,1.69,2.009,0.0,
2022-05-11,4870441.58,2.011,2.031,1.386,1.523,-0.04,
2022-05-12,2417717.54,1.523,1.69,1.194,1.404,-0.08,
2022-05-13,2159664.64,1.404,1.808,1.368,1.497,-0.1,
2022-05-14,1193189.14,1.499,1.557,1.33,1.488,-0.12,
2022-05-15,954349.35,1.489,1.537,1.33,1.468,-0.13,
2022-05-16,777194.07,1.47,1.514,1.34,1.432,-0.14,
2022-05-17,1094170.04,1.431,1.565,1.381,1.533,-0.14,
2022-05-18,935586.17,1.529,1.639,1.36,1.36,-0.15,
2022-05-19,1384361.62,1.363,1.45,1.349,1.419,-0.16,
2022-05-20,653338.11,1.42,1.478,1.301,1.313,-0.17,
2022-05-21,664022.76,1.313,1.35,1.266,1.336,-0.17,
2022-05-22,1023565.69,1.336,1.45,1.268,1.32,-0.17,
2022-05-23,1602353.2,1.32,1.355,1.152,1.17,-0.18,20.36
2022-05-24,1372458.07,1.171,1.184,1.056,1.099,-0.19,18.88
2022-05-25,1299389.25,1.099,1.127,1.046,1.083,-0.2,27.82
2022-05-26,5742082.37,1.087,1.446,0.933,1.001,-0.22,28.9
2022-05-27,9935394.84,1.001,1.275,0.949,1.069,-0.22,26.99
2022-05-28,2719192.15,1.069,1.147,0.988,1.028,-0.22,26.09
2022-05-29,4437725.06,1.028,1.26,1.023,1.174,-0.2,36.49
2022-05-30,1585649.98,1.174,1.261,1.134,1.217,-0.19,40.18
2022-05-31,1533298.01,1.217,1.225,1.035,1.055,-0.19,29.33
2022-06-01,1533530.02,1.055,1.113,0.98,1.021,-0.19,33.33
2022-06-02,1122917.2,1.02,1.126,0.998,1.023,-0.18,29.38
2022-06-03,897554.73,1.023,1.057,0.996,1.007,-0.18,32.41
2022-06-04,445509.46,1.007,1.025,0.994,1.022,-0.17,31.79
2022-06-05,286885.8,1.022,1.054,1.003,1.033,-0.17,33.26
2022-06-06,628394.05,1.034,1.107,1.03,1.058,-0.16,42.35
2022-06-07,538638.02,1.058,1.082,0.962,1.056,-0.15,46.76
2022-06-08,404855.48,1.053,1.089,1.0,1.002,-0.14,44.22
2022-06-09,548113.92,1.002,1.048,0.991,1.023,-0.14,51.72
2022-06-10,915803.27,1.026,1.036,0.991,1.001,-0.13,44.28
2022-06-11,746651.82,1.0,1.01,0.844,0.846,-0.14,37.15
2022-06-12,597191.94,0.844,0.86,0.785,0.801,-0.15,19.28
2022-06-13,2798828.45,0.801,0.802,0.551,0.591,-0.17,9.56
2022-06-14,1635470.74,0.592,0.668,0.565,0.622,-0.18,16.33
2022-06-15,1826219.03,0.621,0.634,0.512,0.621,-0.19,17.21
2022-06-16,7047464.08,0.623,1.072,0.528,0.532,-0.2,14.78
2022-06-17,2853965.68,0.532,0.612,0.5,0.582,-0.2,20.93
2022-06-18,6049810.52,0.581,0.672,0.4,0.464,-0.21,16.55
2022-06-19,5623139.18,0.465,0.65,0.44,0.517,-0.21,20.55
2022-06-20,3555308.97,0.517,0.549,0.45,0.516,-0.21,18.19
2022-06-21,20499312.11,0.516,0.786,0.506,0.544,-0.2,20.84
2022-06-22,4443710.67,0.544,0.569,0.486,0.513,-0.2,21.4
2022-06-23,2355971.62,0.514,0.575,0.513,0.547,-0.19,22.58
2022-06-24,5874686.62,0.545,0.689,0.542,0.631,-0.17,30.11
2022-06-25,5900142.11,0.632,0.74,0.607,0.642,-0.16,37.02
2022-06-26,1895335.64,0.643,0.68,0.61,0.62,-0.14,38.14
2022-06-27,1302980.72,0.62,0.637,0.554,0.576,-0.14,48.74
2022-06-28,1346680.1,0.575,0.615,0.52,0.52,-0.13,41.8
2022-06-29,1617264.06,0.521,0.542,0.493,0.499,-0.13,40.5
2022-06-30,3206282.61,0.499,0.502,0.433,0.453,-0.13,43.41
2022-07-01,1783587.41,0.452,0.493,0.445,0.453,-0.13,38.25
2022-07-02,5876147.88,0.453,0.598,0.444,0.467,-0.13,50.34
2022-07-03,6167332.16,0.467,0.575,0.459,0.506,-0.12,48.72
2022-07-04,5276100.5,0.505,0.575,0.47,0.54,-0.11,52.59
2022-07-05,14638548.87,0.54,0.692,0.538,0.564,-0.1,52.17
2022-07-06,4356958.68,0.563,0.675,0.55,0.616,-0.09,60.71
2022-07-07,6376046.5,0.616,0.745,0.589,0.664,-0.07,61.82
2022-07-08,15543462.93,0.666,0.879,0.656,0.74,-0.05,61.19
2022-07-09,2953116.77,0.739,0.779,0.672,0.68,-0.04,53.54
2022-07-10,2256441.79,0.682,0.686,0.62,0.64,-0.04,51.81
2022-07-11,1803010.56,0.64,0.66,0.61,0.623,-0.03,54.46
2022-07-12,2006367.04,0.626,0.666,0.583,0.639,-0.03,62.22
2022-07-13,39807233.64,0.636,1.07,0.63,0.936,0.0,78.64
2022-07-14,8113088.0,0.936,0.975,0.759,0.921,0.02,81.97
2022-07-15,25577911.39,0.924,1.325,0.859,1.139,0.05,86.11
2022-07-16,12329235.08,1.139,1.5,1.03,1.364,0.1,88.63
2022-07-17,27594121.67,1.365,1.865,1.351,1.633,0.15,90.51
2022-07-18,15281161.28,1.633,1.786,1.375,1.528,0.18,83.79
2022-07-19,11157870.61,1.528,1.748,1.41,1.512,0.21,82.6
2022-07-20,16701608.79,1.509,1.92,1.4,1.571,0.23,82.68
2022-07-21,8596910.41,1.568,1.662,1.394,1.628,0.24,82.79
2022-07-22,8039021.51,1.629,1.723,1.472,1.531,0.25,76.53
2022-07-23,8515826.14,1.531,1.749,1.462,1.58,0.25,80.41
2022-07-24,9378976.19,1.581,1.805,1.578,1.645,0.25,83.39
2022-07-25,6916077.67,1.646,1.68,1.45,1.451,0.24,74.61
2022-07-26,7530353.98,1.451,1.454,1.288,1.445,0.23,74.1
2022-07-27,18099570.78,1.446,1.967,1.392,1.916,0.25,76.54
2022-07-28,41362802.8,1.916,2.662,1.902,2.261,0.29,80.79
2022-07-29,24816511.1,2.26,2.666,2.054,2.446,0.34,80.49
2022-07-30,12584581.53,2.449,2.579,2.195,2.328,0.36,73.67
2022-07-31,6426211.54,2.33,2.418,2.107,2.149,0.36,63.26
2022-08-01,7578786.04,2.146,2.344,2.0,2.085,0.35,64.62
2022-08-02,15230655.31,2.083,2.477,1.849,2.289,0.35,68.56
2022-08-03,19956397.46,2.29,2.8,2.157,2.588,0.38,71.8
2022-08-04,15633984.17,2.59,2.85,2.348,2.428,0.38,66.42
2022-08-05,12207914.74,2.43,2.778,2.43,2.659,0.39,71.95
2022-08-06,8269668.0,2.659,2.702,2.51,2.612,0.4,70.09
2022-08-07,6170336.51,2.612,2.614,2.373,2.468,0.38,65.55
2022-08-08,8901161.08,2.466,2.635,2.3,2.384,0.36,68.39
2022-08-09,8540588.51,2.383,2.417,2.088,2.267,0.33,65.52
2022-08-10,16207870.89,2.266,2.764,2.125,2.71,0.34,65.15
2022-08-11,15883527.79,2.714,2.9,2.6,2.635,0.34,57.96
2022-08-12,9530075.05,2.634,2.85,2.474,2.823,0.34,58.01
2022-08-13,11509743.46,2.824,3.1,2.758,2.941,0.36,63.03
2022-08-14,8473700.77,2.939,3.066,2.648,2.675,0.34,60.78
2022-08-15,10877667.09,2.674,2.861,2.582,2.752,0.33,63.6
2022-08-16,6550156.88,2.752,2.807,2.542,2.574,0.3,55.87
2022-08-17,8076158.59,2.571,2.799,2.433,2.474,0.27,47.44
2022-08-18,6026750.89,2.475,2.541,2.203,2.239,0.23,45.9
2022-08-19,15175877.94,2.239,2.272,1.823,1.861,0.16,33.71
2022-08-20,9827291.75,1.86,1.972,1.729,1.859,0.1,34.35
2022-08-21,21343375.79,1.86,2.333,1.83,2.159,0.08,43.97
2022-08-22,21687639.23,2.16,2.21,1.865,2.188,0.06,46.09
2022-08-23,19900416.59,2.188,2.268,2.036,2.136,0.05,47.32
2022-08-24,14444483.83,2.136,2.35,2.051,2.172,0.04,36.77
2022-08-25,17518413.63,2.171,2.283,1.967,2.008,0.01,35.23
2022-08-26,14982060.42,2.007,2.088,1.679,1.736,-0.03,25.37
2022-08-27,12819169.53,1.736,1.778,1.581,1.629,-0.06,20.13
2022-08-28,8285504.1,1.63,1.716,1.585,1.59,-0.1,22.45
2022-08-29,15924736.72,1.59,1.901,1.55,1.882,-0.1,30.08
2022-08-30,16680385.3,1.879,1.939,1.713,1.792,-0.11,31.35
2022-08-31,19469642.01,1.793,2.16,1.793,1.979,-0.09,38.66
2022-09-01,12733332.16,1.98,2.168,1.928,2.075,-0.08,45.99
2022-09-02,17999986.22,2.076,2.281,2.009,2.191,-0.05,59.26
2022-09-03,7442753.67,2.19,2.19,1.977,2.007,-0.05,53.77
2022-09-04,5634204.27,2.006,2.14,1.939,2.062,-0.04,47.18
2022-09-05,9359488.15,2.061,2.091,1.906,2.03,-0.04,45.41
2022-09-06,23060588.21,2.03,2.307,1.804,1.853,-0.05,42.34
2022-09-07,14935571.74,1.855,2.051,1.779,1.96,-0.05,44.47
2022-09-08,9141486.25,1.96,1.985,1.847,1.885,-0.05,46.64
2022-09-09,12718407.73,1.884,2.128,1.88,2.058,-0.04,59.31
2022-09-10,8536340.19,2.059,2.15,1.927,2.105,-0.03,64.25
2022-09-11,9835188.7,2.105,2.144,2.022,2.088,-0.02,65.11
2022-09-12,11585759.94,2.088,2.125,1.958,1.993,-0.02,53.82
2022-09-13,14586896.66,1.993,2.006,1.773,1.835,-0.03,51.42
2022-09-14,14173170.29,1.835,1.888,1.65,1.828,-0.04,44.36
2022-09-15,33613473.45,1.826,2.219,1.661,1.7,-0.06,36.32
2022-09-16,14358156.55,1.701,1.822,1.669,1.78,-0.07,34.61
2022-09-17,9628670.72,1.78,1.934,1.777,1.897,-0.06,45.66
2022-09-18,9805002.87,1.897,1.926,1.666,1.691,-0.07,36.93
2022-09-19,11938148.14,1.692,1.845,1.625,1.821,-0.07,43.11
2022-09-20,9903767.0,1.82,1.862,1.761,1.789,-0.07,47.67
2022-09-21,16046489.47,1.789,1.953,1.74,1.818,-0.07,44.51
2022-09-22,10664252.03,1.818,1.928,1.729,1.796,-0.07,46.41
2022-09-23,9637791.7,1.797,1.839,1.696,1.753,-0.07,36.27
2022-09-24,4481183.24,1.755,1.769,1.663,1.685,-0.08,31.45
2022-09-25,5715653.44,1.685,1.728,1.563,1.577,-0.09,29.11
2022-09-26,8050955.35,1.576,1.654,1.538,1.628,-0.09,34.52
2022-09-27,8581984.22,1.627,1.732,1.567,1.601,-0.1,38.84
