date,volume,open,high,low,close,MACD,RSI
2019-01-16,1343660.31,0.5355,0.5355,0.4668,0.4895,0.0,
2019-01-17,1411725.35,0.4895,0.4953,0.4639,0.4756,-0.0,
2019-01-18,984417.59,0.4762,0.5112,0.4601,0.4894,-0.0,
2019-01-19,735443.2,0.4908,0.5,0.4673,0.4831,-0.0,
2019-01-20,677499.56,0.4803,0.492,0.459,0.4834,-0.0,
2019-01-21,897787.84,0.4839,0.5198,0.465,0.4972,-0.0,
2019-01-22,1784953.5,0.496,0.5656,0.4956,0.5344,0.0,
2019-01-23,1827069.39,0.5342,0.5475,0.4901,0.5046,0.0,
2019-01-24,1529219.53,0.5046,0.5065,0.4518,0.5017,0.0,
2019-01-25,1112869.08,0.5031,0.5157,0.4712,0.4739,0.0,
2019-01-26,865653.89,0.4736,0.4884,0.4624,0.4661,-0.0,
2019-01-27,2278919.65,0.4661,0.4666,0.4229,0.4303,-0.01,
2019-01-28,4006211.85,0.431,0.4313,0.3504,0.4116,-0.01,
2019-01-29,5190825.37,0.4104,0.4638,0.4061,0.4505,-0.01,
2019-01-30,2092369.59,0.4505,0.4514,0.413,0.4249,-0.01,38.15
2019-01-31,2029033.61,0.425,0.441,0.3811,0.3832,-0.02,34.62
2019-02-01,1899232.56,0.385,0.43,0.38,0.4147,-0.02,38.26
2019-02-02,821033.48,0.4163,0.433,0.3985,0.4136,-0.02,38.89
2019-02-03,1065170.56,0.417,0.417,0.386,0.3963,-0.02,36.8
2019-02-04,1449384.96,0.3959,0.4125,0.3867,0.3943,-0.02,33.83
2019-02-05,1299107.03,0.3926,0.4327,0.3902,0.4224,-0.02,31.88
2019-02-06,1368546.21,0.4224,0.4236,0.3915,0.4,-0.02,32.66
2019-02-07,498842.36,0.4,0.4065,0.3913,0.4021,-0.02,33.44
2019-02-08,2015969.58,0.4021,0.45,0.3985,0.4383,-0.02,44.24
2019-02-09,1384815.95,0.4371,0.4844,0.431,0.4612,-0.02,49.24
2019-02-10,2000850.55,0.4648,0.48,0.4325,0.4499,-0.01,53.27
2019-02-11,1580197.39,0.4495,0.4515,0.42,0.4289,-0.01,52.86
2019-02-12,941303.58,0.4277,0.4374,0.4176,0.4277,-0.01,45.69
2019-02-13,935377.38,0.4277,0.4454,0.4183,0.4411,-0.01,53.21
2019-02-14,942053.44,0.4422,0.4442,0.4203,0.4259,-0.01,59.46
2019-02-15,612251.8,0.4235,0.45,0.4222,0.4342,-0.01,54.81
