date,volume,open,high,low,close,MACD,RSI
2020-07-16,79377.15,10.0,11.35,8.8,10.14,0.0,
2020-07-17,86460.07,10.03,10.55,9.26,10.12,-0.0,
2020-07-18,103297.81,10.22,12.25,10.07,10.86,0.06,
2020-07-19,77139.55,11.0,11.54,10.25,10.6,0.08,
2020-07-20,71328.61,10.63,14.0,10.43,13.54,0.33,
2020-07-21,90695.8,13.84,14.83,11.75,13.12,0.49,
2020-07-22,76808.18,13.09,13.94,11.7,12.21,0.54,
2020-07-23,169288.62,12.24,12.43,10.04,10.5,0.43,
2020-07-24,102289.48,10.5,12.71,10.5,12.51,0.51,
2020-07-25,61667.75,12.56,12.76,10.66,11.03,0.44,
2020-07-26,138703.71,11.14,13.51,10.05,11.72,0.44,
2020-07-27,323268.63,11.85,16.88,11.83,12.38,0.48,
2020-07-28,132051.37,13.0,13.32,11.08,11.93,0.48,
2020-07-29,77187.89,11.92,12.17,10.91,11.76,0.46,
2020-07-30,72884.9,11.84,12.09,10.31,10.59,0.34,51.65
2020-07-31,134075.11,10.56,10.58,9.4,9.54,0.16,48.02
2020-08-01,110798.69,9.54,10.04,7.76,7.95,-0.11,40.62
2020-08-02,1057283.96,8.06,15.97,6.47,6.99,-0.4,38.86
2020-08-03,446047.87,6.96,7.24,5.45,5.48,-0.74,22.73
2020-08-04,1001649.87,5.49,5.66,4.64,4.69,-1.06,22.18
2020-08-05,550132.77,4.68,5.23,4.68,4.96,-1.27,25.02
2020-08-06,471332.74,5.0,5.08,4.13,4.19,-1.49,26.75
2020-08-07,730573.73,4.18,5.24,4.15,4.16,-1.65,13.98
2020-08-08,5888698.94,4.18,4.3,1.7,2.16,-1.91,13.38
2020-08-09,11827568.56,2.17,2.49,1.37,1.54,-2.14,7.72
2020-08-10,12142464.61,1.54,1.92,1.21,1.36,-2.32,2.34
2020-08-11,11595619.83,1.36,1.78,1.33,1.46,-2.42,3.3
2020-08-12,20445696.01,1.46,1.58,0.64,0.68,-2.53,3.13
2020-08-13,40764547.84,0.68,0.728,0.442,0.508,-2.61,3.42
2020-08-14,15421711.39,0.507,0.585,0.473,0.527,-2.63,3.97
2020-08-15,32334244.34,0.525,0.562,0.264,0.338,-2.64,4.64
2020-08-16,19350030.7,0.337,0.364,0.284,0.343,-2.61,5.3
2020-08-17,25428974.22,0.343,0.53,0.297,0.448,-2.56,8.28
2020-08-18,52127870.85,0.449,0.594,0.383,0.43,-2.48,9.49
2020-08-19,48524152.27,0.43,0.536,0.339,0.403,-2.4,4.57
2020-08-20,20587263.8,0.401,0.428,0.364,0.407,-2.31,5.48
2020-08-21,58031196.75,0.408,0.729,0.402,0.594,-2.19,9.53
2020-08-22,52306256.62,0.593,0.62,0.332,0.371,-2.09,15.98
2020-08-23,36134984.43,0.37,0.463,0.357,0.419,-1.99,22.75
2020-08-24,28589607.22,0.42,0.459,0.353,0.414,-1.89,24.87
2020-08-25,45471515.06,0.415,0.57,0.395,0.507,-1.78,24.59
2020-08-26,39782551.45,0.508,0.513,0.358,0.401,-1.68,38.38
2020-08-27,45713151.16,0.399,0.501,0.374,0.451,-1.58,47.36
2020-08-28,30316878.39,0.453,0.478,0.368,0.394,-1.49,44.05
2020-08-29,52461837.0,0.395,0.404,0.28,0.312,-1.41,48.71
2020-08-30,58136294.79,0.313,0.313,0.245,0.302,-1.33,47.98
2020-08-31,39005104.03,0.301,0.355,0.278,0.351,-1.25,44.94
2020-09-01,28690257.68,0.351,0.38,0.299,0.324,-1.17,44.52
2020-09-02,36135615.22,0.325,0.463,0.307,0.402,-1.09,49.95
2020-09-03,57756497.36,0.404,0.81,0.384,0.685,-0.99,60.71
2020-09-04,52192149.3,0.685,0.8,0.523,0.588,-0.91,49.75
2020-09-05,68703167.92,0.586,1.08,0.541,0.7,-0.83,65.0
2020-09-06,58147783.59,0.699,0.858,0.397,0.427,-0.78,50.3
2020-09-07,45088459.46,0.427,0.526,0.403,0.437,-0.73,50.87
2020-09-08,22772755.73,0.437,0.545,0.421,0.503,-0.68,49.85
2020-09-09,19643673.89,0.505,0.529,0.422,0.447,-0.63,51.84
2020-09-10,27984834.09,0.447,0.447,0.381,0.42,-0.59,48.74
2020-09-11,16360657.94,0.423,0.45,0.411,0.423,-0.55,51.24
2020-09-12,10739117.85,0.424,0.441,0.41,0.411,-0.52,54.49
2020-09-13,22077832.24,0.411,0.487,0.377,0.46,-0.48,56.92
2020-09-14,15390274.68,0.459,0.484,0.432,0.458,-0.45,54.89
2020-09-15,16323530.01,0.459,0.56,0.445,0.548,-0.41,59.67
2020-09-16,14852430.22,0.547,0.604,0.52,0.575,-0.37,57.81
2020-09-17,13385866.17,0.578,0.599,0.464,0.547,-0.34,41.9
2020-09-18,9329031.0,0.549,0.666,0.539,0.63,-0.3,52.51
2020-09-19,6004307.06,0.634,0.668,0.602,0.652,-0.27,46.79
2020-09-20,8464135.01,0.652,0.73,0.598,0.704,-0.24,76.28
2020-09-21,18298910.97,0.706,0.863,0.39,0.846,-0.2,81.03
2020-09-22,5838930.11,0.839,0.873,0.775,0.839,-0.16,78.0
2020-09-23,14498447.15,0.84,1.199,0.83,1.099,-0.12,90.55
2020-09-24,28827532.31,1.099,1.148,0.49,0.572,-0.12,55.83
2020-09-25,37655940.53,0.571,0.649,0.394,0.445,-0.13,50.77
2020-09-26,29182973.81,0.448,0.537,0.402,0.483,-0.13,52.48
2020-09-27,24272125.01,0.482,0.543,0.412,0.435,-0.14,49.14
2020-09-28,26877838.59,0.435,0.493,0.406,0.484,-0.14,50.87
2020-09-29,27316480.33,0.485,0.578,0.472,0.501,-0.13,48.35
2020-09-30,16551418.19,0.5,0.569,0.486,0.526,-0.13,48.28
2020-10-01,27645653.39,0.525,0.58,0.461,0.556,-0.12,50.32
2020-10-02,24463078.53,0.557,0.654,0.525,0.614,-0.11,49.43
2020-10-03,10160857.21,0.608,0.623,0.566,0.598,-0.1,48.07
2020-10-04,8141858.34,0.595,0.615,0.565,0.573,-0.09,45.22
2020-10-05,10399210.15,0.575,0.59,0.538,0.557,-0.08,38.37
2020-10-06,15638969.0,0.554,0.68,0.548,0.658,-0.07,43.23
2020-10-07,11066173.02,0.657,0.718,0.626,0.63,-0.06,28.78
2020-10-08,15768911.54,0.63,0.707,0.527,0.537,-0.06,47.39
2020-10-09,23971175.85,0.539,0.566,0.405,0.43,-0.07,48.85
2020-10-10,28762700.31,0.43,0.431,0.375,0.411,-0.08,44.3
2020-10-11,21789366.87,0.412,0.437,0.366,0.382,-0.08,45.68
2020-10-12,42436142.59,0.383,0.393,0.307,0.328,-0.09,37.38
2020-10-13,36659335.51,0.327,0.378,0.321,0.356,-0.09,38.47
2020-10-14,25602677.47,0.355,0.38,0.337,0.364,-0.1,36.76
2020-10-15,22777436.15,0.364,0.393,0.357,0.374,-0.09,34.63
2020-10-16,19464022.9,0.373,0.413,0.365,0.386,-0.09,29.12
2020-10-17,6802839.57,0.386,0.399,0.378,0.382,-0.09,29.78
2020-10-18,9623983.44,0.381,0.383,0.352,0.36,-0.09,29.94
2020-10-19,11446032.17,0.358,0.384,0.34,0.36,-0.08,30.87
2020-10-20,27009942.03,0.362,0.437,0.36,0.43,-0.08,26.45
2020-10-21,25235822.76,0.431,0.434,0.338,0.361,-0.07,24.38
2020-10-22,42985856.22,0.362,0.367,0.241,0.272,-0.08,24.57
2020-10-23,32225674.67,0.271,0.293,0.253,0.258,-0.08,29.91
2020-10-24,36438715.78,0.259,0.266,0.213,0.226,-0.09,29.02
2020-10-25,38907770.32,0.228,0.265,0.218,0.249,-0.09,34.71
2020-10-26,42329690.98,0.249,0.296,0.233,0.279,-0.09,44.04
2020-10-27,36070238.34,0.279,0.291,0.235,0.264,-0.08,38.44
2020-10-28,40132689.13,0.264,0.309,0.254,0.293,-0.08,41.53
2020-10-29,38633364.78,0.293,0.318,0.275,0.304,-0.07,41.67
2020-10-30,40573245.85,0.304,0.342,0.295,0.318,-0.07,41.94
2020-10-31,22463669.61,0.318,0.33,0.297,0.311,-0.06,41.65
2020-11-01,14917208.73,0.311,0.322,0.284,0.286,-0.06,41.36
2020-11-02,29883101.64,0.285,0.34,0.28,0.333,-0.05,47.16
2020-11-03,38295264.41,0.333,0.394,0.322,0.372,-0.04,43.47
2020-11-04,35814707.45,0.372,0.412,0.349,0.364,-0.04,50.39
2020-11-05,40494410.46,0.363,0.396,0.302,0.321,-0.04,57.27
2020-11-06,39469778.91,0.321,0.323,0.227,0.237,-0.04,47.42
2020-11-07,93794522.02,0.236,0.236,0.158,0.201,-0.05,46.96
2020-11-08,47384847.87,0.2,0.21,0.153,0.169,-0.05,40.48
2020-11-09,50578872.61,0.169,0.192,0.157,0.175,-0.06,36.87
2020-11-10,56465413.15,0.175,0.181,0.147,0.154,-0.06,36.32
2020-11-11,42710515.72,0.154,0.162,0.143,0.162,-0.06,32.81
2020-11-12,50321673.83,0.162,0.177,0.153,0.174,-0.06,32.98
2020-11-13,32427247.24,0.174,0.177,0.155,0.158,-0.06,29.17
2020-11-14,23390863.53,0.158,0.177,0.156,0.171,-0.06,32.05
2020-11-15,30885967.37,0.171,0.191,0.166,0.186,-0.06,36.84
2020-11-16,27697898.37,0.186,0.188,0.159,0.165,-0.06,26.27
2020-11-17,43546095.11,0.165,0.168,0.136,0.137,-0.06,15.74
2020-11-18,75056469.03,0.138,0.139,0.108,0.123,-0.06,15.47
2020-11-19,35910127.86,0.123,0.132,0.116,0.12,-0.06,17.48
2020-11-20,39192625.34,0.12,0.123,0.107,0.112,-0.06,23.18
2020-11-21,69079462.68,0.112,0.119,0.091,0.093,-0.06,25.0
2020-11-22,74344991.97,0.093,0.11,0.086,0.102,-0.06,32.64
2020-11-23,51611919.31,0.102,0.109,0.092,0.094,-0.06,29.23
2020-11-24,95870468.24,0.094,0.0969,0.078,0.088,-0.06,31.67
2020-11-25,58176695.38,0.0882,0.1101,0.085,0.1062,-0.06,35.33
2020-11-26,135091826.84,0.1063,0.16,0.1006,0.1281,-0.05,38.53
2020-11-27,59207049.1,0.1276,0.1439,0.1183,0.1297,-0.05,42.38
2020-11-28,60238397.04,0.1297,0.1355,0.105,0.1123,-0.04,34.56
2020-11-29,47887347.34,0.1125,0.119,0.1036,0.106,-0.04,27.95
2020-11-30,69618775.02,0.105,0.105,0.084,0.0865,-0.04,28.18
2020-12-01,78340901.25,0.0866,0.0998,0.0792,0.0969,-0.04,37.65
2020-12-02,46973948.6,0.097,0.0994,0.0876,0.0895,-0.04,39.24
2020-12-03,28338592.24,0.0892,0.0938,0.0871,0.0894,-0.04,39.99
2020-12-04,42559696.39,0.0895,0.1087,0.0885,0.1063,-0.04,48.24
2020-12-05,26640590.57,0.1066,0.1082,0.0991,0.1002,-0.03,52.42
2020-12-06,30398253.46,0.1002,0.1075,0.0947,0.0955,-0.03,47.75
2020-12-07,22880300.18,0.0956,0.1041,0.0947,0.1019,-0.03,52.76
2020-12-08,26021224.98,0.1019,0.1177,0.1004,0.1151,-0.03,59.03
2020-12-09,48958116.82,0.1154,0.1253,0.0972,0.1014,-0.02,48.35
2020-12-10,39647470.92,0.1013,0.1173,0.1007,0.1167,-0.02,45.9
2020-12-11,46518924.12,0.1163,0.1282,0.1148,0.1228,-0.02,47.6
2020-12-12,28687350.32,0.1234,0.1242,0.1065,0.1102,-0.02,49.24
2020-12-13,42736733.8,0.1102,0.1135,0.085,0.0914,-0.02,45.17
2020-12-14,46392264.6,0.0916,0.104,0.0911,0.094,-0.02,52.79
2020-12-15,32152656.1,0.0939,0.1012,0.0903,0.0977,-0.02,50.31
2020-12-16,61099160.11,0.0977,0.1045,0.0807,0.0809,-0.02,46.86
