date,volume,open,high,low,close,MACD,RSI
2020-07-16,43977.68,8.75,10.8,8.48,9.26,0.0,
2020-07-17,54696.99,9.29,9.85,8.87,8.98,-0.02,
2020-07-18,114392.02,8.93,8.93,7.32,8.19,-0.1,
2020-07-19,90290.69,8.1,8.79,7.65,8.47,-0.14,
2020-07-20,159706.12,8.5,8.67,5.85,6.16,-0.36,
2020-07-21,228650.89,6.14,7.3,5.35,6.11,-0.52,
2020-07-22,172407.15,6.12,6.7,5.68,6.47,-0.62,
2020-07-23,225023.49,6.47,7.63,6.37,6.9,-0.65,
2020-07-24,137514.05,6.98,7.0,5.88,5.97,-0.75,
2020-07-25,130655.89,5.96,6.76,5.84,6.52,-0.77,
2020-07-26,285748.35,6.48,7.06,5.41,6.17,-0.8,
2020-07-27,744454.9,6.13,6.13,4.35,5.39,-0.88,
2020-07-28,455669.37,5.37,5.9,5.08,5.64,-0.92,
2020-07-29,236554.67,5.64,6.01,4.96,5.16,-0.97,
2020-07-30,347908.37,5.15,5.92,5.03,5.64,-0.96,28.25
2020-07-31,301061.36,5.64,6.39,5.64,6.29,-0.9,34.52
2020-08-01,278068.08,6.28,7.61,5.98,7.27,-0.75,44.82
2020-08-02,1288825.81,7.3,7.9,4.03,6.69,-0.68,40.31
2020-08-03,421978.71,6.73,8.49,6.45,8.47,-0.47,63.35
2020-08-04,629560.61,8.46,9.95,6.5,9.68,-0.21,68.2
2020-08-05,180768.49,9.63,9.67,8.54,9.02,-0.05,62.61
2020-08-06,226301.51,9.01,10.81,8.85,10.62,0.2,66.49
2020-08-07,201111.95,10.67,10.73,8.11,10.34,0.37,70.56
2020-08-08,349755.53,10.34,23.88,9.93,18.45,1.15,82.79
2020-08-09,304487.55,18.5,23.0,16.66,21.19,1.96,86.49
2020-08-10,195977.33,21.19,21.88,17.19,19.76,2.47,83.84
2020-08-11,191437.53,19.79,19.94,16.05,18.23,2.71,77.97
2020-08-12,221381.46,18.23,28.0,17.01,27.3,3.59,85.59
2020-08-13,249345.07,27.01,33.1,25.32,29.2,4.39,86.22
2020-08-14,84076.71,28.978,30.766,26.398,28.15,4.89,83.2
2020-08-15,151400.72,28.48,37.1,27.157,34.821,5.75,85.68
2020-08-16,100166.2,35.25,38.5,32.162,33.5,6.26,84.06
2020-08-17,128987.4,33.795,36.98,24.01,27.206,6.08,71.36
2020-08-18,291227.72,27.359,29.9,21.493,24.858,5.69,66.86
2020-08-19,204401.75,25.15,27.374,21.0,24.698,5.3,67.61
2020-08-20,88534.87,24.699,26.25,23.6,24.4,4.91,65.95
2020-08-21,414119.84,24.375,24.585,16.592,18.579,4.09,58.45
2020-08-22,276907.89,18.604,24.0,18.072,22.91,3.74,54.96
2020-08-23,116304.37,23.039,23.322,20.15,21.17,3.29,49.98
2020-08-24,109636.01,21.233,23.5,20.0,21.2,2.9,51.69
2020-08-25,249183.9,21.2,21.75,17.501,18.893,2.38,50.76
2020-08-26,195284.68,18.968,22.19,18.65,20.93,2.1,41.23
2020-08-27,202769.52,21.158,22.005,18.052,19.371,1.74,36.34
2020-08-28,171578.27,19.324,21.8,18.765,20.759,1.55,39.82
