date,volume,open,high,low,close,MACD,RSI
2021-02-04,54944238.69,0.25,18.8264,0.25,3.0605,0.0,
2021-02-05,20689204.04,3.0606,5.9362,3.0524,5.4999,0.19,
2021-02-06,63417275.37,5.5,9.5001,4.1103,7.3618,0.49,
2021-02-07,33021825.14,7.3788,9.6686,6.95,7.52,0.73,
2021-02-08,13199630.35,7.5212,8.5399,6.343,6.4693,0.83,
2021-02-09,14209485.9,6.4613,7.8011,6.0444,7.1701,0.95,
2021-02-10,8456879.68,7.1702,7.7,6.1231,6.5006,0.98,
2021-02-11,10147916.02,6.5229,8.4,6.273,7.5642,1.08,
2021-02-12,7604653.62,7.5896,8.7654,7.1818,8.5666,1.23,
2021-02-13,7962687.46,8.5665,10.35,7.7,9.7521,1.42,
2021-02-14,14802408.24,9.7521,12.1483,9.3481,11.6995,1.71,
2021-02-15,16430777.68,11.6985,14.5,9.7,13.4046,2.06,
2021-02-16,9779209.06,13.4,14.78,11.8132,12.6111,2.24,
2021-02-17,7572464.8,12.6101,12.9825,10.8575,11.2271,2.25,
2021-02-18,5906220.98,11.2271,12.79,11.2001,11.2602,2.23,75.63
2021-02-19,6318082.56,11.2601,11.4363,10.0,10.2395,2.11,66.26
2021-02-20,9847526.75,10.1957,12.4,9.5666,10.2886,2.0,61.47
2021-02-21,4962359.13,10.2961,11.49,10.0253,10.599,1.91,61.92
2021-02-22,6913423.05,10.6235,11.1077,7.3063,9.177,1.71,60.19
2021-02-23,6465338.06,9.18,9.2543,6.2,7.6095,1.4,51.55
2021-02-24,6597505.48,7.6105,9.0875,7.0539,8.4898,1.22,56.92
2021-02-25,6409571.82,8.4963,9.9557,8.01,8.1632,1.03,52.2
2021-02-26,5075256.86,8.1618,8.888,7.3,7.996,0.86,47.77
2021-02-27,2950811.05,7.9957,8.652,7.4823,7.7512,0.7,41.56
2021-02-28,3506966.1,7.7606,7.8647,6.3656,6.9102,0.5,27.71
2021-03-01,2946222.0,6.8798,7.8485,6.8212,7.6123,0.39,20.27
2021-03-02,5164424.7,7.6087,8.5,7.2,8.2923,0.36,27.57
