date,volume,open,high,low,close,MACD,RSI
2022-01-20,94082921.4,0.16,3.84,0.16,2.385,0.0,
2022-01-21,42032560.0,2.3852,2.67,1.794,1.8521,-0.04,
2022-01-22,15206084.1,1.851,1.944,1.5003,1.5889,-0.1,
2022-01-23,14428179.4,1.589,2.0999,1.5401,1.7428,-0.13,
2022-01-24,10446850.8,1.7428,1.8799,1.3855,1.6855,-0.15,
2022-01-25,14664611.0,1.6868,2.0668,1.554,1.9107,-0.15,
2022-01-26,12216379.2,1.9124,2.2119,1.68,1.8508,-0.15,
2022-01-27,14258302.9,1.8506,2.22,1.79,2.0545,-0.14,
2022-01-28,6471955.9,2.0533,2.1784,1.8413,1.994,-0.13,
2022-01-29,3288264.9,1.9993,2.0663,1.905,1.9449,-0.13,
2022-01-30,3844729.1,1.9449,1.9981,1.6332,1.7005,-0.14,
2022-01-31,3241251.9,1.7006,1.8674,1.6102,1.7723,-0.14,
2022-02-01,3849099.6,1.7724,1.93,1.7222,1.9031,-0.14,
2022-02-02,12181726.3,1.9003,2.3072,1.8147,1.8899,-0.13,
2022-02-03,4683402.5,1.8855,2.0076,1.6775,1.8171,-0.13,36.72
2022-02-04,5763528.5,1.8177,2.23,1.7989,2.0723,-0.1,55.92
2022-02-05,15134995.0,2.0779,2.575,2.0717,2.5014,-0.05,72.51
2022-02-06,21066266.6,2.5053,3.0377,2.3697,2.5056,-0.01,70.32
2022-02-07,7520228.5,2.5056,2.77,2.4137,2.4951,0.02,72.12
2022-02-08,8881130.5,2.4954,2.5159,2.1042,2.2456,0.03,59.03
2022-02-09,4083741.1,2.2461,2.34,2.15,2.274,0.04,61.61
2022-02-10,7478228.1,2.2741,2.47,2.128,2.1801,0.03,53.67
2022-02-11,5504570.4,2.1802,2.1868,1.86,1.8893,0.01,47.31
2022-02-12,2795192.0,1.889,1.9692,1.799,1.9027,-0.01,48.89
2022-02-13,9895279.3,1.9021,2.276,1.8916,1.9826,-0.02,58.09
2022-02-14,4896005.9,1.9825,2.15,1.9099,2.0243,-0.02,57.35
2022-02-15,6075878.0,2.0215,2.35,2.015,2.2095,-0.01,58.67
2022-02-16,3362161.6,2.2095,2.2739,2.0783,2.1798,-0.0,58.12
2022-02-17,4149588.0,2.1798,2.1844,1.9722,2.0025,-0.01,54.91
2022-02-18,3333511.9,2.007,2.12,1.85,1.8836,-0.03,44.62
2022-02-19,1893223.9,1.8836,1.9701,1.8645,1.9257,-0.04,28.92
2022-02-20,3827862.7,1.9258,1.933,1.6606,1.6945,-0.06,24.53
2022-02-21,3261964.1,1.6947,1.7807,1.52,1.5248,-0.09,22.3
2022-02-22,5552500.5,1.529,1.7974,1.4796,1.7061,-0.1,33.98
2022-02-23,9065630.1,1.7062,1.9767,1.6618,1.7311,-0.11,33.84
2022-02-24,7171661.0,1.7311,1.7956,1.4813,1.6835,-0.11,34.8
2022-02-25,3975584.1,1.6834,1.8158,1.6481,1.7897,-0.11,46.56
2022-02-26,2432940.8,1.7897,1.85,1.725,1.739,-0.11,44.49
2022-02-27,3732092.1,1.7391,1.945,1.6844,1.7691,-0.1,42.57
2022-02-28,4196613.7,1.7678,1.9094,1.7161,1.888,-0.09,45.5
2022-03-01,5565464.2,1.8885,2.1234,1.8859,1.9415,-0.07,40.31
2022-03-02,5072052.2,1.9426,1.965,1.7641,1.8542,-0.07,38.69
2022-03-03,4434431.0,1.854,2.0045,1.8057,1.875,-0.06,45.03
2022-03-04,3086044.6,1.8763,1.9115,1.7171,1.7307,-0.06,44.16
