date,volume,open,high,low,close,MACD,RSI
2021-05-28,308874.95,31.14,33.95,25.98,27.13,0.0,
2021-05-29,317875.93,27.13,27.99,21.77,23.19,-0.31,
2021-05-30,154948.09,23.21,24.16,22.18,23.41,-0.54,
2021-05-31,133237.05,23.4,24.44,22.38,24.04,-0.66,
2021-06-01,166243.42,24.07,25.49,23.32,25.29,-0.65,
2021-06-02,144279.3,25.32,27.83,24.38,27.69,-0.44,
2021-06-03,197977.54,27.66,31.1,27.65,30.9,-0.01,
2021-06-04,223950.42,30.92,32.86,27.3,28.05,0.09,
2021-06-05,111751.11,28.08,29.86,26.96,27.33,0.12,
2021-06-06,150357.03,27.33,27.46,25.43,25.58,-0.0,
2021-06-07,137593.52,25.59,26.77,24.68,24.73,-0.17,
2021-06-08,193958.07,24.75,25.88,23.83,25.81,-0.21,
2021-06-09,176278.34,25.85,28.09,24.88,28.02,-0.06,
2021-06-10,161356.17,28.03,28.33,26.95,27.34,0.0,
2021-06-11,244821.16,27.31,28.2,25.47,26.11,-0.05,47.78
2021-06-12,62946.72,26.12,26.2,25.1,25.77,-0.11,56.64
2021-06-13,60415.09,25.8,27.19,25.64,27.19,-0.05,59.17
2021-06-14,88654.83,27.2,28.0,26.84,27.25,0.01,58.0
2021-06-15,71620.36,27.25,27.41,26.39,26.43,-0.02,52.91
2021-06-16,77259.73,26.4,26.72,25.36,25.36,-0.12,43.63
2021-06-17,84337.47,25.35,25.58,24.66,24.71,-0.25,30.32
2021-06-18,42108.31,24.75,24.77,24.18,24.27,-0.39,35.81
2021-06-19,34438.18,24.27,24.38,24.06,24.38,-0.48,38.39
2021-06-20,150086.86,24.38,25.6,24.3,25.22,-0.48,48.47
2021-06-21,296015.71,25.21,25.36,19.93,20.03,-0.89,35.44
2021-06-22,669738.13,20.02,31.0,19.27,25.3,-0.78,48.75
2021-06-23,1361674.13,25.3,31.62,22.79,24.4,-0.75,40.48
2021-06-24,890562.53,24.44,25.4,22.69,23.25,-0.82,39.51
2021-06-25,416619.34,23.2,23.82,19.77,19.89,-1.13,35.62
2021-06-26,978687.03,19.9,21.5,17.8,18.57,-1.46,34.07
2021-06-27,545005.65,18.54,21.0,18.37,20.15,-1.58,34.53
