date,volume,open,high,low,close,MACD,RSI
2023-02-28,66581666.4,1.0,2.867,1.0,2.166,0.0,
2023-03-01,37353917.8,2.167,2.418,1.805,1.928,-0.02,
2023-03-02,11318338.0,1.926,1.999,1.71,1.816,-0.04,
2023-03-03,21286145.1,1.814,2.125,1.579,1.996,-0.05,
2023-03-04,16497684.2,1.996,2.185,1.84,1.923,-0.05,
2023-03-05,21145826.4,1.922,2.38,1.888,2.206,-0.04,
2023-03-06,17122125.1,2.208,2.52,2.04,2.144,-0.03,
2023-03-07,9928129.6,2.146,2.153,1.872,1.938,-0.04,
2023-03-08,7589190.4,1.938,2.039,1.635,1.685,-0.07,
2023-03-09,13812246.2,1.685,1.969,1.64,1.774,-0.08,
2023-03-10,17619884.8,1.775,2.222,1.602,2.12,-0.06,
2023-03-11,40097756.3,2.12,2.38,1.8,2.126,-0.05,
2023-03-12,17870567.3,2.125,2.259,1.981,2.16,-0.03,
2023-03-13,44884837.3,2.161,3.0,2.045,2.714,0.03,
2023-03-14,68701110.4,2.714,3.86,2.645,2.965,0.09,64.87
2023-03-15,51800132.3,2.967,3.33,2.513,2.75,0.12,65.43
2023-03-16,35364297.5,2.75,3.059,2.56,2.739,0.15,68.01
2023-03-17,24395849.6,2.739,3.0,2.58,2.863,0.17,67.29
2023-03-18,29257994.4,2.863,2.995,2.465,2.49,0.16,60.1
2023-03-19,23345836.0,2.49,2.645,2.356,2.391,0.14,53.53
2023-03-20,22381427.3,2.391,2.427,2.134,2.213,0.11,51.26
2023-03-21,23413944.0,2.213,2.498,2.191,2.374,0.1,58.09
2023-03-22,15005073.3,2.372,2.47,2.09,2.191,0.07,59.64
2023-03-23,13745083.3,2.192,2.3,2.085,2.264,0.06,59.39
2023-03-24,13228299.8,2.266,2.404,2.08,2.144,0.04,50.5
2023-03-25,7101154.5,2.145,2.236,2.008,2.072,0.01,48.9
2023-03-26,6758698.3,2.072,2.146,2.035,2.126,-0.0,49.31
2023-03-27,19374039.2,2.127,2.32,2.039,2.247,-0.0,38.53
2023-03-28,14200126.2,2.248,2.299,2.007,2.135,-0.01,28.11
2023-03-29,11063872.9,2.135,2.331,2.135,2.222,-0.01,35.07
2023-03-30,9190170.8,2.222,2.284,2.091,2.13,-0.02,33.53
2023-03-31,6365257.1,2.131,2.172,2.062,2.128,-0.03,28.72
2023-04-01,13422459.3,2.127,2.358,2.108,2.273,-0.02,42.76
2023-04-02,8421055.6,2.275,2.384,2.15,2.209,-0.02,43.78
2023-04-03,12104565.0,2.209,2.38,2.12,2.244,-0.02,51.17
2023-04-04,13916256.9,2.244,2.515,2.233,2.488,0.01,54.06
2023-04-05,11578264.3,2.487,2.652,2.388,2.467,0.02,61.11
2023-04-06,9987435.9,2.466,2.55,2.335,2.474,0.04,58.93
2023-04-07,5985721.7,2.474,2.527,2.341,2.379,0.04,60.21
2023-04-08,4737340.0,2.379,2.397,2.202,2.233,0.03,56.57
2023-04-09,4326362.2,2.233,2.259,2.15,2.205,0.02,53.29
2023-04-10,4400165.7,2.206,2.297,2.161,2.286,0.01,51.68
2023-04-11,4099481.7,2.286,2.296,2.18,2.2,0.01,52.87
2023-04-12,8768864.1,2.2,2.202,2.0,2.086,-0.01,44.14
2023-04-13,7330272.9,2.087,2.182,2.06,2.178,-0.02,52.07
2023-04-14,12532273.1,2.178,2.44,2.164,2.378,-0.0,59.2
2023-04-15,10411613.6,2.377,2.492,2.305,2.332,0.0,52.34
2023-04-16,7582373.4,2.332,2.42,2.271,2.382,0.01,56.95
2023-04-17,11018585.7,2.384,2.471,2.25,2.386,0.02,55.85
2023-04-18,10218779.4,2.386,2.528,2.3,2.416,0.03,46.4
2023-04-19,9944290.7,2.417,2.44,2.051,2.093,0.01,35.64
2023-04-20,7126803.7,2.092,2.169,2.012,2.099,-0.01,35.59
2023-04-21,9794528.0,2.099,2.171,1.842,1.906,-0.04,33.1
2023-04-22,4437004.8,1.905,1.949,1.847,1.91,-0.06,37.15
2023-04-23,4567518.9,1.91,1.922,1.749,1.81,-0.08,35.14
2023-04-24,4025533.7,1.809,1.841,1.73,1.775,-0.1,30.09
2023-04-25,5514015.5,1.776,1.84,1.685,1.823,-0.11,34.86
2023-04-26,7157428.5,1.823,1.9,1.64,1.76,-0.12,36.35
2023-04-27,4027182.3,1.761,1.843,1.742,1.819,-0.13,34.54
2023-04-28,4340158.9,1.818,1.882,1.74,1.868,-0.13,24.75
2023-04-29,3362312.5,1.867,1.895,1.803,1.83,-0.13,24.95
2023-04-30,2717291.3,1.831,1.85,1.745,1.76,-0.13,19.57
2023-05-01,4088806.9,1.76,1.837,1.645,1.693,-0.14,18.06
2023-05-02,2527443.1,1.693,1.726,1.675,1.693,-0.14,15.73
2023-05-03,3893662.3,1.693,1.721,1.605,1.705,-0.14,23.92
2023-05-04,2823709.9,1.705,1.735,1.662,1.689,-0.14,22.81
2023-05-05,2340773.1,1.69,1.706,1.62,1.69,-0.14,30.78
2023-05-06,4805895.3,1.69,1.704,1.428,1.448,-0.15,21.12
2023-05-07,2383331.7,1.448,1.497,1.434,1.441,-0.17,23.9
2023-05-08,7710208.5,1.44,1.456,1.156,1.222,-0.19,18.97
2023-05-09,3659386.7,1.222,1.239,1.183,1.198,-0.21,13.96
2023-05-10,5653927.4,1.198,1.294,1.151,1.236,-0.22,18.88
2023-05-11,6350293.4,1.236,1.283,1.142,1.206,-0.23,12.3
2023-05-12,3664770.4,1.206,1.23,1.12,1.226,-0.23,9.06
2023-05-13,2586014.9,1.227,1.235,1.164,1.189,-0.23,9.07
2023-05-14,2701533.1,1.19,1.239,1.164,1.199,-0.23,11.2
2023-05-15,5804506.1,1.199,1.35,1.175,1.284,-0.22,22.4
2023-05-16,7622508.5,1.284,1.461,1.253,1.375,-0.2,30.89
2023-05-17,3721851.0,1.376,1.429,1.289,1.385,-0.18,30.72
2023-05-18,2561309.1,1.385,1.396,1.29,1.33,-0.17,29.34
2023-05-19,1949878.9,1.33,1.339,1.29,1.308,-0.16,28.54
2023-05-20,1664676.5,1.309,1.338,1.282,1.308,-0.15,39.2
2023-05-21,3498451.5,1.307,1.34,1.238,1.253,-0.15,36.49
2023-05-22,1805356.2,1.253,1.298,1.222,1.28,-0.14,55.75
2023-05-23,3872338.9,1.281,1.352,1.269,1.316,-0.13,61.43
2023-05-24,2446561.6,1.317,1.319,1.213,1.264,-0.12,52.64
2023-05-25,1838439.0,1.265,1.274,1.22,1.243,-0.12,53.55
2023-05-26,1595138.9,1.244,1.267,1.23,1.254,-0.12,52.73
2023-05-27,2431376.2,1.255,1.298,1.226,1.24,-0.11,55.21
2023-05-28,2370506.4,1.241,1.344,1.233,1.294,-0.1,58.91
2023-05-29,3462973.0,1.295,1.328,1.243,1.255,-0.1,47.02
2023-05-30,2015073.0,1.255,1.272,1.227,1.249,-0.09,34.33
2023-05-31,1655195.7,1.248,1.255,1.154,1.179,-0.09,27.71
2023-06-01,2003046.0,1.178,1.23,1.17,1.192,-0.09,33.57
2023-06-02,1863907.0,1.193,1.259,1.175,1.241,-0.09,42.51
2023-06-03,1367390.8,1.241,1.271,1.223,1.24,-0.08,42.41
2023-06-04,1290176.6,1.238,1.274,1.227,1.244,-0.07,48.87
2023-06-05,3890636.9,1.243,1.246,1.028,1.07,-0.08,30.7
2023-06-06,3360136.0,1.069,1.127,1.023,1.109,-0.09,31.08
2023-06-07,2595945.4,1.109,1.109,0.997,1.02,-0.09,29.11
2023-06-08,1435882.7,1.019,1.047,0.992,1.028,-0.1,31.17
2023-06-09,1743907.4,1.028,1.04,0.994,1.009,-0.1,28.84
2023-06-10,6030699.1,1.011,1.011,0.735,0.834,-0.12,22.57
2023-06-11,1666428.5,0.835,0.862,0.826,0.847,-0.13,18.03
