date,volume,open,high,low,close,MACD,RSI
2020-02-06,101924.65,1.39,1.48,1.3004,1.3649,0.0,
2020-02-07,199628.91,1.3649,1.7097,1.3424,1.4841,0.01,
2020-02-08,687804.52,1.4924,1.85,1.3806,1.7697,0.04,
2020-02-09,1070584.27,1.7591,2.222,1.6243,2.0314,0.08,
2020-02-10,3227517.88,2.0291,2.88,1.85,2.0799,0.12,
2020-02-11,1372784.65,2.0799,2.2699,1.8288,2.0485,0.15,
2020-02-12,627135.68,2.0529,2.0999,1.88,1.9664,0.16,
2020-02-13,574050.84,1.9808,2.0124,1.7105,1.7889,0.15,
2020-02-14,400289.34,1.7886,1.9979,1.7636,1.91,0.15,
2020-02-15,377832.09,1.91,2.0296,1.6976,1.8189,0.15,
2020-02-16,389257.88,1.8082,2.0,1.7202,1.8751,0.14,
2020-02-17,289262.38,1.8728,1.888,1.6021,1.7797,0.13,
2020-02-18,186771.77,1.7794,1.8379,1.7,1.8354,0.13,
2020-02-19,195511.12,1.8354,1.8818,1.6026,1.6439,0.11,
2020-02-20,135419.96,1.6439,1.6643,1.5301,1.5792,0.08,56.37
2020-02-21,231246.65,1.5636,1.6234,1.473,1.512,0.06,50.86
2020-02-22,219859.6,1.509,1.5212,1.3821,1.4184,0.03,37.78
2020-02-23,467493.56,1.4235,1.65,1.4111,1.6197,0.03,35.05
2020-02-24,303944.1,1.6157,1.6443,1.4126,1.536,0.01,30.75
2020-02-25,149743.84,1.5296,1.5395,1.3061,1.3253,-0.01,27.28
2020-02-26,1361094.76,1.3243,1.6,1.1465,1.3283,-0.03,28.91
2020-02-27,743496.07,1.3279,1.51,1.2256,1.2792,-0.05,31.59
2020-02-28,279081.28,1.2709,1.3758,1.2364,1.3082,-0.06,26.71
2020-02-29,183072.29,1.307,1.4045,1.2633,1.276,-0.07,27.99
2020-03-01,303689.76,1.276,1.4098,1.276,1.3578,-0.08,29.45
2020-03-02,401389.84,1.3575,1.525,1.3145,1.3994,-0.07,34.22
2020-03-03,254224.11,1.4011,1.404,1.3353,1.358,-0.07,29.95
2020-03-04,120578.3,1.3581,1.3758,1.3131,1.3449,-0.07,35.23
2020-03-05,203419.42,1.3421,1.4225,1.34,1.39,-0.07,40.47
2020-03-06,323133.33,1.39,1.4875,1.3821,1.4711,-0.06,47.97
2020-03-07,291125.18,1.4708,1.4708,1.3392,1.3766,-0.06,47.93
2020-03-08,304332.51,1.3762,1.3763,1.1371,1.1407,-0.07,27.02
2020-03-09,233437.57,1.152,1.1895,1.0394,1.1207,-0.09,28.78
2020-03-10,322987.23,1.1224,1.293,1.1224,1.2306,-0.09,44.61
2020-03-11,291796.2,1.2306,1.2692,1.1415,1.2012,-0.09,42.97
2020-03-12,661700.16,1.196,1.2052,0.61,0.6654,-0.14,27.93
2020-03-13,497902.62,0.6656,0.8829,0.5104,0.8255,-0.16,34.14
2020-03-14,193971.53,0.8172,0.8635,0.7334,0.762,-0.17,33.45
2020-03-15,336129.53,0.7535,0.9242,0.7535,0.8522,-0.18,33.81
2020-03-16,316605.2,0.8522,0.8952,0.7,0.8017,-0.19,30.97
2020-03-17,418835.42,0.8017,0.9802,0.7968,0.9584,-0.18,38.15
2020-03-18,743114.08,0.9584,1.0699,0.9232,1.0633,-0.16,42.08
2020-03-19,514586.51,1.0655,1.2248,1.0013,1.1415,-0.14,43.14
2020-03-20,439267.39,1.1472,1.2302,0.9504,1.07,-0.12,38.87
2020-03-21,377071.75,1.0584,1.1253,1.002,1.0344,-0.11,40.18
2020-03-22,216057.92,1.0265,1.0954,0.938,0.9545,-0.11,44.13
2020-03-23,177114.61,0.9499,1.07,0.9333,1.0411,-0.1,47.59
2020-03-24,140985.58,1.0413,1.0736,0.9917,1.0535,-0.09,44.31
2020-03-25,122868.01,1.0516,1.0751,0.9913,1.0206,-0.09,44.21
2020-03-26,93466.4,1.0206,1.0294,0.9851,1.0181,-0.08,67.2
2020-03-27,54103.56,1.0245,1.048,0.9851,0.9982,-0.08,59.75
2020-03-28,117901.07,0.9935,0.9935,0.9527,0.9814,-0.08,63.08
2020-03-29,93399.83,0.9812,0.9812,0.8939,0.9016,-0.08,52.98
2020-03-30,117856.17,0.9028,0.9834,0.9001,0.9543,-0.08,59.19
2020-03-31,71666.81,0.9531,0.9903,0.9473,0.9631,-0.07,50.34
2020-04-01,80414.03,0.9631,0.9777,0.9253,0.9772,-0.07,42.72
2020-04-02,154156.8,0.9786,1.0395,0.9541,0.9861,-0.06,35.13
2020-04-03,78521.45,0.9893,1.0267,0.97,0.9769,-0.06,39.88
2020-04-04,60036.51,0.9787,0.9973,0.9619,0.9845,-0.06,44.23
2020-04-05,48317.47,0.9845,0.9867,0.965,0.9787,-0.05,53.38
2020-04-06,109429.84,0.9787,1.0463,0.9787,1.0408,-0.04,49.96
2020-04-07,219863.57,1.0408,1.1128,1.0135,1.0337,-0.04,46.98
2020-04-08,50207.49,1.037,1.0737,1.0333,1.05,-0.03,54.72
2020-04-09,83513.65,1.0481,1.06,1.019,1.0432,-0.02,53.97
2020-04-10,136840.0,1.045,1.0472,0.9439,0.9742,-0.03,46.71
2020-04-11,56348.92,0.9732,0.9899,0.9596,0.971,-0.03,48.52
2020-04-12,80389.52,0.971,1.0119,0.9555,0.9811,-0.03,64.11
2020-04-13,104240.23,0.9811,0.9823,0.9368,0.9686,-0.03,52.96
2020-04-14,101628.07,0.9692,1.0313,0.9596,1.0071,-0.02,58.11
2020-04-15,469173.15,1.0004,1.22,0.9992,1.0191,-0.02,57.79
2020-04-16,257173.61,1.0189,1.0747,0.9788,1.0497,-0.01,60.94
2020-04-17,90179.67,1.0452,1.059,1.0214,1.0461,-0.01,62.13
2020-04-18,97877.11,1.0451,1.0785,1.0451,1.0635,-0.01,63.39
2020-04-19,80114.53,1.0677,1.0702,1.0189,1.0389,-0.0,59.59
2020-04-20,186353.28,1.0389,1.0614,0.9781,0.9982,-0.01,42.72
2020-04-21,223450.41,1.0012,1.06,0.9345,0.9789,-0.01,41.0
2020-04-22,77687.11,0.9789,1.0264,0.9742,1.0243,-0.01,46.15
2020-04-23,183678.05,1.0243,1.0583,0.9277,1.0313,-0.01,48.22
2020-04-24,133711.4,1.0313,1.0519,1.0203,1.0477,-0.0,63.06
2020-04-25,85840.42,1.0471,1.0725,1.0441,1.0537,0.0,64.55
2020-04-26,97670.31,1.0469,1.0688,0.9299,1.0688,0.0,65.17
2020-04-27,432985.71,1.0688,1.1762,1.047,1.1709,0.01,76.71
2020-04-28,630764.29,1.1709,1.3345,1.118,1.2759,0.03,80.19
2020-04-29,563457.61,1.2685,1.3137,1.237,1.2925,0.04,80.39
2020-04-30,401545.27,1.2861,1.381,1.2,1.2095,0.05,65.91
2020-05-01,138866.65,1.2093,1.2876,1.2057,1.2292,0.05,67.66
2020-05-02,197518.81,1.2292,1.2944,1.2231,1.2817,0.06,69.71
2020-05-03,144323.56,1.2815,1.2997,1.2139,1.2345,0.06,66.98
2020-05-04,71069.16,1.2258,1.2323,1.1731,1.2246,0.06,70.76
2020-05-05,65560.91,1.2248,1.235,1.19,1.2182,0.06,72.48
2020-05-06,62083.02,1.2182,1.235,1.2,1.2001,0.05,67.41
2020-05-07,68514.39,1.2001,1.2276,1.1801,1.2078,0.05,67.45
2020-05-08,120572.98,1.2143,1.2435,1.1915,1.2402,0.05,68.45
2020-05-09,86578.91,1.2403,1.26,1.1934,1.1999,0.05,63.15
2020-05-10,235880.18,1.1934,1.229,1.03,1.0821,0.03,51.01
2020-05-11,75514.81,1.0756,1.11,1.0,1.0451,0.02,39.4
2020-05-12,99039.28,1.0453,1.094,1.0415,1.0858,0.01,32.04
2020-05-13,176417.57,1.0846,1.1793,1.0809,1.1551,0.01,38.2
