date,volume,open,high,low,close,MACD,RSI
2017-12-13,9565.16019,272.0,330.0,260.0,290.01,0.0,
2017-12-14,9631.98382,290.01,302.72,252.0,272.4,-1.4,
2017-12-15,16579.78235,272.4,314.21,239.99,294.0,-0.77,
2017-12-16,9102.10005,294.0,305.0,285.0,293.97,-0.26,
2017-12-17,14682.26118,293.01,328.8,290.0,311.4,1.53,
2017-12-18,17210.06137,311.23,360.96,277.0,352.0,6.15,
2017-12-19,23190.32542,352.0,366.96,303.01,338.48,8.63,
2017-12-20,31586.76711,336.05,357.0,260.0,302.7,7.61,
2017-12-21,26212.1583,303.8,325.16,267.01,302.0,6.68,
2017-12-22,81233.42425,303.0,315.0,177.58,250.99,1.8,
2017-12-23,38709.14008,250.99,301.52,214.91,253.44,-1.85,
2017-12-24,33435.37202,253.44,277.0,220.03,262.9,-3.93,
2017-12-25,24415.6917,262.9,277.5,251.4,261.2,-5.66,
2017-12-26,21987.89021,261.17,282.82,258.0,277.98,-5.6,
2017-12-27,25036.78582,277.98,284.34,245.29,262.59,-6.72,44.38
2017-12-28,34832.27138,262.61,266.7,222.03,244.68,-8.95,44.33
2017-12-29,34985.03167,244.68,261.0,233.97,238.27,-11.11,37.84
2017-12-30,52930.1782,238.27,244.0,193.2,206.03,-15.25,33.18
2017-12-31,29739.10081,206.11,234.37,202.98,223.69,-16.9,33.24
2018-01-01,20221.253,223.69,231.19,212.74,222.61,-18.1,20.87
2018-01-02,63293.12934,222.62,256.49,222.62,247.33,-16.85,30.46
2018-01-03,71369.27484,247.33,253.4,233.56,238.77,-16.37,34.49
2018-01-04,78182.30493,238.89,240.0,219.38,233.0,-16.26,33.66
2018-01-05,65010.14465,233.04,250.99,230.0,240.54,-15.39,46.88
2018-01-06,100812.2137,240.95,315.0,238.73,275.28,-11.77,55.46
2018-01-07,43811.61108,276.24,287.0,262.0,269.01,-9.29,51.55
2018-01-08,76256.97086,269.01,271.82,212.74,252.65,-8.55,47.98
2018-01-09,53921.90417,252.49,257.64,228.24,244.48,-8.52,41.74
2018-01-10,70931.30085,244.56,248.99,225.05,247.63,-8.15,46.08
2018-01-11,83842.47294,247.63,252.27,195.03,223.77,-9.67,44.68
2018-01-12,45676.80703,223.76,240.45,213.01,233.11,-10.01,48.71
2018-01-13,42811.12858,233.11,263.99,232.54,257.98,-8.18,63.52
2018-01-14,62203.40257,257.98,271.64,222.0,234.12,-8.55,52.63
2018-01-15,35755.94861,234.26,242.31,227.6,229.5,-9.11,51.71
2018-01-16,150044.07322,229.5,242.0,135.67,179.28,-13.46,35.03
2018-01-17,155640.00921,179.28,198.89,136.2,182.44,-16.46,37.31
2018-01-18,98372.75595,183.45,202.19,170.5,186.14,-18.32,39.34
2018-01-19,59369.45319,186.21,199.0,176.04,191.42,-19.15,38.71
2018-01-20,59162.64755,191.44,215.0,190.67,210.4,-18.07,33.93
2018-01-21,64817.00761,210.05,210.69,180.0,190.16,-18.63,31.73
2018-01-22,60376.3605,190.52,195.0,163.44,178.0,-19.83,32.36
2018-01-23,49510.38638,178.0,186.42,163.02,176.98,-20.63,33.49
2018-01-24,43298.498,176.94,186.3,171.58,180.89,-20.7,33.74
2018-01-25,39819.99079,180.83,186.0,175.58,179.59,-20.63,37.91
2018-01-26,49473.65655,179.0,183.06,165.0,177.09,-20.54,34.07
2018-01-27,31424.8731,175.73,184.0,173.0,182.1,-19.83,25.67
2018-01-28,47275.56346,182.11,198.0,181.7,196.74,-17.88,37.26
2018-01-29,36900.24385,196.74,197.19,180.01,181.5,-17.37,34.75
2018-01-30,56599.48048,181.51,181.96,160.59,168.21,-17.83,45.4
2018-01-31,37253.63137,168.1,169.31,157.5,165.19,-18.22,42.83
2018-02-01,64818.91744,164.83,167.2,132.0,143.69,-20.04,34.63
2018-02-02,124193.03592,144.04,147.0,108.52,131.68,-22.2,29.37
2018-02-03,143242.70975,131.99,166.99,120.06,160.3,-21.35,33.78
2018-02-04,300059.19271,160.86,174.75,138.0,147.09,-21.5,35.39
2018-02-05,299970.42074,147.29,153.96,116.6,125.17,-23.12,33.2
2018-02-06,393108.7479,125.17,147.0,106.5,141.0,-22.86,39.54
2018-02-07,178588.57054,140.96,157.0,130.01,137.21,-22.7,37.29
2018-02-08,3877.47235,137.97,143.5,137.2,142.37,-21.9,39.41
2018-02-09,65205.08736,142.37,164.4,142.37,163.73,-19.32,46.57
2018-02-10,133107.16189,163.74,169.0,146.01,154.65,-17.81,43.09
2018-02-11,90638.82249,154.62,156.1,139.0,148.28,-16.93,37.27
2018-02-12,92515.29686,148.28,163.75,146.04,161.49,-14.99,44.69
2018-02-13,76565.21628,161.55,162.95,152.0,159.63,-13.45,47.58
2018-02-14,734010.6511,159.45,218.6,158.94,212.25,-7.89,60.39
2018-02-15,676400.69461,212.25,236.66,206.5,220.64,-2.78,68.03
2018-02-16,408040.45123,220.64,235.58,208.56,228.08,1.85,73.08
2018-02-17,190064.55131,228.0,232.2,222.78,228.0,5.46,68.77
2018-02-18,302164.90588,228.08,231.39,210.1,213.66,7.07,68.34
2018-02-19,171716.19683,213.23,226.5,196.0,221.44,8.88,78.77
2018-02-20,534334.84146,221.44,254.8,221.0,228.51,10.75,77.6
2018-02-21,493443.00002,228.5,233.53,203.12,209.6,10.59,70.84
2018-02-22,396496.5489,209.6,222.0,188.0,192.61,8.99,63.54
2018-02-23,427034.15419,192.69,216.28,182.0,206.4,8.74,61.99
2018-02-24,326443.09261,206.38,219.0,192.3,206.5,8.44,65.34
2018-02-25,314689.26189,206.69,223.17,198.94,217.78,9.02,69.99
2018-02-26,408480.12476,218.16,232.3,214.43,218.5,9.42,67.66
2018-02-27,248945.78729,218.25,224.36,211.8,214.6,9.32,66.82
2018-02-28,185588.08799,214.94,223.71,201.5,201.86,8.12,45.79
2018-03-01,121521.21293,201.86,215.0,200.2,209.17,7.67,45.32
2018-03-02,89853.18198,209.14,214.47,203.43,212.8,7.51,43.56
2018-03-03,120120.98049,212.8,218.39,208.0,210.04,7.09,42.6
2018-03-04,67079.9353,210.0,215.34,204.5,213.19,6.93,49.79
2018-03-05,71680.40092,213.19,217.0,208.17,210.14,6.48,44.64
2018-03-06,130006.53725,210.03,210.49,191.31,196.24,4.94,35.62
2018-03-07,229372.21016,196.2,199.28,173.08,185.25,2.81,38.33
2018-03-08,160132.53652,185.33,187.5,173.69,175.24,0.31,41.08
2018-03-09,308773.92425,175.06,190.0,157.68,185.79,-0.82,39.05
2018-03-10,187043.85418,185.88,194.99,174.48,176.74,-2.41,35.56
2018-03-11,197705.66569,176.85,194.0,169.85,188.16,-2.72,35.65
2018-03-12,142835.10745,188.16,192.88,173.58,177.8,-3.76,31.96
2018-03-13,115964.95615,177.8,182.9,170.51,175.01,-4.75,32.28
2018-03-14,151320.17882,175.38,177.52,156.5,160.15,-6.66,31.68
2018-03-15,207428.04449,160.0,167.7,149.55,164.0,-7.77,29.54
2018-03-16,113818.45328,164.0,171.6,157.5,164.1,-8.55,27.21
2018-03-17,105128.93202,164.12,165.96,150.2,151.75,-10.04,24.97
2018-03-18,241693.69755,151.7,158.0,136.86,153.5,-10.96,24.05
2018-03-19,171855.32008,153.59,163.88,150.66,161.2,-10.94,29.55
2018-03-20,125783.56494,161.18,174.0,155.41,168.24,-10.24,37.59
2018-03-21,110902.81246,168.5,175.88,165.22,168.54,-9.55,41.82
2018-03-22,100604.62741,168.43,172.64,159.51,163.65,-9.29,44.03
2018-03-23,80739.90111,163.65,169.5,156.13,168.66,-8.58,40.64
2018-03-24,73773.75243,168.97,169.74,157.73,158.92,-8.7,40.33
2018-03-25,46203.18669,158.81,162.89,156.75,160.01,-8.61,32.8
2018-03-26,99508.29226,160.0,161.06,141.56,147.83,-9.42,32.09
2018-03-27,103463.3891,147.71,149.34,134.4,135.0,-10.96,28.65
2018-03-28,83839.85944,135.0,139.75,130.1,131.22,-12.35,32.49
2018-03-29,187392.76989,131.31,132.6,112.51,114.7,-14.61,24.13
2018-03-30,252079.1424,114.55,126.45,109.77,118.35,-15.93,26.85
2018-03-31,128237.7884,118.1,124.28,115.26,116.05,-16.96,29.89
2018-04-01,113209.88408,116.05,118.38,109.03,114.74,-17.68,28.06
2018-04-02,91168.44423,114.97,121.71,113.54,119.05,-17.7,25.19
2018-04-03,139283.4273,119.03,137.25,118.0,134.04,-16.32,31.59
2018-04-04,168974.9795,133.82,134.77,115.2,118.07,-16.33,26.76
2018-04-05,125611.59831,118.01,122.5,113.63,118.26,-16.13,28.15
2018-04-06,83137.97172,118.41,120.15,111.31,112.79,-16.23,23.22
2018-04-07,73178.28817,112.7,119.72,112.19,115.8,-15.88,27.91
2018-04-08,42540.37579,115.8,118.49,115.34,117.55,-15.28,28.39
2018-04-09,98639.79044,117.8,122.99,112.48,114.79,-14.87,31.4
2018-04-10,54554.53212,114.62,115.26,111.25,114.25,-14.41,36.45
2018-04-11,62636.41007,114.25,119.59,112.92,118.4,-13.56,41.67
2018-04-12,232191.22828,118.4,130.9,112.92,129.67,-11.84,60.44
2018-04-13,187842.6214,129.62,133.98,123.55,125.1,-10.72,54.65
2018-04-14,77108.42942,125.28,129.71,124.0,126.4,-9.62,57.23
2018-04-15,61105.32594,126.4,132.99,126.4,132.45,-8.16,61.6
2018-04-16,86544.7505,132.45,133.49,124.88,128.96,-7.21,56.56
2018-04-17,165601.88021,128.76,140.5,128.73,132.09,-6.13,48.47
2018-04-18,100942.78845,132.1,141.43,131.5,140.36,-4.55,69.92
2018-04-19,97431.94319,140.36,147.48,138.51,146.71,-2.76,72.9
2018-04-20,139102.83366,146.5,156.49,142.62,155.71,-0.6,82.69
2018-04-21,150940.43752,155.5,156.94,139.8,148.4,0.51,73.31
2018-04-22,84286.7952,148.38,153.14,144.26,146.38,1.21,70.53
2018-04-23,73891.75771,146.38,153.67,145.8,152.56,2.24,75.65
2018-04-24,172718.06809,152.57,166.29,152.44,164.78,4.0,79.62
2018-04-25,192757.19523,164.23,164.79,141.85,144.75,3.73,63.02
2018-04-26,98478.86456,144.74,154.84,142.0,153.19,4.15,61.96
2018-04-27,95174.33853,153.19,153.8,144.44,144.9,3.77,59.7
2018-04-28,80642.67696,145.66,153.74,144.49,152.1,4.01,61.9
2018-04-29,93443.5302,151.89,156.87,148.0,153.5,4.26,60.19
2018-04-30,92445.57179,153.51,154.9,147.0,148.37,4.0,59.25
2018-05-01,88367.51511,148.36,148.89,142.44,148.29,3.74,57.95
2018-05-02,76486.25106,148.28,153.76,146.21,151.58,3.76,55.79
2018-05-03,190732.67746,151.58,165.04,150.0,161.38,4.51,57.31
2018-05-04,175174.34128,161.17,172.1,157.1,169.44,5.69,56.9
2018-05-05,226947.81755,169.2,184.67,168.13,179.04,7.32,65.06
2018-05-06,198191.57381,178.86,184.98,164.8,172.32,7.98,62.19
2018-05-07,170523.83579,172.1,172.81,157.3,164.59,7.78,55.57
2018-05-08,113315.93625,164.52,168.66,155.05,158.89,7.09,47.1
2018-05-09,96837.57036,159.0,160.32,150.0,156.72,6.29,57.16
2018-05-10,87015.41914,156.75,160.9,147.22,148.16,4.91,47.0
2018-05-11,147425.60375,148.11,148.5,132.97,136.32,2.82,45.08
2018-05-12,91975.31387,136.32,144.47,130.32,141.57,1.58,43.83
2018-05-13,89476.86723,141.43,146.89,136.1,144.24,0.8,44.65
2018-05-14,171489.17098,144.19,152.95,134.19,147.42,0.43,49.44
2018-05-15,105112.90271,147.1,149.67,136.91,139.35,-0.5,45.17
2018-05-16,70852.18798,139.34,140.86,133.5,138.92,-1.26,42.95
2018-05-17,58209.5848,138.91,141.5,131.0,132.31,-2.37,33.21
2018-05-18,66556.79304,132.07,137.49,128.0,135.95,-2.93,29.62
