date,volume,open,high,low,close,MACD,RSI
2020-09-16,1904.07,10.0,10.18,9.673,10.083,0.0,
2020-09-17,1288.68,9.98,10.012,9.451,9.551,-0.04,
2020-09-18,1382.02,9.477,10.222,9.477,9.938,-0.04,
2020-09-19,237.93,9.814,9.982,9.502,9.786,-0.06,
2020-09-20,835.69,9.913,10.989,9.913,10.556,-0.01,
2020-09-21,3678.21,10.502,13.301,10.267,12.334,0.18,
2020-09-22,1974.35,12.5,12.659,11.595,11.84,0.28,
2020-09-23,5298.08,11.69,12.983,11.298,12.56,0.41,
2020-09-24,1873.9,12.686,12.905,11.261,11.425,0.42,
2020-09-25,2393.37,11.406,11.947,10.445,10.645,0.36,
2020-09-26,968.71,10.63,11.041,10.63,10.703,0.32,
2020-09-27,1792.59,10.589,11.663,10.362,10.905,0.29,
2020-09-28,2663.8,10.495,11.234,10.076,11.234,0.3,
2020-09-29,3718.74,11.175,11.416,10.859,10.973,0.28,
2020-09-30,3874.32,11.019,11.019,10.4,10.584,0.23,53.14
2020-10-01,4954.07,10.238,11.179,9.097,10.553,0.18,56.69
2020-10-02,2680.46,10.539,12.534,10.12,11.451,0.22,59.46
2020-10-03,660.38,11.549,11.549,10.785,10.975,0.2,57.14
2020-10-04,1204.95,10.975,11.171,10.055,10.174,0.13,47.71
2020-10-05,922.2,10.045,10.983,10.044,10.548,0.09,37.15
2020-10-06,2494.63,10.549,10.931,9.263,10.77,0.09,41.99
2020-10-07,1840.91,10.909,11.375,10.186,10.38,0.05,32.82
2020-10-08,2414.67,10.409,11.097,9.757,9.974,-0.02,37.08
2020-10-09,1183.66,10.072,10.294,9.29,9.481,-0.1,39.08
2020-10-10,5893.02,9.48,9.48,7.923,8.736,-0.23,33.65
2020-10-11,8483.1,8.61,8.61,7.589,7.901,-0.4,27.41
2020-10-12,10766.74,8.05,8.5,7.436,7.875,-0.52,23.54
2020-10-13,8992.33,7.851,8.772,7.851,8.25,-0.58,28.93
2020-10-14,9520.09,8.125,8.37,7.717,8.197,-0.63,30.51
2020-10-15,6486.06,8.219,8.508,8.097,8.309,-0.65,31.92
2020-10-16,22732.03,8.309,9.958,8.159,9.013,-0.6,29.72
2020-10-17,3388.43,9.125,9.653,8.953,9.432,-0.53,37.04
2020-10-18,1142.92,9.382,9.383,8.842,9.097,-0.49,40.19
2020-10-19,3469.41,9.185,9.452,8.569,8.794,-0.47,33.81
2020-10-20,4929.51,8.836,9.643,8.558,9.421,-0.41,38.42
2020-10-21,137205.72,9.426,9.426,5.689,6.25,-0.61,26.0
2020-10-22,128758.34,6.264,6.264,5.459,5.871,-0.78,26.08
2020-10-23,94493.47,5.985,6.128,5.342,5.678,-0.93,27.03
2020-10-24,71652.57,5.679,5.769,4.78,4.881,-1.1,26.86
2020-10-25,109131.33,4.913,5.444,4.721,4.972,-1.21,30.69
2020-10-26,74851.41,5.063,5.781,4.853,5.308,-1.25,33.74
2020-10-27,26378.29,5.243,5.411,4.77,5.06,-1.3,29.47
2020-10-28,96539.39,5.101,5.85,4.434,5.54,-1.28,33.79
2020-10-29,45623.43,5.634,6.18,5.415,5.849,-1.22,35.34
2020-10-30,75864.73,5.934,6.563,5.6,6.018,-1.15,30.94
2020-10-31,36279.83,6.07,6.093,5.286,5.535,-1.12,25.4
2020-11-01,24968.29,5.576,5.994,5.373,5.588,-1.08,27.03
2020-11-02,38285.28,5.491,6.309,5.22,6.076,-1.0,32.63
2020-11-03,44901.58,6.08,6.873,5.947,6.075,-0.92,26.76
2020-11-04,17716.11,6.077,6.705,5.676,5.904,-0.86,45.88
2020-11-05,77653.67,5.76,5.83,4.378,4.576,-0.92,37.42
2020-11-06,164539.67,4.604,4.706,3.725,3.788,-1.01,33.54
2020-11-07,100090.24,3.786,4.71,3.572,4.37,-1.02,45.38
2020-11-08,32104.39,4.395,4.424,3.749,3.954,-1.06,41.3
2020-11-09,61102.24,3.945,4.653,3.759,4.279,-1.05,41.19
2020-11-10,23596.28,4.373,4.74,4.236,4.542,-1.0,45.58
2020-11-11,10014.15,4.5,4.5,4.048,4.283,-0.98,38.85
2020-11-12,31087.93,4.345,4.632,4.004,4.004,-0.97,33.54
2020-11-13,228038.93,4.01,4.13,3.0,3.071,-1.03,26.86
2020-11-14,104048.54,3.071,3.5,3.035,3.17,-1.05,30.24
2020-11-15,21670.45,3.2,3.588,3.109,3.38,-1.05,32.03
2020-11-16,830925.14,3.407,3.442,1.973,2.037,-1.13,21.14
