date,volume,open,high,low,close,MACD,RSI
2020-09-16,6028.96,10.0,10.308,9.677,10.171,0.0,
2020-09-17,2429.07,10.3,10.669,9.9,10.442,0.02,
2020-09-18,3386.43,10.424,10.483,9.766,10.095,0.01,
2020-09-19,2121.39,10.198,10.47,10.011,10.306,0.02,
2020-09-20,6632.64,10.127,10.127,9.057,9.4,-0.05,
2020-09-21,4601.83,9.4,9.72,6.858,7.5,-0.25,
2020-09-22,5856.5,7.188,8.24,7.188,8.023,-0.36,
2020-09-23,5891.96,8.041,8.4,7.236,7.244,-0.51,
2020-09-24,2145.13,7.244,8.441,7.227,8.391,-0.53,
2020-09-25,11908.91,8.231,9.17,7.853,8.854,-0.5,
2020-09-26,24627.19,9.041,9.113,8.446,8.909,-0.47,
2020-09-27,13057.54,8.942,9.15,8.142,8.852,-0.44,
2020-09-28,22246.8,8.861,9.417,8.35,8.35,-0.46,
2020-09-29,4430.62,8.417,8.709,8.337,8.572,-0.45,
2020-09-30,3399.41,8.708,9.114,8.547,9.022,-0.4,42.67
2020-10-01,17980.19,9.017,10.106,8.493,8.92,-0.36,40.07
2020-10-02,13541.37,8.961,9.333,7.742,8.26,-0.38,38.5
2020-10-03,2825.72,8.23,8.761,8.22,8.593,-0.37,39.42
2020-10-04,5027.06,8.57,9.333,8.499,9.117,-0.31,48.17
2020-10-05,7497.39,9.173,9.335,8.646,8.992,-0.27,62.55
2020-10-06,8971.21,8.887,9.986,8.605,8.769,-0.25,56.61
2020-10-07,959.73,8.646,9.254,8.3,9.015,-0.22,67.33
2020-10-08,12586.29,8.955,9.569,8.474,9.365,-0.16,61.29
2020-10-09,9614.65,9.304,9.876,9.116,9.72,-0.09,60.3
2020-10-10,17356.63,9.718,11.066,9.666,10.19,0.01,63.87
2020-10-11,7869.42,10.304,11.5,10.19,11.082,0.16,70.44
2020-10-12,6555.49,11.003,11.56,10.473,11.14,0.28,77.84
2020-10-13,5727.97,11.077,11.082,10.193,10.757,0.34,71.13
2020-10-14,13662.14,10.901,11.322,10.455,10.729,0.38,67.97
2020-10-15,2422.2,10.685,10.923,10.233,10.47,0.38,65.8
2020-10-16,33288.59,10.491,10.653,8.599,9.597,0.31,63.06
2020-10-17,8423.62,9.454,9.553,8.9,9.054,0.21,54.33
2020-10-18,3558.28,9.134,9.666,9.134,9.458,0.16,53.27
2020-10-19,7954.17,9.502,9.938,9.18,9.721,0.14,56.82
2020-10-20,7975.21,9.656,9.96,8.914,9.122,0.08,53.08
2020-10-21,32639.24,9.194,13.347,9.194,12.35,0.29,69.16
2020-10-22,51039.63,12.474,14.013,12.474,13.016,0.5,70.24
2020-10-23,20938.45,12.859,14.353,12.35,13.55,0.7,70.82
2020-10-24,20036.15,13.472,15.737,13.163,15.468,1.0,74.78
2020-10-25,26988.19,15.403,15.896,14.033,15.263,1.21,70.99
2020-10-26,25387.77,14.928,15.537,12.931,14.095,1.27,63.35
2020-10-27,50936.84,14.428,15.439,13.8,14.598,1.34,67.16
2020-10-28,49006.97,14.709,16.35,12.672,13.423,1.29,60.92
2020-10-29,20627.32,13.32,13.764,11.803,12.767,1.18,59.02
2020-10-30,36742.79,12.655,13.286,11.353,12.161,1.03,60.28
2020-10-31,22044.38,12.131,13.394,11.99,13.025,0.97,65.53
2020-11-01,10054.47,12.97,13.244,12.212,12.877,0.9,63.64
2020-11-02,15940.91,12.951,13.468,11.66,12.087,0.78,59.06
2020-11-03,12437.55,11.99,12.349,10.861,12.095,0.67,61.92
2020-11-04,22627.46,12.11,12.655,11.04,12.434,0.61,50.44
2020-11-05,38106.86,12.508,14.872,12.508,14.569,0.72,57.03
2020-11-06,25698.86,14.576,16.673,14.403,16.649,0.96,62.3
2020-11-07,35429.75,16.513,17.176,13.6,14.434,0.97,45.99
2020-11-08,29422.0,14.338,15.888,14.267,15.4,1.04,50.5
2020-11-09,17353.72,15.494,15.752,13.659,14.589,1.02,51.86
2020-11-10,9984.5,14.381,14.74,13.42,13.9,0.93,47.41
2020-11-11,9893.85,13.829,15.151,13.827,14.526,0.91,54.26
2020-11-12,11486.2,14.469,15.2,13.849,15.2,0.93,59.39
2020-11-13,39729.72,15.206,18.061,15.128,17.559,1.13,68.36
2020-11-14,18629.41,17.79,17.8,15.247,16.405,1.17,61.27
2020-11-15,14919.63,16.482,16.832,14.95,15.642,1.14,58.86
2020-11-16,59800.83,15.526,22.349,15.525,21.911,1.6,73.29
2020-11-17,52025.64,21.798,23.9,20.363,23.38,2.05,75.02
2020-11-18,49876.45,23.376,24.051,18.092,21.795,2.26,69.67
2020-11-19,56687.26,21.649,27.831,20.4,26.629,2.79,72.76
2020-11-20,92992.75,26.842,29.184,25.61,27.25,3.22,71.17
2020-11-21,69922.92,27.47,31.394,25.7,30.5,3.77,80.81
2020-11-22,49308.27,30.503,31.0,24.117,27.341,3.92,71.12
2020-11-23,46741.62,27.415,32.837,26.231,31.429,4.31,76.7
2020-11-24,333386.52,31.322,34.7,28.262,30.638,4.5,76.45
2020-11-25,100158.57,30.637,32.107,22.412,24.932,4.15,64.17
2020-11-26,214519.17,24.787,25.731,12.1,17.516,3.24,52.66
2020-11-27,60172.26,17.73,19.267,14.731,16.731,2.42,49.01
2020-11-28,227201.3,16.779,19.791,16.258,17.891,1.84,51.77
2020-11-29,89771.04,17.904,22.5,17.294,20.924,1.61,55.98
2020-11-30,220742.27,21.074,26.467,19.56,25.825,1.81,54.57
2020-12-01,316011.77,25.907,28.607,20.37,22.732,1.69,49.27
2020-12-02,110216.44,22.684,26.428,21.092,25.22,1.78,53.78
2020-12-03,154264.82,25.201,27.33,22.623,25.225,1.83,48.27
2020-12-04,145003.05,25.126,25.824,15.524,16.99,1.19,39.34
2020-12-05,85657.93,16.946,20.612,16.315,19.742,0.89,38.7
2020-12-06,87682.28,19.819,21.318,17.648,20.118,0.68,41.94
2020-12-07,220132.88,20.288,22.392,18.271,19.632,0.47,35.69
2020-12-08,241953.93,19.632,20.64,14.518,15.1,-0.06,32.72
