date,volume,open,high,low,close,MACD,RSI
2020-08-21,2884153.28,0.5397,0.5397,0.401,0.4314,0.0,
2020-08-22,4198278.44,0.4317,0.4987,0.412,0.4712,0.0,
2020-08-23,10755011.03,0.469,0.494,0.4523,0.4821,0.01,
2020-08-24,2243774.75,0.4821,0.5334,0.4792,0.5315,0.01,
2020-08-25,2608675.14,0.5323,0.5324,0.4478,0.4619,0.01,
2020-08-26,1831323.23,0.4619,0.4983,0.4603,0.498,0.01,
2020-08-27,3018123.53,0.4983,0.5182,0.4701,0.5046,0.02,
2020-08-28,3694034.11,0.5033,0.57,0.5017,0.5662,0.02,
2020-08-29,2172028.16,0.5662,0.5691,0.5165,0.538,0.03,
2020-08-30,2697793.49,0.538,0.563,0.5222,0.5326,0.03,
2020-08-31,2704706.1,0.5333,0.535,0.5078,0.5097,0.03,
2020-09-01,3953475.68,0.5105,0.5106,0.4745,0.4808,0.02,
2020-09-02,3695631.01,0.4806,0.4814,0.4185,0.4428,0.02,
2020-09-03,4072613.69,0.4428,0.45,0.37,0.3778,0.01,
2020-09-04,3338968.01,0.3748,0.3813,0.3598,0.3685,-0.0,43.33
2020-09-05,2996620.05,0.3689,0.3777,0.3183,0.3264,-0.01,34.73
2020-09-06,3122558.17,0.3261,0.3363,0.3104,0.3325,-0.02,34.06
2020-09-07,2699267.69,0.3325,0.3378,0.3071,0.3257,-0.03,25.88
2020-09-08,2027110.78,0.3258,0.3287,0.3078,0.3165,-0.03,30.15
2020-09-09,1831995.91,0.3162,0.3291,0.3084,0.3167,-0.04,22.56
2020-09-10,4329407.69,0.3167,0.3868,0.3163,0.3498,-0.03,28.31
2020-09-11,4030025.95,0.3497,0.357,0.3141,0.3384,-0.04,12.85
2020-09-12,5214097.92,0.3383,0.3391,0.318,0.3294,-0.04,13.71
2020-09-13,3657468.6,0.3291,0.3483,0.3001,0.3088,-0.04,13.02
2020-09-14,1786079.78,0.3087,0.3247,0.3061,0.3194,-0.04,17.22
2020-09-15,6603185.34,0.3193,0.355,0.3053,0.335,-0.04,23.68
2020-09-16,6922022.93,0.3345,0.3612,0.3183,0.3206,-0.04,25.89
2020-09-17,4116296.53,0.3202,0.3309,0.31,0.3119,-0.04,33.28
2020-09-18,4156463.87,0.3116,0.3307,0.3089,0.3196,-0.03,37.49
2020-09-19,1752924.5,0.3196,0.3226,0.3058,0.3179,-0.03,47.26
2020-09-20,1619967.79,0.3175,0.325,0.3028,0.3094,-0.03,42.67
2020-09-21,2278558.04,0.3093,0.3161,0.288,0.2884,-0.03,39.14
2020-09-22,1095021.61,0.2891,0.3041,0.2881,0.3003,-0.03,45.36
2020-09-23,640287.05,0.3005,0.3038,0.2899,0.2909,-0.03,42.97
2020-09-24,1367873.82,0.2909,0.3036,0.2879,0.3029,-0.03,35.57
2020-09-25,4969756.62,0.3034,0.3411,0.2898,0.324,-0.03,45.82
2020-09-26,1556314.86,0.324,0.33,0.31,0.3154,-0.03,45.93
2020-09-27,789126.33,0.3148,0.3184,0.3093,0.3133,-0.02,51.47
2020-09-28,2509797.04,0.3134,0.3499,0.3134,0.3223,-0.02,50.96
2020-09-29,3732916.57,0.3221,0.3579,0.3218,0.3344,-0.02,49.8
2020-09-30,1845947.92,0.3347,0.3427,0.327,0.3348,-0.02,55.29
2020-10-01,1894328.22,0.3346,0.3402,0.3098,0.3174,-0.02,51.92
2020-10-02,3217498.12,0.3174,0.3395,0.2894,0.3289,-0.01,53.17
2020-10-03,2381038.29,0.3288,0.3324,0.3083,0.3101,-0.01,47.62
2020-10-04,644186.76,0.31,0.3111,0.2997,0.3013,-0.01,47.53
2020-10-05,2472714.84,0.301,0.3288,0.3002,0.3107,-0.01,57.31
2020-10-06,1394959.67,0.3107,0.3208,0.2911,0.2941,-0.01,48.03
2020-10-07,752055.15,0.294,0.3045,0.287,0.304,-0.01,54.15
2020-10-08,926544.36,0.3041,0.305,0.2929,0.301,-0.01,49.36
2020-10-09,1188578.23,0.301,0.3193,0.301,0.3183,-0.01,48.03
2020-10-10,1966877.33,0.3184,0.3206,0.3,0.3082,-0.01,47.54
2020-10-11,2032821.5,0.3081,0.338,0.3024,0.322,-0.01,52.75
2020-10-12,1291992.77,0.322,0.3331,0.3114,0.3274,-0.01,51.65
2020-10-13,1348979.58,0.3274,0.3395,0.3114,0.3171,-0.01,44.34
2020-10-14,2236569.81,0.317,0.3358,0.3166,0.3201,-0.01,45.27
2020-10-15,1271434.55,0.3201,0.3286,0.316,0.3249,-0.0,52.63
2020-10-16,1259728.41,0.3249,0.3255,0.3074,0.319,-0.0,46.39
2020-10-17,397370.78,0.3187,0.3187,0.314,0.3178,-0.0,53.22
2020-10-18,306103.84,0.3174,0.3191,0.3116,0.3133,-0.0,55.21
2020-10-19,1915930.79,0.3133,0.3305,0.3092,0.3206,-0.0,54.38
2020-10-20,968751.85,0.3205,0.3207,0.3072,0.3094,-0.0,57.1
2020-10-21,679283.88,0.3094,0.3191,0.3074,0.3127,-0.0,54.3
2020-10-22,645897.3,0.3128,0.3179,0.3104,0.3151,-0.0,57.01
2020-10-23,2117258.24,0.315,0.33,0.3112,0.3163,-0.0,48.82
2020-10-24,777736.2,0.3163,0.3212,0.3097,0.3118,-0.0,52.28
2020-10-25,434541.7,0.3115,0.3131,0.3059,0.3081,-0.0,39.88
2020-10-26,1213067.17,0.3076,0.3206,0.2997,0.3047,-0.0,32.98
2020-10-27,1476239.72,0.3044,0.3205,0.3036,0.31,-0.0,44.25
2020-10-28,2925330.02,0.31,0.321,0.304,0.3089,-0.0,40.64
2020-10-29,676085.17,0.3089,0.3122,0.2999,0.3015,-0.0,31.25
2020-10-30,1104291.46,0.3014,0.31,0.2996,0.3042,-0.0,37.5
2020-10-31,562474.79,0.3037,0.3105,0.3027,0.3032,-0.0,37.63
2020-11-01,758515.79,0.3031,0.3043,0.298,0.3003,-0.01,38.68
2020-11-02,1667622.87,0.3005,0.3025,0.2848,0.2866,-0.01,23.35
2020-11-03,1497226.78,0.2865,0.2913,0.2733,0.2906,-0.01,33.39
2020-11-04,640882.18,0.2907,0.2913,0.2786,0.2846,-0.01,26.31
2020-11-05,823299.06,0.2849,0.295,0.2806,0.2949,-0.01,34.97
2020-11-06,1347519.31,0.2953,0.308,0.294,0.3063,-0.01,43.54
2020-11-07,2031776.21,0.3063,0.3133,0.2899,0.2912,-0.01,38.3
2020-11-08,869000.14,0.2912,0.3081,0.291,0.3036,-0.01,47.67
2020-11-09,1076793.68,0.3035,0.3062,0.2962,0.2978,-0.01,46.52
2020-11-10,1570244.75,0.2976,0.3114,0.2935,0.3086,-0.0,49.33
2020-11-11,4945725.94,0.3088,0.336,0.3085,0.3202,-0.0,54.91
2020-11-12,5465476.04,0.3207,0.3275,0.3079,0.3173,-0.0,57.14
2020-11-13,2070467.38,0.3172,0.3285,0.3145,0.3193,0.0,56.87
2020-11-14,1851722.89,0.3193,0.3203,0.3033,0.3053,-0.0,50.85
2020-11-15,3450601.75,0.3053,0.3124,0.2944,0.3078,-0.0,53.06
