date,volume,open,high,low,close,MACD,RSI
2022-12-12,75943427.8,0.3821,1.0333,0.3821,0.7649,0.0,
2022-12-13,24238337.2,0.7649,0.8549,0.6785,0.705,-0.0,
2022-12-14,10661464.6,0.705,0.7259,0.5645,0.6012,-0.02,
2022-12-15,7434197.5,0.601,0.6499,0.5776,0.5845,-0.03,
2022-12-16,25589528.5,0.5843,0.7359,0.5366,0.561,-0.04,
2022-12-17,7992523.8,0.5598,0.611,0.5305,0.5668,-0.04,
2022-12-18,17905648.6,0.567,0.6989,0.5583,0.6562,-0.04,
2022-12-19,8505813.7,0.6571,0.7043,0.5794,0.5975,-0.04,
2022-12-20,16189935.1,0.5974,0.7233,0.595,0.682,-0.04,
2022-12-21,5648471.9,0.6818,0.695,0.635,0.6503,-0.04,
2022-12-22,5540587.8,0.6499,0.65,0.57,0.6156,-0.04,
2022-12-23,4007177.8,0.6151,0.6349,0.5848,0.5919,-0.04,
2022-12-24,1940813.3,0.592,0.6075,0.5818,0.5843,-0.04,
2022-12-25,3601256.4,0.5839,0.6151,0.5761,0.5795,-0.04,
2022-12-26,2818298.6,0.5788,0.5983,0.5589,0.5602,-0.04,31.86
2022-12-27,2890688.9,0.5607,0.5713,0.535,0.5456,-0.05,34.64
2022-12-28,3594569.5,0.5456,0.5462,0.4724,0.4884,-0.05,38.06
2022-12-29,3253958.6,0.4883,0.4992,0.464,0.4664,-0.06,37.63
2022-12-30,13959343.1,0.4667,0.5898,0.454,0.5305,-0.06,47.06
2022-12-31,4013546.0,0.531,0.5461,0.4822,0.4914,-0.06,43.16
2023-01-01,5030913.3,0.4915,0.5355,0.4811,0.5172,-0.06,35.75
2023-01-02,3985653.7,0.5173,0.54,0.505,0.5146,-0.05,40.4
2023-01-03,3462759.3,0.5135,0.5157,0.4866,0.4931,-0.05,24.38
2023-01-04,3924565.6,0.4928,0.525,0.49,0.5137,-0.05,30.9
2023-01-05,2218974.5,0.5138,0.52,0.482,0.4899,-0.05,31.87
2023-01-06,2444985.3,0.49,0.4968,0.4678,0.476,-0.05,32.8
2023-01-07,3376407.1,0.4766,0.5061,0.4692,0.4855,-0.05,35.42
2023-01-08,3045413.3,0.4855,0.5109,0.4787,0.5101,-0.05,40.32
2023-01-09,13636143.2,0.51,0.5939,0.5073,0.5287,-0.04,45.6
2023-01-10,6094212.0,0.5271,0.571,0.518,0.5563,-0.04,51.44
2023-01-11,7253235.9,0.5567,0.59,0.5225,0.5554,-0.03,60.65
2023-01-12,6628406.1,0.5553,0.575,0.524,0.5686,-0.02,66.71
2023-01-13,20803034.0,0.5684,0.7495,0.5581,0.6884,-0.01,71.84
2023-01-14,21276488.7,0.6884,0.844,0.68,0.736,0.0,83.05
2023-01-15,8416040.5,0.7331,0.7749,0.6656,0.7052,0.01,75.07
2023-01-16,8359226.3,0.7052,0.7549,0.679,0.7307,0.02,77.16
2023-01-17,14795215.9,0.7317,0.89,0.7138,0.7817,0.03,83.76
2023-01-18,7536205.7,0.7817,0.7918,0.6537,0.672,0.03,65.32
2023-01-19,4440724.6,0.672,0.7423,0.6698,0.7262,0.04,71.6
2023-01-20,20385215.9,0.7256,1.0154,0.7115,0.945,0.06,81.19
2023-01-21,28314598.7,0.9453,1.2044,0.8872,1.0556,0.08,83.42
2023-01-22,39020315.3,1.055,1.4,1.0346,1.1249,0.1,84.25
2023-01-23,39098082.0,1.1237,1.4355,1.0819,1.2335,0.13,85.68
2023-01-24,20103040.9,1.2337,1.358,1.1002,1.1627,0.14,79.41
2023-01-25,38745381.5,1.1627,1.2704,1.0718,1.208,0.15,80.35
2023-01-26,75807622.9,1.2099,1.4473,1.0932,1.2202,0.16,80.33
2023-01-27,63614496.5,1.2194,1.7355,1.152,1.6153,0.2,84.34
2023-01-28,42295168.3,1.616,1.6761,1.453,1.4972,0.22,76.8
2023-01-29,19159274.5,1.4959,1.5718,1.4549,1.5394,0.23,79.14
2023-01-30,35790382.1,1.5394,1.5474,1.2081,1.2789,0.22,66.45
2023-01-31,28859551.5,1.2789,1.369,1.2402,1.3276,0.21,66.4
2023-02-01,47374657.1,1.3285,1.7485,1.2724,1.722,0.23,76.94
2023-02-02,48653119.9,1.7227,1.8689,1.65,1.699,0.25,75.37
2023-02-03,50514321.3,1.7012,2.1224,1.6024,1.9698,0.28,76.02
2023-02-04,28989752.8,1.9692,2.0424,1.8609,1.947,0.29,73.68
2023-02-05,34791705.9,1.9475,2.0499,1.6955,1.7979,0.29,67.15
2023-02-06,43768647.8,1.7971,2.205,1.796,1.9144,0.3,67.29
2023-02-07,28600049.5,1.9143,2.1628,1.9101,2.1242,0.31,72.8
2023-02-08,26943432.6,2.1242,2.1404,1.758,1.8703,0.3,64.29
2023-02-09,43647583.8,1.8722,1.8935,1.4675,1.5117,0.26,55.47
2023-02-10,40771139.8,1.5126,1.6183,1.37,1.469,0.23,46.83
2023-02-11,20212059.9,1.4698,1.5521,1.4504,1.5416,0.2,50.98
2023-02-12,17900091.1,1.5415,1.6243,1.4646,1.4958,0.17,49.04
2023-02-13,22066929.2,1.4964,1.5378,1.3288,1.4472,0.15,54.09
2023-02-14,36592879.3,1.4464,1.6845,1.401,1.6634,0.14,57.55
2023-02-15,29779530.6,1.6627,1.9597,1.6149,1.9092,0.15,54.51
2023-02-16,45733914.0,1.9095,2.3298,1.85,1.957,0.17,56.14
2023-02-17,54077914.6,1.9568,2.2685,1.95,2.0496,0.18,52.08
2023-02-18,18618581.7,2.0496,2.089,1.9301,1.9585,0.19,50.29
2023-02-19,26686848.3,1.9585,2.0607,1.786,1.8182,0.17,50.51
2023-02-20,17262800.2,1.8185,1.8906,1.75,1.8055,0.16,47.1
2023-02-21,33997899.7,1.8068,2.0499,1.7431,1.8624,0.16,42.41
2023-02-22,26141966.3,1.8632,1.8757,1.6667,1.8189,0.15,48.3
2023-02-23,26398484.4,1.8187,2.0,1.7768,1.827,0.14,63.54
2023-02-24,22017433.8,1.8268,1.8451,1.5672,1.6307,0.11,56.13
2023-02-25,16402290.1,1.6298,1.641,1.4873,1.6056,0.09,52.52
2023-02-26,12363587.0,1.6058,1.7259,1.5885,1.6867,0.08,57.31
2023-02-27,12236950.7,1.688,1.7154,1.5665,1.6409,0.06,57.43
2023-02-28,13220893.7,1.6419,1.6717,1.4951,1.5147,0.04,43.87
2023-03-01,14214048.1,1.5157,1.6798,1.5025,1.6367,0.03,37.49
2023-03-02,10673171.0,1.6378,1.6513,1.4985,1.5712,0.02,32.58
2023-03-03,21638739.2,1.5708,1.5717,1.3293,1.3844,-0.0,22.32
2023-03-04,19938234.0,1.3844,1.4044,1.16,1.2308,-0.03,21.21
2023-03-05,21994571.1,1.2313,1.3657,1.2217,1.2849,-0.05,27.36
2023-03-06,27579317.1,1.2846,1.4102,1.22,1.3834,-0.06,33.3
2023-03-07,29438326.2,1.3836,1.4286,1.2544,1.3877,-0.06,30.4
2023-03-08,31563186.5,1.387,1.4228,1.2415,1.2726,-0.08,28.7
2023-03-09,36456508.9,1.2728,1.3285,1.15,1.198,-0.09,26.69
2023-03-10,38808945.6,1.1972,1.2264,1.0603,1.1569,-0.1,30.16
2023-03-11,35386096.9,1.1573,1.1927,0.9828,1.0671,-0.12,28.61
2023-03-12,34884259.9,1.0671,1.282,1.0271,1.2702,-0.12,34.91
2023-03-13,46381908.1,1.271,1.4118,1.2253,1.3883,-0.1,41.31
2023-03-14,39325740.2,1.389,1.7236,1.3468,1.6375,-0.07,53.9
2023-03-15,54557771.0,1.6366,1.7345,1.3478,1.4999,-0.05,45.7
2023-03-16,85700276.3,1.4999,1.7523,1.4188,1.476,-0.04,46.93
2023-03-17,46387679.6,1.4756,1.607,1.439,1.5941,-0.03,57.08
2023-03-18,60853625.5,1.5952,1.85,1.5412,1.6854,-0.0,66.02
2023-03-19,46947487.0,1.6847,1.9432,1.6847,1.8169,0.02,67.78
2023-03-20,38100507.7,1.8174,1.9,1.69,1.7197,0.04,61.25
2023-03-21,85206526.3,1.7191,2.0647,1.7033,1.921,0.06,65.76
2023-03-22,66980088.3,1.9205,1.945,1.7082,1.7783,0.07,64.7
2023-03-23,41634651.4,1.7784,1.8072,1.5931,1.6558,0.07,62.95
2023-03-24,30302872.4,1.6557,1.6602,1.4531,1.4866,0.05,58.7
2023-03-25,23918420.6,1.4867,1.4933,1.3582,1.3853,0.03,58.34
2023-03-26,23065512.7,1.3859,1.5011,1.365,1.4454,0.02,54.97
2023-03-27,20154048.3,1.4454,1.4464,1.27,1.3073,-0.01,47.73
2023-03-28,24238133.7,1.3076,1.3915,1.2547,1.3654,-0.02,41.46
2023-03-29,20591385.0,1.3661,1.4654,1.3508,1.4246,-0.02,47.51
2023-03-30,23739237.0,1.4243,1.47,1.3252,1.3875,-0.03,47.1
2023-03-31,15635634.2,1.3874,1.417,1.3261,1.4064,-0.03,43.43
2023-04-01,21656894.1,1.4064,1.5088,1.3979,1.4324,-0.03,40.72
2023-04-02,10089171.6,1.4328,1.4534,1.3517,1.3867,-0.03,33.16
2023-04-03,15539296.4,1.3869,1.3928,1.2662,1.3105,-0.04,33.72
2023-04-04,10351858.0,1.3107,1.3855,1.2914,1.3658,-0.04,25.0
2023-04-05,11067488.2,1.3664,1.4307,1.3283,1.3926,-0.04,30.61
2023-04-06,7277958.2,1.3915,1.3956,1.3177,1.3404,-0.05,32.94
2023-04-07,6491355.7,1.3403,1.3592,1.3072,1.3226,-0.05,39.39
2023-04-08,5996453.9,1.323,1.3314,1.2841,1.2945,-0.05,43.51
2023-04-09,6098787.8,1.2944,1.3231,1.2704,1.3041,-0.05,39.12
2023-04-10,8925770.2,1.304,1.3655,1.2602,1.3547,-0.05,54.22
2023-04-11,10407717.3,1.3546,1.365,1.3134,1.3166,-0.05,45.49
2023-04-12,12981284.8,1.317,1.3244,1.2374,1.2834,-0.05,36.31
2023-04-13,20633350.8,1.2835,1.4196,1.2714,1.4006,-0.04,51.1
2023-04-14,29922071.9,1.4006,1.6006,1.3944,1.543,-0.03,59.5
2023-04-15,14968106.3,1.5432,1.588,1.5015,1.5134,-0.01,55.6
2023-04-16,16808238.8,1.5132,1.6286,1.4771,1.5767,0.0,62.83
2023-04-17,9670910.5,1.5772,1.5799,1.4895,1.5032,0.01,63.06
2023-04-18,10455314.3,1.503,1.5818,1.4821,1.5223,0.01,61.15
2023-04-19,15630248.9,1.522,1.524,1.3037,1.3326,0.0,46.53
2023-04-20,10033763.5,1.3314,1.3513,1.2519,1.2696,-0.01,45.96
2023-04-21,11218578.2,1.2695,1.2833,1.1211,1.1521,-0.03,41.26
2023-04-22,7538913.7,1.1521,1.1918,1.1234,1.1882,-0.04,44.59
2023-04-23,7559409.1,1.1884,1.1886,1.1111,1.1547,-0.05,42.58
2023-04-24,9472261.1,1.1544,1.1828,1.115,1.1563,-0.06,39.64
2023-04-25,10214597.0,1.1563,1.1953,1.0951,1.1821,-0.07,42.89
2023-04-26,17496850.8,1.1819,1.2614,1.09,1.162,-0.07,43.49
2023-04-27,11976766.0,1.1612,1.2238,1.1473,1.1836,-0.07,37.03
2023-04-28,7368727.6,1.1838,1.1998,1.135,1.156,-0.07,23.2
