date,volume,open,high,low,close,MACD,RSI
2024-01-18,219306575.7,0.05,3.333,0.05,2.17085,0.0,
2024-01-19,138819520.3,2.1703,2.578,2.08888,2.31273,0.01,
2024-01-20,56736256.1,2.31274,2.4805,2.15288,2.26725,0.02,
2024-01-21,73032487.4,2.26734,2.689,2.19126,2.67282,0.05,
2024-01-22,89678638.8,2.67271,2.8,2.32,2.43525,0.06,
2024-01-23,72470932.9,2.43493,2.64499,2.2,2.62945,0.08,
2024-01-24,125962985.5,2.63087,3.28,2.47039,3.2468,0.15,
2024-01-25,85748986.2,3.24676,3.33,2.84971,2.97699,0.18,
2024-01-26,64792427.6,2.97756,3.51657,2.836,3.48201,0.24,
2024-01-27,58148783.6,3.48175,3.85,3.33202,3.60673,0.29,
2024-01-28,52142602.9,3.60499,3.89,3.39092,3.47891,0.32,
2024-01-29,45028872.5,3.47888,3.81759,3.444,3.70788,0.36,
2024-01-30,40862530.9,3.70783,3.78843,3.32,3.37202,0.36,
2024-01-31,48620528.6,3.3716,3.46179,3.0,3.02826,0.32,
2024-02-01,38382942.3,3.02815,3.19874,2.8794,3.03344,0.29,62.04
2024-02-02,23162635.4,3.03365,3.10378,2.90278,3.03188,0.27,60.44
2024-02-03,18779829.3,3.03188,3.08,2.85601,2.8782,0.23,58.6
2024-02-04,32014859.0,2.87801,2.87814,2.6,2.61836,0.18,49.2
2024-02-05,38345479.9,2.6186,2.85444,2.48566,2.72818,0.15,54.47
2024-02-06,21353739.6,2.72819,2.72819,2.57542,2.58886,0.11,49.37
2024-02-07,26872226.6,2.58886,2.81719,2.53315,2.74698,0.09,40.96
2024-02-08,31558880.9,2.74701,2.96799,2.70321,2.71229,0.07,44.77
2024-02-09,24751792.6,2.71232,2.845,2.71,2.79049,0.06,33.55
2024-02-10,23693819.6,2.7902,2.98081,2.78999,2.83039,0.06,30.75
2024-02-11,20014480.4,2.83033,3.03831,2.82026,2.85034,0.05,33.54
2024-02-12,24556553.7,2.85137,2.95205,2.7,2.86983,0.05,25.34
2024-02-13,19231814.5,2.86987,2.92,2.637,2.76512,0.04,29.33
2024-02-14,40749873.1,2.76481,3.14499,2.70918,3.11922,0.06,53.08
2024-02-15,26791141.3,3.11902,3.16721,2.92271,2.98924,0.07,48.62
2024-02-16,20692052.1,2.9892,3.08086,2.861,2.96411,0.07,47.92
2024-02-17,15528185.1,2.96506,3.02,2.76581,2.91007,0.06,51.04
2024-02-18,25945362.2,2.91012,3.1,2.86823,2.97952,0.06,63.51
2024-02-19,38732538.9,2.98,3.27111,2.966,3.1324,0.08,64.65
2024-02-20,37415045.4,3.13242,3.27,2.91524,3.11142,0.08,70.71
2024-02-21,39299602.2,3.11132,3.24412,2.976,3.20179,0.1,69.05
2024-02-22,36313947.8,3.20119,3.48999,3.06786,3.24218,0.11,72.09
2024-02-23,27430516.3,3.24239,3.32599,2.92583,2.96478,0.09,56.23
2024-02-24,19313207.3,2.96553,3.03,2.763,2.96488,0.08,54.95
2024-02-25,15339526.2,2.96608,3.06,2.91399,2.94579,0.07,53.51
2024-02-26,18456840.1,2.94619,3.06355,2.85,3.043,0.07,56.03
2024-02-27,35885011.0,3.043,3.072,2.826,2.904,0.05,54.72
2024-02-28,31688815.5,2.904,2.986,2.179,2.682,0.02,33.66
2024-02-29,29132123.4,2.682,2.912,2.561,2.662,-0.0,36.68
2024-03-01,16031563.8,2.663,2.806,2.66,2.779,-0.01,42.99
2024-03-02,17700134.2,2.78,2.917,2.733,2.911,-0.01,50.03
2024-03-03,23890145.0,2.911,3.03,2.68,2.844,-0.01,45.14
2024-03-04,21932967.1,2.845,2.9,2.67,2.742,-0.02,35.48
2024-03-05,58294846.6,2.741,3.16,2.37,2.805,-0.02,38.95
