date,volume,open,high,low,close,MACD,RSI
2023-06-28,190413300.0,0.05,1.98,0.05,0.5228,0.0,
2023-06-29,124514185.0,0.5234,0.585,0.4115,0.4188,-0.01,
2023-06-30,111314528.0,0.4193,0.45,0.3841,0.4092,-0.02,
2023-07-01,54125286.0,0.409,0.4544,0.3947,0.433,-0.02,
2023-07-02,30111782.0,0.4329,0.4338,0.3898,0.4107,-0.02,
2023-07-03,44607151.0,0.4105,0.4523,0.4102,0.4317,-0.02,
2023-07-04,112077747.0,0.4317,0.5628,0.427,0.508,-0.02,
2023-07-05,70231886.0,0.508,0.5102,0.4072,0.4183,-0.02,
2023-07-06,44187187.0,0.4183,0.4384,0.391,0.4013,-0.03,
2023-07-07,29074583.0,0.4011,0.4211,0.3935,0.4139,-0.03,
2023-07-08,33966147.0,0.4137,0.4375,0.408,0.4223,-0.03,
2023-07-09,23527323.0,0.4224,0.4384,0.4044,0.4097,-0.03,
2023-07-10,52482698.0,0.4102,0.4113,0.3564,0.3698,-0.03,
2023-07-11,28826215.0,0.3703,0.3703,0.3508,0.3594,-0.03,
2023-07-12,32221058.0,0.3591,0.3659,0.33,0.3434,-0.04,30.65
2023-07-13,47898666.0,0.3438,0.3767,0.3368,0.3696,-0.04,43.62
2023-07-14,34692593.0,0.3692,0.3886,0.35,0.3645,-0.04,44.14
2023-07-15,33220334.0,0.3647,0.3885,0.3554,0.3671,-0.04,40.85
2023-07-16,16733852.0,0.367,0.3756,0.342,0.348,-0.04,41.22
2023-07-17,22316297.0,0.3481,0.3604,0.339,0.3564,-0.04,39.06
2023-07-18,38219353.0,0.3566,0.3829,0.3265,0.3368,-0.04,20.24
2023-07-19,21174807.0,0.3374,0.3458,0.3207,0.3261,-0.04,27.9
2023-07-20,13931216.0,0.3262,0.3372,0.3204,0.33,-0.04,31.76
2023-07-21,15180852.0,0.3299,0.3388,0.3272,0.3351,-0.04,29.04
2023-07-22,10233712.0,0.3353,0.3431,0.3283,0.3385,-0.04,27.1
2023-07-23,10845782.0,0.3386,0.3448,0.325,0.3276,-0.04,27.36
2023-07-24,21668302.0,0.3277,0.3305,0.286,0.2901,-0.04,27.72
2023-07-25,16193329.0,0.29,0.3093,0.2845,0.2948,-0.04,31.35
2023-07-26,23518366.0,0.2949,0.317,0.2944,0.3089,-0.04,39.93
2023-07-27,13823423.0,0.3088,0.3175,0.298,0.3067,-0.04,28.65
2023-07-28,7186595.0,0.3067,0.3131,0.2993,0.3051,-0.04,29.35
2023-07-29,5160458.0,0.3051,0.3078,0.3005,0.3069,-0.03,28.95
2023-07-30,8053579.0,0.3068,0.3119,0.288,0.296,-0.03,30.71
2023-07-31,31745626.0,0.2961,0.3263,0.2951,0.3071,-0.03,32.07
2023-08-01,14892534.0,0.3071,0.3071,0.2865,0.305,-0.03,36.75
2023-08-02,9451312.0,0.3051,0.31,0.2921,0.2962,-0.03,37.34
2023-08-03,5261117.0,0.296,0.3009,0.2901,0.2945,-0.03,34.69
2023-08-04,5613449.0,0.2945,0.2985,0.2896,0.2922,-0.03,31.03
2023-08-05,17249616.0,0.2922,0.293,0.2622,0.2666,-0.03,23.43
2023-08-06,29888724.0,0.2668,0.31,0.2646,0.3073,-0.03,43.85
2023-08-07,32265318.0,0.3072,0.3194,0.283,0.2933,-0.03,51.13
2023-08-08,46679974.0,0.2933,0.3306,0.2837,0.3022,-0.02,52.54
2023-08-09,20468203.0,0.3022,0.3125,0.2844,0.2851,-0.02,42.0
2023-08-10,18804959.0,0.2851,0.2968,0.2781,0.2824,-0.02,41.86
2023-08-11,9837079.0,0.2823,0.2835,0.2766,0.2808,-0.02,41.86
2023-08-12,8185669.0,0.2808,0.2862,0.28,0.2841,-0.02,42.44
2023-08-13,11353246.0,0.2843,0.2951,0.2825,0.2898,-0.02,47.87
2023-08-14,10270146.0,0.2896,0.296,0.2841,0.2886,-0.02,43.18
2023-08-15,16765546.0,0.2886,0.289,0.2407,0.2549,-0.02,35.03
2023-08-16,24584866.0,0.2548,0.2549,0.2202,0.2355,-0.02,32.94
2023-08-17,22214991.0,0.2356,0.2361,0.19,0.2059,-0.03,28.47
2023-08-18,13952781.0,0.2057,0.2207,0.2044,0.2182,-0.03,32.85
2023-08-19,8703070.0,0.2182,0.2245,0.2131,0.2193,-0.03,37.64
2023-08-20,6216738.0,0.2192,0.2239,0.216,0.222,-0.03,22.18
2023-08-21,8579602.0,0.2221,0.2253,0.2057,0.2161,-0.03,23.42
2023-08-22,6287960.0,0.2162,0.2171,0.2034,0.2137,-0.03,18.1
2023-08-23,6884660.0,0.2137,0.2242,0.2118,0.2217,-0.03,25.54
2023-08-24,9695558.0,0.2217,0.2224,0.2114,0.2146,-0.03,24.7
2023-08-25,4938523.0,0.2147,0.2147,0.206,0.208,-0.03,23.81
2023-08-26,3564590.0,0.2079,0.2149,0.2068,0.2085,-0.03,22.25
2023-08-27,3814521.0,0.2085,0.2106,0.2052,0.21,-0.03,19.77
2023-08-28,9245488.0,0.21,0.2111,0.1939,0.2022,-0.03,18.83
2023-08-29,22299958.0,0.2022,0.2298,0.19,0.2238,-0.02,37.71
2023-08-30,57699226.0,0.2239,0.2389,0.2134,0.2359,-0.02,50.17
2023-08-31,53275231.0,0.2359,0.2429,0.21,0.2162,-0.02,54.71
2023-09-01,93427870.0,0.2163,0.2737,0.2117,0.249,-0.02,61.86
2023-09-02,49644916.0,0.2489,0.253,0.2272,0.2344,-0.02,55.27
2023-09-03,16794737.0,0.2344,0.2422,0.2281,0.2325,-0.01,53.68
2023-09-04,51898201.0,0.2325,0.2424,0.222,0.2314,-0.01,55.56
2023-09-05,16883085.0,0.2315,0.2371,0.2218,0.2232,-0.01,53.31
2023-09-06,16216074.0,0.2232,0.2331,0.2183,0.2313,-0.01,53.34
2023-09-07,10533118.0,0.2314,0.2341,0.2224,0.2289,-0.01,55.15
2023-09-08,17810806.0,0.2292,0.24,0.2264,0.2323,-0.01,58.95
2023-09-09,6559121.0,0.2322,0.2324,0.2216,0.2223,-0.01,54.75
2023-09-10,12552203.0,0.2225,0.2225,0.2015,0.2094,-0.01,49.81
2023-09-11,12590353.0,0.2095,0.2117,0.197,0.2042,-0.01,50.65
2023-09-12,9350846.0,0.2044,0.2135,0.2032,0.2058,-0.01,43.28
2023-09-13,6639162.0,0.2055,0.2122,0.2016,0.2089,-0.01,39.2
2023-09-14,7450698.0,0.209,0.2134,0.2062,0.2109,-0.01,47.53
2023-09-15,8452923.0,0.2108,0.2196,0.2078,0.2178,-0.01,30.84
2023-09-16,82571351.0,0.218,0.2668,0.2176,0.2333,-0.01,49.33
2023-09-17,16179035.0,0.2336,0.2346,0.2205,0.2265,-0.01,46.56
2023-09-18,25622569.0,0.2264,0.2473,0.2206,0.2411,-0.0,54.82
2023-09-19,19447849.0,0.2408,0.2538,0.237,0.249,-0.0,62.85
2023-09-20,12516843.0,0.2491,0.2524,0.2353,0.247,-0.0,58.32
2023-09-21,10947815.0,0.2468,0.251,0.2273,0.2288,-0.0,49.95
2023-09-22,7423854.0,0.229,0.2365,0.2238,0.2349,-0.0,51.15
2023-09-23,8399907.0,0.235,0.2379,0.2221,0.2262,-0.0,51.75
