date,volume,open,high,low,close,MACD,RSI
2021-08-19,99140974.8,1.969,5.87,1.969,4.674,0.0,
2021-08-20,24753075.3,4.675,5.33,4.24,4.345,-0.03,
2021-08-21,9066633.8,4.345,4.379,3.754,3.852,-0.09,
2021-08-22,14013196.7,3.852,4.8,3.778,4.35,-0.09,
2021-08-23,9694516.4,4.362,4.758,4.257,4.469,-0.09,
2021-08-24,5003897.1,4.469,4.528,3.95,4.042,-0.11,
2021-08-25,57115190.1,4.041,7.808,4.032,7.371,0.13,
2021-08-26,58348281.9,7.367,10.558,7.167,9.582,0.5,
2021-08-27,38897781.6,9.575,10.9,8.786,9.78,0.79,
2021-08-28,11404435.1,9.78,9.883,8.508,8.638,0.93,
2021-08-29,8725071.5,8.639,9.39,8.402,8.957,1.05,
2021-08-30,12699180.7,8.965,10.33,8.65,8.771,1.11,
2021-08-31,8892807.0,8.762,9.31,7.336,7.54,1.05,
2021-09-01,7522061.9,7.539,8.093,7.05,7.55,1.0,
2021-09-02,9472082.7,7.554,8.61,7.465,7.512,0.94,63.48
2021-09-03,4861212.4,7.51,7.559,7.061,7.098,0.85,62.97
2021-09-04,7892158.4,7.095,7.46,6.673,6.911,0.75,64.84
2021-09-05,4674439.3,6.906,7.297,6.72,6.807,0.66,62.39
2021-09-06,4988842.2,6.804,7.145,6.364,6.41,0.55,59.52
2021-09-07,10274764.5,6.415,6.67,4.2,4.981,0.34,54.19
2021-09-08,7076609.1,4.988,5.568,4.461,5.494,0.22,38.8
2021-09-09,10499014.9,5.479,6.632,5.036,5.931,0.15,22.36
2021-09-10,6461332.3,5.93,6.62,5.253,5.389,0.05,18.41
2021-09-11,2699813.0,5.379,5.6,5.233,5.3,-0.03,21.69
2021-09-12,2697732.7,5.3,5.497,4.953,5.294,-0.09,17.2
2021-09-13,3412574.5,5.294,5.318,4.5,4.827,-0.18,16.37
2021-09-14,3170490.8,4.827,5.153,4.732,5.051,-0.23,24.38
2021-09-15,5574115.4,5.056,5.8,5.018,5.354,-0.24,28.68
2021-09-16,19020768.7,5.354,7.453,5.138,6.4,-0.16,40.97
2021-09-17,12319008.7,6.4,7.33,5.69,5.74,-0.15,39.4
2021-09-18,9106836.5,5.74,6.87,5.701,6.11,-0.12,43.92
2021-09-19,5389341.5,6.121,6.345,5.386,5.413,-0.14,40.29
2021-09-20,5754611.9,5.41,5.573,4.51,4.64,-0.22,38.29
2021-09-21,4987509.0,4.64,5.12,4.312,4.385,-0.3,45.33
2021-09-22,3689054.5,4.393,5.2,4.354,5.108,-0.3,47.07
2021-09-23,4298194.0,5.115,5.5,4.745,5.024,-0.3,42.73
2021-09-24,4938698.7,5.032,5.079,4.07,4.363,-0.36,41.93
2021-09-25,2296166.7,4.363,4.447,4.067,4.127,-0.41,40.98
2021-09-26,5623237.8,4.127,4.156,3.471,3.92,-0.47,39.76
2021-09-27,5322034.2,3.919,4.573,3.836,3.927,-0.5,42.8
2021-09-28,3143226.3,3.926,4.169,3.85,3.947,-0.53,40.86
2021-09-29,8923832.5,3.947,4.827,3.907,4.676,-0.48,44.76
2021-09-30,4331744.9,4.676,4.89,4.346,4.433,-0.46,32.64
2021-10-01,8464927.0,4.426,5.37,4.319,5.171,-0.38,45.05
2021-10-02,7661958.1,5.177,5.671,5.077,5.292,-0.3,42.56
2021-10-03,6068641.4,5.294,5.35,5.001,5.246,-0.24,48.28
2021-10-04,10277910.8,5.245,5.696,4.836,5.298,-0.18,57.98
2021-10-05,4589909.9,5.298,5.62,5.07,5.196,-0.15,60.22
2021-10-06,4383030.1,5.198,5.207,4.615,4.868,-0.14,46.64
2021-10-07,3738126.0,4.863,4.871,4.55,4.609,-0.16,44.47
2021-10-08,2617079.8,4.61,4.699,4.4,4.466,-0.18,51.59
2021-10-09,2546721.5,4.457,4.628,4.254,4.327,-0.21,53.19
2021-10-10,2684490.0,4.327,4.409,4.061,4.078,-0.24,52.49
