date,volume,open,high,low,close,MACD,RSI
2019-11-19,86173.227,3340.75,3340.75,4.021,4.275,0.0,
2019-11-20,288171.458,4.291,4.791,4.291,4.393,0.01,
2019-11-21,1488118.763,4.393,4.393,3.905,4.051,-0.01,
2019-11-22,677811.849,4.052,4.344,3.534,3.837,-0.04,
2019-11-23,266990.685,3.848,4.097,3.778,4.08,-0.05,
2019-11-24,163577.237,4.078,4.083,3.71,3.741,-0.08,
2019-11-25,176362.745,3.746,3.926,3.456,3.771,-0.1,
2019-11-26,3197734.642,3.777,3.9,3.714,3.86,-0.11,
2019-11-27,30597.084,3.86,4.051,3.52,4.005,-0.1,
2019-11-28,28172.235,4.005,4.247,3.985,4.104,-0.09,
2019-11-29,25730.132,4.095,4.221,3.987,4.113,-0.08,
2019-11-30,15560.958,4.117,4.135,3.951,4.056,-0.07,
2019-12-01,10840.324,4.055,4.055,3.858,3.975,-0.07,
2019-12-02,11167.755,3.969,3.996,3.871,3.941,-0.07,
2019-12-03,11404.577,3.951,3.978,3.817,3.938,-0.07,40.65
2019-12-04,15209.441,3.93,4.165,3.801,3.897,-0.08,35.63
2019-12-05,16675.575,3.892,4.084,3.865,4.064,-0.07,50.42
2019-12-06,25992.947,4.05,4.283,4.0,4.215,-0.04,62.7
2019-12-07,17069.106,4.215,4.278,4.1,4.176,-0.03,53.74
2019-12-08,16646.989,4.19,4.275,4.06,4.205,-0.02,73.82
2019-12-09,18119.666,4.21,4.278,4.129,4.222,-0.0,73.47
2019-12-10,14499.24,4.212,4.212,4.06,4.144,0.0,64.95
2019-12-11,31530.445,4.135,4.3,4.068,4.195,0.01,61.1
2019-12-12,18734.653,4.207,4.33,4.117,4.218,0.01,57.31
2019-12-13,26495.526,4.22,4.429,4.181,4.415,0.04,65.6
2019-12-14,26654.424,4.404,4.458,4.216,4.319,0.04,63.06
2019-12-15,22524.237,4.315,4.315,4.156,4.219,0.04,61.89
2019-12-16,22364.85,4.228,4.256,3.985,4.005,0.02,52.65
2019-12-17,22553.183,4.026,4.036,3.664,3.763,-0.01,43.94
2019-12-18,19815.048,3.771,4.086,3.637,4.023,-0.02,53.79
2019-12-19,15337.675,4.083,4.099,3.832,3.957,-0.03,46.58
2019-12-20,49202.942,3.967,3.967,3.792,3.851,-0.04,38.01
2019-12-21,38679.019,3.841,4.096,3.8,4.063,-0.04,46.66
2019-12-22,30268.266,4.063,4.178,4.014,4.127,-0.03,47.74
2019-12-23,20825.915,4.119,4.213,4.025,4.064,-0.03,45.54
2019-12-24,20221.177,4.055,4.099,3.95,3.983,-0.03,45.46
2019-12-25,22429.242,3.983,4.0,3.895,3.943,-0.04,42.86
2019-12-26,24387.68,3.937,4.068,3.905,3.96,-0.04,42.66
2019-12-27,29840.544,3.967,4.013,3.855,3.987,-0.04,36.52
2019-12-28,18227.68,3.983,4.039,3.969,4.024,-0.04,40.35
2019-12-29,21480.491,4.023,4.143,4.003,4.037,-0.03,43.69
2019-12-30,10911.789,4.031,4.051,3.974,4.018,-0.03,50.52
2019-12-31,24173.094,3.995,4.044,3.971,4.016,-0.03,62.56
2020-01-01,12013.698,4.013,4.044,3.973,3.988,-0.03,47.74
2020-01-02,20440.691,3.988,4.014,3.846,3.898,-0.03,46.31
2020-01-03,29121.006,3.885,4.102,3.846,4.032,-0.03,60.94
2020-01-04,30400.663,4.035,4.125,4.002,4.097,-0.02,52.5
2020-01-05,23710.43,4.108,4.274,4.105,4.213,-0.0,55.87
2020-01-06,36079.39,4.216,7.4,4.214,4.395,0.03,69.45
2020-01-07,47838.705,4.393,4.791,4.2,4.758,0.08,84.2
2020-01-08,47076.667,4.779,4.799,4.245,4.351,0.08,63.6
2020-01-09,20940.391,4.35,4.4,4.235,4.289,0.08,60.65
2020-01-10,33254.136,4.307,4.49,4.242,4.484,0.1,64.51
2020-01-11,22643.354,4.49,4.543,4.389,4.419,0.1,61.34
2020-01-12,19005.479,4.41,4.619,4.396,4.574,0.11,64.26
2020-01-13,12533.586,4.575,4.578,4.497,4.578,0.13,64.99
2020-01-14,34162.802,4.58,4.955,4.58,4.851,0.15,69.52
2020-01-15,28916.628,4.83,4.896,4.689,4.729,0.17,66.59
2020-01-16,24683.94,4.748,4.84,4.605,4.822,0.18,70.66
2020-01-17,48821.84,4.824,5.049,4.733,5.035,0.21,71.66
2020-01-18,8891.946,4.994,5.123,4.901,5.097,0.23,71.63
2020-01-19,14936.061,5.071,5.305,4.75,4.832,0.22,62.58
2020-01-20,7978.078,4.86,5.095,4.788,5.03,0.23,62.82
2020-01-21,26827.432,5.003,5.277,4.741,4.801,0.22,50.92
2020-01-22,25971.554,4.779,4.835,4.701,4.775,0.2,60.81
2020-01-23,18738.847,4.775,4.775,4.5,4.664,0.18,59.32
2020-01-24,9665.895,4.664,4.728,4.528,4.63,0.16,53.95
2020-01-25,2668.683,4.63,4.695,4.53,4.64,0.14,56.16
2020-01-26,7105.488,4.602,4.796,4.581,4.72,0.13,54.24
2020-01-27,6844.577,4.72,4.846,4.671,4.815,0.12,56.54
2020-01-28,23280.757,4.808,5.164,4.769,5.149,0.15,57.96
2020-01-29,9005.196,5.148,5.169,4.987,5.025,0.16,57.9
2020-01-30,15318.351,5.005,5.061,4.938,4.994,0.16,54.75
2020-01-31,4745.174,4.995,5.044,4.869,4.999,0.16,48.88
2020-02-01,6650.628,5.0,5.132,4.973,5.132,0.17,51.04
2020-02-02,9986.819,5.091,5.219,5.01,5.164,0.17,61.51
2020-02-03,13456.815,5.196,5.487,5.16,5.424,0.2,63.1
2020-02-04,8316.362,5.389,5.492,5.3,5.428,0.21,74.51
2020-02-05,13458.49,5.45,5.81,5.424,5.647,0.24,79.62
2020-02-06,10916.762,5.687,5.848,5.613,5.787,0.27,87.41
2020-02-07,7922.061,5.79,5.862,5.672,5.743,0.29,86.83
2020-02-08,10162.95,5.766,5.818,5.672,5.745,0.3,86.76
2020-02-09,7301.23,5.717,5.963,5.692,5.941,0.32,87.71
2020-02-10,15787.113,5.918,6.028,5.713,5.968,0.34,87.17
2020-02-11,12693.464,5.966,6.197,5.8,6.183,0.36,86.1
2020-02-12,16791.866,6.183,6.213,6.028,6.154,0.37,92.22
2020-02-13,27216.091,6.183,6.371,5.95,6.01,0.37,85.03
2020-02-14,26701.578,5.974,6.239,5.764,6.148,0.37,86.29
2020-02-15,26591.206,6.175,6.2,5.575,5.674,0.33,64.09
2020-02-16,14627.792,5.674,5.874,5.252,5.836,0.31,66.36
2020-02-17,20042.876,5.825,5.875,5.256,5.435,0.26,50.25
2020-02-18,12819.647,5.435,5.867,5.325,5.824,0.24,57.67
2020-02-19,12087.144,5.819,5.852,5.239,5.39,0.19,45.4
2020-02-20,5619.711,5.39,5.49,5.234,5.347,0.15,41.85
2020-02-21,5621.877,5.392,5.55,5.351,5.487,0.13,45.42
2020-02-22,3086.044,5.487,5.487,5.376,5.443,0.1,44.68
2020-02-23,6688.576,5.443,5.648,5.375,5.639,0.1,44.68
2020-02-24,17065.062,5.617,5.771,5.365,5.502,0.08,42.09
2020-02-25,202808.903,5.536,6.109,5.462,5.514,0.07,37.81
2020-02-26,45149.576,5.514,5.54,4.873,4.963,0.02,31.76
2020-02-27,38202.508,4.963,5.215,4.779,4.98,-0.02,33.59
2020-02-28,26931.513,4.97,5.066,4.639,4.907,-0.06,29.81
2020-02-29,6616.097,4.907,5.044,4.838,4.838,-0.1,34.33
2020-03-01,5569.738,4.867,5.039,4.831,4.949,-0.11,33.05
2020-03-02,14686.202,4.918,5.145,4.907,5.099,-0.11,42.9
2020-03-03,8256.291,5.1,5.17,5.016,5.07,-0.12,31.21
2020-03-04,8631.002,5.071,5.223,5.016,5.171,-0.11,43.45
2020-03-05,22927.979,5.173,5.329,5.066,5.263,-0.09,47.56
2020-03-06,7013.064,5.263,5.307,5.158,5.307,-0.08,44.46
2020-03-07,14764.933,5.308,5.328,4.92,4.994,-0.09,38.15
2020-03-08,17095.983,4.962,4.962,4.412,4.462,-0.14,23.62
2020-03-09,35555.13,4.467,4.528,4.101,4.285,-0.19,23.21
2020-03-10,29634.083,4.299,4.532,4.168,4.493,-0.21,29.31
2020-03-11,10383.626,4.487,4.524,4.126,4.348,-0.24,35.08
2020-03-12,67177.78,4.348,4.348,2.414,2.557,-0.4,18.41
