date,volume,open,high,low,close,MACD,RSI
2024-03-11,613912.696,87.46,156.92,87.46,133.78,0.0,
2024-03-12,316726.866,133.71,139.32,122.81,131.36,-0.19,
2024-03-13,218407.109,131.36,140.03,127.71,133.52,-0.17,
2024-03-14,137455.588,133.46,135.9,118.0,126.5,-0.71,
2024-03-15,161308.152,126.5,127.85,106.2,113.97,-2.12,
2024-03-16,136194.535,114.02,117.38,100.26,103.78,-4.02,
2024-03-17,96748.627,103.72,107.47,97.91,105.06,-5.36,
2024-03-18,97245.281,105.06,108.84,93.26,94.77,-7.17,
2024-03-19,131964.041,94.79,96.25,84.61,89.77,-8.9,
2024-03-20,229997.086,89.74,112.23,86.61,104.57,-8.98,
2024-03-21,106765.38,104.5,108.98,99.98,105.65,-8.85,
2024-03-22,91634.76,105.56,112.37,96.59,99.7,-9.12,
2024-03-23,48103.011,99.7,101.98,96.2,96.34,-9.5,
2024-03-24,55167.216,96.37,103.36,95.62,101.05,-9.31,
2024-03-25,121437.076,101.14,116.65,99.51,108.01,-8.5,35.32
2024-03-26,102276.685,107.98,116.19,102.0,104.17,-8.08,34.75
2024-03-27,86076.089,104.15,107.0,99.0,101.47,-7.87,32.14
2024-03-28,83666.969,101.4,104.1,100.0,101.79,-7.59,35.12
2024-03-29,69303.521,101.79,103.42,97.0,98.31,-7.56,39.41
2024-03-30,50465.219,98.28,99.51,95.18,96.74,-7.58,44.61
2024-03-31,95711.072,96.76,105.27,95.98,102.95,-7.01,48.5
2024-04-01,91532.989,102.92,104.59,95.0,97.63,-6.91,52.19
2024-04-02,120144.108,97.63,98.15,87.17,89.03,-7.44,49.46
2024-04-03,114894.485,89.02,90.58,85.82,87.98,-7.85,34.96
2024-04-04,81432.188,87.99,91.03,85.5,89.26,-7.99,35.19
2024-04-05,60281.972,89.21,89.43,82.32,85.07,-8.33,36.35
2024-04-06,34236.981,85.03,88.6,84.75,87.66,-8.3,41.78
2024-04-07,58815.315,87.65,90.1,86.68,89.68,-8.02,38.66
2024-04-08,83808.82,89.7,99.9,88.1,96.37,-7.18,38.33
2024-04-09,125871.338,96.38,97.2,90.35,90.81,-6.88,37.05
2024-04-10,102040.682,90.8,92.69,85.69,90.84,-6.57,39.13
2024-04-11,59128.241,90.89,90.95,86.12,86.88,-6.56,35.81
2024-04-12,232671.489,86.88,89.1,55.14,68.08,-7.98,27.73
2024-04-13,276228.414,68.05,70.21,48.24,56.67,-9.91,24.22
2024-04-14,190879.747,56.72,61.24,54.25,60.41,-11.01,21.73
2024-04-15,121081.652,60.43,63.64,55.13,57.18,-12.01,22.35
2024-04-16,80888.081,57.18,59.02,54.55,58.11,-12.58,26.39
2024-04-17,69544.013,58.12,59.1,54.4,56.85,-12.98,26.31
2024-04-18,62194.161,56.83,59.49,55.55,59.23,-12.96,27.52
2024-04-19,102717.797,59.24,64.06,54.85,62.08,-12.57,32.44
2024-04-20,64197.668,62.09,67.89,60.96,67.33,-11.7,35.08
2024-04-21,43918.512,67.33,67.69,64.29,65.62,-11.02,32.26
2024-04-22,79074.959,65.61,70.87,65.26,68.43,-10.14,28.14
2024-04-23,68433.824,68.38,70.24,65.97,67.63,-9.4,30.41
2024-04-24,79049.328,67.66,70.56,63.83,64.69,-8.94,28.94
2024-04-25,60721.358,64.76,65.96,62.34,64.49,-8.5,30.8
2024-04-26,46167.329,64.5,64.64,61.07,62.01,-8.26,42.77
2024-04-27,42425.985,61.98,65.47,60.0,64.01,-7.81,61.26
2024-04-28,67079.104,64.02,69.76,63.98,66.06,-7.21,59.15
2024-04-29,52218.781,66.02,67.15,62.93,64.31,-6.8,62.12
2024-04-30,69911.417,64.28,65.2,56.16,59.01,-6.82,51.33
2024-05-01,72652.824,59.01,60.56,54.26,59.41,-6.72,53.89
2024-05-02,30697.27,59.42,60.47,57.04,59.56,-6.56,50.54
2024-05-03,40631.804,59.56,62.35,57.98,61.6,-6.2,49.2
2024-05-04,18311.158,61.59,62.69,60.81,61.31,-5.87,37.92
2024-05-05,24698.36,61.34,62.84,60.0,62.22,-5.47,42.95
2024-05-06,57886.064,62.23,65.0,58.61,58.91,-5.35,30.67
2024-05-07,31551.348,58.9,60.53,57.79,57.99,-5.28,30.52
2024-05-08,27158.889,57.96,59.82,57.21,58.18,-5.14,35.2
2024-05-09,39357.808,58.13,61.71,57.08,61.47,-4.72,43.98
2024-05-10,43322.212,61.48,61.76,58.01,58.72,-4.55,43.51
2024-05-11,17924.244,58.69,59.05,57.5,57.71,-4.45,37.07
2024-05-12,13672.836,57.77,59.06,57.55,58.01,-4.29,32.2
2024-05-13,37924.318,58.01,58.61,55.0,56.51,-4.24,32.56
2024-05-14,40034.62,56.48,56.88,54.06,54.13,-4.34,37.45
2024-05-15,38948.586,54.12,58.68,53.75,58.17,-4.05,47.31
2024-05-16,30032.44,58.22,59.2,56.32,58.09,-3.78,46.81
2024-05-17,38337.954,58.12,62.76,57.37,61.26,-3.27,49.3
2024-05-18,22527.059,61.2,63.23,60.85,61.35,-2.83,50.08
2024-05-19,20811.739,61.36,62.27,58.51,59.31,-2.62,44.2
2024-05-20,175140.177,59.25,81.61,58.19,79.12,-0.84,74.31
