date,volume,open,high,low,close,MACD,RSI
2021-04-19,7401645.249,7.89,14.55,7.89,9.77,0.0,
2021-04-20,2668635.336,9.77,10.15,8.35,8.982,-0.06,
2021-04-21,1367392.704,8.984,9.751,8.84,8.913,-0.12,
2021-04-22,1747283.204,8.913,10.4,8.84,9.338,-0.12,
2021-04-23,1096222.199,9.326,9.569,8.49,8.768,-0.17,
2021-04-24,496339.603,8.732,8.77,8.413,8.607,-0.22,
2021-04-25,1171855.92,8.608,9.306,8.44,9.05,-0.22,
2021-04-26,2236323.681,9.051,10.5,9.05,10.02,-0.15,
2021-04-27,1155544.933,10.02,10.629,9.951,9.993,-0.08,
2021-04-28,1264211.186,9.993,10.315,9.638,9.716,-0.06,
2021-04-29,473788.586,9.716,9.791,9.339,9.521,-0.05,
2021-04-30,1158194.181,9.521,10.583,9.436,10.109,0.0,
2021-05-01,374068.35,10.109,10.199,9.811,9.844,0.02,
2021-05-02,947153.856,9.85,10.362,9.608,9.904,0.04,
2021-05-03,1133675.452,9.904,10.404,9.896,10.158,0.08,53.81
2021-05-04,5503701.398,10.161,12.6,9.2,11.31,0.2,71.33
2021-05-05,2348431.894,11.288,11.667,10.332,10.699,0.24,64.89
2021-05-06,3067182.159,10.703,11.418,10.3,10.35,0.24,58.54
2021-05-07,1376100.35,10.36,10.398,9.704,9.808,0.2,58.82
2021-05-08,1066215.97,9.804,10.2,9.571,10.067,0.18,62.18
2021-05-09,2661175.376,10.06,10.668,9.82,10.328,0.19,61.0
2021-05-10,1906960.276,10.315,10.58,9.378,9.39,0.11,44.55
2021-05-11,1135331.258,9.38,9.399,8.875,8.934,0.02,41.47
2021-05-12,1444120.227,8.938,9.107,7.9,7.945,-0.13,37.2
2021-05-13,1416650.567,7.948,9.0,7.77,7.99,-0.25,38.69
2021-05-14,1232619.65,7.99,8.6,7.949,8.196,-0.32,35.02
2021-05-15,1200182.378,8.196,8.411,7.701,7.701,-0.41,33.81
2021-05-16,791020.7,7.712,7.952,7.271,7.418,-0.5,31.83
2021-05-17,1492994.373,7.41,7.937,7.006,7.712,-0.54,32.22
2021-05-18,809885.606,7.716,7.811,7.34,7.467,-0.58,17.83
2021-05-19,1921173.812,7.479,7.538,5.244,6.253,-0.71,16.2
2021-05-20,1070972.292,6.25,6.369,5.928,6.252,-0.8,17.1
2021-05-21,870304.059,6.242,6.44,5.556,5.734,-0.9,17.17
2021-05-22,1067671.618,5.728,5.777,4.605,4.616,-1.06,11.41
2021-05-23,1490131.163,4.617,4.697,3.263,3.514,-1.26,6.9
