date,volume,open,high,low,close,MACD,RSI
2020-07-23,9085.38992,509.5,845.0,509.5,529.32,0.0,
2020-07-24,2393.36207,530.15,553.0,503.11,514.0,-1.22,
2020-07-25,1704.52818,514.0,536.86,498.53,525.43,-1.25,
2020-07-26,1785.90235,525.25,552.57,511.7,521.46,-1.58,
2020-07-27,1627.76829,520.59,530.86,501.69,509.07,-2.81,
2020-07-28,905.44999,510.76,519.58,498.0,516.68,-3.13,
2020-07-29,1517.14304,517.58,549.0,512.0,544.84,-1.1,
2020-07-30,2457.57003,544.93,578.34,534.62,572.22,2.69,
2020-07-31,1172.60762,572.39,574.76,552.69,555.17,4.26,
2020-08-01,1944.67198,555.29,598.77,551.74,594.69,8.6,
2020-08-02,2949.63491,594.69,631.34,529.0,567.72,9.75,
2020-08-03,1031.74562,566.96,607.83,566.71,593.0,12.56,
2020-08-04,1558.03534,593.0,612.23,577.79,584.49,13.94,
2020-08-05,600.58339,584.56,599.74,581.47,592.67,15.51,
2020-08-06,772.49443,592.67,594.3,577.32,586.7,16.09,62.07
2020-08-07,835.98288,585.93,593.37,562.54,579.36,15.77,64.22
2020-08-08,429.79237,579.44,586.19,574.88,582.48,15.59,62.88
2020-08-09,1173.10211,583.55,597.78,581.15,595.78,16.34,66.1
2020-08-10,2794.19341,596.38,634.16,596.21,623.18,18.92,73.21
2020-08-11,2709.99998,623.62,627.52,581.38,599.75,18.86,65.88
2020-08-12,16802.01714,599.74,841.0,599.73,719.99,28.19,74.76
2020-08-13,32845.8781,719.99,875.0,688.37,789.72,40.74,77.46
2020-08-14,9359.2473,789.72,814.76,717.78,729.14,45.27,69.79
2020-08-15,5691.97169,729.21,731.78,680.0,695.59,45.63,61.64
2020-08-16,2800.09057,694.12,705.33,683.41,693.27,45.21,65.35
2020-08-17,5664.16441,693.48,728.69,680.0,686.0,43.79,61.89
2020-08-18,3928.30457,685.18,693.81,645.01,674.86,41.28,61.48
2020-08-19,5216.0736,674.75,683.31,622.0,648.9,36.78,56.83
2020-08-20,4491.17533,649.48,697.97,646.35,661.69,33.85,58.97
2020-08-21,4996.22357,661.54,671.29,601.5,603.17,26.5,52.54
2020-08-22,7824.11616,603.37,650.66,593.59,642.87,23.61,55.97
2020-08-23,2805.33554,642.8,650.3,621.36,638.49,20.73,54.3
2020-08-24,7761.75368,638.71,696.35,635.91,677.33,21.33,55.33
2020-08-25,7333.41816,677.17,678.41,609.65,638.1,18.43,53.66
2020-08-26,5185.20344,638.09,655.0,629.0,640.77,16.16,40.26
2020-08-27,3986.94846,640.77,646.02,609.25,614.97,12.14,25.91
2020-08-28,3682.24313,617.99,636.78,610.63,635.96,10.53,35.58
2020-08-29,2524.58011,636.3,644.52,629.17,631.21,8.76,39.06
2020-08-30,4964.07386,630.83,686.32,629.0,675.83,10.84,47.41
2020-08-31,2693.2008,677.41,688.0,656.09,681.61,12.81,49.35
2020-09-01,8030.67015,681.61,745.56,672.18,718.3,17.13,56.02
2020-09-02,5437.03075,718.17,719.49,622.88,661.43,15.78,51.6
2020-09-03,5229.22817,660.78,666.74,559.5,560.0,6.46,39.41
2020-09-04,4657.69243,559.51,604.29,551.01,586.47,1.19,48.14
2020-09-05,6110.91458,584.76,599.22,499.47,513.78,-8.75,36.59
2020-09-06,5266.04652,513.92,547.62,481.49,546.38,-13.84,40.96
2020-09-07,3757.29813,544.2,551.24,500.94,527.73,-19.16,34.71
2020-09-08,2808.59182,529.08,530.71,500.0,507.59,-24.71,36.12
2020-09-09,2206.37414,506.89,534.96,500.39,522.0,-27.63,37.68
2020-09-10,2340.59957,522.47,557.66,522.4,533.27,-28.7,41.26
