date,volume,open,high,low,close,MACD,RSI
2021-07-05,545392.13,83.01,166.68,80.11,101.5,0.0,
2021-07-06,184991.74,101.13,120.46,100.2,101.08,-0.03,
2021-07-07,53473.79,101.35,106.0,92.0,92.27,-0.76,
2021-07-08,39322.92,92.27,93.33,81.15,83.21,-2.05,
2021-07-09,24703.61,83.47,93.44,78.14,89.5,-2.53,
2021-07-10,90594.76,89.54,103.5,88.44,93.59,-2.55,
2021-07-11,22146.18,93.74,94.52,88.02,90.53,-2.78,
2021-07-12,12881.6,90.74,91.58,84.29,85.58,-3.33,
2021-07-13,14450.12,85.6,92.0,81.06,81.5,-4.04,
2021-07-14,18432.21,81.52,87.47,76.6,80.93,-4.6,
2021-07-15,13842.61,80.92,84.63,75.08,76.88,-5.31,
2021-07-16,42507.96,76.82,89.97,74.48,76.33,-5.85,
2021-07-17,23985.97,76.27,83.99,74.97,77.36,-6.12,
2021-07-18,8096.79,77.11,79.01,75.01,76.2,-6.36,
2021-07-19,25321.29,76.23,77.07,67.78,68.12,-7.12,20.3
2021-07-20,11835.76,68.24,68.36,63.0,64.47,-7.92,19.2
2021-07-21,25619.46,64.45,79.39,63.2,71.02,-7.94,31.42
2021-07-22,13314.26,71.38,73.39,68.62,70.29,-7.92,36.77
2021-07-23,8651.77,70.29,72.68,68.81,72.15,-7.67,30.47
2021-07-24,10388.75,72.17,75.5,69.01,70.38,-7.52,22.43
2021-07-25,11177.4,70.38,77.5,69.7,74.87,-6.96,32.01
2021-07-26,14458.07,74.55,80.0,70.92,71.14,-6.75,32.93
2021-07-27,7205.99,71.73,72.91,68.33,72.36,-6.4,38.41
2021-07-28,9275.69,72.36,74.37,70.51,72.52,-6.04,39.23
2021-07-29,4815.87,72.72,73.5,71.6,73.0,-5.66,44.53
2021-07-30,21658.26,73.02,83.67,71.9,78.58,-4.85,52.78
2021-07-31,4642.12,78.58,78.99,76.22,78.71,-4.14,51.7
2021-08-01,71799.45,78.66,98.54,77.47,83.56,-3.16,58.5
2021-08-02,456740.31,82.93,119.0,78.27,106.48,-0.52,83.0
