date,volume,open,high,low,close,MACD,RSI
2022-04-29,26797811.86,3.55,9.0,3.55,4.436,0.0,
2022-04-30,21102913.21,4.429,6.128,4.235,4.44,0.0,
2022-05-01,4038966.29,4.44,4.539,3.803,4.063,-0.03,
2022-05-02,2330900.47,4.063,4.228,3.5,3.662,-0.08,
2022-05-03,1958607.42,3.662,3.985,3.395,3.405,-0.15,
2022-05-04,1893638.84,3.405,3.59,3.33,3.558,-0.18,
2022-05-05,3586620.32,3.56,3.618,2.791,2.883,-0.26,
2022-05-06,1462143.97,2.882,2.884,2.617,2.726,-0.33,
2022-05-07,10361501.75,2.728,3.5,2.718,2.892,-0.37,
2022-05-08,1849559.94,2.896,2.904,2.68,2.79,-0.41,
2022-05-09,3716943.1,2.789,3.08,2.41,2.443,-0.46,
2022-05-10,1452990.67,2.438,2.555,2.312,2.365,-0.5,
2022-05-11,2185269.67,2.377,2.431,1.534,1.64,-0.58,
2022-05-12,1760285.29,1.645,1.94,1.487,1.761,-0.63,
2022-05-13,2402314.32,1.762,2.169,1.713,1.905,-0.65,15.86
2022-05-14,559742.08,1.916,1.971,1.777,1.925,-0.66,16.22
2022-05-15,813026.95,1.917,1.989,1.863,1.982,-0.65,19.42
2022-05-16,581420.16,1.985,1.986,1.797,1.811,-0.65,20.83
2022-05-17,901008.09,1.817,2.079,1.814,1.92,-0.64,25.45
2022-05-18,718161.54,1.923,1.959,1.792,1.806,-0.63,20.66
2022-05-19,2485729.89,1.804,2.29,1.787,2.025,-0.59,33.04
2022-05-20,1265489.7,2.019,2.151,1.841,1.863,-0.57,32.98
2022-05-21,649607.92,1.864,2.041,1.833,1.969,-0.54,31.35
2022-05-22,591081.49,1.975,2.1,1.907,2.069,-0.51,35.42
2022-05-23,749736.52,2.065,2.091,1.887,1.898,-0.48,38.14
2022-05-24,534426.44,1.906,2.026,1.856,2.007,-0.45,42.31
2022-05-25,849198.88,2.007,2.114,1.929,1.946,-0.43,59.19
2022-05-26,565680.66,1.943,2.024,1.839,1.921,-0.41,55.1
2022-05-27,370082.24,1.921,1.958,1.844,1.906,-0.38,50.03
2022-05-28,253467.45,1.916,2.006,1.879,1.97,-0.36,51.52
2022-05-29,239446.41,1.971,2.006,1.904,1.984,-0.33,50.07
2022-05-30,587935.25,1.987,2.098,1.954,2.067,-0.3,59.47
2022-05-31,2586956.8,2.064,2.454,2.019,2.288,-0.26,62.57
2022-06-01,2108419.49,2.29,2.44,2.024,2.074,-0.24,58.57
2022-06-02,748060.41,2.074,2.08,1.981,2.057,-0.22,51.17
2022-06-03,532128.45,2.057,2.142,1.958,1.985,-0.21,54.8
2022-06-04,226243.36,1.99,2.05,1.974,2.023,-0.19,52.24
2022-06-05,297754.62,2.022,2.067,1.951,1.976,-0.19,45.96
2022-06-06,314112.57,1.979,2.095,1.973,2.006,-0.17,55.35
2022-06-07,245122.03,2.009,2.048,1.916,1.987,-0.16,48.91
2022-06-08,688523.63,1.987,2.01,1.92,1.922,-0.16,48.7
2022-06-09,149039.45,1.923,1.948,1.903,1.909,-0.16,49.34
2022-06-10,587819.4,1.911,1.937,1.653,1.672,-0.17,39.68
2022-06-11,234395.16,1.67,1.73,1.613,1.619,-0.18,34.37
2022-06-12,161926.73,1.619,1.655,1.559,1.589,-0.19,32.66
2022-06-13,411849.45,1.582,1.588,1.366,1.388,-0.22,22.99
