date,volume,open,high,low,close,MACD,RSI
2019-08-23,2419868.99,0.45,0.45,0.3967,0.4109,0.0,
2019-08-24,783334.72,0.4112,0.4179,0.3708,0.3925,-0.0,
2019-08-25,1995901.64,0.3939,0.4153,0.3459,0.3566,-0.01,
2019-08-26,3092037.5,0.3595,0.49,0.35,0.445,-0.0,
2019-08-27,1062596.43,0.445,0.49,0.4057,0.4208,-0.0,
2019-08-28,487725.78,0.4208,0.4291,0.3725,0.3793,-0.0,
2019-08-29,445464.52,0.3812,0.3915,0.3501,0.388,-0.0,
2019-08-30,635831.14,0.3881,0.4109,0.3812,0.3977,-0.0,
2019-08-31,1152524.69,0.3985,0.439,0.3872,0.4065,-0.0,
2019-09-01,811550.85,0.4091,0.4299,0.3732,0.3802,-0.0,
2019-09-02,2298012.01,0.3801,0.4024,0.3681,0.3936,-0.0,
2019-09-03,4383555.04,0.3936,0.4336,0.3771,0.4048,-0.0,
2019-09-04,1854469.39,0.4092,0.4314,0.3898,0.427,-0.0,
2019-09-05,2650958.26,0.4266,0.4292,0.4051,0.4116,-0.0,
2019-09-06,1318709.47,0.4133,0.4173,0.3756,0.3824,-0.0,45.97
2019-09-07,640334.28,0.3836,0.3949,0.3772,0.3859,-0.0,49.02
2019-09-08,355201.13,0.3871,0.3907,0.3787,0.3866,-0.0,54.95
2019-09-09,590531.39,0.3879,0.393,0.372,0.3852,-0.0,36.17
2019-09-10,307127.25,0.3848,0.3917,0.3654,0.3736,-0.01,38.41
2019-09-11,820776.67,0.3741,0.3808,0.3613,0.3732,-0.01,48.12
2019-09-12,634326.32,0.3732,0.3735,0.334,0.3416,-0.01,37.49
2019-09-13,469282.72,0.3416,0.3416,0.3212,0.3287,-0.01,31.71
2019-09-14,552674.76,0.3265,0.3406,0.3248,0.3355,-0.02,30.98
2019-09-15,231314.31,0.3355,0.3373,0.3257,0.3288,-0.02,34.61
2019-09-16,646425.11,0.3288,0.3302,0.3038,0.3199,-0.02,27.32
2019-09-17,695415.46,0.3167,0.3177,0.298,0.3059,-0.02,20.08
2019-09-18,804158.1,0.3061,0.3406,0.3051,0.3328,-0.02,22.29
2019-09-19,644515.71,0.3361,0.3362,0.3013,0.3169,-0.02,22.23
2019-09-20,266164.22,0.3153,0.3203,0.3069,0.3141,-0.02,26.3
