date,volume,open,high,low,close,MACD,RSI
2019-04-03,1346486.14,1.7,1.7,1.2729,1.3561,0.0,
2019-04-04,989461.16,1.347,1.45,1.2729,1.3159,-0.0,
2019-04-05,554146.21,1.3169,1.442,1.3065,1.4249,0.0,
2019-04-06,498969.81,1.43,1.4667,1.3558,1.385,0.0,
2019-04-07,298098.63,1.3935,1.43,1.3665,1.405,0.01,
2019-04-08,2705175.72,1.4049,1.7238,1.3959,1.5876,0.02,
2019-04-09,3286361.78,1.5875,1.85,1.5755,1.6745,0.04,
2019-04-10,1498483.53,1.674,1.7308,1.6,1.6131,0.05,
2019-04-11,1453742.57,1.6194,1.6376,1.376,1.455,0.05,
2019-04-12,1289441.41,1.4628,1.66,1.373,1.63,0.06,
2019-04-13,663726.25,1.63,1.6589,1.5169,1.5452,0.06,
2019-04-14,501815.54,1.5451,1.6148,1.485,1.5684,0.06,
2019-04-15,695004.0,1.5721,1.63,1.4506,1.5228,0.06,
2019-04-16,657120.45,1.5164,1.57,1.4554,1.5182,0.05,
2019-04-17,852791.46,1.5169,1.6488,1.5169,1.6045,0.05,61.11
2019-04-18,581845.22,1.6099,1.694,1.6039,1.6482,0.06,64.82
2019-04-19,471601.73,1.6482,1.7377,1.6006,1.7377,0.07,64.2
2019-04-20,531474.77,1.7377,1.7749,1.6651,1.7173,0.08,65.35
2019-04-21,530830.22,1.7229,1.7274,1.5691,1.6705,0.08,61.97
2019-04-22,744327.56,1.6705,1.8034,1.6596,1.7679,0.08,58.81
2019-04-23,1728379.02,1.7646,1.97,1.7615,1.9242,0.1,61.42
2019-04-24,1391729.99,1.9247,1.9247,1.6759,1.7794,0.1,57.07
2019-04-25,1044859.92,1.7801,1.85,1.6037,1.635,0.09,57.74
2019-04-26,1469845.42,1.6357,1.68,1.4745,1.5728,0.07,47.28
2019-04-27,434598.25,1.5835,1.6183,1.5119,1.5923,0.06,52.39
2019-04-28,485055.92,1.5942,1.6788,1.5348,1.5539,0.05,49.27
2019-04-29,699909.97,1.5536,1.5728,1.3875,1.4,0.03,44.46
2019-04-30,423952.14,1.4063,1.55,1.3999,1.5263,0.02,50.33
2019-05-01,321942.65,1.5277,1.57,1.47,1.5005,0.01,45.55
2019-05-02,273922.74,1.4971,1.5199,1.4571,1.469,0.0,42.26
2019-05-03,479648.64,1.4727,1.5146,1.42,1.4975,-0.0,39.04
2019-05-04,541907.74,1.4975,1.55,1.3611,1.4499,-0.01,38.1
2019-05-05,212146.64,1.45,1.4798,1.4001,1.4078,-0.02,38.26
2019-05-06,340532.26,1.4134,1.4977,1.3766,1.447,-0.03,34.87
2019-05-07,912906.35,1.4499,1.6512,1.4499,1.5381,-0.02,30.6
2019-05-08,440929.86,1.5242,1.5362,1.4556,1.5032,-0.02,34.4
2019-05-09,269290.11,1.4929,1.5379,1.4015,1.427,-0.02,37.27
2019-05-10,420405.59,1.4271,1.5601,1.4228,1.4711,-0.03,43.64
2019-05-11,970337.85,1.4696,1.6927,1.4639,1.591,-0.02,49.93
2019-05-12,1034127.48,1.5829,1.7689,1.54,1.6099,-0.01,53.18
2019-05-13,858697.91,1.6097,1.755,1.58,1.6482,0.0,66.23
2019-05-14,1087686.08,1.653,1.749,1.6099,1.6992,0.02,62.55
2019-05-15,815232.65,1.7,1.9288,1.7,1.8797,0.04,72.47
2019-05-16,1290238.17,1.868,2.07,1.7271,1.8225,0.05,70.33
2019-05-17,916705.23,1.8221,1.8385,1.58,1.7579,0.06,64.38
2019-05-18,339071.58,1.7581,1.7793,1.6608,1.678,0.06,62.16
2019-05-19,520530.04,1.6753,1.87,1.6753,1.8022,0.06,69.33
2019-05-20,610391.08,1.7925,1.8026,1.63,1.7044,0.06,61.93
2019-05-21,501759.23,1.7037,1.8,1.67,1.7355,0.06,59.69
2019-05-22,320588.3,1.7335,1.78,1.6115,1.6451,0.05,56.61
2019-05-23,370553.06,1.6572,1.6891,1.55,1.668,0.04,61.8
2019-05-24,367318.19,1.668,1.77,1.64,1.6629,0.04,59.77
2019-05-25,225238.56,1.6679,1.71,1.6417,1.6748,0.04,54.8
2019-05-26,392150.53,1.6748,1.76,1.6131,1.7186,0.04,56.05
2019-05-27,622636.59,1.7233,1.831,1.7032,1.7908,0.04,57.65
2019-05-28,390460.44,1.7887,1.8,1.7216,1.7528,0.04,52.91
2019-05-29,855930.71,1.7592,1.8435,1.655,1.777,0.04,43.27
2019-05-30,1205328.44,1.7779,1.9124,1.61,1.6508,0.04,39.69
2019-05-31,544169.23,1.6508,1.735,1.5924,1.7278,0.03,48.22
2019-06-01,586371.73,1.7347,1.75,1.6501,1.6777,0.03,49.98
2019-06-02,800922.25,1.6777,1.8168,1.6,1.7809,0.03,48.66
2019-06-03,420232.79,1.7809,1.7817,1.607,1.62,0.02,45.08
2019-06-04,791373.98,1.6201,1.6201,1.4219,1.4885,0.0,37.1
2019-06-05,358186.22,1.4885,1.5311,1.4414,1.4934,-0.01,41.3
2019-06-06,393906.54,1.4821,1.5244,1.4111,1.4952,-0.02,39.84
2019-06-07,730598.21,1.4966,1.6285,1.4766,1.5946,-0.02,46.39
2019-06-08,440060.27,1.5834,1.63,1.5349,1.5964,-0.02,45.81
2019-06-09,364589.89,1.5982,1.611,1.4628,1.5081,-0.03,39.25
