date,volume,open,high,low,close,MACD,RSI
2017-11-20,30342.33,36.0,46.0,34.7,35.582,0.0,
2017-11-21,28677.569,35.582,37.499,33.5,35.0,-0.05,
2017-11-22,6939.531,35.0,37.3,34.5,35.005,-0.08,
2017-11-23,10110.575,35.01,36.9,34.0,34.69,-0.13,
2017-11-24,8078.994,34.69,36.101,33.09,34.5,-0.19,
2017-11-25,24200.524,34.5,39.928,34.0,37.831,0.04,
2017-11-26,10491.272,37.831,38.9,37.1,37.81,0.21,
2017-11-27,13232.16,37.734,41.71,37.5,39.102,0.45,
2017-11-28,15189.495,39.92,40.52,37.25,37.611,0.51,
2017-11-29,121051.885,37.8,39.303,30.545,32.482,0.14,
2017-11-30,164844.835,32.649,35.224,29.104,32.438,-0.15,
2017-12-01,202687.005,32.38,36.359,30.209,35.343,-0.14,
2017-12-02,133566.599,35.452,36.586,34.0,35.046,-0.16,
2017-12-03,166575.583,35.038,39.5,34.81,36.589,-0.05,
2017-12-04,190481.502,36.667,43.186,36.576,41.808,0.45,63.92
2017-12-05,156520.441,41.951,42.287,38.661,38.661,0.59,57.34
2017-12-06,170201.946,38.661,38.991,33.382,34.634,0.37,49.36
2017-12-07,172820.395,34.85,37.0,31.737,33.215,0.08,47.55
2017-12-08,198595.62,33.216,37.012,31.3,35.594,0.04,51.7
2017-12-09,163032.75,35.605,38.197,32.902,35.097,-0.03,45.35
2017-12-10,186122.929,35.131,35.219,31.0,32.598,-0.28,41.83
2017-12-11,178419.091,32.609,36.457,32.609,35.777,-0.22,45.08
2017-12-12,226390.35,35.753,39.8,34.95,38.836,0.07,51.73
2017-12-13,294829.464,38.836,48.0,34.55,43.906,0.7,66.19
2017-12-14,172532.755,44.28,52.9,43.0,50.273,1.7,71.43
2017-12-15,98502.202,50.273,51.0,41.25,47.833,2.26,65.18
2017-12-16,78471.93,47.978,51.749,46.45,49.116,2.78,66.7
2017-12-17,220183.422,49.11,74.998,48.826,67.187,4.6,76.08
2017-12-18,153215.715,67.187,81.474,60.0,77.038,6.76,77.83
2017-12-19,189528.411,77.204,83.8,63.21,69.75,7.79,73.05
2017-12-20,202837.611,69.59,80.0,56.0,76.879,9.08,79.95
2017-12-21,146532.971,76.49,81.5,62.22,70.75,9.49,74.94
