date,volume,open,high,low,close,MACD,RSI
2020-08-19,11838.172,50.42,50.42,37.77,42.079,0.0,
2020-08-20,62972.514,42.281,53.88,39.542,46.93,0.39,
2020-08-21,47528.204,46.952,52.1,41.352,41.896,0.28,
2020-08-22,19932.147,42.181,51.0,41.072,47.978,0.69,
2020-08-23,17284.855,48.048,48.057,42.828,43.591,0.64,
2020-08-24,11956.428,43.283,46.999,42.815,44.729,0.69,
2020-08-25,13036.036,44.728,45.159,40.1,42.231,0.52,
2020-08-26,12766.289,41.878,44.307,38.622,43.708,0.5,
2020-08-27,77689.364,43.709,67.5,38.694,52.437,1.18,
2020-08-28,144901.117,52.497,64.8,50.0,54.69,1.87,
2020-08-29,40002.97,54.69,55.958,51.006,52.45,2.22,
2020-08-30,46303.342,52.45,53.5,47.947,51.355,2.38,
2020-08-31,56010.889,51.329,59.59,49.834,55.249,2.78,
2020-09-01,26642.975,55.42,55.57,50.25,50.891,2.72,
2020-09-02,17974.788,51.197,52.853,45.82,48.998,2.49,56.93
2020-09-03,23023.775,49.021,49.062,37.77,40.711,1.62,44.17
2020-09-04,20238.925,40.492,48.862,36.368,42.745,1.09,50.84
2020-09-05,19104.598,42.68,44.588,35.936,37.638,0.24,39.53
2020-09-06,19173.991,37.638,40.5,35.0,38.255,-0.37,44.15
2020-09-07,9661.115,38.255,40.0,34.147,37.396,-0.91,41.91
2020-09-08,9716.227,37.395,37.488,33.894,35.657,-1.47,42.63
2020-09-09,4763.384,35.65,37.698,34.188,35.962,-1.86,41.08
2020-09-10,10089.061,35.961,40.0,35.9,36.474,-2.11,27.32
2020-09-11,8574.208,36.532,36.898,34.86,36.283,-2.29,22.22
2020-09-12,22056.744,36.235,39.67,36.145,37.762,-2.29,27.31
2020-09-13,7267.145,37.762,38.438,35.001,35.547,-2.44,26.4
2020-09-14,12227.861,35.573,37.244,34.982,35.259,-2.55,16.55
2020-09-15,19236.467,35.271,36.818,33.855,34.98,-2.64,19.17
2020-09-16,13473.372,34.822,35.726,32.163,32.216,-2.89,18.54
2020-09-17,18718.873,32.187,37.528,31.865,32.061,-3.07,26.68
2020-09-18,38081.668,32.061,32.3,28.814,29.381,-3.39,15.18
2020-09-19,6857.517,29.393,29.653,28.733,29.223,-3.61,20.46
2020-09-20,228951.429,29.216,40.0,28.896,33.266,-3.42,35.88
2020-09-21,53371.528,33.265,34.136,29.71,31.196,-3.4,33.58
2020-09-22,26253.944,31.147,33.1,29.936,30.7,-3.39,35.95
2020-09-23,39743.007,30.701,32.0,28.81,29.101,-3.46,31.88
2020-09-24,26261.05,28.978,33.0,28.949,31.688,-3.28,38.61
2020-09-25,8475.297,31.601,31.989,30.141,31.128,-3.14,37.94
2020-09-26,5869.643,31.134,32.384,30.832,31.479,-2.97,34.48
2020-09-27,7065.451,31.406,32.531,30.718,31.675,-2.78,39.38
2020-09-28,11122.411,31.74,32.022,30.925,31.346,-2.63,39.29
2020-09-29,9660.89,31.287,31.698,30.101,30.736,-2.53,38.59
2020-09-30,9711.532,30.646,31.275,30.435,30.824,-2.42,45.63
2020-10-01,8149.4,30.759,31.506,29.54,30.648,-2.32,45.57
2020-10-02,15580.904,30.525,30.945,28.092,28.616,-2.37,47.5
2020-10-03,3251.198,28.543,29.06,28.366,28.534,-2.4,47.74
2020-10-04,4191.797,28.481,28.998,27.908,28.953,-2.35,31.4
2020-10-05,3740.739,29.015,29.408,28.278,28.795,-2.31,37.6
2020-10-06,5370.092,28.869,29.015,26.973,27.065,-2.38,33.35
2020-10-07,4747.386,27.043,27.743,26.853,27.359,-2.39,40.94
