date,volume,open,high,low,close,MACD,RSI
2023-10-10,85847215.5,0.2862,0.5,0.2862,0.3823,0.0,
2023-10-11,65171468.0,0.3822,0.39,0.3111,0.3142,-0.01,
2023-10-12,39965929.2,0.3144,0.3328,0.2956,0.3092,-0.01,
2023-10-13,57465721.7,0.3092,0.343,0.3008,0.3184,-0.01,
2023-10-14,30985972.7,0.319,0.335,0.308,0.3099,-0.02,
2023-10-15,22254304.9,0.3099,0.3135,0.2913,0.302,-0.02,
2023-10-16,26012354.9,0.3021,0.3287,0.3,0.3067,-0.02,
2023-10-17,17233858.6,0.3068,0.3076,0.28,0.2867,-0.02,
2023-10-18,27361231.6,0.2868,0.287,0.2609,0.2651,-0.03,
2023-10-19,29523615.4,0.2651,0.2658,0.25,0.2606,-0.03,
2023-10-20,22645204.2,0.2606,0.277,0.2565,0.2604,-0.03,
2023-10-21,18579541.7,0.2608,0.2885,0.2602,0.2741,-0.03,
2023-10-22,11283211.0,0.2739,0.2754,0.258,0.2665,-0.03,
2023-10-23,15461742.7,0.2668,0.2742,0.2604,0.2738,-0.03,
2023-10-24,30103101.2,0.2739,0.2953,0.2689,0.2767,-0.03,20.86
2023-10-25,78173928.3,0.2768,0.3395,0.2718,0.3258,-0.02,53.58
2023-10-26,37926504.8,0.3259,0.342,0.2888,0.304,-0.02,48.55
2023-10-27,39950172.9,0.3042,0.3115,0.286,0.2947,-0.02,43.38
2023-10-28,16639020.8,0.2947,0.3196,0.2923,0.2973,-0.02,46.36
2023-10-29,12952698.5,0.2972,0.3157,0.292,0.3114,-0.02,52.62
2023-10-30,23934256.2,0.3114,0.3325,0.3,0.3281,-0.01,55.59
2023-10-31,53287049.6,0.3281,0.365,0.3038,0.3184,-0.01,58.75
2023-11-01,27039042.3,0.3186,0.3191,0.2816,0.3007,-0.01,60.05
2023-11-02,17606510.5,0.3009,0.31,0.2879,0.297,-0.01,60.32
2023-11-03,13599590.1,0.2971,0.2973,0.2753,0.2852,-0.01,56.6
2023-11-04,9941887.7,0.2852,0.2952,0.2825,0.293,-0.01,55.19
2023-11-05,13153871.3,0.293,0.3,0.2821,0.2877,-0.01,55.9
2023-11-06,10916191.8,0.2875,0.2935,0.2837,0.2896,-0.01,54.53
2023-11-07,11963243.3,0.2895,0.2951,0.2813,0.2936,-0.01,54.81
2023-11-08,18208423.3,0.294,0.3143,0.2931,0.311,-0.01,44.85
2023-11-09,28107757.3,0.3111,0.3226,0.2856,0.2978,-0.01,47.71
2023-11-10,21949155.7,0.2975,0.3259,0.2964,0.3196,-0.0,58.43
2023-11-11,63214542.3,0.3193,0.3798,0.316,0.3582,0.0,66.58
2023-11-12,41581029.4,0.358,0.4174,0.334,0.3799,0.01,67.9
2023-11-13,130185374.4,0.3794,0.5228,0.3749,0.3877,0.01,66.34
2023-11-14,183392247.8,0.3877,0.5564,0.3722,0.5337,0.03,83.78
2023-11-15,94525250.4,0.5337,0.584,0.46,0.5118,0.04,82.69
2023-11-16,64511677.3,0.5124,0.536,0.4312,0.4612,0.04,72.2
2023-11-17,39356914.3,0.4609,0.4902,0.4135,0.4497,0.04,72.26
2023-11-18,30350384.3,0.4497,0.4522,0.3888,0.4339,0.04,68.66
