date,volume,open,high,low,close,MACD,RSI
2023-03-24,177801774.0,0.1837,0.5134,0.1837,0.4462,0.0,
2023-03-25,118705632.0,0.4461,0.548,0.386,0.3945,-0.0,
2023-03-26,34505489.0,0.3955,0.4093,0.3549,0.362,-0.01,
2023-03-27,30226483.0,0.3615,0.369,0.3076,0.3245,-0.02,
2023-03-28,12790638.0,0.3245,0.3289,0.3004,0.3181,-0.02,
2023-03-29,17024802.0,0.3181,0.3342,0.305,0.312,-0.03,
2023-03-30,20268409.0,0.3128,0.32,0.28,0.2923,-0.03,
2023-03-31,93019626.0,0.2923,0.3919,0.286,0.3465,-0.03,
2023-04-01,18964441.0,0.3465,0.3549,0.32,0.3217,-0.03,
2023-04-02,13991234.0,0.3221,0.3225,0.2775,0.2919,-0.04,
2023-04-03,16616298.0,0.2921,0.3239,0.2819,0.301,-0.04,
2023-04-04,10827989.0,0.3017,0.3098,0.2859,0.2984,-0.04,
2023-04-05,19579847.0,0.298,0.3308,0.2955,0.3059,-0.04,
2023-04-06,13568716.0,0.3059,0.328,0.3009,0.3116,-0.04,
2023-04-07,6997394.0,0.3118,0.313,0.2878,0.2912,-0.04,24.84
2023-04-08,16481541.0,0.2908,0.2934,0.2581,0.2623,-0.04,26.82
2023-04-09,13414649.0,0.2624,0.29,0.259,0.2719,-0.04,32.83
2023-04-10,11203809.0,0.2724,0.289,0.2671,0.2753,-0.04,39.22
2023-04-11,10922234.0,0.275,0.2915,0.2648,0.2668,-0.04,38.86
2023-04-12,10597268.0,0.2672,0.2691,0.2463,0.2522,-0.04,37.48
2023-04-13,7201292.0,0.2527,0.2648,0.2501,0.2618,-0.04,43.33
2023-04-14,12177934.0,0.2623,0.2741,0.2503,0.2631,-0.04,26.28
2023-04-15,106115017.0,0.2633,0.3583,0.2563,0.3271,-0.03,51.26
2023-04-16,218243149.0,0.3271,0.5377,0.32,0.421,-0.02,73.13
2023-04-17,70874473.0,0.4213,0.4555,0.357,0.3738,-0.01,61.48
2023-04-18,33742251.0,0.3738,0.416,0.3622,0.3791,-0.01,62.61
2023-04-19,25566889.0,0.3788,0.3795,0.311,0.3267,-0.01,52.85
2023-04-20,15324056.0,0.3267,0.3303,0.2974,0.3091,-0.01,49.67
2023-04-21,79573019.0,0.3091,0.3964,0.3067,0.344,-0.0,56.75
2023-04-22,15864169.0,0.3437,0.345,0.3075,0.3242,-0.0,58.1
2023-04-23,8324492.0,0.3242,0.3257,0.2954,0.3052,-0.01,54.25
2023-04-24,10268535.0,0.3053,0.3093,0.2917,0.2992,-0.01,53.03
2023-04-25,11902176.0,0.2992,0.3271,0.2802,0.3264,-0.01,57.22
2023-04-26,70910285.0,0.3265,0.3853,0.313,0.3218,-0.01,58.64
2023-04-27,20240332.0,0.3219,0.3484,0.3172,0.3272,-0.01,58.2
2023-04-28,16273082.0,0.3272,0.3522,0.3176,0.3236,-0.0,57.55
2023-04-29,7560619.0,0.3232,0.3398,0.3164,0.3187,-0.0,48.77
2023-04-30,15060822.0,0.3187,0.3449,0.3066,0.3283,-0.0,32.0
2023-05-01,37963780.0,0.3286,0.3606,0.3251,0.3444,-0.0,43.51
2023-05-02,13436518.0,0.3447,0.3545,0.3232,0.3282,-0.0,39.28
2023-05-03,11456781.0,0.3284,0.3287,0.3025,0.3171,-0.0,47.55
2023-05-04,7034200.0,0.3172,0.3283,0.3109,0.3136,-0.0,51.24
2023-05-05,9131181.0,0.3134,0.3318,0.3086,0.3184,-0.0,41.57
2023-05-06,8740501.0,0.3182,0.3213,0.287,0.2908,-0.01,39.54
2023-05-07,6256785.0,0.2905,0.2956,0.2834,0.2888,-0.01,44.25
2023-05-08,10489962.0,0.2887,0.2912,0.251,0.2651,-0.01,39.36
