date,volume,open,high,low,close,MACD,RSI
2020-08-19,3386086.32,0.5101,0.72,0.4923,0.5526,0.0,
2020-08-20,4229768.1,0.5473,0.64,0.547,0.6114,0.0,
2020-08-21,2333052.73,0.6114,0.6284,0.5105,0.5205,0.0,
2020-08-22,2458497.96,0.5176,0.5476,0.425,0.5331,-0.0,
2020-08-23,2265337.55,0.5363,0.6087,0.523,0.5945,0.0,
2020-08-24,1876521.8,0.5945,0.6171,0.5419,0.5548,0.0,
2020-08-25,2360738.6,0.5548,0.5777,0.478,0.504,-0.0,
2020-08-26,3396164.55,0.5058,0.595,0.4777,0.5551,-0.0,
2020-08-27,3800845.13,0.556,0.6,0.4904,0.512,-0.0,
2020-08-28,3006960.35,0.5147,0.5901,0.5104,0.5449,-0.0,
2020-08-29,4164016.48,0.545,0.63,0.5412,0.622,0.0,
2020-08-30,5697472.9,0.6235,0.6701,0.6001,0.6333,0.01,
2020-08-31,4198470.6,0.6332,0.6356,0.5581,0.5695,0.01,
2020-09-01,3846917.96,0.5698,0.5698,0.5201,0.5338,0.0,
2020-09-02,3494046.07,0.5338,0.5599,0.4699,0.5212,0.0,47.55
2020-09-03,3863833.94,0.5233,0.5346,0.41,0.4264,-0.01,36.35
2020-09-04,4865052.72,0.4289,0.4582,0.35,0.4037,-0.02,40.42
2020-09-05,4467148.32,0.4037,0.44,0.2769,0.3271,-0.03,34.71
2020-09-06,5857174.7,0.325,0.45,0.285,0.3933,-0.04,35.17
2020-09-07,6316847.31,0.3933,0.4265,0.3218,0.3848,-0.04,36.87
2020-09-08,4225117.85,0.3848,0.3925,0.3293,0.3484,-0.05,37.71
2020-09-09,2775148.53,0.3457,0.3935,0.3256,0.366,-0.05,34.22
2020-09-10,3999802.78,0.366,0.4541,0.366,0.3941,-0.05,39.91
2020-09-11,2902934.77,0.3937,0.4,0.3628,0.3876,-0.05,35.9
2020-09-12,3590857.16,0.3863,0.4,0.3505,0.367,-0.05,24.57
2020-09-13,3228197.17,0.3682,0.41,0.3345,0.3446,-0.05,21.83
2020-09-14,2708056.91,0.3448,0.3804,0.337,0.3551,-0.05,26.66
2020-09-15,3573843.52,0.355,0.3715,0.3,0.3223,-0.05,26.82
2020-09-16,4590381.76,0.3224,0.3862,0.3008,0.3528,-0.05,32.24
2020-09-17,3678563.57,0.3543,0.3609,0.3041,0.3236,-0.05,37.42
2020-09-18,3646930.54,0.3249,0.349,0.3058,0.3221,-0.05,39.47
2020-09-19,9578233.37,0.3237,0.428,0.3231,0.4176,-0.04,61.14
2020-09-20,5158158.23,0.4176,0.4249,0.3352,0.3683,-0.04,46.79
2020-09-21,6150634.74,0.3674,0.3936,0.2933,0.3425,-0.04,44.8
2020-09-22,4503957.97,0.3446,0.387,0.328,0.3724,-0.04,53.0
2020-09-23,4222884.55,0.3725,0.3979,0.3325,0.3561,-0.03,48.76
2020-09-24,4090328.86,0.3561,0.41,0.3483,0.4048,-0.03,51.28
2020-09-25,2696182.49,0.405,0.4229,0.3828,0.4221,-0.02,54.01
2020-09-26,3238127.03,0.4219,0.4244,0.3814,0.394,-0.02,53.08
2020-09-27,4062498.15,0.3948,0.4045,0.3555,0.3865,-0.02,54.95
2020-09-28,3633507.22,0.3882,0.3914,0.3427,0.3435,-0.02,48.73
2020-09-29,2475090.68,0.3434,0.3617,0.34,0.3606,-0.02,54.36
2020-09-30,3442388.44,0.3598,0.38,0.3429,0.3706,-0.02,52.12
2020-10-01,5434542.99,0.3703,0.405,0.3441,0.3865,-0.02,57.75
2020-10-02,5765071.99,0.3867,0.4,0.35,0.361,-0.02,54.52
2020-10-03,2641569.38,0.3607,0.3691,0.3538,0.3551,-0.02,40.82
2020-10-04,2160845.5,0.3565,0.3578,0.3302,0.3425,-0.02,45.75
2020-10-05,3479767.97,0.3417,0.3477,0.3071,0.3159,-0.02,45.63
2020-10-06,5329614.19,0.3159,0.3276,0.2489,0.2551,-0.03,32.51
2020-10-07,6930497.95,0.2551,0.3225,0.2396,0.3003,-0.03,42.34
2020-10-08,4104227.88,0.3013,0.3196,0.2785,0.31,-0.03,35.42
2020-10-09,2012187.61,0.31,0.3378,0.3026,0.3336,-0.03,36.65
2020-10-10,3028058.6,0.3332,0.35,0.3074,0.3111,-0.03,37.28
2020-10-11,1790924.49,0.3108,0.3255,0.3032,0.306,-0.03,37.56
2020-10-12,5439765.07,0.3072,0.38,0.3037,0.3787,-0.02,54.98
2020-10-13,3430574.6,0.3787,0.3827,0.3464,0.3722,-0.01,51.69
2020-10-14,2500163.09,0.3719,0.3881,0.3501,0.361,-0.01,48.6
2020-10-15,2135296.77,0.3612,0.385,0.3372,0.3715,-0.01,47.78
2020-10-16,2181651.24,0.3715,0.3748,0.3329,0.337,-0.01,46.55
2020-10-17,749463.64,0.3372,0.3526,0.3346,0.3464,-0.01,48.76
2020-10-18,2099881.39,0.3463,0.3851,0.3438,0.3851,-0.0,55.65
2020-10-19,3170806.24,0.3852,0.386,0.3543,0.3556,-0.0,55.23
2020-10-20,2156281.92,0.3557,0.3582,0.3252,0.3361,-0.0,61.96
2020-10-21,2988986.14,0.3364,0.3525,0.3258,0.3415,-0.01,56.89
2020-10-22,2027093.81,0.342,0.3643,0.3384,0.3465,-0.01,56.21
2020-10-23,4463202.78,0.3468,0.41,0.3356,0.3965,-0.0,59.81
2020-10-24,6808274.15,0.3965,0.4552,0.3845,0.4341,0.01,68.33
2020-10-25,7234030.12,0.4345,0.4936,0.4264,0.4372,0.01,69.66
2020-10-26,13045104.68,0.438,0.515,0.4,0.4554,0.02,63.74
2020-10-27,13224691.8,0.454,0.5608,0.4364,0.5166,0.02,71.63
2020-10-28,16372904.82,0.5166,0.5822,0.4917,0.5256,0.03,74.82
2020-10-29,8532327.63,0.5256,0.5484,0.4461,0.4584,0.03,61.19
