date,volume,open,high,low,close,MACD,RSI
2020-12-30,1696277.712,13.88,31.415,6.162,8.926,0.0,
2020-12-31,341244.911,8.922,8.927,6.26,6.274,-0.21,
2021-01-01,434821.177,6.276,6.97,5.1,6.27,-0.38,
2021-01-02,360938.905,6.293,6.999,5.4,5.628,-0.55,
2021-01-03,147846.946,5.619,5.91,4.683,4.7,-0.76,
2021-01-04,175943.81,4.7,5.22,4.0,4.451,-0.93,
2021-01-05,123029.926,4.45,4.669,4.0,4.0,-1.09,
2021-01-06,160570.238,4.001,4.329,3.856,3.9,-1.21,
2021-01-07,131899.64,3.931,4.085,3.62,3.62,-1.31,
2021-01-08,189515.078,3.62,4.312,3.445,3.541,-1.38,
2021-01-09,69911.399,3.563,3.6,3.41,3.454,-1.43,
2021-01-10,80627.444,3.454,3.663,3.113,3.416,-1.46,
2021-01-11,133360.843,3.4,3.4,2.368,2.806,-1.51,
2021-01-12,48094.795,2.791,2.939,2.494,2.591,-1.55,
2021-01-13,1872290.186,2.591,7.14,2.5,5.34,-1.34,30.26
2021-01-14,1535285.078,5.34,6.0,4.356,4.57,-1.23,38.17
2021-01-15,777019.311,4.555,5.101,4.001,4.33,-1.14,36.96
2021-01-16,645494.682,4.328,5.1,4.117,4.395,-1.06,41.01
2021-01-17,267362.269,4.401,4.412,3.9,4.209,-0.99,45.99
2021-01-18,212766.319,4.211,4.4,4.06,4.104,-0.94,47.1
2021-01-19,162518.684,4.113,4.169,3.908,4.082,-0.89,50.74
2021-01-20,422065.191,4.077,4.99,3.882,4.249,-0.83,53.11
2021-01-21,170641.356,4.287,4.335,3.81,3.91,-0.8,52.56
2021-01-22,71898.138,3.911,4.055,3.636,3.918,-0.76,53.37
2021-01-23,75720.897,3.833,3.936,3.703,3.895,-0.73,53.98
2021-01-24,59693.995,3.918,3.925,3.715,3.78,-0.7,53.24
2021-01-25,96264.448,3.78,3.867,3.55,3.587,-0.69,57.51
2021-01-26,151450.478,3.587,3.771,3.372,3.691,-0.66,60.81
2021-01-27,177287.511,3.688,3.822,3.2,3.318,-0.66,12.69
2021-01-28,261052.67,3.293,4.15,3.251,3.581,-0.64,27.55
2021-01-29,208546.21,3.579,3.611,3.21,3.321,-0.63,27.31
2021-01-30,95336.796,3.321,3.479,3.211,3.448,-0.61,29.28
2021-01-31,278200.283,3.421,3.75,3.357,3.479,-0.58,32.86
2021-02-01,178808.428,3.479,4.001,3.345,3.637,-0.54,39.3
2021-02-02,333404.678,3.654,4.0,3.616,3.889,-0.48,46.0
2021-02-03,261259.682,3.899,4.55,3.841,4.16,-0.41,48.23
2021-02-04,195179.05,4.172,4.322,3.839,4.076,-0.35,53.67
2021-02-05,157982.135,4.076,4.482,4.025,4.317,-0.29,58.0
2021-02-06,331155.303,4.32,4.68,3.91,4.321,-0.23,58.6
2021-02-07,348849.303,4.322,5.0,3.904,4.108,-0.2,56.37
2021-02-08,343310.458,4.108,4.884,4.103,4.56,-0.14,67.17
2021-02-09,352010.64,4.542,4.981,4.387,4.893,-0.06,69.63
2021-02-10,482807.925,4.893,5.421,4.5,5.384,0.04,82.48
2021-02-11,631990.861,5.408,6.999,5.158,5.743,0.14,83.0
2021-02-12,1069531.088,5.747,8.49,5.719,6.85,0.31,92.8
2021-02-13,543846.785,6.85,7.9,6.591,7.135,0.46,93.06
2021-02-14,267759.09,7.136,7.249,6.484,6.762,0.55,85.51
2021-02-15,314979.718,6.749,7.0,5.121,6.227,0.57,75.9
2021-02-16,239092.404,6.172,7.075,5.954,6.643,0.61,76.67
