date,volume,open,high,low,close,MACD,RSI
2021-03-08,170165155.12,0.2818,0.5834,0.2818,0.4335,0.0,
2021-03-09,52995705.29,0.4343,0.44,0.3653,0.4015,-0.0,
2021-03-10,17158586.8,0.4018,0.4095,0.3449,0.3466,-0.01,
2021-03-11,19073076.52,0.3459,0.388,0.3301,0.38,-0.01,
2021-03-12,18956098.2,0.3796,0.425,0.3513,0.3789,-0.01,
2021-03-13,23489374.82,0.3787,0.4844,0.3519,0.4286,-0.01,
2021-03-14,53035678.43,0.4281,0.7608,0.427,0.736,0.02,
2021-03-15,150344314.15,0.7387,0.8876,0.5353,0.7217,0.04,
2021-03-16,58933482.84,0.7259,0.7259,0.5041,0.583,0.04,
2021-03-17,23272822.93,0.583,0.585,0.5,0.5477,0.04,
2021-03-18,17301356.16,0.5473,0.58,0.5106,0.513,0.04,
2021-03-19,17543039.89,0.5134,0.5916,0.505,0.5544,0.04,
2021-03-20,24095318.08,0.5545,0.64,0.5359,0.5381,0.04,
2021-03-21,12141615.92,0.5378,0.5851,0.502,0.525,0.03,
2021-03-22,24290856.55,0.5251,0.58,0.454,0.4564,0.02,51.36
2021-03-23,18713358.77,0.4565,0.4985,0.4197,0.4462,0.02,52.73
2021-03-24,12314428.95,0.4478,0.4985,0.4,0.4135,0.01,54.2
2021-03-25,12289851.08,0.4132,0.4259,0.3703,0.3945,0.0,50.93
2021-03-26,10469296.74,0.3946,0.4535,0.39,0.4449,-0.0,53.97
2021-03-27,12430857.97,0.4442,0.485,0.41,0.4382,-0.0,50.61
2021-03-28,14585531.25,0.4385,0.4987,0.436,0.4559,-0.0,21.94
2021-03-29,23737655.72,0.4573,0.5391,0.456,0.5211,0.0,31.76
2021-03-30,15953525.83,0.5218,0.5617,0.4957,0.5159,0.0,41.94
2021-03-31,11775492.05,0.5146,0.5385,0.4806,0.5025,0.01,44.27
2021-04-01,10669822.89,0.5018,0.55,0.5,0.5431,0.01,53.76
2021-04-02,9894625.28,0.5438,0.5451,0.48,0.4914,0.01,42.33
2021-04-03,14065072.72,0.4914,0.4928,0.4398,0.4466,0.0,39.59
2021-04-04,8735193.23,0.446,0.4835,0.4401,0.4757,0.0,44.59
2021-04-05,10487091.34,0.4758,0.4758,0.4381,0.4477,0.0,48.95
2021-04-06,10047413.08,0.4477,0.469,0.413,0.454,-0.0,50.95
2021-04-07,8575305.48,0.4539,0.4595,0.39,0.4096,-0.01,49.54
2021-04-08,11318515.4,0.4103,0.465,0.4057,0.447,-0.01,55.95
2021-04-09,12408531.52,0.4478,0.4945,0.4287,0.4835,-0.01,54.52
2021-04-10,36485973.83,0.4841,0.5555,0.4526,0.477,-0.0,54.55
2021-04-11,15094216.96,0.477,0.5208,0.4649,0.4941,-0.0,54.48
2021-04-12,9845159.84,0.4941,0.5018,0.4389,0.4483,-0.0,41.05
2021-04-13,6889675.82,0.4483,0.4603,0.4252,0.4369,-0.01,40.44
2021-04-14,8783542.48,0.4378,0.4618,0.4163,0.4259,-0.01,40.67
2021-04-15,8728972.03,0.427,0.4569,0.4175,0.4384,-0.01,36.31
2021-04-16,8379495.63,0.4384,0.44,0.4076,0.4275,-0.01,40.65
2021-04-17,8903120.07,0.4275,0.4535,0.4184,0.4191,-0.01,45.5
2021-04-18,10736348.99,0.4184,0.4234,0.328,0.3683,-0.02,33.58
2021-04-19,7325027.59,0.3681,0.3935,0.331,0.3362,-0.02,33.16
2021-04-20,11699749.64,0.3369,0.338,0.2948,0.3251,-0.03,30.81
2021-04-21,7238062.04,0.325,0.3487,0.3097,0.314,-0.03,34.2
2021-04-22,8510190.82,0.3145,0.339,0.2841,0.3032,-0.04,23.95
2021-04-23,10313087.46,0.3032,0.3038,0.2378,0.2697,-0.04,10.84
2021-04-24,13399241.75,0.2699,0.2888,0.241,0.2416,-0.05,10.05
2021-04-25,17172404.41,0.2424,0.2885,0.2309,0.2447,-0.05,5.56
2021-04-26,23461111.26,0.2448,0.35,0.2425,0.3164,-0.05,28.48
