date,volume,open,high,low,close,MACD,RSI
2019-04-03,700690.92,2.5,2.5,1.829,1.9835,0.0,
2019-04-04,495421.54,1.9839,2.2193,1.9396,2.1328,0.01,
2019-04-05,728503.33,2.1388,2.4723,2.1209,2.451,0.05,
2019-04-06,361413.77,2.4488,2.4488,2.2973,2.3204,0.06,
2019-04-07,368997.87,2.3238,2.3694,2.2609,2.3419,0.08,
2019-04-08,410029.91,2.3339,2.4998,2.1741,2.3309,0.09,
2019-04-09,345619.63,2.319,2.3205,2.1776,2.232,0.08,
2019-04-10,203974.68,2.232,2.3134,2.2005,2.2247,0.08,
2019-04-11,589606.37,2.2327,2.2327,1.8718,1.9854,0.06,
2019-04-12,194231.45,1.9857,2.0398,1.8555,1.9656,0.04,
2019-04-13,131179.89,1.9587,1.9945,1.8914,1.905,0.02,
2019-04-14,267973.02,1.9107,1.9776,1.8136,1.9776,0.01,
2019-04-15,340218.39,1.9776,2.0189,1.7834,1.8449,-0.01,
2019-04-16,221817.15,1.8436,1.9448,1.8163,1.9148,-0.02,
2019-04-17,206141.16,1.9152,1.9498,1.866,1.9357,-0.03,48.23
2019-04-18,184174.41,1.9395,1.9882,1.9171,1.9752,-0.03,43.66
2019-04-19,129351.72,1.9749,1.9797,1.896,1.9661,-0.03,24.03
2019-04-20,53806.65,1.9656,1.9801,1.9203,1.9568,-0.03,27.62
2019-04-21,278990.06,1.9508,1.9647,1.7605,1.8488,-0.04,22.57
2019-04-22,149660.31,1.8545,1.877,1.8091,1.8612,-0.04,23.91
2019-04-23,204709.05,1.8568,1.8755,1.742,1.742,-0.06,23.39
2019-04-24,496536.5,1.742,1.7488,1.5623,1.6633,-0.07,21.7
2019-04-25,523441.58,1.666,1.6986,1.4201,1.5118,-0.1,23.81
2019-04-26,329595.09,1.5118,1.5591,1.4395,1.5214,-0.11,25.16
2019-04-27,169567.94,1.525,1.6242,1.4818,1.5723,-0.12,31.19
2019-04-28,138636.33,1.5734,1.6041,1.5101,1.5303,-0.13,23.8
2019-04-29,218060.83,1.5274,1.5623,1.4435,1.4744,-0.14,26.16
2019-04-30,160893.09,1.4813,1.5715,1.4693,1.5619,-0.14,27.79
2019-05-01,170685.94,1.5732,1.6238,1.5654,1.6004,-0.13,29.36
2019-05-02,289628.46,1.6013,1.7628,1.569,1.6826,-0.12,32.88
2019-05-03,238462.79,1.673,1.7183,1.6266,1.6991,-0.11,34.52
2019-05-04,201694.45,1.694,1.7702,1.5525,1.6,-0.11,31.26
2019-05-05,113607.07,1.5964,1.6188,1.5589,1.5685,-0.1,33.99
2019-05-06,238412.05,1.573,1.6524,1.5036,1.6026,-0.1,35.59
2019-05-07,262785.45,1.6119,1.6736,1.5948,1.5998,-0.09,40.89
2019-05-08,181330.47,1.5952,1.7052,1.4,1.6556,-0.09,49.49
2019-05-09,94983.27,1.6475,1.6791,1.5764,1.5928,-0.08,56.05
2019-05-10,185598.39,1.5852,1.6249,1.5427,1.5849,-0.08,54.76
2019-05-11,321995.17,1.5961,1.8225,1.5768,1.7251,-0.07,60.1
2019-05-12,404933.6,1.7349,1.831,1.58,1.6482,-0.06,57.45
2019-05-13,239301.46,1.6526,1.8,1.6369,1.72,-0.05,65.21
2019-05-14,409408.73,1.711,1.88,1.7104,1.8736,-0.03,67.84
2019-05-15,391107.11,1.8708,2.2059,1.8493,2.1951,0.02,75.71
2019-05-16,804316.01,2.1971,2.4279,2.0312,2.1659,0.05,71.89
2019-05-17,502890.74,2.1659,2.1925,1.825,1.99,0.06,61.52
2019-05-18,192140.33,1.9928,2.0094,1.8672,1.8872,0.05,61.34
2019-05-19,421055.37,1.8876,2.1063,1.8827,2.0995,0.07,68.34
2019-05-20,471012.6,2.0915,2.1322,1.8704,2.0274,0.08,64.3
2019-05-21,250992.11,2.0197,2.15,1.9871,2.1054,0.09,66.2
2019-05-22,247363.94,2.1057,2.1454,1.9118,1.9122,0.08,57.56
2019-05-23,227605.57,1.9117,1.9717,1.81,1.9059,0.07,59.54
2019-05-24,151131.59,1.9079,2.0371,1.9079,1.9722,0.07,61.39
2019-05-25,77898.1,1.9723,2.005,1.9452,1.9636,0.06,57.6
2019-05-26,140865.79,1.9718,2.0846,1.9001,2.0589,0.07,62.94
2019-05-27,417525.93,2.0588,2.2737,2.0471,2.2015,0.08,64.52
2019-05-28,397753.12,2.1971,2.3136,2.158,2.2597,0.1,62.36
2019-05-29,386139.83,2.2597,2.35,2.1152,2.2889,0.11,53.69
2019-05-30,588578.52,2.2921,2.4778,2.0538,2.1704,0.11,50.17
2019-05-31,218476.11,2.1704,2.2711,2.0907,2.2593,0.11,60.58
2019-06-01,248080.35,2.2665,2.3432,2.1955,2.2232,0.11,63.93
2019-06-02,168228.62,2.2222,2.3697,2.2159,2.3537,0.12,61.31
2019-06-03,292274.64,2.3587,2.3587,2.0685,2.0903,0.11,52.39
2019-06-04,297871.93,2.0915,2.1096,1.9004,1.9639,0.08,44.81
2019-06-05,248137.94,1.9639,2.0223,1.9073,1.9672,0.07,52.34
2019-06-06,138133.39,1.962,2.0125,1.8818,1.9944,0.05,53.7
2019-06-07,373495.17,1.9974,2.0718,1.9623,2.0221,0.04,52.16
2019-06-08,115067.37,2.0117,2.0408,1.9501,1.9971,0.03,51.43
