date,volume,open,high,low,close,MACD,RSI
2019-06-01,8470112485.7,0.015,0.02848,0.01091,0.02402,0.0,
2019-06-02,1899838100.2,0.02403,0.0241,0.01933,0.02104,-0.0,
2019-06-03,1881200108.7,0.02104,0.02372,0.01959,0.02127,-0.0,
2019-06-04,2650514770.6,0.0212,0.02585,0.02,0.0235,-0.0,
2019-06-05,2953343733.7,0.02346,0.03036,0.02228,0.02835,0.0,
2019-06-06,2031334339.4,0.02835,0.03079,0.02418,0.02635,0.0,
2019-06-07,992948092.5,0.02642,0.02816,0.02457,0.02586,0.0,
2019-06-08,604978525.4,0.02585,0.02695,0.025,0.02607,0.0,
2019-06-09,1083842880.7,0.02609,0.02773,0.02353,0.02426,0.0,
2019-06-10,629297730.5,0.02425,0.02588,0.02365,0.02559,0.0,
2019-06-11,628462996.2,0.02559,0.02573,0.0222,0.0225,0.0,
2019-06-12,480045695.8,0.02249,0.02315,0.02131,0.02226,-0.0,
2019-06-13,706623161.8,0.02227,0.02486,0.02153,0.02229,-0.0,
2019-06-14,457851866.8,0.02228,0.02306,0.01961,0.02047,-0.0,
2019-06-15,393789710.3,0.02047,0.02222,0.02045,0.02159,-0.0,44.58
2019-06-16,299889853.4,0.02158,0.02164,0.0206,0.0216,-0.0,51.44
2019-06-17,325368473.3,0.0216,0.02252,0.02025,0.02044,-0.0,47.96
2019-06-18,639296718.8,0.02044,0.02398,0.02034,0.023,-0.0,48.79
2019-06-19,614862075.6,0.02301,0.02478,0.02261,0.02309,-0.0,33.52
2019-06-20,402691112.2,0.02312,0.02405,0.02131,0.02232,-0.0,36.32
2019-06-21,336867577.1,0.02232,0.02305,0.02022,0.02044,-0.0,33.19
2019-06-22,514983129.0,0.02044,0.02238,0.02025,0.02141,-0.0,36.2
2019-06-23,239413580.3,0.02141,0.02235,0.02071,0.0211,-0.0,39.73
2019-06-24,159182886.7,0.02115,0.02194,0.02053,0.02068,-0.0,33.03
2019-06-25,298598768.8,0.0207,0.02095,0.0191,0.01926,-0.0,37.34
2019-06-26,458140804.7,0.01926,0.01949,0.01674,0.0184,-0.0,35.62
2019-06-27,590734309.2,0.0184,0.02127,0.01707,0.0182,-0.0,34.95
2019-06-28,308767249.5,0.01815,0.02033,0.01811,0.01855,-0.0,42.08
2019-06-29,579468382.0,0.01854,0.02216,0.0181,0.02022,-0.0,44.59
