date,volume,open,high,low,close,MACD,RSI
2019-02-16,11683898.26,1.2,4.0,0.861,0.8691,0.0,
2019-02-17,10794099.05,0.8647,0.92,0.753,0.7766,-0.01,
2019-02-18,7156154.38,0.7766,0.7766,0.6598,0.71,-0.02,
2019-02-19,13980845.14,0.7098,0.8889,0.67,0.7759,-0.02,
2019-02-20,5000897.59,0.7786,0.81,0.7382,0.7826,-0.02,
2019-02-21,2875327.47,0.7826,0.7826,0.7073,0.7278,-0.03,
2019-02-22,1870907.42,0.7278,0.7575,0.7151,0.7358,-0.03,
2019-02-23,3629652.83,0.7358,0.7999,0.7281,0.7542,-0.03,
2019-02-24,5131174.11,0.7542,0.794,0.6126,0.6398,-0.04,
2019-02-25,2222770.41,0.6446,0.6899,0.6335,0.645,-0.05,
2019-02-26,912785.96,0.645,0.67,0.615,0.6305,-0.05,
2019-02-27,1300415.06,0.6306,0.6403,0.5774,0.5948,-0.06,
2019-02-28,1901742.12,0.5947,0.5986,0.5525,0.5768,-0.07,
2019-03-01,1460520.55,0.5769,0.5929,0.5511,0.5746,-0.07,
2019-03-02,1892712.96,0.575,0.619,0.5546,0.5708,-0.07,20.56
2019-03-03,860647.54,0.5706,0.5844,0.538,0.5522,-0.08,24.08
2019-03-04,1047321.87,0.5507,0.5562,0.48,0.5071,-0.08,25.33
2019-03-05,777854.42,0.5071,0.5444,0.4993,0.5367,-0.08,18.11
2019-03-06,693603.63,0.5366,0.543,0.507,0.5212,-0.08,15.95
2019-03-07,773791.42,0.5216,0.5494,0.515,0.534,-0.08,21.65
2019-03-08,2724291.46,0.5338,0.6076,0.5181,0.524,-0.08,19.2
2019-03-09,991144.04,0.5295,0.56,0.5161,0.54,-0.08,18.63
2019-03-10,1095067.84,0.5387,0.54,0.49,0.5151,-0.08,25.25
2019-03-11,1594759.75,0.515,0.5517,0.4701,0.4899,-0.08,21.48
2019-03-12,1811584.37,0.4899,0.5616,0.4788,0.511,-0.07,28.55
2019-03-13,21698353.51,0.511,0.88,0.5105,0.739,-0.05,65.31
2019-03-14,12290758.11,0.7411,0.7658,0.6,0.6234,-0.04,54.1
2019-03-15,6334297.44,0.623,0.6417,0.5898,0.64,-0.04,55.61
2019-03-16,4039435.77,0.64,0.642,0.6135,0.6295,-0.03,54.98
2019-03-17,10264349.23,0.6295,0.655,0.6151,0.6448,-0.02,57.9
2019-03-18,10278355.63,0.6448,0.6448,0.61,0.6245,-0.02,60.46
2019-03-19,10846968.48,0.6245,0.6245,0.5969,0.6114,-0.02,56.85
2019-03-20,25717847.18,0.6108,0.6617,0.6,0.658,-0.01,61.88
2019-03-21,4865155.26,0.6575,0.6842,0.58,0.6255,-0.01,57.68
2019-03-22,1610625.05,0.6263,0.6499,0.6232,0.6452,-0.01,60.01
2019-03-23,591664.75,0.6445,0.6445,0.6236,0.6347,-0.01,57.89
2019-03-24,658208.71,0.6348,0.638,0.6111,0.6261,-0.01,59.51
2019-03-25,738350.15,0.626,0.6264,0.58,0.596,-0.01,59.01
2019-03-26,731879.74,0.5965,0.5995,0.5525,0.5863,-0.01,56.52
2019-03-27,687179.95,0.5853,0.6196,0.5772,0.6088,-0.01,32.48
2019-03-28,738495.8,0.6079,0.628,0.5911,0.6064,-0.01,46.71
2019-03-29,391664.32,0.6054,0.6065,0.5922,0.6001,-0.01,41.96
2019-03-30,559477.49,0.6005,0.6076,0.5788,0.5925,-0.01,42.46
2019-03-31,583199.5,0.5921,0.6023,0.5828,0.5998,-0.01,40.51
2019-04-01,424450.75,0.601,0.6023,0.5894,0.5939,-0.01,43.13
2019-04-02,2174087.28,0.5967,0.63,0.578,0.6294,-0.01,53.67
2019-04-03,2678909.56,0.6298,0.6727,0.5966,0.6133,-0.01,39.59
2019-04-04,1806153.86,0.6096,0.6639,0.6075,0.6442,-0.0,54.39
2019-04-05,671220.35,0.6424,0.6636,0.6377,0.6577,0.0,53.02
2019-04-06,881623.89,0.6584,0.6796,0.635,0.6485,0.0,53.36
2019-04-07,462442.01,0.6467,0.6549,0.6292,0.642,0.0,53.91
2019-04-08,630893.2,0.642,0.6482,0.5973,0.6218,0.0,56.66
2019-04-09,832250.63,0.6218,0.6219,0.559,0.5989,0.0,53.05
2019-04-10,547382.46,0.5984,0.6099,0.5866,0.5933,-0.0,45.92
2019-04-11,1501249.61,0.5944,0.6091,0.4872,0.5281,-0.01,34.51
2019-04-12,542263.39,0.5247,0.5293,0.4916,0.5238,-0.01,34.78
