date,volume,open,high,low,close,MACD,RSI
2018-06-08,1158418.958,8.335,8.642,8.01,8.28,0.0,
2018-06-09,2017942.632,8.277,8.501,8.02,8.03,-0.02,
2018-06-10,3664477.215,8.024,8.024,6.401,6.86,-0.13,
2018-06-11,2709980.694,6.858,7.08,6.22,7.01,-0.2,
2018-06-12,2719937.468,7.008,7.011,6.11,6.286,-0.31,
2018-06-13,2846137.856,6.286,6.384,5.45,5.932,-0.42,
2018-06-14,3453989.018,5.933,6.469,5.765,6.321,-0.48,
2018-06-15,2204747.277,6.316,6.353,5.9,5.951,-0.54,
2018-06-16,2185717.184,5.952,6.175,5.803,6.095,-0.57,
2018-06-17,2395343.991,6.099,6.329,6.03,6.149,-0.59,
2018-06-18,3141273.222,6.149,6.842,6.022,6.683,-0.55,
2018-06-19,2952556.012,6.684,6.85,6.452,6.755,-0.51,
2018-06-20,2792830.242,6.759,6.77,6.343,6.61,-0.48,
2018-06-21,2344022.653,6.603,6.699,6.21,6.363,-0.48,
2018-06-22,3338273.432,6.364,6.367,5.173,5.308,-0.55,23.74
2018-06-23,2609662.462,5.308,5.478,4.9,5.099,-0.62,23.91
2018-06-24,6212603.952,5.1,5.701,4.126,5.08,-0.67,30.07
2018-06-25,5560691.717,5.083,5.864,4.8,5.6,-0.65,35.42
2018-06-26,2948005.99,5.608,5.739,5.012,5.044,-0.68,36.7
2018-06-27,3290172.953,5.04,5.517,4.988,5.417,-0.67,44.51
2018-06-28,4408473.655,5.417,5.496,4.54,4.793,-0.7,34.48
2018-06-29,4291786.633,4.774,5.307,4.661,5.167,-0.68,42.04
2018-06-30,4426841.407,5.163,5.68,5.068,5.29,-0.65,41.79
2018-07-01,2968997.837,5.295,5.35,4.91,5.092,-0.64,39.53
2018-07-02,3856591.564,5.098,5.647,4.85,5.331,-0.6,35.78
2018-07-03,3838563.591,5.331,5.49,4.912,4.995,-0.59,32.46
2018-07-04,2212902.016,4.996,5.22,4.919,5.015,-0.58,33.7
2018-07-05,2509234.512,5.023,5.185,4.69,4.905,-0.57,34.67
2018-07-06,2483220.265,4.906,4.919,4.39,4.618,-0.57,41.35
2018-07-07,1898164.703,4.612,4.65,4.27,4.637,-0.57,43.92
2018-07-08,2598090.544,4.631,4.709,4.454,4.53,-0.57,42.92
2018-07-09,3549044.814,4.526,4.53,4.011,4.073,-0.6,30.03
2018-07-10,3875568.001,4.073,4.169,3.552,3.563,-0.66,30.39
2018-07-11,4114552.591,3.563,3.794,3.308,3.532,-0.7,22.56
2018-07-12,3444023.126,3.532,3.532,3.14,3.333,-0.74,25.75
2018-07-13,3866699.661,3.338,3.692,3.28,3.366,-0.76,16.26
2018-07-14,2667030.097,3.366,3.495,3.21,3.372,-0.77,12.42
2018-07-15,2678345.777,3.374,3.561,3.306,3.443,-0.76,16.0
2018-07-16,3421041.211,3.444,3.8,3.38,3.728,-0.72,17.56
2018-07-17,4158246.269,3.721,3.99,3.525,3.872,-0.67,25.36
2018-07-18,3662005.919,3.863,4.074,3.644,3.728,-0.63,23.22
2018-07-19,2435880.804,3.72,3.86,3.46,3.539,-0.61,22.48
2018-07-20,1762620.504,3.539,3.614,3.256,3.32,-0.61,23.12
2018-07-21,815068.151,3.319,3.54,3.2,3.429,-0.59,25.88
2018-07-22,1132855.326,3.429,3.498,3.191,3.243,-0.58,25.09
2018-07-23,1231694.596,3.243,3.36,3.07,3.108,-0.58,28.66
