date,volume,open,high,low,close,MACD,RSI
2021-12-24,9018687273.0,0.02156,1.8,0.01,0.04371,0.0,
2021-12-25,9559466641.0,0.04373,0.0619,0.03942,0.04961,0.0,
2021-12-26,2314838443.0,0.04955,0.05493,0.04582,0.04784,0.0,
2021-12-27,1204390619.0,0.04789,0.04798,0.0404,0.04069,0.0,
2021-12-28,962547988.0,0.0407,0.04161,0.03365,0.03563,-0.0,
2021-12-29,1607626247.0,0.03567,0.04471,0.034,0.03824,-0.0,
2021-12-30,763559915.0,0.03823,0.04141,0.03545,0.03589,-0.0,
2021-12-31,455058565.0,0.03589,0.03778,0.03326,0.03441,-0.0,
2022-01-01,454262792.0,0.0344,0.03705,0.03338,0.03472,-0.0,
2022-01-02,345472428.0,0.03472,0.03577,0.0335,0.03408,-0.0,
2022-01-03,415727485.0,0.03406,0.03406,0.03015,0.03097,-0.0,
2022-01-04,421909363.0,0.03101,0.0323,0.02907,0.0298,-0.0,
2022-01-05,412486116.0,0.0298,0.03099,0.0242,0.0257,-0.0,
2022-01-06,465632432.0,0.02575,0.0295,0.024,0.02741,-0.0,
2022-01-07,1169953482.0,0.02748,0.03,0.02467,0.02634,-0.0,27.4
2022-01-08,379261265.0,0.02634,0.02731,0.02303,0.02434,-0.0,13.41
2022-01-09,245576341.0,0.0244,0.02494,0.0232,0.02384,-0.0,13.92
2022-01-10,437649756.0,0.02384,0.02447,0.01991,0.0213,-0.01,16.16
2022-01-11,295592055.0,0.02131,0.0221,0.0201,0.02132,-0.01,19.7
2022-01-12,388515946.0,0.02132,0.0228,0.02087,0.02221,-0.01,13.39
2022-01-13,374556614.0,0.02221,0.0226,0.01982,0.02019,-0.01,13.59
2022-01-14,285895771.0,0.02023,0.02123,0.02,0.0205,-0.01,15.89
2022-01-15,277932730.0,0.0205,0.02195,0.02027,0.02068,-0.01,15.35
2022-01-16,235105582.0,0.02068,0.0208,0.01963,0.01965,-0.01,15.06
2022-01-17,279904936.0,0.01967,0.02007,0.01764,0.01808,-0.01,16.27
2022-01-18,268823052.0,0.01808,0.01853,0.01638,0.01713,-0.01,16.46
2022-01-19,327014933.0,0.01713,0.0178,0.01582,0.0163,-0.01,19.91
2022-01-20,229386022.0,0.0163,0.01684,0.01526,0.0154,-0.01,9.45
2022-01-21,558765382.0,0.0154,0.01558,0.01169,0.01203,-0.01,8.18
2022-01-22,440329073.0,0.012,0.01238,0.00932,0.01058,-0.01,8.45
2022-01-23,282056494.0,0.01057,0.01162,0.01011,0.01097,-0.01,10.88
2022-01-24,1116969316.0,0.01097,0.01373,0.00932,0.0132,-0.01,24.91
2022-01-25,923697386.0,0.01322,0.01394,0.0115,0.012,-0.01,23.09
2022-01-26,434164490.0,0.012,0.01318,0.01154,0.01179,-0.01,18.69
2022-01-27,281472181.0,0.01176,0.01204,0.01083,0.01148,-0.01,20.83
2022-01-28,344114576.0,0.01148,0.01299,0.01103,0.01199,-0.01,21.88
2022-01-29,1351268998.0,0.01199,0.01478,0.01199,0.0142,-0.0,31.12
2022-01-30,627012118.0,0.01422,0.01494,0.01284,0.01306,-0.0,30.92
2022-01-31,359137360.0,0.01306,0.01393,0.01222,0.01307,-0.0,34.05
2022-02-01,302541600.0,0.01306,0.01365,0.01291,0.01313,-0.0,36.5
2022-02-02,5734319470.0,0.01313,0.02475,0.01299,0.02046,-0.0,59.76
2022-02-03,5485162268.0,0.02046,0.0264,0.01721,0.01748,-0.0,54.44
2022-02-04,1251045192.0,0.01748,0.0205,0.01708,0.01871,-0.0,65.71
2022-02-05,967927211.0,0.01872,0.0204,0.01847,0.01945,-0.0,71.58
2022-02-06,647542635.0,0.01945,0.0197,0.01745,0.0183,-0.0,67.2
2022-02-07,1162291009.0,0.01828,0.0217,0.0179,0.01915,-0.0,64.93
2022-02-08,724585872.0,0.0192,0.0196,0.01775,0.01831,-0.0,66.12
2022-02-09,1212068966.0,0.01832,0.02255,0.01814,0.02118,-0.0,71.12
2022-02-10,1773989652.0,0.0212,0.02338,0.01871,0.01968,-0.0,67.51
2022-02-11,1171838348.0,0.01965,0.02239,0.01865,0.01902,-0.0,64.91
2022-02-12,570275911.0,0.019,0.01961,0.0177,0.01842,-0.0,59.61
2022-02-13,473958104.0,0.01842,0.01888,0.01681,0.01684,-0.0,58.44
2022-02-14,465554983.0,0.01684,0.01725,0.0157,0.01661,-0.0,57.82
2022-02-15,431746984.0,0.01661,0.01848,0.01648,0.01795,-0.0,60.08
2022-02-16,261447426.0,0.01795,0.0182,0.0168,0.01713,-0.0,40.43
2022-02-17,289519123.0,0.01711,0.01748,0.01524,0.01544,-0.0,43.66
2022-02-18,291151215.0,0.01544,0.01621,0.01453,0.01471,-0.0,37.18
2022-02-19,1511589451.0,0.01471,0.0182,0.01467,0.01632,-0.0,40.5
2022-02-20,1231873346.0,0.0163,0.01846,0.01495,0.01515,-0.0,40.45
2022-02-21,579909632.0,0.01518,0.01669,0.0138,0.01399,-0.0,34.64
2022-02-22,618316327.0,0.01399,0.016,0.01285,0.01447,-0.0,38.32
2022-02-23,389601339.0,0.01448,0.01492,0.01348,0.01349,-0.0,23.57
2022-02-24,726010620.0,0.01349,0.01366,0.01127,0.01273,-0.0,24.84
2022-02-25,530083806.0,0.01273,0.01389,0.01265,0.01358,-0.0,30.57
2022-02-26,344469967.0,0.01356,0.01405,0.01313,0.01337,-0.0,31.45
2022-02-27,1469597464.0,0.01339,0.01648,0.01272,0.01411,-0.0,39.31
2022-02-28,839814351.0,0.01409,0.01513,0.01367,0.01496,-0.0,43.84
2022-03-01,554146344.0,0.01498,0.0159,0.0145,0.01482,-0.0,37.16
2022-03-02,422592762.0,0.0148,0.0157,0.01418,0.01454,-0.0,38.88
2022-03-03,285821754.0,0.01454,0.0147,0.01352,0.01385,-0.0,42.54
2022-03-04,259785647.0,0.01385,0.0142,0.0126,0.01274,-0.0,41.07
2022-03-05,769822969.0,0.01274,0.01475,0.01239,0.01381,-0.0,38.04
2022-03-06,326487673.0,0.01381,0.01413,0.01273,0.01287,-0.0,38.89
2022-03-07,262349959.0,0.01286,0.01339,0.01257,0.01276,-0.0,43.32
