date,volume,open,high,low,close,MACD,RSI
2022-06-01,135155408.59,1.44,2.2,1.039,1.232,0.0,
2022-06-02,161990275.44,1.234,1.633,1.05,1.546,0.03,
2022-06-03,107910196.98,1.546,1.653,1.289,1.362,0.03,
2022-06-04,64765398.99,1.362,1.484,1.297,1.393,0.04,
2022-06-05,60514926.55,1.393,1.435,1.151,1.165,0.02,
2022-06-06,56800791.33,1.166,1.368,1.14,1.321,0.02,
2022-06-07,55366240.19,1.32,1.32,1.05,1.108,0.01,
2022-06-08,88951203.12,1.107,1.118,0.698,0.73,-0.04,
2022-06-09,76146385.37,0.73,0.91,0.721,0.824,-0.06,
2022-06-10,100513428.21,0.824,0.98,0.795,0.879,-0.08,
2022-06-11,58235387.04,0.88,0.93,0.728,0.762,-0.1,
2022-06-12,85200521.97,0.762,0.777,0.625,0.645,-0.12,
2022-06-13,100777103.8,0.644,0.668,0.498,0.546,-0.15,
2022-06-14,67945402.65,0.546,0.626,0.512,0.565,-0.16,
2022-06-15,66215419.15,0.564,0.603,0.47,0.593,-0.17,34.28
2022-06-16,46284530.81,0.593,0.627,0.48,0.489,-0.19,21.01
2022-06-17,26253084.27,0.491,0.529,0.485,0.518,-0.19,24.7
2022-06-18,49944264.83,0.519,0.529,0.396,0.451,-0.2,22.36
2022-06-19,33706776.84,0.45,0.528,0.435,0.509,-0.2,28.62
2022-06-20,41337567.58,0.509,0.546,0.469,0.501,-0.2,20.42
2022-06-21,43452577.6,0.502,0.575,0.491,0.515,-0.19,25.02
2022-06-22,28952466.07,0.515,0.515,0.459,0.462,-0.19,34.45
2022-06-23,24962867.92,0.463,0.532,0.461,0.522,-0.18,31.76
2022-06-24,72524536.21,0.522,0.644,0.511,0.59,-0.17,32.82
2022-06-25,71824375.21,0.59,0.657,0.55,0.581,-0.16,37.65
2022-06-26,46121771.44,0.582,0.637,0.528,0.539,-0.15,41.95
2022-06-27,22433672.86,0.539,0.582,0.515,0.537,-0.14,49.2
2022-06-28,39092861.63,0.536,0.566,0.506,0.529,-0.13,46.73
2022-06-29,53810583.24,0.528,0.615,0.52,0.581,-0.12,48.95
2022-06-30,34273852.28,0.581,0.61,0.505,0.547,-0.11,55.75
2022-07-01,17786719.42,0.547,0.573,0.517,0.53,-0.11,51.22
2022-07-02,12136648.11,0.53,0.548,0.508,0.525,-0.1,58.6
2022-07-03,7229801.3,0.526,0.535,0.511,0.522,-0.1,51.73
2022-07-04,14301513.41,0.523,0.57,0.513,0.56,-0.09,57.28
2022-07-05,17251814.18,0.56,0.572,0.515,0.524,-0.08,51.05
2022-07-06,12308465.63,0.524,0.557,0.517,0.544,-0.08,60.41
2022-07-07,20475885.58,0.543,0.59,0.543,0.577,-0.07,57.49
2022-07-08,20417572.43,0.577,0.627,0.557,0.566,-0.06,46.13
2022-07-09,9416532.19,0.567,0.586,0.557,0.574,-0.06,48.87
2022-07-10,9396120.9,0.572,0.575,0.525,0.533,-0.06,49.03
2022-07-11,11050982.56,0.533,0.535,0.473,0.481,-0.06,42.18
2022-07-12,17022655.02,0.481,0.49,0.444,0.45,-0.06,39.63
2022-07-13,29615313.24,0.45,0.476,0.405,0.475,-0.06,35.03
2022-07-14,23670536.9,0.474,0.503,0.441,0.492,-0.06,41.84
2022-07-15,19598025.98,0.492,0.513,0.474,0.483,-0.06,42.86
2022-07-16,20486504.9,0.483,0.535,0.471,0.522,-0.05,49.59
2022-07-17,73415867.41,0.521,0.615,0.514,0.581,-0.04,57.04
2022-07-18,165781778.86,0.581,0.833,0.563,0.817,-0.01,70.83
2022-07-19,80725408.75,0.816,0.84,0.702,0.721,-0.0,64.55
2022-07-20,88485408.23,0.721,0.842,0.669,0.685,0.01,60.17
2022-07-21,60792604.79,0.685,0.79,0.651,0.776,0.02,63.25
2022-07-22,89588005.0,0.777,0.877,0.731,0.835,0.03,66.83
2022-07-23,101383782.66,0.836,0.96,0.808,0.94,0.05,70.42
2022-07-24,60676006.05,0.94,0.976,0.891,0.919,0.07,72.03
2022-07-25,52472011.77,0.919,0.924,0.79,0.795,0.07,66.56
2022-07-26,46223163.42,0.795,0.83,0.746,0.827,0.07,69.86
2022-07-27,78319681.99,0.827,1.083,0.805,1.052,0.09,75.11
2022-07-28,156729992.66,1.051,1.555,1.03,1.448,0.13,81.28
2022-07-29,187712245.65,1.448,1.97,1.406,1.838,0.2,85.49
2022-07-30,80762939.05,1.838,1.89,1.64,1.808,0.24,83.84
2022-07-31,43840563.01,1.808,1.811,1.569,1.583,0.26,74.25
2022-08-01,49308625.64,1.582,1.69,1.427,1.509,0.26,68.17
2022-08-02,78766374.9,1.509,1.671,1.362,1.636,0.27,73.64
2022-08-03,118871511.54,1.635,2.191,1.54,1.991,0.3,78.97
2022-08-04,108544334.53,1.991,2.243,1.824,1.918,0.32,75.54
2022-08-05,79059509.01,1.917,2.082,1.796,1.943,0.33,75.16
2022-08-06,51279182.47,1.946,2.055,1.87,1.9,0.33,72.43
2022-08-07,34122133.52,1.901,2.0,1.89,1.911,0.33,73.29
2022-08-08,49212439.39,1.911,2.077,1.841,1.898,0.32,77.32
2022-08-09,63294913.93,1.898,1.926,1.604,1.615,0.29,67.36
2022-08-10,86820834.63,1.616,1.839,1.536,1.569,0.26,62.36
2022-08-11,68036131.25,1.569,1.723,1.49,1.554,0.23,53.1
2022-08-12,46031386.7,1.555,1.661,1.531,1.649,0.22,43.32
2022-08-13,38793008.27,1.65,1.703,1.511,1.541,0.19,41.06
2022-08-14,37965504.38,1.542,1.587,1.374,1.438,0.16,44.71
2022-08-15,65733983.17,1.438,1.57,1.379,1.57,0.15,52.13
2022-08-16,45188412.09,1.569,1.6,1.415,1.455,0.12,43.61
2022-08-17,44259816.29,1.455,1.5,1.259,1.321,0.09,21.99
2022-08-18,32112884.84,1.322,1.372,1.185,1.196,0.06,21.07
2022-08-19,79735881.45,1.195,1.271,1.096,1.221,0.03,21.07
2022-08-20,49780846.28,1.22,1.296,1.09,1.13,0.01,20.29
2022-08-21,34252057.14,1.132,1.226,1.117,1.176,-0.01,22.39
2022-08-22,40080875.03,1.178,1.206,1.091,1.167,-0.03,22.46
2022-08-23,64350067.0,1.168,1.355,1.12,1.333,-0.02,38.35
2022-08-24,39145651.73,1.332,1.338,1.22,1.226,-0.03,36.51
2022-08-25,25533498.42,1.227,1.283,1.162,1.178,-0.04,35.58
2022-08-26,39647094.69,1.178,1.186,1.002,1.019,-0.06,26.97
2022-08-27,26776588.01,1.019,1.053,0.989,1.023,-0.07,29.51
2022-08-28,27938924.44,1.023,1.089,1.013,1.054,-0.08,33.89
2022-08-29,47012266.34,1.054,1.2,1.026,1.173,-0.08,33.16
2022-08-30,40881238.82,1.173,1.198,1.059,1.084,-0.08,33.91
2022-08-31,37007506.01,1.084,1.216,1.084,1.129,-0.08,40.98
2022-09-01,31040357.82,1.13,1.192,1.072,1.178,-0.07,49.09
2022-09-02,47970369.16,1.178,1.308,1.144,1.232,-0.06,50.54
2022-09-03,17821047.73,1.232,1.246,1.169,1.194,-0.05,53.32
2022-09-04,19831287.43,1.193,1.223,1.128,1.175,-0.05,49.95
2022-09-05,24179431.42,1.175,1.21,1.111,1.198,-0.04,51.63
2022-09-06,51854806.49,1.197,1.27,1.081,1.095,-0.05,36.6
2022-09-07,28846860.39,1.094,1.187,1.064,1.172,-0.04,46.85
2022-09-08,27060981.25,1.172,1.202,1.114,1.178,-0.04,50.0
2022-09-09,63109854.4,1.179,1.466,1.178,1.411,-0.02,72.02
2022-09-10,44461600.56,1.412,1.479,1.335,1.387,-0.0,70.0
2022-09-11,34453383.13,1.387,1.458,1.327,1.401,0.01,69.43
2022-09-12,34824409.84,1.402,1.43,1.255,1.267,0.01,55.18
2022-09-13,49499193.39,1.267,1.333,1.15,1.183,0.0,55.48
2022-09-14,36231542.78,1.183,1.237,1.132,1.215,0.0,54.83
2022-09-15,55461566.77,1.215,1.288,1.112,1.132,-0.01,47.51
2022-09-16,28988579.73,1.132,1.142,1.058,1.112,-0.02,43.26
2022-09-17,14271506.09,1.112,1.137,1.085,1.131,-0.02,46.38
2022-09-18,24875331.52,1.131,1.139,0.901,0.93,-0.04,38.37
2022-09-19,37455090.52,0.93,0.982,0.888,0.953,-0.05,38.37
2022-09-20,26701462.69,0.953,0.961,0.876,0.919,-0.07,41.06
2022-09-21,43791472.23,0.919,1.064,0.862,0.891,-0.08,34.97
2022-09-22,40693020.18,0.891,0.957,0.889,0.938,-0.08,37.7
2022-09-23,28905538.79,0.938,0.99,0.898,0.947,-0.08,19.15
2022-09-24,11077796.29,0.948,0.955,0.91,0.919,-0.09,19.05
2022-09-25,10584782.1,0.918,0.952,0.885,0.905,-0.09,17.2
2022-09-26,11727584.93,0.904,0.926,0.886,0.922,-0.09,23.0
2022-09-27,21767026.87,0.923,0.991,0.896,0.919,-0.09,26.34
2022-09-28,15786888.08,0.919,0.924,0.865,0.909,-0.09,21.46
2022-09-29,11384250.86,0.909,0.926,0.882,0.905,-0.08,25.16
2022-09-30,11721438.16,0.906,0.92,0.885,0.91,-0.08,27.15
2022-10-01,7540066.35,0.911,0.928,0.886,0.893,-0.08,22.95
2022-10-02,9049941.94,0.893,0.902,0.832,0.843,-0.08,34.95
2022-10-03,12930784.32,0.843,0.879,0.833,0.868,-0.08,35.4
