date,volume,open,high,low,close,MACD,RSI
2020-09-21,92157123.61,0.3015,0.771,0.3015,0.3621,0.0,
2020-09-22,22729502.79,0.3621,0.3756,0.2792,0.296,-0.01,
2020-09-23,6450314.01,0.2968,0.3095,0.2581,0.2624,-0.01,
2020-09-24,4879778.12,0.2621,0.3099,0.2596,0.3013,-0.01,
2020-09-25,6544071.44,0.3024,0.3308,0.2846,0.2992,-0.02,
2020-09-26,1670100.2,0.2992,0.3076,0.2922,0.3068,-0.02,
2020-09-27,1850226.16,0.3065,0.3079,0.2885,0.2946,-0.02,
2020-09-28,5723051.11,0.2946,0.3403,0.2933,0.3141,-0.02,
2020-09-29,2961965.39,0.3146,0.321,0.2807,0.2994,-0.02,
2020-09-30,2503323.19,0.2995,0.3087,0.28,0.2907,-0.02,
2020-10-01,3043855.86,0.2906,0.3028,0.2777,0.2827,-0.02,
2020-10-02,3271094.5,0.2823,0.2825,0.2592,0.2715,-0.02,
2020-10-03,1205674.76,0.2714,0.2788,0.2661,0.27,-0.02,
2020-10-04,1660566.86,0.2702,0.2719,0.2588,0.2626,-0.02,
2020-10-05,2753989.21,0.2629,0.2856,0.2612,0.2666,-0.02,29.72
2020-10-06,2518726.67,0.2692,0.277,0.241,0.2456,-0.02,36.76
2020-10-07,1840826.54,0.2457,0.2557,0.2358,0.2508,-0.03,46.42
2020-10-08,2057690.87,0.2507,0.26,0.2409,0.2507,-0.03,29.46
2020-10-09,4626946.47,0.2514,0.28,0.2483,0.273,-0.02,40.86
2020-10-10,3180322.38,0.2725,0.2875,0.2658,0.2683,-0.02,36.3
2020-10-11,994811.86,0.2676,0.273,0.2592,0.2667,-0.02,39.26
2020-10-12,1346503.68,0.2671,0.2798,0.2635,0.2704,-0.02,30.85
2020-10-13,1131082.57,0.2689,0.2745,0.2596,0.2632,-0.02,33.02
2020-10-14,1307760.29,0.2636,0.2694,0.2504,0.2564,-0.02,33.62
2020-10-15,3785807.43,0.2556,0.257,0.2402,0.2472,-0.02,33.24
2020-10-16,926900.97,0.2472,0.2598,0.2392,0.2489,-0.02,38.28
2020-10-17,593821.63,0.2487,0.2541,0.2408,0.2468,-0.02,38.04
2020-10-18,178429.84,0.2469,0.2509,0.2435,0.2477,-0.02,41.77
2020-10-19,658698.64,0.2485,0.25,0.2408,0.2423,-0.02,36.78
2020-10-20,1265767.63,0.2414,0.2445,0.223,0.226,-0.02,38.76
2020-10-21,1519245.48,0.227,0.2581,0.227,0.2345,-0.02,40.99
2020-10-22,2063226.8,0.2345,0.2552,0.2333,0.2409,-0.02,44.94
2020-10-23,1221523.15,0.2409,0.252,0.2407,0.243,-0.02,30.42
2020-10-24,1164682.77,0.2425,0.2501,0.241,0.2442,-0.02,33.52
2020-10-25,3602299.75,0.244,0.2799,0.2436,0.2536,-0.01,41.9
2020-10-26,2054775.55,0.2544,0.2573,0.2367,0.2485,-0.01,36.7
2020-10-27,561756.32,0.2482,0.2502,0.239,0.2394,-0.01,35.87
2020-10-28,1576499.14,0.2393,0.2439,0.2235,0.2271,-0.01,33.67
2020-10-29,1013847.87,0.2273,0.2311,0.2102,0.2128,-0.01,31.86
2020-10-30,1654699.11,0.2139,0.218,0.205,0.2127,-0.02,30.58
2020-10-31,365819.39,0.2115,0.218,0.2096,0.218,-0.02,35.06
2020-11-01,1048911.61,0.2176,0.224,0.2048,0.2109,-0.02,32.07
2020-11-02,729135.81,0.2097,0.2155,0.206,0.2091,-0.02,33.23
2020-11-03,1234739.23,0.2092,0.2232,0.1967,0.2014,-0.02,36.39
2020-11-04,603685.91,0.2014,0.2095,0.196,0.2008,-0.02,29.58
2020-11-05,1018675.22,0.2008,0.2105,0.1986,0.2032,-0.02,25.99
2020-11-06,5587388.88,0.2029,0.2699,0.2024,0.2346,-0.02,46.1
2020-11-07,4186489.88,0.2342,0.244,0.2103,0.2145,-0.01,38.28
2020-11-08,2139856.4,0.2145,0.24,0.2142,0.2236,-0.01,38.13
2020-11-09,2615216.35,0.2248,0.2304,0.2154,0.2203,-0.01,38.68
2020-11-10,6189067.11,0.2206,0.2441,0.2171,0.2332,-0.01,47.59
2020-11-11,4081956.9,0.2332,0.2444,0.2277,0.2335,-0.01,52.75
2020-11-12,2187042.61,0.2337,0.2342,0.2201,0.223,-0.01,54.53
2020-11-13,2234147.96,0.2229,0.237,0.2229,0.2327,-0.01,58.18
2020-11-14,1567879.23,0.232,0.2334,0.2208,0.2254,-0.01,52.98
2020-11-15,1040282.73,0.2252,0.2296,0.2166,0.2222,-0.01,54.7
2020-11-16,2692379.9,0.2214,0.229,0.2144,0.224,-0.01,56.19
2020-11-17,2287249.54,0.2244,0.2288,0.2204,0.2254,-0.0,60.53
2020-11-18,16332868.1,0.2255,0.2963,0.2223,0.2646,-0.0,70.9
2020-11-19,6245601.9,0.2646,0.27,0.2391,0.2479,0.0,63.39
2020-11-20,4643948.15,0.248,0.2525,0.2409,0.2442,0.0,53.45
2020-11-21,5732672.03,0.2449,0.2682,0.2432,0.2575,0.0,66.24
2020-11-22,5730856.46,0.2571,0.2681,0.242,0.2507,0.0,60.42
2020-11-23,20661869.12,0.2502,0.34,0.2455,0.3094,0.01,74.02
2020-11-24,15741649.68,0.3095,0.3736,0.3009,0.3356,0.01,75.75
2020-11-25,7592023.31,0.3356,0.355,0.2919,0.308,0.02,66.48
2020-11-26,4854242.74,0.3079,0.3104,0.2544,0.2682,0.02,58.85
2020-11-27,2343329.6,0.2682,0.2769,0.2569,0.2701,0.01,57.55
2020-11-28,4781634.16,0.27,0.3053,0.264,0.2976,0.02,63.48
2020-11-29,4327779.63,0.2976,0.327,0.2889,0.3109,0.02,65.96
2020-11-30,3201763.94,0.3119,0.318,0.2984,0.316,0.02,66.36
2020-12-01,3501658.04,0.3159,0.3171,0.2856,0.2893,0.02,60.42
2020-12-02,3940113.64,0.2897,0.3014,0.2832,0.295,0.02,55.57
2020-12-03,3743846.54,0.2949,0.3109,0.2895,0.2973,0.02,59.55
2020-12-04,12858188.93,0.297,0.348,0.2859,0.3104,0.02,62.35
2020-12-05,8582390.93,0.3099,0.3429,0.301,0.3069,0.02,59.57
2020-12-06,3226000.68,0.307,0.3166,0.3008,0.3037,0.02,60.41
2020-12-07,2429210.44,0.3041,0.3159,0.2987,0.3016,0.02,48.03
2020-12-08,5515089.62,0.3021,0.3289,0.2732,0.2808,0.01,35.77
2020-12-09,5871097.9,0.2804,0.2897,0.2623,0.2749,0.01,40.32
2020-12-10,7103839.47,0.2756,0.2797,0.2494,0.2529,0.01,45.0
2020-12-11,3836597.31,0.2526,0.2607,0.2446,0.2463,0.0,42.46
2020-12-12,3509927.88,0.2464,0.2745,0.2451,0.2589,0.0,36.46
2020-12-13,2800234.77,0.2594,0.2673,0.2552,0.2609,0.0,31.0
2020-12-14,2682895.01,0.2613,0.265,0.2534,0.2568,-0.0,27.34
2020-12-15,2409983.24,0.2569,0.2695,0.2518,0.2527,-0.0,33.06
2020-12-16,3798788.85,0.2526,0.2684,0.2474,0.2665,-0.0,37.73
2020-12-17,5911717.9,0.2675,0.2747,0.251,0.2585,-0.0,34.07
2020-12-18,3311106.83,0.2581,0.2622,0.25,0.2579,-0.0,25.98
2020-12-19,4947311.57,0.258,0.261,0.2499,0.2525,-0.0,25.54
2020-12-20,6369638.06,0.2524,0.2748,0.2403,0.2667,-0.0,34.86
2020-12-21,108601818.08,0.2654,0.51,0.2515,0.2657,-0.0,35.18
2020-12-22,22295315.93,0.2655,0.29,0.245,0.2599,-0.0,40.15
2020-12-23,8535557.75,0.2606,0.2611,0.2076,0.2252,-0.01,31.58
2020-12-24,4744949.19,0.2246,0.2499,0.2159,0.2397,-0.01,44.82
2020-12-25,2594271.67,0.2415,0.2438,0.227,0.2352,-0.01,45.57
2020-12-26,2605497.1,0.2345,0.241,0.2264,0.2316,-0.01,38.26
2020-12-27,10505976.22,0.2313,0.2794,0.2312,0.2372,-0.01,40.12
2020-12-28,3617980.12,0.2381,0.2501,0.2372,0.2383,-0.01,42.09
2020-12-29,2419789.79,0.239,0.2426,0.2225,0.2314,-0.01,41.1
2020-12-30,2245201.58,0.2315,0.2427,0.2273,0.23,-0.01,32.99
2020-12-31,1531500.48,0.2304,0.2346,0.2213,0.2229,-0.01,33.27
2021-01-01,2107438.58,0.223,0.2405,0.2229,0.2304,-0.01,37.86
2021-01-02,3328579.85,0.23,0.2479,0.2268,0.233,-0.01,41.18
2021-01-03,4134932.21,0.2328,0.2351,0.2206,0.2305,-0.01,31.68
2021-01-04,5699349.65,0.2305,0.2596,0.2237,0.2338,-0.01,34.22
2021-01-05,8538425.83,0.2341,0.2667,0.2314,0.2563,-0.01,48.47
2021-01-06,11754944.01,0.2561,0.31,0.251,0.2821,-0.0,76.12
2021-01-07,11630909.74,0.2821,0.319,0.269,0.2841,0.0,73.03
2021-01-08,8497406.25,0.2837,0.2908,0.2557,0.27,0.0,66.42
2021-01-09,8851821.32,0.2712,0.3173,0.263,0.3162,0.01,78.47
2021-01-10,11260143.08,0.3162,0.3256,0.2713,0.2909,0.01,65.95
2021-01-11,6672839.4,0.2912,0.2921,0.2229,0.2507,0.01,52.99
2021-01-12,4519743.86,0.251,0.269,0.2465,0.2507,0.0,54.81
2021-01-13,6621910.21,0.2499,0.2767,0.2413,0.2642,0.0,58.04
2021-01-14,3843524.37,0.2644,0.2785,0.2558,0.2646,0.0,60.13
2021-01-15,5130183.49,0.2647,0.2721,0.2452,0.2639,0.0,58.41
2021-01-16,12835162.06,0.2632,0.298,0.2625,0.2787,0.0,60.81
2021-01-17,14215968.17,0.2783,0.3158,0.2672,0.3023,0.01,65.45
2021-01-18,26056223.55,0.3024,0.3438,0.2986,0.3187,0.01,67.29
2021-01-19,11041341.9,0.3188,0.3318,0.2915,0.2935,0.01,57.49
2021-01-20,7555356.57,0.2921,0.2995,0.2793,0.298,0.01,53.5
2021-01-21,7283352.74,0.2976,0.3098,0.2656,0.2701,0.01,47.23
2021-01-22,17743009.78,0.2697,0.312,0.253,0.2874,0.01,53.4
2021-01-23,12007414.23,0.2874,0.312,0.2837,0.2984,0.01,45.97
2021-01-24,11641523.06,0.2985,0.3136,0.2905,0.2949,0.01,51.01
2021-01-25,18533427.19,0.295,0.33,0.2896,0.2947,0.01,63.84
2021-01-26,7376132.33,0.2943,0.3009,0.2827,0.2969,0.01,64.33
2021-01-27,8409975.65,0.2969,0.2969,0.2623,0.2682,0.01,51.13
2021-01-28,6647326.46,0.2688,0.2886,0.2658,0.2835,0.01,54.94
2021-01-29,11223233.49,0.283,0.2998,0.2765,0.2851,0.01,55.52
2021-01-30,11015319.43,0.2851,0.3112,0.2756,0.2976,0.01,54.98
2021-01-31,19087883.12,0.2977,0.3262,0.288,0.3077,0.01,51.53
2021-02-01,38273302.97,0.3078,0.39,0.2919,0.3498,0.01,57.69
2021-02-02,15721185.82,0.3504,0.3663,0.3318,0.3436,0.01,63.68
2021-02-03,11779758.91,0.3433,0.365,0.3368,0.3501,0.02,64.07
2021-02-04,28258178.82,0.35,0.44,0.3496,0.4026,0.02,81.59
2021-02-05,29432045.32,0.4029,0.488,0.3928,0.4476,0.03,83.74
2021-02-06,24701738.25,0.4477,0.4536,0.3818,0.4066,0.03,70.23
2021-02-07,15237737.15,0.4066,0.4315,0.3882,0.4041,0.03,70.5
2021-02-08,13098419.7,0.4048,0.4344,0.4004,0.426,0.04,72.79
2021-02-09,15530680.29,0.4264,0.472,0.4155,0.461,0.04,75.57
2021-02-10,14545332.82,0.4609,0.4747,0.4124,0.4509,0.04,80.22
2021-02-11,27467628.43,0.4508,0.5868,0.4374,0.5342,0.05,83.85
2021-02-12,58655388.95,0.5335,0.7859,0.5127,0.7023,0.07,88.86
2021-02-13,30646141.42,0.7023,0.74,0.5794,0.6761,0.08,84.38
2021-02-14,18290162.1,0.6761,0.6874,0.5887,0.6316,0.09,77.69
