date,volume,open,high,low,close,MACD,RSI
2018-10-04,1434643.78,1.005,1.05,1.0,1.0081,0.0,
2018-10-05,2030546.58,1.0086,1.0096,1.0067,1.0072,-0.0,
2018-10-06,1902564.99,1.0073,1.0088,1.0056,1.0063,-0.0,
2018-10-07,2201856.65,1.0071,1.0094,1.0063,1.0073,-0.0,
2018-10-08,3334065.81,1.0071,1.011,1.0054,1.009,-0.0,
2018-10-09,2280663.88,1.0092,1.0101,1.0078,1.0092,0.0,
2018-10-10,2977420.99,1.0097,1.0147,1.0077,1.0132,0.0,
2018-10-11,4162725.6,1.0132,1.05,1.0123,1.0277,0.0,
2018-10-12,2154412.43,1.0272,1.0355,1.016,1.0196,0.0,
2018-10-13,4621151.47,1.0195,1.028,1.0189,1.0221,0.0,
2018-10-14,4144383.45,1.0223,1.037,1.0219,1.035,0.0,
2018-10-15,12947949.45,1.035,1.2,1.0337,1.0504,0.01,
2018-10-16,4032139.66,1.0504,1.0613,1.037,1.0461,0.01,
2018-10-17,1909221.04,1.046,1.0505,1.0379,1.042,0.01,
2018-10-18,1745327.05,1.0416,1.0457,1.0291,1.032,0.01,64.84
2018-10-19,1992492.86,1.0309,1.033,1.0211,1.0216,0.01,58.0
2018-10-20,1966163.07,1.0212,1.0261,1.019,1.0228,0.01,59.14
2018-10-21,1979910.19,1.0237,1.0308,1.0207,1.0269,0.01,60.49
2018-10-22,3379833.74,1.0272,1.0331,1.0214,1.0243,0.01,58.11
2018-10-23,6346629.54,1.0243,1.0284,1.021,1.0247,0.0,58.2
2018-10-24,2540385.81,1.0235,1.029,1.0228,1.0231,0.0,55.37
2018-10-25,6776642.23,1.0233,1.0253,1.0205,1.0213,0.0,45.97
2018-10-26,6146691.51,1.0213,1.0252,1.0191,1.0192,0.0,49.73
2018-10-27,7105680.8,1.0195,1.0202,1.0105,1.0125,0.0,43.81
2018-10-28,6891840.61,1.0112,1.0128,1.0105,1.0113,0.0,32.02
2018-10-29,8160267.97,1.011,1.0167,1.01,1.012,-0.0,12.5
2018-10-30,7768641.39,1.012,1.0155,1.0056,1.0069,-0.0,12.31
2018-10-31,9888042.09,1.0066,1.011,1.0033,1.008,-0.0,15.31
2018-11-01,7116770.23,1.008,1.0111,1.0042,1.0075,-0.0,18.99
2018-11-02,11468165.88,1.0075,1.0086,1.0031,1.0062,-0.0,24.67
2018-11-03,9253649.32,1.0063,1.0075,1.0015,1.0021,-0.0,18.92
2018-11-04,11248283.19,1.0022,1.0084,1.001,1.004,-0.0,13.18
2018-11-05,9894879.27,1.0034,1.005,1.0012,1.0032,-0.0,13.99
2018-11-06,12935302.71,1.0031,1.007,1.0012,1.0048,-0.0,17.38
2018-11-07,13322721.78,1.0048,1.0059,1.0025,1.0036,-0.0,17.61
2018-11-08,8783684.09,1.0036,1.007,1.003,1.0059,-0.0,24.84
2018-11-09,10052329.15,1.0058,1.0093,1.004,1.0086,-0.0,33.01
2018-11-10,7075762.83,1.0087,1.0095,1.005,1.0059,-0.0,37.87
2018-11-11,5785039.48,1.0058,1.0067,1.0041,1.0049,-0.0,38.15
2018-11-12,5992676.39,1.0049,1.0164,1.004,1.0155,-0.0,54.74
2018-11-13,8694650.63,1.016,1.0326,1.0151,1.0314,-0.0,75.68
2018-11-14,13736583.05,1.0309,1.0667,1.0136,1.038,0.0,78.2
2018-11-15,12732676.91,1.0386,1.053,1.024,1.0304,0.0,68.99
2018-11-16,10889550.71,1.0296,1.0305,1.0153,1.022,0.0,61.72
2018-11-17,8960745.04,1.0219,1.0233,1.0168,1.0191,0.0,62.84
2018-11-18,6611833.4,1.019,1.0229,1.0153,1.0164,0.0,59.25
2018-11-19,11596552.17,1.0164,1.0334,1.008,1.0307,0.0,67.08
2018-11-20,13188714.14,1.0292,1.056,1.0111,1.0361,0.0,68.56
2018-11-21,5783916.7,1.0378,1.043,1.0197,1.0215,0.0,59.16
2018-11-22,3355106.5,1.0215,1.028,1.018,1.0221,0.0,58.44
2018-11-23,4484765.25,1.0221,1.0299,1.0212,1.0256,0.0,58.78
2018-11-24,4298097.83,1.0256,1.0346,1.0245,1.0293,0.0,61.96
2018-11-25,7885928.39,1.0275,1.0584,1.0245,1.0334,0.0,64.12
2018-11-26,10298419.14,1.0318,1.045,1.0261,1.0297,0.0,57.55
2018-11-27,10155995.97,1.0297,1.0331,1.026,1.0264,0.0,46.93
2018-11-28,18403937.61,1.0266,1.0294,1.0065,1.0103,0.0,34.76
2018-11-29,17941433.7,1.0103,1.0149,1.0061,1.012,0.0,39.18
2018-11-30,13461219.93,1.012,1.0205,1.0073,1.0156,0.0,46.01
2018-12-01,8941639.67,1.0156,1.0195,1.008,1.0119,-0.0,45.56
2018-12-02,4571102.05,1.0116,1.0188,1.0091,1.0149,-0.0,49.08
2018-12-03,6872613.37,1.015,1.0199,1.0091,1.0093,-0.0,35.26
2018-12-04,11004892.39,1.0095,1.0113,1.001,1.0063,-0.0,28.77
2018-12-05,8649919.69,1.0062,1.016,1.0048,1.0139,-0.0,43.99
2018-12-06,9693342.82,1.0134,1.016,1.0046,1.0117,-0.0,41.98
2018-12-07,20252313.39,1.0125,1.0139,1.0009,1.0039,-0.0,34.3
2018-12-08,15334456.0,1.0042,1.0061,1.0,1.0031,-0.0,30.21
2018-12-09,7414533.87,1.0029,1.0046,0.9993,1.0018,-0.0,25.08
2018-12-10,6053627.99,1.0023,1.003,0.9995,1.0014,-0.0,26.46
2018-12-11,5991017.18,1.0014,1.0055,1.0007,1.0017,-0.0,28.37
2018-12-12,4074145.04,1.0021,1.0054,0.9998,1.0019,-0.0,39.81
2018-12-13,5396617.68,1.0019,1.0068,1.0005,1.0052,-0.0,42.06
2018-12-14,6343591.06,1.0052,1.0118,1.0041,1.0071,-0.0,39.66
2018-12-15,4179702.04,1.0071,1.0098,1.0045,1.0064,-0.0,42.78
2018-12-16,3780008.43,1.008,1.0094,1.0041,1.0068,-0.0,38.59
2018-12-17,10806447.7,1.0072,1.0087,1.0001,1.0004,-0.0,37.74
2018-12-18,9804869.18,1.0007,1.0032,0.9976,0.9997,-0.0,40.29
2018-12-19,9870253.49,0.9987,1.0038,0.9901,0.9955,-0.0,19.93
2018-12-20,15745651.85,0.996,1.0005,0.9864,0.9938,-0.0,20.27
2018-12-21,13367176.23,0.994,0.9998,0.9901,0.9992,-0.0,41.52
2018-12-22,5883443.97,0.9992,0.9999,0.991,0.9915,-0.01,33.24
2018-12-23,7732391.69,0.9914,0.9955,0.9904,0.9934,-0.01,38.07
