date,volume,open,high,low,close,MACD,RSI
2023-07-03,30690329.4,0.7796,1.29,0.7796,0.854,0.0,
2023-07-04,24614117.2,0.8531,1.0999,0.8409,0.9465,0.01,
2023-07-05,7142843.9,0.9444,0.9458,0.84,0.8801,0.01,
2023-07-06,10067410.7,0.8805,0.958,0.841,0.8631,0.01,
2023-07-07,6953061.3,0.8631,0.944,0.8521,0.9159,0.01,
2023-07-08,2844670.1,0.9164,0.9339,0.86,0.884,0.01,
2023-07-09,1701104.5,0.8841,0.9,0.8635,0.8753,0.01,
2023-07-10,4423029.4,0.8753,0.88,0.801,0.8111,0.0,
2023-07-11,4822689.4,0.8124,0.82,0.7524,0.7686,-0.01,
2023-07-12,4180975.1,0.7687,0.823,0.7534,0.7911,-0.01,
2023-07-13,3704574.2,0.7911,0.8329,0.77,0.806,-0.01,
2023-07-14,17843410.4,0.805,1.0583,0.8022,0.9059,-0.01,
2023-07-15,8716563.5,0.9058,0.976,0.86,0.8787,-0.0,
2023-07-16,2330864.7,0.8787,0.9159,0.8642,0.873,-0.0,
2023-07-17,6275413.2,0.8721,0.9666,0.8661,0.8813,0.0,52.46
2023-07-18,2483518.5,0.8821,0.8942,0.8415,0.8521,0.0,40.39
2023-07-19,2790162.3,0.8521,0.868,0.795,0.7964,-0.0,41.29
2023-07-20,2008899.9,0.7973,0.8438,0.795,0.811,-0.01,44.55
2023-07-21,1559910.3,0.8098,0.8142,0.79,0.7929,-0.01,36.13
2023-07-22,1723714.3,0.7935,0.8,0.753,0.7571,-0.02,35.81
2023-07-23,1983724.1,0.7572,0.7666,0.74,0.7626,-0.02,37.31
2023-07-24,3981184.9,0.7617,0.7617,0.6636,0.6907,-0.03,36.68
2023-07-25,3552826.4,0.6914,0.7363,0.6709,0.7072,-0.03,42.79
2023-07-26,3361519.2,0.7087,0.7665,0.7062,0.7392,-0.03,44.04
2023-07-27,9365952.2,0.74,0.8365,0.7293,0.7834,-0.03,47.57
2023-07-28,10623268.1,0.7834,0.8461,0.7649,0.8149,-0.03,38.52
2023-07-29,7574402.9,0.8167,0.8186,0.73,0.7422,-0.03,34.55
2023-07-30,4969492.8,0.7427,0.754,0.6876,0.7089,-0.03,32.52
2023-07-31,3716532.7,0.7091,0.7461,0.7078,0.7266,-0.03,33.84
2023-08-01,4761550.5,0.7272,0.7499,0.68,0.7423,-0.03,38.2
2023-08-02,2452114.6,0.7433,0.7467,0.7003,0.712,-0.03,40.4
2023-08-03,1195637.5,0.7124,0.7205,0.6983,0.7039,-0.03,37.64
2023-08-04,1358128.7,0.7047,0.7185,0.6934,0.703,-0.03,39.2
2023-08-05,1620904.8,0.7034,0.7147,0.6941,0.7064,-0.03,43.39
2023-08-06,4497114.0,0.7062,0.7529,0.7048,0.7364,-0.03,46.79
2023-08-07,3312106.9,0.7373,0.7513,0.6969,0.7217,-0.03,54.42
2023-08-08,2425243.5,0.7223,0.732,0.7069,0.7275,-0.03,52.98
2023-08-09,2035428.2,0.7281,0.7324,0.6939,0.7017,-0.03,44.39
2023-08-10,1844842.9,0.7027,0.7064,0.6889,0.7018,-0.03,35.93
2023-08-11,1358740.3,0.7024,0.7068,0.69,0.6979,-0.03,27.71
2023-08-12,1115972.9,0.698,0.705,0.693,0.6972,-0.03,38.18
2023-08-13,2097608.2,0.6973,0.7199,0.694,0.7111,-0.03,50.64
2023-08-14,2549971.0,0.7112,0.73,0.7054,0.7149,-0.02,46.28
2023-08-15,6492056.4,0.7149,0.72,0.596,0.6276,-0.03,24.92
2023-08-16,3923628.0,0.6277,0.6371,0.5801,0.5971,-0.03,24.9
2023-08-17,3613155.4,0.5984,0.6068,0.4649,0.5158,-0.05,18.87
2023-08-18,2730937.6,0.516,0.5494,0.516,0.541,-0.05,25.18
2023-08-19,1937358.2,0.5422,0.558,0.5334,0.5498,-0.06,26.4
2023-08-20,3482704.3,0.5507,0.5659,0.5275,0.5554,-0.06,20.56
2023-08-21,2043984.5,0.5552,0.5559,0.5205,0.5391,-0.06,20.45
2023-08-22,1802991.2,0.5401,0.5432,0.5079,0.533,-0.06,18.56
2023-08-23,23198168.8,0.5339,0.67,0.5296,0.591,-0.06,33.79
2023-08-24,10578949.1,0.5913,0.615,0.569,0.5889,-0.05,33.57
2023-08-25,8351334.8,0.5889,0.6173,0.5716,0.6092,-0.05,37.68
2023-08-26,5632093.5,0.6098,0.6316,0.5958,0.6004,-0.04,36.85
2023-08-27,3354719.5,0.6011,0.6332,0.5916,0.6217,-0.04,38.09
2023-08-28,2527659.4,0.6223,0.6303,0.6063,0.6123,-0.03,36.54
2023-08-29,10374478.8,0.612,0.71,0.5807,0.6833,-0.02,57.64
2023-08-30,7717785.9,0.6838,0.7059,0.6552,0.6788,-0.02,62.06
2023-08-31,3958593.8,0.6789,0.6876,0.6264,0.6316,-0.02,69.01
2023-09-01,5905292.9,0.6323,0.677,0.6239,0.6587,-0.01,69.2
2023-09-02,6531411.8,0.6584,0.6954,0.5954,0.6093,-0.01,58.57
2023-09-03,2193234.5,0.6093,0.6257,0.6017,0.6118,-0.01,58.2
2023-09-04,1713507.2,0.612,0.6347,0.6067,0.6138,-0.01,61.33
2023-09-05,2034219.7,0.613,0.6169,0.5918,0.6042,-0.01,60.68
2023-09-06,1917504.3,0.6051,0.6162,0.583,0.6086,-0.01,53.15
2023-09-07,1805834.5,0.6081,0.6091,0.5843,0.6069,-0.01,53.22
2023-09-08,1579321.3,0.6076,0.6137,0.5815,0.5935,-0.01,47.12
2023-09-09,2680601.3,0.5938,0.6357,0.5938,0.6211,-0.01,53.56
2023-09-10,2448765.9,0.6213,0.6213,0.5602,0.584,-0.01,43.86
2023-09-11,3303754.4,0.5836,0.5863,0.525,0.5433,-0.02,39.8
2023-09-12,2055412.2,0.5434,0.5817,0.5434,0.554,-0.02,26.74
2023-09-13,2530377.6,0.5534,0.5749,0.5459,0.5621,-0.02,29.27
2023-09-14,1428084.2,0.5631,0.585,0.5616,0.5748,-0.02,38.5
2023-09-15,2740718.5,0.5756,0.6189,0.5719,0.607,-0.02,39.75
2023-09-16,4612189.9,0.6078,0.642,0.6056,0.6242,-0.01,53.39
2023-09-17,1949118.2,0.6242,0.6242,0.5863,0.5972,-0.01,47.01
2023-09-18,2068638.5,0.5958,0.6207,0.5843,0.6047,-0.01,48.18
2023-09-19,3578394.7,0.6044,0.6581,0.5971,0.6475,-0.01,57.65
2023-09-20,3327337.6,0.6475,0.6718,0.6373,0.6686,-0.0,60.01
2023-09-21,4102477.1,0.6683,0.6822,0.6408,0.6475,0.0,56.36
2023-09-22,2002820.0,0.6476,0.6659,0.6352,0.6651,0.01,61.07
2023-09-23,1649696.6,0.6655,0.6702,0.6248,0.6329,0.01,51.8
2023-09-24,1031087.8,0.6329,0.6361,0.6148,0.6189,0.0,55.72
2023-09-25,1739165.9,0.618,0.628,0.6094,0.6228,0.0,64.83
2023-09-26,1472552.8,0.6228,0.6336,0.6136,0.6267,0.0,63.91
2023-09-27,1555947.4,0.6269,0.6484,0.6214,0.6313,0.0,63.42
2023-09-28,10157387.4,0.6314,0.7199,0.6295,0.7108,0.01,70.95
2023-09-29,8500428.4,0.7116,0.7447,0.6977,0.725,0.02,69.24
2023-09-30,6460085.0,0.7257,0.7649,0.7073,0.7216,0.02,66.63
2023-10-01,4543616.2,0.7215,0.7688,0.72,0.7642,0.03,77.08
2023-10-02,5360973.6,0.7647,0.779,0.71,0.7168,0.03,66.09
2023-10-03,3435504.0,0.7176,0.7228,0.6667,0.673,0.03,53.65
