date,volume,open,high,low,close,MACD,RSI
2023-05-05,46108639000543.0,1.97e-06,4.39e-06,1.97e-06,3.73e-06,0.0,
2023-05-06,108184587925547.0,3.73e-06,3.85e-06,2.29e-06,2.63e-06,-0.0,
2023-05-07,65077437336487.0,2.63e-06,3.1e-06,2.41e-06,2.79e-06,-0.0,
2023-05-08,140237460567381.0,2.79e-06,2.81e-06,1.54e-06,1.94e-06,-0.0,
2023-05-09,84408522428236.0,1.95e-06,2.14e-06,1.73e-06,2.01e-06,-0.0,
2023-05-10,62376608472013.0,2.01e-06,2.13e-06,1.69e-06,1.93e-06,-0.0,
2023-05-11,102478204068900.0,1.93e-06,1.94e-06,1.25e-06,1.4e-06,-0.0,
2023-05-12,183117190471740.0,1.4e-06,1.9e-06,1.05e-06,1.75e-06,-0.0,
2023-05-13,160845317539432.0,1.75e-06,2.08e-06,1.54e-06,1.87e-06,-0.0,
2023-05-14,68330631582345.0,1.87e-06,1.95e-06,1.74e-06,1.78e-06,-0.0,
2023-05-15,61163976301961.0,1.79e-06,1.79e-06,1.61e-06,1.73e-06,-0.0,
2023-05-16,46420055507337.0,1.73e-06,1.82e-06,1.64e-06,1.67e-06,-0.0,
2023-05-17,58829136028623.0,1.67e-06,1.69e-06,1.46e-06,1.57e-06,-0.0,
2023-05-18,46601403583590.0,1.58e-06,1.64e-06,1.5e-06,1.59e-06,-0.0,
2023-05-19,27186905002751.0,1.58e-06,1.59e-06,1.47e-06,1.53e-06,-0.0,19.78
2023-05-20,61157619295586.0,1.52e-06,1.93e-06,1.5e-06,1.72e-06,-0.0,33.33
2023-05-21,42538861909980.0,1.71e-06,1.76e-06,1.56e-06,1.59e-06,-0.0,27.78
2023-05-22,25843529163128.0,1.59e-06,1.6e-06,1.51e-06,1.52e-06,-0.0,39.06
2023-05-23,28163796626075.0,1.52e-06,1.67e-06,1.51e-06,1.59e-06,-0.0,39.06
2023-05-24,50985625817252.0,1.59e-06,1.6e-06,1.31e-06,1.43e-06,-0.0,37.5
2023-05-25,31717937452590.0,1.43e-06,1.47e-06,1.34e-06,1.43e-06,-0.0,51.02
2023-05-26,25341626102384.0,1.43e-06,1.49e-06,1.38e-06,1.46e-06,-0.0,37.39
2023-05-27,19742767057020.0,1.45e-06,1.54e-06,1.43e-06,1.52e-06,-0.0,33.94
2023-05-28,21189159705596.0,1.52e-06,1.54e-06,1.41e-06,1.49e-06,-0.0,35.92
2023-05-29,17678408403543.0,1.5e-06,1.52e-06,1.42e-06,1.44e-06,-0.0,35.92
2023-05-30,26459115670028.0,1.44e-06,1.44e-06,1.23e-06,1.3e-06,-0.0,33.33
2023-05-31,28911883449285.0,1.3e-06,1.32e-06,1.19e-06,1.26e-06,-0.0,35.24
2023-06-01,24903626865682.0,1.27e-06,1.33e-06,1.21e-06,1.25e-06,-0.0,33.65
2023-06-02,15231747109274.0,1.24e-06,1.31e-06,1.23e-06,1.29e-06,-0.0,38.24
2023-06-03,22022382388125.0,1.29e-06,1.35e-06,1.26e-06,1.3e-06,-0.0,25.0
2023-06-04,15708665098619.0,1.3e-06,1.3e-06,1.21e-06,1.23e-06,-0.0,26.92
2023-06-05,49266844972743.0,1.23e-06,1.24e-06,9.5e-07,1.03e-06,-0.0,23.08
2023-06-06,68124119403275.0,1.03e-06,1.26e-06,9.6e-07,1.2e-06,-0.0,30.69
2023-06-07,37938275142612.0,1.2e-06,1.22e-06,1.04e-06,1.07e-06,-0.0,31.63
2023-06-08,20113573681185.0,1.07e-06,1.14e-06,1.03e-06,1.08e-06,-0.0,32.32
2023-06-09,33823724620921.0,1.09e-06,1.2e-06,1.05e-06,1.14e-06,-0.0,34.31
2023-06-10,65236121417990.0,1.13e-06,1.14e-06,8.7e-07,9.4e-07,-0.0,25.0
