date,volume,open,high,low,close,MACD,RSI
2021-03-19,9479325.481,9.38,17.6,9.38,9.613,0.0,
2021-03-20,2192529.697,9.61,10.1,8.48,8.504,-0.09,
2021-03-21,1184122.252,8.509,9.0,7.653,8.004,-0.2,
2021-03-22,1091718.342,8.007,8.64,7.551,7.601,-0.31,
2021-03-23,827157.993,7.59,7.692,6.5,7.102,-0.44,
2021-03-24,1383803.049,7.098,7.333,6.3,6.315,-0.59,
2021-03-25,1044187.041,6.322,6.663,5.68,6.048,-0.73,
2021-03-26,1802136.969,6.037,6.968,5.892,6.81,-0.77,
2021-03-27,608804.066,6.817,6.877,6.377,6.502,-0.82,
2021-03-28,1787674.445,6.507,7.98,6.456,7.278,-0.78,
2021-03-29,1081884.698,7.279,7.899,7.15,7.317,-0.74,
2021-03-30,1106842.194,7.315,8.611,7.168,8.335,-0.62,
2021-03-31,1112530.788,8.352,9.099,8.0,8.279,-0.52,
2021-04-01,591046.691,8.278,8.999,8.106,8.731,-0.4,
2021-04-02,2328608.515,8.731,10.96,8.731,9.583,-0.24,49.81
2021-04-03,991045.132,9.576,10.166,8.38,8.39,-0.2,49.28
2021-04-04,501321.729,8.381,9.094,8.319,9.09,-0.12,56.69
2021-04-05,461444.866,9.084,9.137,8.494,8.601,-0.08,56.1
2021-04-06,473915.928,8.604,8.681,8.101,8.222,-0.09,56.93
2021-04-07,757747.584,8.222,8.236,7.197,7.328,-0.16,56.19
2021-04-08,551641.191,7.325,8.133,7.309,7.727,-0.19,60.09
2021-04-09,1463297.784,7.727,8.092,7.68,7.784,-0.2,56.4
2021-04-10,2976238.386,7.784,8.054,7.365,7.504,-0.23,56.61
2021-04-11,4666051.767,7.505,8.055,7.381,7.985,-0.21,54.85
2021-04-12,862354.156,7.994,8.813,7.763,8.05,-0.19,55.01
2021-04-13,498645.604,8.051,8.402,7.92,8.392,-0.15,50.43
2021-04-14,724897.331,8.388,8.7,7.8,8.107,-0.13,48.75
2021-04-15,441218.244,8.114,8.739,8.035,8.396,-0.1,47.5
2021-04-16,544950.879,8.387,8.401,7.314,7.508,-0.14,34.61
2021-04-17,486336.427,7.506,7.583,7.295,7.355,-0.18,40.92
2021-04-18,691266.35,7.355,7.355,6.086,6.327,-0.29,27.09
2021-04-19,595751.516,6.327,6.678,5.856,5.951,-0.41,27.6
2021-04-20,538970.286,5.951,6.25,5.593,6.143,-0.48,31.86
2021-04-21,620047.177,6.143,6.64,5.881,6.153,-0.53,37.87
2021-04-22,744093.388,6.147,6.835,5.862,5.952,-0.58,30.9
2021-04-23,862655.344,5.955,6.747,5.196,6.62,-0.55,38.93
2021-04-24,446996.067,6.621,6.788,6.286,6.416,-0.55,39.5
2021-04-25,270864.926,6.424,6.479,6.058,6.156,-0.56,31.57
2021-04-26,311935.227,6.156,6.57,6.147,6.458,-0.53,34.69
2021-04-27,653721.482,6.458,6.897,6.349,6.522,-0.5,31.0
2021-04-28,1871447.059,6.522,7.59,6.518,7.182,-0.42,41.27
2021-04-29,868934.389,7.182,7.566,6.99,7.284,-0.34,39.12
2021-04-30,1510830.371,7.292,8.399,7.285,8.262,-0.2,57.25
2021-05-01,388074.145,8.258,8.399,7.739,7.79,-0.13,53.94
2021-05-02,391666.147,7.79,7.899,7.666,7.895,-0.06,67.07
2021-05-03,976876.975,7.893,8.835,7.885,8.581,0.05,76.81
2021-05-04,921401.588,8.582,8.909,8.146,8.475,0.13,74.2
2021-05-05,637724.903,8.488,9.173,8.459,9.034,0.23,76.84
2021-05-06,537674.816,9.034,9.04,8.099,8.12,0.24,67.83
2021-05-07,445892.915,8.122,8.187,7.801,8.03,0.23,62.81
2021-05-08,248555.257,8.017,8.369,7.994,8.305,0.25,66.95
2021-05-09,231504.382,8.312,8.527,7.937,8.067,0.24,67.21
2021-05-10,269467.387,8.066,8.24,7.547,7.76,0.2,61.72
2021-05-11,495464.248,7.759,7.888,7.257,7.671,0.17,60.29
2021-05-12,452857.857,7.683,8.19,7.51,7.534,0.12,53.48
2021-05-13,642932.293,7.51,8.19,7.147,7.898,0.12,55.77
2021-05-14,2803442.325,7.893,11.575,7.87,10.927,0.35,68.08
2021-05-15,1773449.407,10.928,12.678,9.407,9.704,0.44,61.78
2021-05-16,659135.211,9.691,10.35,8.953,9.265,0.46,58.1
2021-05-17,1168362.35,9.25,10.2,8.316,9.394,0.49,55.15
2021-05-18,1937190.685,9.386,12.526,9.378,11.805,0.69,66.32
2021-05-19,2182417.806,11.82,12.359,7.5,10.859,0.77,58.62
2021-05-20,3522582.783,10.837,14.76,9.657,13.34,1.02,71.47
2021-05-21,1428593.676,13.34,14.0,9.5,10.313,0.97,57.56
2021-05-22,1118961.746,10.301,10.7,8.751,10.241,0.91,56.5
2021-05-23,1480544.305,10.246,11.061,6.8,7.83,0.65,49.31
2021-05-24,921474.05,7.83,10.522,7.826,10.491,0.66,57.03
2021-05-25,781863.536,10.491,10.816,8.85,10.451,0.66,57.18
2021-05-26,793158.461,10.451,11.432,9.647,10.286,0.63,57.09
2021-05-27,637822.905,10.286,10.299,8.963,8.977,0.5,52.65
2021-05-28,729245.34,8.997,9.025,7.436,7.88,0.31,41.73
2021-05-29,463795.465,7.884,8.149,7.108,7.257,0.1,43.13
2021-05-30,462953.067,7.251,8.439,6.882,7.679,-0.03,45.54
2021-05-31,518815.382,7.675,8.7,7.358,8.55,-0.06,47.72
2021-06-01,443461.085,8.559,8.912,7.855,8.9,-0.05,41.18
2021-06-02,1280931.0,8.9,11.49,8.892,10.616,0.09,49.3
2021-06-03,867043.424,10.605,10.914,9.9,10.4,0.18,40.19
2021-06-04,345700.601,10.396,10.413,9.468,9.973,0.21,48.63
2021-06-05,549808.893,9.973,11.3,9.629,9.85,0.23,48.43
2021-06-06,316196.239,9.852,10.361,9.706,9.841,0.24,60.03
2021-06-07,340986.618,9.842,10.161,8.898,8.9,0.17,40.43
2021-06-08,1070943.127,8.9,8.969,7.722,8.49,0.08,38.7
2021-06-09,471540.142,8.501,9.076,8.219,9.0,0.05,42.87
2021-06-10,423508.585,8.999,9.052,8.165,8.304,-0.03,46.0
2021-06-11,651915.544,8.304,8.324,7.336,7.521,-0.16,47.78
2021-06-12,417460.977,7.521,7.907,7.2,7.641,-0.24,52.53
2021-06-13,353136.738,7.652,8.725,7.463,8.548,-0.24,55.38
2021-06-14,583651.203,8.55,9.641,8.312,9.461,-0.15,55.61
2021-06-15,572091.249,9.461,9.89,8.4,8.411,-0.17,47.23
2021-06-16,945106.92,8.411,8.471,7.402,7.436,-0.26,30.32
2021-06-17,1137526.424,7.436,7.74,7.248,7.542,-0.32,32.07
2021-06-18,830514.786,7.542,7.578,6.624,7.003,-0.41,31.63
2021-06-19,800084.768,7.019,7.06,6.102,6.108,-0.54,28.87
2021-06-20,979815.373,6.102,6.366,5.6,6.028,-0.65,28.64
2021-06-21,1123908.175,6.028,6.078,4.44,4.442,-0.85,26.71
2021-06-22,2745308.958,4.442,5.879,3.618,4.861,-0.96,31.06
2021-06-23,1247186.936,4.864,5.8,4.821,5.25,-1.01,30.18
2021-06-24,1452590.639,5.251,5.57,4.554,5.334,-1.03,33.21
2021-06-25,2197210.834,5.346,5.74,4.284,4.503,-1.1,33.03
2021-06-26,1907678.826,4.498,4.607,3.942,4.122,-1.17,30.78
2021-06-27,3416764.392,4.119,4.739,3.784,4.385,-1.19,25.54
2021-06-28,4858529.03,4.39,5.845,4.241,5.518,-1.11,27.42
2021-06-29,3130392.58,5.518,6.5,5.27,5.882,-1.0,34.28
2021-06-30,8534743.732,5.87,9.05,5.591,8.253,-0.71,54.33
2021-07-01,2698559.026,8.266,8.78,7.162,7.433,-0.55,49.46
2021-07-02,823909.094,7.43,7.77,7.14,7.691,-0.39,53.48
2021-07-03,1035837.747,7.687,8.2,7.607,7.985,-0.24,60.12
2021-07-04,885545.593,7.974,8.8,7.896,8.59,-0.07,63.07
2021-07-05,1919521.074,8.591,9.74,8.071,9.276,0.12,77.16
2021-07-06,2279477.638,9.281,11.9,9.271,11.05,0.41,80.18
2021-07-07,1218746.658,11.043,11.45,9.919,10.584,0.59,75.82
2021-07-08,2376140.291,10.592,10.6,8.604,9.15,0.61,66.34
2021-07-09,2175050.044,9.151,9.423,8.726,8.87,0.6,69.62
2021-07-10,674505.804,8.878,9.139,8.3,8.334,0.54,68.66
2021-07-11,695153.376,8.334,9.027,8.159,8.864,0.53,69.39
2021-07-12,753983.627,8.876,9.5,8.094,8.318,0.48,62.77
2021-07-13,871003.096,8.306,8.543,7.443,7.594,0.37,57.56
2021-07-14,791244.207,7.594,8.394,7.12,8.091,0.32,49.14
2021-07-15,1146504.813,8.082,8.124,7.315,7.991,0.27,53.2
2021-07-16,636503.934,8.001,8.656,7.441,7.452,0.18,48.67
2021-07-17,474068.529,7.45,8.428,7.217,8.17,0.17,50.98
2021-07-18,440822.114,8.168,8.571,7.66,7.68,0.12,45.12
2021-07-19,865991.557,7.693,7.887,6.442,6.636,-0.0,36.36
2021-07-20,812559.565,6.635,6.94,6.1,6.829,-0.08,23.93
2021-07-21,923966.419,6.844,8.096,6.739,7.583,-0.09,32.1
2021-07-22,717585.749,7.582,8.12,7.277,7.901,-0.06,41.41
2021-07-23,908038.489,7.901,9.25,7.869,9.237,0.06,52.2
