date,volume,open,high,low,close,MACD,RSI
2024-02-19,1427441771.5,0.04,0.6947,0.04,0.5475,0.0,
2024-02-20,630112680.1,0.5475,0.6178,0.4816,0.516,-0.0,
2024-02-21,251530207.3,0.516,0.5479,0.4812,0.5189,-0.0,
2024-02-22,221143329.8,0.5189,0.5676,0.4901,0.5232,-0.01,
2024-02-23,137532554.3,0.5233,0.5497,0.4903,0.501,-0.01,
2024-02-24,81988227.1,0.5009,0.5296,0.481,0.52,-0.01,
2024-02-25,152640789.2,0.5202,0.588,0.5027,0.5646,-0.0,
2024-02-26,242845486.7,0.5649,0.64,0.5566,0.5694,-0.0,
2024-02-27,151172669.7,0.5693,0.6048,0.541,0.5607,0.0,
2024-02-28,202701076.9,0.5608,0.568,0.45,0.5096,-0.0,
2024-02-29,155540896.2,0.5096,0.5346,0.47,0.4894,-0.01,
2024-03-01,108081083.2,0.4894,0.524,0.485,0.5151,-0.01,
2024-03-02,157571670.6,0.515,0.5525,0.498,0.5399,-0.01,
2024-03-03,186239128.7,0.5397,0.5964,0.499,0.5372,-0.0,
2024-03-04,124914702.9,0.5374,0.553,0.5013,0.5127,-0.01,43.94
2024-03-05,290545620.8,0.513,0.5848,0.452,0.5414,-0.0,54.47
2024-03-06,247161455.5,0.5412,0.6276,0.5271,0.5942,0.0,61.27
2024-03-07,233519442.9,0.5941,0.6778,0.57,0.6262,0.01,64.23
2024-03-08,119065582.5,0.6263,0.6377,0.5493,0.6063,0.01,64.65
2024-03-09,478922406.3,0.6063,0.905,0.5962,0.8622,0.03,78.69
2024-03-10,378904237.5,0.8622,0.95,0.8247,0.9076,0.06,78.72
2024-03-11,292609766.2,0.9077,1.0367,0.8264,0.8366,0.07,70.14
2024-03-12,234365304.9,0.8367,0.8999,0.7905,0.8548,0.08,71.85
2024-03-13,146556466.3,0.8547,0.8767,0.7689,0.7934,0.08,70.77
2024-03-14,171956286.7,0.7933,0.8034,0.7231,0.7805,0.08,71.53
2024-03-15,186599496.6,0.7805,0.7938,0.653,0.7385,0.07,66.14
2024-03-16,221505518.2,0.7387,0.838,0.697,0.7511,0.07,65.53
