date,volume,open,high,low,close,MACD,RSI
2020-06-22,10446329.92,0.5227,1.5,0.5227,0.741,0.0,
2020-06-23,3992482.54,0.7401,0.8066,0.6863,0.7346,-0.0,
2020-06-24,2136053.19,0.7347,0.7956,0.7033,0.7154,-0.0,
2020-06-25,1190356.14,0.7153,0.7529,0.6722,0.7149,-0.0,
2020-06-26,922073.83,0.7149,0.7289,0.68,0.7159,-0.01,
2020-06-27,723810.28,0.716,0.7247,0.6051,0.6526,-0.01,
2020-06-28,359681.39,0.6525,0.68,0.6166,0.6565,-0.01,
2020-06-29,505685.49,0.6592,0.6965,0.6353,0.653,-0.02,
2020-06-30,264531.56,0.6529,0.6572,0.6312,0.6397,-0.02,
2020-07-01,305720.81,0.6396,0.6582,0.6267,0.6565,-0.02,
2020-07-02,936655.59,0.6565,0.69,0.6105,0.661,-0.02,
2020-07-03,440563.98,0.6611,0.6799,0.6401,0.6602,-0.02,
2020-07-04,330058.96,0.6602,0.6674,0.6351,0.6532,-0.02,
2020-07-05,312785.5,0.6507,0.6624,0.6205,0.6448,-0.02,
2020-07-06,2240889.34,0.6444,0.78,0.633,0.7449,-0.02,50.78
2020-07-07,1698830.8,0.7386,0.793,0.7306,0.758,-0.01,54.58
2020-07-08,1332048.52,0.7581,0.7925,0.7451,0.7584,-0.0,59.09
2020-07-09,1842157.71,0.7564,0.7584,0.6358,0.6842,-0.0,45.05
2020-07-10,1641236.93,0.6839,0.755,0.6682,0.7155,-0.0,49.94
2020-07-11,958641.62,0.7159,0.7248,0.6792,0.7077,-0.0,59.66
2020-07-12,1298815.45,0.7093,0.7269,0.6603,0.6929,-0.0,56.15
2020-07-13,1050517.05,0.6927,0.73,0.6741,0.7138,-0.0,59.7
2020-07-14,1251183.74,0.7138,0.7546,0.6864,0.7479,0.0,66.19
2020-07-15,1396713.14,0.7479,0.7711,0.7104,0.7471,0.0,64.24
2020-07-16,961501.2,0.7476,0.7739,0.685,0.7081,0.0,56.68
2020-07-17,652909.35,0.7083,0.7399,0.7021,0.7214,0.0,58.38
2020-07-18,819084.33,0.7189,0.762,0.7088,0.7455,0.01,62.07
2020-07-19,5065181.63,0.7476,0.895,0.7447,0.8722,0.02,72.71
2020-07-20,6962964.5,0.8723,1.089,0.8464,1.0038,0.04,74.33
2020-07-21,3154127.71,1.0081,1.0587,0.9285,1.0124,0.05,74.11
2020-07-22,3922656.86,1.01,1.21,1.01,1.1358,0.07,79.0
2020-07-23,3436673.76,1.1361,1.285,1.0903,1.2518,0.1,90.99
2020-07-24,2056591.07,1.2495,1.313,1.2107,1.286,0.12,91.03
2020-07-25,1945208.24,1.2862,1.3015,1.1432,1.167,0.13,78.47
2020-07-26,2472148.43,1.1669,1.1824,1.035,1.11,0.12,74.57
2020-07-27,3438674.87,1.1139,1.1479,0.86,1.0495,0.12,68.9
2020-07-28,2072196.81,1.0503,1.265,1.0121,1.17,0.12,71.65
2020-07-29,2852649.92,1.17,1.4,1.128,1.2589,0.13,74.08
2020-07-30,1412043.15,1.2593,1.3195,1.1974,1.2126,0.13,73.57
2020-07-31,2186439.92,1.2126,1.3031,1.1529,1.1815,0.13,71.15
2020-08-01,2373787.43,1.1812,1.2056,1.0367,1.1022,0.11,65.6
2020-08-02,1230592.39,1.0971,1.168,1.05,1.1472,0.11,62.95
2020-08-03,1511987.71,1.1465,1.248,1.1064,1.2104,0.11,60.4
2020-08-04,1642360.48,1.207,1.296,1.182,1.203,0.11,59.61
2020-08-05,1273923.49,1.2064,1.284,1.194,1.2202,0.1,54.77
2020-08-06,2285351.73,1.2147,1.321,1.205,1.2468,0.1,49.69
2020-08-07,2474259.37,1.2409,1.3412,1.2355,1.324,0.11,52.26
2020-08-08,1777489.78,1.324,1.3559,1.242,1.27,0.11,56.65
2020-08-09,2143582.6,1.2698,1.3459,1.2274,1.2834,0.1,61.87
2020-08-10,1603803.27,1.2852,1.2878,1.2,1.24,0.1,63.35
2020-08-11,1612426.06,1.24,1.2747,1.1759,1.2152,0.09,53.66
2020-08-12,1990837.04,1.2152,1.3,1.112,1.276,0.09,51.45
2020-08-13,4107233.32,1.2798,1.3949,1.195,1.2164,0.08,50.32
2020-08-14,1543621.13,1.2164,1.26,1.2035,1.2262,0.08,53.84
2020-08-15,1951693.92,1.2259,1.2487,1.1099,1.1437,0.06,53.55
2020-08-16,1227681.87,1.1413,1.1799,1.1158,1.1459,0.05,49.88
2020-08-17,2249190.17,1.143,1.1884,1.0207,1.0419,0.04,35.55
2020-08-18,2788786.08,1.0358,1.0736,0.9203,1.0623,0.02,38.19
2020-08-19,2506820.83,1.0566,1.0623,0.8402,0.8841,0.0,27.8
2020-08-20,1307930.75,0.882,0.959,0.8733,0.9107,-0.02,27.8
2020-08-21,1581639.57,0.9069,0.951,0.8263,0.8291,-0.04,17.5
2020-08-22,1035875.88,0.8299,0.925,0.813,0.8966,-0.04,25.9
2020-08-23,970028.76,0.896,0.9511,0.8811,0.9231,-0.05,27.14
2020-08-24,920875.7,0.9234,0.9464,0.8888,0.9035,-0.05,27.98
2020-08-25,950363.3,0.8993,0.9273,0.825,0.8759,-0.06,27.88
2020-08-26,636000.83,0.8737,0.9086,0.8508,0.8904,-0.06,23.24
2020-08-27,5767663.64,0.8904,1.0634,0.8651,1.0136,-0.05,37.07
2020-08-28,2674021.12,1.0139,1.083,0.9822,1.008,-0.05,36.01
2020-08-29,2109511.77,1.0083,1.0513,0.945,0.9563,-0.04,37.49
2020-08-30,3269258.02,0.9576,0.987,0.93,0.9723,-0.04,38.62
2020-08-31,3589972.55,0.9717,1.019,0.9386,0.9517,-0.04,43.36
2020-09-01,4416573.55,0.9521,0.9678,0.8846,0.9127,-0.04,39.29
2020-09-02,4443638.67,0.9129,0.926,0.84,0.8687,-0.05,48.63
2020-09-03,6875116.16,0.8688,0.8976,0.7201,0.7298,-0.06,36.63
2020-09-04,1441791.87,0.7266,0.7419,0.651,0.6947,-0.07,39.33
2020-09-05,1461403.6,0.6939,0.744,0.5,0.558,-0.09,25.78
2020-09-06,755540.76,0.5514,0.5962,0.5081,0.5835,-0.11,25.67
2020-09-07,1343439.6,0.5835,0.6499,0.5163,0.6083,-0.11,29.01
2020-09-08,2629247.05,0.6065,0.7035,0.6,0.7025,-0.11,38.74
2020-09-09,897149.87,0.7028,0.7028,0.6475,0.673,-0.11,36.15
2020-09-10,775509.09,0.6757,0.7227,0.6739,0.694,-0.1,26.59
2020-09-11,733372.47,0.6939,0.72,0.6501,0.7078,-0.1,28.27
2020-09-12,762941.89,0.7076,0.7389,0.6785,0.6911,-0.09,29.78
2020-09-13,823982.97,0.6912,0.711,0.6149,0.6366,-0.09,25.82
2020-09-14,936376.97,0.6361,0.7075,0.6062,0.696,-0.09,32.56
2020-09-15,1016279.86,0.6994,0.7171,0.5762,0.5864,-0.09,29.7
2020-09-16,828063.0,0.5863,0.6628,0.5518,0.6342,-0.09,35.48
2020-09-17,768169.48,0.6381,0.658,0.578,0.6399,-0.09,43.33
2020-09-18,591987.14,0.6397,0.6786,0.6004,0.6089,-0.08,43.6
2020-09-19,1770553.15,0.6131,0.7391,0.5964,0.6879,-0.08,60.6
2020-09-20,749286.12,0.6872,0.7174,0.6596,0.6737,-0.07,57.5
2020-09-21,941349.67,0.6712,0.6839,0.54,0.5814,-0.07,47.99
2020-09-22,680936.84,0.5817,0.6238,0.552,0.5985,-0.07,41.21
2020-09-23,1079923.65,0.5981,0.5998,0.4866,0.4947,-0.08,36.61
2020-09-24,955198.3,0.4925,0.5499,0.4871,0.5383,-0.08,38.69
2020-09-25,1072086.34,0.5399,0.56,0.5058,0.5415,-0.08,37.73
2020-09-26,404247.69,0.5418,0.5655,0.5242,0.5366,-0.08,38.4
2020-09-27,494566.9,0.534,0.5432,0.492,0.5193,-0.08,40.67
2020-09-28,463391.99,0.5193,0.5387,0.5019,0.5068,-0.08,33.75
2020-09-29,395183.76,0.5044,0.5177,0.4916,0.5087,-0.08,41.81
2020-09-30,349983.03,0.5083,0.52,0.4985,0.519,-0.07,36.81
2020-10-01,971767.26,0.519,0.5378,0.46,0.4742,-0.08,32.59
2020-10-02,758492.28,0.473,0.4743,0.4194,0.444,-0.08,32.65
2020-10-03,239470.61,0.444,0.4542,0.435,0.435,-0.08,18.79
2020-10-04,334410.01,0.4348,0.4362,0.4171,0.4221,-0.08,18.85
2020-10-05,344739.93,0.4222,0.4302,0.4131,0.421,-0.08,24.34
2020-10-06,652692.57,0.421,0.426,0.372,0.3767,-0.08,17.36
2020-10-07,303775.27,0.377,0.4081,0.3614,0.3978,-0.08,31.16
2020-10-08,572466.01,0.3978,0.4222,0.3735,0.4127,-0.08,22.5
2020-10-09,367803.56,0.4105,0.4376,0.4021,0.4253,-0.08,25.57
2020-10-10,602600.67,0.4253,0.4616,0.4235,0.4341,-0.07,28.8
2020-10-11,200264.68,0.433,0.4371,0.4226,0.4252,-0.07,29.83
2020-10-12,277664.57,0.427,0.4354,0.412,0.4181,-0.06,30.54
2020-10-13,239254.96,0.418,0.4329,0.407,0.4148,-0.06,29.52
2020-10-14,216023.96,0.4158,0.417,0.394,0.4024,-0.06,24.81
2020-10-15,2505547.31,0.3992,0.5211,0.3945,0.4404,-0.05,42.48
2020-10-16,984855.93,0.4408,0.4515,0.3871,0.3902,-0.05,39.0
2020-10-17,485320.52,0.3911,0.4192,0.3814,0.4001,-0.05,42.89
2020-10-18,904521.84,0.3999,0.4499,0.3915,0.4169,-0.05,48.96
2020-10-19,1156220.38,0.4155,0.4662,0.4066,0.4105,-0.05,47.94
2020-10-20,767073.7,0.4094,0.43,0.377,0.3901,-0.04,52.9
2020-10-21,773853.3,0.3874,0.4375,0.3873,0.4071,-0.04,52.05
2020-10-22,569217.51,0.4071,0.4325,0.4061,0.422,-0.04,52.05
2020-10-23,328363.44,0.4212,0.4295,0.404,0.4218,-0.03,49.18
2020-10-24,181620.53,0.4218,0.4264,0.4066,0.4079,-0.03,44.03
2020-10-25,654941.05,0.4076,0.4468,0.3971,0.4116,-0.03,46.83
2020-10-26,1071305.35,0.4115,0.46,0.4052,0.4254,-0.03,51.65
2020-10-27,1786047.09,0.4256,0.4851,0.4256,0.4411,-0.02,55.64
2020-10-28,446125.9,0.4407,0.4456,0.4111,0.4181,-0.02,53.22
2020-10-29,785527.65,0.4211,0.4528,0.3981,0.4202,-0.02,45.14
2020-10-30,631174.08,0.4183,0.44,0.3909,0.4047,-0.02,54.18
2020-10-31,308366.36,0.4007,0.4071,0.391,0.3936,-0.02,48.14
2020-11-01,411062.03,0.3941,0.3976,0.38,0.3885,-0.02,41.28
2020-11-02,459997.37,0.3864,0.405,0.3788,0.3914,-0.02,44.01
2020-11-03,1573162.22,0.3902,0.3916,0.3233,0.3311,-0.03,35.19
2020-11-04,1753321.74,0.3294,0.3317,0.292,0.3002,-0.03,24.92
2020-11-05,1184166.45,0.3002,0.3072,0.276,0.2908,-0.04,18.4
2020-11-06,2027283.91,0.2908,0.3624,0.2892,0.3551,-0.03,37.73
2020-11-07,1476157.03,0.3532,0.371,0.3026,0.3214,-0.04,35.16
2020-11-08,407628.2,0.3199,0.3444,0.3129,0.3284,-0.03,35.89
2020-11-09,670698.29,0.3299,0.3331,0.2976,0.3114,-0.04,30.87
2020-11-10,618644.72,0.3099,0.335,0.305,0.3319,-0.03,31.97
2020-11-11,2065051.32,0.3331,0.3787,0.33,0.3308,-0.03,34.46
2020-11-12,549625.32,0.3301,0.3301,0.312,0.3177,-0.03,32.44
2020-11-13,652091.08,0.317,0.3245,0.299,0.3228,-0.03,35.45
2020-11-14,682946.68,0.3228,0.3257,0.2954,0.3045,-0.03,34.57
2020-11-15,1031172.4,0.3035,0.345,0.3013,0.3141,-0.03,37.31
2020-11-16,1354628.81,0.3145,0.3414,0.3022,0.3323,-0.03,40.42
2020-11-17,2201445.23,0.3323,0.3744,0.3211,0.3444,-0.02,52.55
2020-11-18,1575538.44,0.3449,0.3522,0.3051,0.3196,-0.02,53.82
2020-11-19,1568548.42,0.3194,0.35,0.3094,0.3214,-0.02,56.2
2020-11-20,830829.49,0.3214,0.3486,0.3211,0.3309,-0.02,43.69
2020-11-21,2127544.14,0.3302,0.3697,0.3179,0.3619,-0.02,60.71
2020-11-22,870832.17,0.361,0.3683,0.3259,0.3445,-0.01,54.04
2020-11-23,2407834.6,0.3464,0.4205,0.3393,0.3966,-0.01,68.16
2020-11-24,1981296.12,0.3996,0.4259,0.38,0.4058,-0.0,66.55
2020-11-25,1428932.86,0.4054,0.442,0.3931,0.4082,0.0,67.23
2020-11-26,1484969.61,0.4082,0.4208,0.3153,0.3454,-0.0,55.05
2020-11-27,415906.17,0.3453,0.3575,0.3281,0.3436,-0.0,53.84
2020-11-28,968008.18,0.3453,0.3831,0.3385,0.3674,-0.0,61.37
2020-11-29,457629.19,0.3649,0.3703,0.3499,0.3582,-0.0,57.99
2020-11-30,857545.42,0.3587,0.382,0.3541,0.3689,0.0,56.81
2020-12-01,876143.94,0.3665,0.3876,0.3409,0.35,-0.0,51.02
2020-12-02,765734.37,0.3472,0.375,0.3446,0.3733,0.0,59.8
2020-12-03,898785.42,0.3734,0.415,0.3719,0.407,0.0,64.0
2020-12-04,3124503.22,0.407,0.59,0.355,0.3852,0.01,58.54
2020-12-05,2224736.44,0.3843,0.439,0.36,0.4063,0.01,57.2
2020-12-06,9423915.17,0.4063,0.574,0.4024,0.477,0.02,68.33
2020-12-07,4798893.91,0.4789,0.56,0.47,0.4851,0.02,63.94
2020-12-08,2310748.59,0.4865,0.494,0.4114,0.421,0.02,52.04
2020-12-09,2082339.53,0.4206,0.5007,0.3855,0.4886,0.03,59.19
2020-12-10,1106278.17,0.4897,0.4904,0.4256,0.4404,0.03,61.23
2020-12-11,2228238.22,0.437,0.4374,0.354,0.3925,0.02,55.21
2020-12-12,1321472.24,0.3882,0.4173,0.3867,0.3891,0.02,52.42
2020-12-13,1692988.21,0.3893,0.4361,0.3739,0.4047,0.02,55.11
2020-12-14,1009330.85,0.4047,0.4258,0.3936,0.4183,0.01,55.39
2020-12-15,446902.15,0.4183,0.421,0.4004,0.4061,0.01,56.22
2020-12-16,740208.81,0.406,0.425,0.3925,0.4142,0.01,54.69
2020-12-17,885446.39,0.4142,0.4181,0.3915,0.3992,0.01,49.07
2020-12-18,390519.55,0.3992,0.42,0.394,0.4123,0.01,53.32
2020-12-19,1053416.29,0.4141,0.4429,0.4079,0.4215,0.01,51.92
2020-12-20,1467401.84,0.4176,0.4493,0.4065,0.4295,0.01,42.89
2020-12-21,1191534.62,0.4326,0.4564,0.3706,0.3923,0.01,37.22
2020-12-22,4935814.8,0.392,0.5489,0.3876,0.4425,0.01,53.08
2020-12-23,1703349.35,0.4411,0.4461,0.3619,0.3748,0.01,33.71
2020-12-24,697097.73,0.3725,0.4209,0.3579,0.4051,0.0,44.68
2020-12-25,500674.55,0.4051,0.4102,0.3841,0.3929,0.0,50.07
2020-12-26,1251282.32,0.3927,0.4765,0.3761,0.3897,0.0,50.1
2020-12-27,639843.81,0.3903,0.3965,0.36,0.3821,-0.0,46.07
2020-12-28,633113.59,0.389,0.4073,0.3842,0.3881,-0.0,44.61
2020-12-29,463834.81,0.388,0.3988,0.3636,0.3683,-0.0,43.43
2020-12-30,448777.18,0.3684,0.3697,0.3519,0.3659,-0.01,41.43
2020-12-31,379507.02,0.3658,0.369,0.3458,0.3576,-0.01,42.44
2021-01-01,595544.75,0.3551,0.3659,0.3452,0.3575,-0.01,39.55
2021-01-02,1138226.8,0.3576,0.4,0.3344,0.3384,-0.01,34.73
2021-01-03,820863.55,0.3407,0.3624,0.3358,0.3527,-0.01,36.21
2021-01-04,1607168.56,0.3504,0.389,0.335,0.3463,-0.01,40.71
2021-01-05,2538631.3,0.3494,0.41,0.3312,0.3669,-0.01,32.66
2021-01-06,1221674.79,0.3701,0.39,0.3536,0.3768,-0.01,50.62
2021-01-07,2938649.46,0.3794,0.45,0.3677,0.4171,-0.01,53.53
2021-01-08,1902272.73,0.4171,0.4399,0.3645,0.4142,-0.0,56.62
2021-01-09,1796666.41,0.4141,0.456,0.403,0.4315,0.0,61.94
2021-01-10,2621602.84,0.4315,0.4868,0.378,0.4106,0.0,57.57
2021-01-11,1649241.14,0.4121,0.4121,0.3354,0.3896,0.0,50.37
2021-01-12,637557.17,0.3896,0.3989,0.355,0.3655,0.0,49.33
2021-01-13,560467.7,0.364,0.3851,0.3524,0.3796,-0.0,53.12
