date,volume,open,high,low,close,MACD,RSI
2021-05-19,9381448.32,3.218,3.99,1.343,2.172,0.0,
2021-05-20,3060369.11,2.173,2.93,1.9,2.481,0.02,
2021-05-21,2365456.24,2.48,2.7,1.851,2.176,0.02,
2021-05-22,1230667.92,2.176,2.206,1.85,1.888,-0.01,
2021-05-23,2139259.05,1.898,1.967,1.3,1.582,-0.05,
2021-05-24,2438980.91,1.571,2.1,1.57,2.04,-0.05,
2021-05-25,1507545.86,2.047,2.2,1.691,1.927,-0.06,
2021-05-26,1108396.37,1.923,2.172,1.88,2.062,-0.05,
2021-05-27,4982439.53,2.062,2.647,1.832,2.058,-0.05,
2021-05-28,1777953.95,2.056,2.105,1.672,1.737,-0.07,
2021-05-29,1068478.49,1.738,1.877,1.56,1.632,-0.1,
2021-05-30,1153065.14,1.633,1.771,1.529,1.698,-0.11,
2021-05-31,1214825.24,1.698,1.85,1.576,1.843,-0.1,
2021-06-01,1410103.11,1.839,1.959,1.747,1.888,-0.1,
2021-06-02,1264145.4,1.888,1.98,1.773,1.874,-0.09,44.3
2021-06-03,1284313.06,1.875,2.06,1.8,2.031,-0.07,40.86
2021-06-04,1234789.55,2.032,2.04,1.703,1.785,-0.08,41.86
2021-06-05,750368.44,1.786,1.88,1.662,1.719,-0.09,46.13
2021-06-06,415021.46,1.722,1.767,1.7,1.742,-0.09,54.21
2021-06-07,984614.2,1.742,1.85,1.6,1.606,-0.1,36.23
2021-06-08,1026711.79,1.612,1.652,1.4,1.533,-0.12,37.17
2021-06-09,998953.99,1.547,1.614,1.48,1.595,-0.12,34.04
2021-06-10,690225.82,1.593,1.628,1.45,1.485,-0.13,31.74
2021-06-11,816546.47,1.476,1.503,1.368,1.385,-0.15,36.94
2021-06-12,670840.24,1.384,1.386,1.25,1.271,-0.17,36.7
2021-06-13,1040594.55,1.268,1.436,1.254,1.389,-0.17,39.03
2021-06-14,1097691.13,1.385,1.455,1.363,1.446,-0.17,34.97
2021-06-15,752063.25,1.445,1.489,1.371,1.39,-0.17,31.31
2021-06-16,673839.19,1.388,1.416,1.299,1.303,-0.17,29.68
2021-06-17,709724.81,1.301,1.382,1.3,1.334,-0.17,22.75
2021-06-18,632628.41,1.333,1.345,1.179,1.225,-0.18,25.48
2021-06-19,10122899.7,1.225,1.703,1.2,1.374,-0.17,35.92
2021-06-20,14361034.79,1.373,1.645,1.326,1.571,-0.15,43.89
2021-06-21,4013831.87,1.571,1.613,1.119,1.125,-0.16,35.93
2021-06-22,2641218.27,1.125,1.201,0.882,0.986,-0.18,34.59
2021-06-23,2709072.79,0.984,1.25,0.954,1.026,-0.19,33.77
