date,volume,open,high,low,close,MACD,RSI
2022-10-17,288950723.0,0.2397,0.5196,0.2397,0.3326,0.0,
2022-10-18,97722014.5,0.3326,0.3578,0.245,0.2567,-0.01,
2022-10-19,58039248.9,0.2569,0.261,0.203,0.2109,-0.01,
2022-10-20,40959821.4,0.2111,0.2424,0.2005,0.2042,-0.02,
2022-10-21,25898692.8,0.2044,0.22,0.1949,0.2027,-0.03,
2022-10-22,21964019.3,0.2027,0.2033,0.1841,0.1903,-0.03,
2022-10-23,31531857.7,0.1903,0.2068,0.1846,0.1915,-0.03,
2022-10-24,15755993.8,0.1915,0.1982,0.181,0.1815,-0.04,
2022-10-25,10610973.0,0.1814,0.1882,0.1774,0.183,-0.04,
2022-10-26,12728149.4,0.183,0.187,0.1801,0.1839,-0.04,
2022-10-27,11838189.7,0.1837,0.1879,0.1732,0.1753,-0.04,
2022-10-28,16111107.8,0.1753,0.1786,0.1671,0.1714,-0.04,
2022-10-29,16815293.2,0.1711,0.1765,0.1633,0.1645,-0.04,
2022-10-30,15666793.8,0.1645,0.1703,0.1595,0.1675,-0.04,
2022-10-31,24645520.6,0.1677,0.184,0.1575,0.1603,-0.04,3.56
2022-11-01,99537078.8,0.1603,0.2181,0.158,0.1821,-0.04,21.61
2022-11-02,29441442.3,0.1821,0.1977,0.1673,0.1699,-0.04,29.04
2022-11-03,11532783.9,0.1699,0.1781,0.1602,0.1631,-0.04,29.01
2022-11-04,9626087.5,0.1633,0.1765,0.1632,0.1715,-0.04,35.11
2022-11-05,7021228.9,0.1715,0.1766,0.1694,0.1724,-0.03,40.41
2022-11-06,43160761.5,0.1725,0.212,0.1703,0.1824,-0.03,45.54
2022-11-07,30263315.5,0.1827,0.2148,0.172,0.1747,-0.03,46.59
2022-11-08,17847309.2,0.1747,0.1755,0.1421,0.1452,-0.03,35.21
2022-11-09,13801730.3,0.1452,0.1475,0.105,0.1086,-0.03,26.97
2022-11-10,8193886.8,0.108,0.1426,0.1053,0.1279,-0.03,36.39
2022-11-11,5070548.5,0.1279,0.1312,0.117,0.1208,-0.03,35.74
2022-11-12,2772482.5,0.1208,0.1222,0.1132,0.1149,-0.03,35.94
2022-11-13,9538718.5,0.1151,0.1418,0.1148,0.1167,-0.03,35.5
2022-11-14,4946292.2,0.1168,0.1239,0.11,0.1197,-0.03,38.13
2022-11-15,4684585.3,0.1199,0.1269,0.11,0.122,-0.03,30.17
2022-11-16,37265956.3,0.1222,0.1535,0.1166,0.1386,-0.03,39.96
2022-11-17,43503583.4,0.1386,0.1588,0.1304,0.1333,-0.03,40.35
2022-11-18,6398478.2,0.1333,0.1375,0.1304,0.1316,-0.03,36.49
2022-11-19,2941998.2,0.1316,0.1324,0.126,0.1307,-0.02,35.88
2022-11-20,18988877.2,0.1307,0.156,0.13,0.1306,-0.02,31.2
2022-11-21,7063789.8,0.1306,0.1373,0.1223,0.1281,-0.02,32.43
2022-11-22,41616681.2,0.1286,0.1769,0.1246,0.1544,-0.02,53.55
2022-11-23,27241767.7,0.1544,0.1689,0.1415,0.1459,-0.02,68.41
2022-11-24,9884585.2,0.1456,0.159,0.1363,0.1479,-0.01,61.9
2022-11-25,4227930.3,0.1479,0.1494,0.1402,0.1436,-0.01,64.04
2022-11-26,17278265.1,0.1437,0.1684,0.1437,0.1548,-0.01,73.06
2022-11-27,24903468.1,0.1548,0.1815,0.1518,0.1646,-0.01,75.34
2022-11-28,8616543.9,0.1644,0.1687,0.1553,0.1614,-0.01,72.02
2022-11-29,5490361.3,0.1613,0.1667,0.1569,0.16,-0.0,70.26
2022-11-30,3117323.7,0.1601,0.1671,0.1588,0.1625,-0.0,64.99
2022-12-01,10847499.5,0.1625,0.18,0.1615,0.1705,-0.0,72.57
2022-12-02,11398441.7,0.1709,0.1818,0.1686,0.1753,-0.0,75.56
2022-12-03,2591586.8,0.1753,0.1765,0.1696,0.1708,0.0,72.5
2022-12-04,14875348.6,0.1713,0.1899,0.1709,0.1776,0.0,74.53
2022-12-05,7627482.8,0.1776,0.1882,0.173,0.1744,0.0,73.99
2022-12-06,3124025.4,0.1748,0.1833,0.1737,0.1812,0.0,67.4
2022-12-07,20271179.5,0.1814,0.1848,0.1583,0.1623,0.0,59.38
2022-12-08,13817600.7,0.1623,0.1818,0.1611,0.1675,0.0,60.82
2022-12-09,2473860.3,0.1672,0.1694,0.165,0.1659,0.0,62.68
2022-12-10,3211602.4,0.1659,0.1707,0.1618,0.1627,0.0,54.94
2022-12-11,1571309.9,0.1627,0.1647,0.1617,0.1623,0.0,48.37
2022-12-12,7207615.5,0.1628,0.1661,0.1487,0.1537,0.0,44.93
2022-12-13,4595500.6,0.1543,0.1549,0.145,0.1535,0.0,45.65
2022-12-14,16071651.2,0.1538,0.1722,0.1533,0.1615,0.0,49.38
2022-12-15,5646811.2,0.1615,0.169,0.1589,0.1627,0.0,44.69
2022-12-16,36344986.1,0.1626,0.1874,0.152,0.1569,-0.0,37.63
2022-12-17,7566610.2,0.1569,0.1599,0.1438,0.1518,-0.0,37.33
2022-12-18,3425321.4,0.1518,0.1521,0.1442,0.1488,-0.0,29.78
2022-12-19,4649933.8,0.1488,0.1493,0.1297,0.1338,-0.0,25.54
2022-12-20,3073696.5,0.1335,0.1432,0.1308,0.1417,-0.0,26.52
2022-12-21,9725651.6,0.1417,0.1585,0.1391,0.1445,-0.0,36.91
