date,volume,open,high,low,close,MACD,RSI
2023-03-17,244682.8,6.68,6.68,5.7,5.82,0.0,
2023-03-18,356197.64,5.82,5.99,5.35,5.41,-0.03,
2023-03-19,115300.71,5.43,5.52,5.2,5.31,-0.07,
2023-03-20,98256.65,5.32,5.43,4.97,5.03,-0.11,
2023-03-21,98608.96,5.03,5.28,4.79,5.05,-0.15,
2023-03-22,190265.74,5.05,5.39,4.61,4.84,-0.19,
2023-03-23,166686.63,4.83,5.28,4.72,5.1,-0.2,
2023-03-24,66780.09,5.1,5.16,4.78,4.83,-0.23,
2023-03-25,70393.33,4.83,4.95,4.75,4.78,-0.25,
2023-03-26,34106.49,4.78,4.91,4.77,4.86,-0.26,
2023-03-27,94826.87,4.86,4.99,4.64,4.72,-0.27,
2023-03-28,55542.51,4.72,4.9,4.54,4.8,-0.28,
2023-03-29,47330.83,4.79,4.9,4.78,4.83,-0.27,
2023-03-30,49057.4,4.83,4.89,4.64,4.72,-0.27,
2023-03-31,186609.72,4.73,5.15,4.68,4.85,-0.26,27.65
2023-04-01,49109.56,4.85,4.93,4.79,4.86,-0.25,34.46
2023-04-02,58910.39,4.85,4.88,4.65,4.72,-0.25,33.7
2023-04-03,57867.58,4.72,4.76,4.55,4.6,-0.25,36.97
2023-04-04,60382.5,4.61,4.66,4.54,4.62,-0.25,36.97
2023-04-05,63891.62,4.63,4.73,4.6,4.64,-0.25,43.15
2023-04-06,30522.58,4.64,4.66,4.56,4.62,-0.24,30.33
2023-04-07,26016.88,4.62,4.65,4.55,4.58,-0.24,37.37
2023-04-08,103531.25,4.57,4.84,4.52,4.68,-0.23,45.19
2023-04-09,2691280.13,4.68,6.48,4.67,5.44,-0.15,66.86
2023-04-10,558917.65,5.43,5.88,4.81,4.96,-0.13,55.83
2023-04-11,117055.27,4.95,5.01,4.87,4.94,-0.12,53.5
2023-04-12,845126.9,4.94,5.55,4.9,5.11,-0.09,56.54
2023-04-13,183653.92,5.12,5.12,4.96,5.08,-0.07,58.74
2023-04-14,189118.54,5.08,5.27,5.07,5.14,-0.05,57.29
2023-04-15,126434.63,5.14,5.3,5.09,5.12,-0.03,56.5
2023-04-16,123714.03,5.13,5.26,5.11,5.13,-0.02,60.96
2023-04-17,545532.51,5.13,5.75,5.11,5.37,0.01,69.35
2023-04-18,1955723.17,5.37,6.88,5.27,5.55,0.05,71.63
2023-04-19,313436.22,5.56,5.63,5.09,5.19,0.05,61.04
2023-04-20,142194.87,5.2,5.34,5.07,5.1,0.04,59.37
2023-04-21,109609.48,5.11,5.14,4.87,5.01,0.03,58.24
2023-04-22,90046.11,4.99,5.05,4.83,5.0,0.02,56.35
2023-04-23,419891.05,5.0,5.35,4.88,5.06,0.01,39.56
2023-04-24,203579.8,5.05,5.2,4.82,4.89,-0.0,47.68
2023-04-25,71443.37,4.88,5.03,4.81,5.02,-0.01,52.47
2023-04-26,106297.35,5.03,5.25,4.83,4.97,-0.01,45.33
2023-04-27,57454.22,4.98,5.07,4.89,5.03,-0.01,48.37
2023-04-28,42554.02,5.02,5.05,4.89,4.95,-0.02,43.87
2023-04-29,47919.28,4.96,5.03,4.92,4.98,-0.02,45.51
2023-04-30,49839.29,4.97,4.99,4.84,4.89,-0.03,42.68
2023-05-01,47513.6,4.89,4.96,4.74,4.74,-0.05,29.68
2023-05-02,183849.24,4.75,5.1,4.63,4.97,-0.05,31.88
2023-05-03,181617.46,4.99,5.25,4.8,4.92,-0.04,39.53
2023-05-04,43673.68,4.92,5.01,4.82,4.89,-0.05,41.46
2023-05-05,48877.86,4.9,5.03,4.87,4.92,-0.05,46.15
2023-05-06,87501.94,4.93,5.17,4.79,4.87,-0.05,44.63
2023-05-07,26843.03,4.87,4.92,4.77,4.77,-0.06,38.4
2023-05-08,96824.65,4.77,4.79,4.38,4.42,-0.09,33.57
2023-05-09,24815.4,4.43,4.52,4.4,4.44,-0.12,28.03
2023-05-10,40234.66,4.43,4.6,4.34,4.5,-0.13,32.33
2023-05-11,43486.37,4.51,4.51,4.11,4.18,-0.16,23.27
2023-05-12,44699.55,4.18,4.3,4.01,4.26,-0.18,28.3
2023-05-13,34321.0,4.26,4.34,4.2,4.24,-0.2,26.58
2023-05-14,17709.13,4.24,4.27,4.19,4.21,-0.21,27.63
2023-05-15,42482.46,4.21,4.4,4.16,4.3,-0.21,34.93
2023-05-16,29998.78,4.31,4.37,4.25,4.3,-0.2,22.76
2023-05-17,17333.1,4.3,4.36,4.2,4.34,-0.2,26.23
2023-05-18,29761.84,4.34,4.41,4.22,4.28,-0.19,25.6
2023-05-19,1219957.84,4.3,5.53,4.28,4.45,-0.17,33.09
2023-05-20,81629.9,4.45,4.48,4.32,4.36,-0.16,32.17
2023-05-21,37277.59,4.35,4.37,4.21,4.24,-0.16,31.72
2023-05-22,32321.8,4.25,4.3,4.2,4.29,-0.16,44.35
2023-05-23,34163.54,4.3,4.33,4.22,4.29,-0.15,43.36
2023-05-24,34139.77,4.28,4.28,4.11,4.18,-0.16,36.44
2023-05-25,22410.14,4.18,4.25,4.13,4.2,-0.15,51.14
2023-05-26,44488.57,4.19,4.28,4.18,4.24,-0.15,48.81
2023-05-27,18438.77,4.25,4.32,4.22,4.31,-0.14,53.93
2023-05-28,17792.48,4.31,4.4,4.27,4.38,-0.12,59.14
2023-05-29,24607.13,4.38,4.41,4.24,4.25,-0.11,47.42
2023-05-30,38587.01,4.26,4.36,4.22,4.29,-0.11,49.5
2023-05-31,386077.5,4.28,4.75,4.22,4.29,-0.1,47.42
2023-06-01,38382.86,4.29,4.31,4.21,4.23,-0.1,47.42
2023-06-02,36563.41,4.22,4.31,4.21,4.3,-0.09,41.38
2023-06-03,15602.38,4.3,4.32,4.28,4.31,-0.08,46.84
2023-06-04,34691.81,4.31,4.41,4.3,4.3,-0.07,54.41
2023-06-05,47224.14,4.31,4.32,4.04,4.09,-0.09,38.1
2023-06-06,51569.13,4.09,4.29,4.09,4.25,-0.08,48.0
2023-06-07,51371.81,4.24,4.25,4.0,4.01,-0.09,42.48
2023-06-08,25448.22,4.03,4.12,3.95,4.1,-0.1,45.83
2023-06-09,14326.53,4.1,4.17,4.06,4.09,-0.1,43.59
2023-06-10,68060.39,4.08,4.1,3.64,3.77,-0.12,30.99
2023-06-11,60065.93,3.76,4.0,3.71,3.74,-0.15,26.81
2023-06-12,38946.21,3.74,3.88,3.7,3.75,-0.16,30.16
2023-06-13,25794.28,3.76,3.84,3.71,3.78,-0.17,29.6
2023-06-14,27017.75,3.8,3.85,3.64,3.74,-0.17,28.68
2023-06-15,11468.54,3.73,3.75,3.61,3.71,-0.18,29.37
2023-06-16,24525.67,3.71,3.82,3.68,3.8,-0.17,30.47
2023-06-17,96220.96,3.79,4.18,3.79,3.99,-0.15,39.04
2023-06-18,361008.73,3.99,4.33,3.97,4.11,-0.13,43.95
2023-06-19,358707.43,4.11,4.54,4.1,4.31,-0.09,57.05
2023-06-20,259962.61,4.3,4.48,4.24,4.32,-0.05,52.48
2023-06-21,199957.95,4.32,4.51,4.18,4.41,-0.02,65.87
2023-06-22,77018.51,4.4,4.48,4.22,4.28,-0.01,56.92
2023-06-23,74005.75,4.27,4.37,4.24,4.27,0.01,56.92
2023-06-24,39286.74,4.28,4.35,4.19,4.25,0.01,74.0
2023-06-25,45003.51,4.25,4.43,4.24,4.33,0.03,78.1
2023-06-26,24040.38,4.32,4.36,4.21,4.24,0.03,71.68
2023-06-27,54221.87,4.24,4.28,4.13,4.21,0.03,69.03
2023-06-28,89206.15,4.2,4.2,3.8,3.86,-0.0,54.17
2023-06-29,34925.96,3.86,4.01,3.84,3.94,-0.02,57.72
2023-06-30,57791.54,3.94,4.08,3.89,3.99,-0.03,56.55
2023-07-01,35588.6,4.01,4.03,3.94,4.02,-0.03,51.16
2023-07-02,22691.37,4.03,4.04,3.95,4.02,-0.03,46.15
2023-07-03,59635.89,4.01,4.15,4.0,4.1,-0.03,40.0
2023-07-04,59094.7,4.11,4.14,4.03,4.09,-0.03,39.05
2023-07-05,202136.05,4.08,4.48,3.92,3.94,-0.04,28.83
2023-07-06,58439.49,3.95,4.01,3.77,3.77,-0.06,27.83
2023-07-07,18370.68,3.78,3.87,3.76,3.84,-0.07,32.23
2023-07-08,80842.53,3.84,4.09,3.84,3.95,-0.06,38.46
