date,volume,open,high,low,close,MACD,RSI
2021-04-09,33814111.154,7.03,9.699,5.201,5.529,0.0,
2021-04-10,20726687.085,5.529,5.67,4.324,4.774,-0.06,
2021-04-11,14587275.178,4.767,4.8,3.862,4.47,-0.13,
2021-04-12,20031416.005,4.475,5.6,4.431,4.673,-0.17,
2021-04-13,9383892.564,4.663,4.74,4.221,4.532,-0.21,
2021-04-14,11219570.051,4.546,4.789,3.82,4.147,-0.27,
2021-04-15,8806478.408,4.145,4.55,4.04,4.314,-0.3,
2021-04-16,10420074.231,4.31,4.315,3.6,3.835,-0.35,
2021-04-17,9594438.187,3.841,4.241,3.661,3.918,-0.39,
2021-04-18,8908028.508,3.902,3.916,2.83,3.389,-0.45,
2021-04-19,8359358.621,3.39,3.8,2.98,3.129,-0.52,
2021-04-20,9426138.585,3.13,3.54,2.7,3.19,-0.56,
2021-04-21,12862959.6,3.189,3.735,3.135,3.195,-0.59,
2021-04-22,7371226.894,3.196,3.3,2.664,2.692,-0.64,
2021-04-23,15456619.171,2.695,2.788,1.759,2.658,-0.68,13.28
2021-04-24,8209767.628,2.654,2.947,2.364,2.422,-0.72,15.31
2021-04-25,6289239.804,2.421,2.71,2.2,2.511,-0.74,19.15
2021-04-26,19758960.317,2.509,3.6,2.445,3.398,-0.67,33.48
2021-04-27,8233951.835,3.397,3.6,3.18,3.549,-0.6,37.3
2021-04-28,5468903.228,3.549,3.55,3.034,3.325,-0.55,38.92
2021-04-29,4530239.182,3.329,3.463,3.075,3.239,-0.52,35.18
2021-04-30,5093134.849,3.238,3.421,3.13,3.366,-0.47,42.84
2021-05-01,3502336.206,3.369,3.369,3.208,3.309,-0.44,40.63
2021-05-02,5056773.791,3.307,3.4,3.08,3.311,-0.41,48.57
2021-05-03,7779576.527,3.312,3.579,3.302,3.371,-0.37,54.8
2021-05-04,7887571.63,3.365,3.373,2.869,2.928,-0.38,45.49
2021-05-05,6600952.344,2.93,3.159,2.836,3.13,-0.36,48.95
2021-05-06,6166649.533,3.13,3.19,2.9,2.993,-0.35,55.5
2021-05-07,6735403.531,2.993,3.202,2.746,3.011,-0.34,56.49
2021-05-08,8204538.408,3.011,3.309,2.933,3.026,-0.33,62.09
2021-05-09,4628969.425,3.029,3.142,2.865,3.039,-0.31,60.9
2021-05-10,6097645.794,3.04,3.04,2.34,2.619,-0.33,30.08
2021-05-11,6036767.244,2.618,2.905,2.49,2.805,-0.33,31.31
2021-05-12,5999106.22,2.804,3.057,2.2,2.248,-0.36,26.82
2021-05-13,6241459.136,2.243,2.58,2.125,2.406,-0.38,32.61
2021-05-14,3837831.608,2.405,2.599,2.336,2.569,-0.37,33.61
