date,volume,open,high,low,close,MACD,RSI
2021-11-15,630215742.0,0.1739,0.3,0.1739,0.2119,0.0,
2021-11-16,238049615.0,0.2119,0.2285,0.1808,0.189,-0.0,
2021-11-17,160424473.0,0.1891,0.226,0.1751,0.221,-0.0,
2021-11-18,133304493.0,0.221,0.2235,0.1616,0.1701,-0.0,
2021-11-19,73743193.0,0.1703,0.1847,0.1625,0.1763,-0.01,
2021-11-20,114778571.0,0.1763,0.2072,0.1751,0.1922,-0.01,
2021-11-21,998629519.0,0.1923,0.3823,0.1911,0.2582,-0.0,
2021-11-22,572874106.0,0.2583,0.345,0.2328,0.2453,0.0,
2021-11-23,146700456.0,0.2452,0.2598,0.215,0.2254,0.0,
2021-11-24,179096539.0,0.2253,0.2566,0.2125,0.2353,0.0,
2021-11-25,209226059.0,0.2353,0.278,0.2275,0.269,0.01,
2021-11-26,124175799.0,0.269,0.27,0.1981,0.2123,0.01,
2021-11-27,62226773.0,0.2123,0.2255,0.2073,0.2132,0.01,
2021-11-28,53985617.0,0.2131,0.215,0.1888,0.208,0.0,
2021-11-29,85229629.0,0.2078,0.2398,0.2073,0.2229,0.0,51.58
2021-11-30,59124741.0,0.2229,0.2325,0.2075,0.213,0.0,53.58
2021-12-01,255925867.0,0.213,0.2741,0.2112,0.2571,0.01,55.2
2021-12-02,346677045.0,0.2571,0.3027,0.2335,0.2434,0.01,61.83
2021-12-03,93016243.0,0.2435,0.2475,0.211,0.2347,0.01,59.35
2021-12-04,106323152.0,0.2345,0.2399,0.176,0.2008,0.0,51.3
2021-12-05,53146104.0,0.2008,0.2028,0.178,0.1808,0.0,36.39
2021-12-06,81637663.0,0.1809,0.1847,0.15,0.1792,-0.0,37.9
2021-12-07,69320459.0,0.1793,0.1998,0.1708,0.1759,-0.01,40.35
2021-12-08,43791619.0,0.1761,0.1804,0.1669,0.1777,-0.01,38.41
2021-12-09,43936858.0,0.1778,0.1799,0.1541,0.1577,-0.01,26.29
2021-12-10,44380316.0,0.1578,0.166,0.1441,0.1448,-0.01,32.32
2021-12-11,25948799.0,0.145,0.1597,0.1421,0.1568,-0.02,36.04
2021-12-12,111367663.0,0.1568,0.181,0.1504,0.1714,-0.02,41.34
2021-12-13,81534237.0,0.1714,0.1788,0.1455,0.1502,-0.02,33.3
2021-12-14,44763551.0,0.1505,0.1561,0.144,0.1547,-0.02,36.27
2021-12-15,78039263.0,0.1547,0.177,0.147,0.1695,-0.02,26.07
2021-12-16,57520803.0,0.1696,0.18,0.1543,0.1586,-0.02,26.47
2021-12-17,41494176.0,0.1586,0.1725,0.1523,0.1625,-0.02,29.42
2021-12-18,26966766.0,0.1625,0.1677,0.1574,0.16,-0.01,35.83
2021-12-19,25724416.0,0.16,0.16,0.1525,0.154,-0.01,39.69
2021-12-20,37815495.0,0.1543,0.1543,0.1378,0.1441,-0.02,37.31
2021-12-21,37301666.0,0.1441,0.1569,0.141,0.1528,-0.02,41.96
2021-12-22,30761938.0,0.1527,0.1578,0.1481,0.1481,-0.01,39.9
2021-12-23,33125309.0,0.1482,0.1559,0.1434,0.1527,-0.01,48.09
2021-12-24,40346967.0,0.1528,0.1566,0.1466,0.1474,-0.01,51.05
2021-12-25,204211609.0,0.1476,0.1937,0.1468,0.173,-0.01,55.9
2021-12-26,115751051.0,0.1725,0.1847,0.164,0.1666,-0.01,48.14
2021-12-27,58194410.0,0.1666,0.181,0.165,0.1658,-0.01,57.18
2021-12-28,47330125.0,0.1658,0.1669,0.1465,0.1498,-0.01,47.96
2021-12-29,28318688.0,0.1498,0.1524,0.1415,0.1429,-0.01,38.15
2021-12-30,28343164.0,0.1429,0.157,0.1404,0.1463,-0.01,44.13
2021-12-31,22370377.0,0.1463,0.1522,0.1436,0.1485,-0.01,43.2
2022-01-01,17983590.0,0.1485,0.1544,0.1467,0.1511,-0.01,45.68
2022-01-02,29402872.0,0.151,0.1539,0.1441,0.1447,-0.01,45.51
2022-01-03,42416883.0,0.1446,0.1488,0.1396,0.1423,-0.01,49.06
