date,volume,open,high,low,close,MACD,RSI
2021-07-29,564263.578,100.4,156.7,100.4,134.1,0.0,
2021-07-30,141011.202,134.2,137.7,120.7,129.8,-0.34,
2021-07-31,50786.29,129.7,140.0,123.2,135.0,-0.19,
2021-08-01,299545.806,135.0,179.9,135.0,175.3,3.14,
2021-08-02,272290.646,175.6,191.7,142.8,156.9,4.25,
2021-08-03,138504.517,156.7,174.8,145.1,166.5,5.84,
2021-08-04,155560.27,166.2,185.4,155.7,178.1,7.94,
2021-08-05,67287.184,178.5,181.0,168.4,173.1,9.1,
2021-08-06,68934.455,173.0,175.0,161.0,162.3,9.04,
2021-08-07,65704.328,162.3,166.9,150.9,155.5,8.35,
2021-08-08,52705.647,155.6,163.1,146.8,152.0,7.43,
2021-08-09,72387.259,152.1,166.8,142.4,151.8,6.61,
2021-08-10,54890.373,151.8,165.4,149.1,153.1,6.0,
2021-08-11,44763.355,153.0,165.0,152.9,154.7,5.58,
2021-08-12,42297.562,154.6,157.2,145.0,150.9,4.88,56.86
2021-08-13,30660.451,150.6,159.9,147.4,153.8,4.51,59.92
2021-08-14,30152.359,153.8,159.9,150.0,150.8,3.93,56.65
2021-08-15,49410.133,150.5,166.6,146.3,165.0,4.56,44.44
2021-08-16,49334.741,164.9,165.0,149.5,153.2,4.07,47.85
2021-08-17,57122.52,152.9,168.0,149.2,165.2,4.59,49.27
2021-08-18,293009.566,165.2,202.9,165.1,182.8,6.35,52.49
2021-08-19,69148.752,183.1,190.0,177.8,178.5,7.31,52.88
2021-08-20,50965.625,178.5,196.1,178.2,192.3,9.08,65.5
2021-08-21,30915.991,192.2,195.1,183.5,186.7,9.92,66.32
2021-08-22,28296.859,186.9,191.0,178.8,183.2,10.19,66.32
2021-08-23,29432.219,183.3,187.9,179.3,181.6,10.15,65.36
2021-08-24,122145.097,181.6,208.7,178.3,205.8,11.94,71.98
2021-08-25,89977.832,205.8,213.3,187.6,194.4,12.29,65.3
2021-08-26,39315.537,194.2,200.8,182.6,186.1,11.77,63.11
2021-08-27,38601.869,186.0,198.0,180.1,195.5,11.97,64.82
2021-08-28,15422.62,195.4,197.2,190.8,194.4,11.91,65.71
2021-08-29,14132.292,194.3,196.0,188.4,189.9,11.36,59.64
2021-08-30,24422.234,189.9,192.3,183.2,183.6,10.3,62.3
2021-08-31,40107.322,183.6,188.4,176.1,182.0,9.23,57.42
2021-09-01,36489.801,182.0,188.8,178.9,187.5,8.72,52.32
2021-09-02,26966.704,187.7,195.0,183.0,186.6,8.15,54.15
2021-09-03,34097.699,186.3,190.0,181.4,187.5,7.68,47.17
2021-09-04,109213.273,187.4,226.5,186.3,223.2,10.08,65.88
2021-09-05,509120.977,223.5,331.8,220.0,319.2,19.5,82.79
2021-09-06,609151.822,319.2,386.3,302.1,326.1,27.21,83.97
2021-09-07,261355.957,325.9,360.0,279.1,355.0,35.24,84.31
2021-09-08,216149.562,355.1,358.0,287.4,310.8,37.61,73.26
2021-09-09,159823.439,310.8,335.0,293.2,313.6,39.26,76.05
2021-09-10,343063.041,313.5,409.0,309.7,394.9,46.59,81.49
2021-09-11,300070.652,395.4,430.0,360.5,384.6,50.98,79.19
