date,volume,open,high,low,close,MACD,RSI
2018-03-19,1173351.458,16.0,20.549,13.1,19.878,0.0,
2018-03-20,2428141.555,19.88,22.0,18.053,20.386,0.04,
2018-03-21,1660401.58,20.386,21.0,18.5,19.593,0.01,
2018-03-22,1301822.548,19.593,20.177,17.62,19.288,-0.04,
2018-03-23,1271729.778,19.288,19.304,17.604,18.442,-0.15,
2018-03-24,1194967.755,18.465,19.45,17.64,17.758,-0.28,
2018-03-25,919524.918,17.758,18.3,17.5,17.958,-0.37,
2018-03-26,1509575.618,17.97,18.161,15.1,16.023,-0.59,
2018-03-27,353654.504,16.0,17.0,14.562,15.149,-0.82,
2018-03-28,204091.397,15.097,16.2,15.026,15.502,-0.97,
2018-03-29,173527.532,15.495,15.625,13.839,14.132,-1.18,
2018-03-30,223024.852,14.053,14.97,13.316,14.182,-1.33,
2018-03-31,108491.075,14.179,14.7,13.938,14.031,-1.44,
2018-04-01,121743.004,14.03,14.248,12.537,13.326,-1.57,
2018-04-02,172516.18,13.326,14.6,13.147,14.155,-1.59,20.2
2018-04-03,165969.901,14.154,15.1,14.01,14.962,-1.52,22.61
2018-04-04,107077.082,14.962,14.98,13.315,13.539,-1.56,21.26
2018-04-05,114975.392,13.544,13.605,12.809,13.323,-1.59,21.44
2018-04-06,67119.417,13.323,13.462,12.514,12.764,-1.65,22.05
2018-04-07,71568.324,12.784,13.438,12.696,13.084,-1.64,26.13
2018-04-08,62155.006,13.045,13.623,13.03,13.399,-1.6,26.99
2018-04-09,165097.604,13.389,14.8,13.001,13.41,-1.54,33.63
2018-04-10,71381.786,13.412,13.55,12.879,13.424,-1.48,37.89
2018-04-11,150282.148,13.439,14.483,13.317,14.374,-1.34,42.69
2018-04-12,384467.372,14.343,16.88,13.301,16.491,-1.04,63.93
2018-04-13,389260.216,16.481,17.659,15.44,15.605,-0.87,57.65
2018-04-14,170965.73,15.605,16.343,15.0,15.837,-0.71,59.62
2018-04-15,103845.586,15.836,17.068,15.836,16.811,-0.49,68.05
2018-04-16,119637.001,16.841,17.007,15.5,16.651,-0.33,63.89
2018-04-17,111262.344,16.651,16.978,16.15,16.187,-0.24,57.09
2018-04-18,102454.01,16.23,17.729,16.186,17.552,-0.06,73.38
2018-04-19,147441.228,17.53,18.6,17.45,18.551,0.17,77.91
2018-04-20,208824.093,18.551,20.684,17.98,20.267,0.48,85.65
2018-04-21,223516.256,20.27,20.692,17.688,19.358,0.65,78.23
2018-04-22,132344.142,19.316,19.9,18.551,19.107,0.75,75.83
2018-04-23,190987.742,19.107,20.774,19.081,20.457,0.93,78.45
2018-04-24,300321.475,20.457,23.98,20.41,22.642,1.23,81.66
2018-04-25,420357.294,22.611,22.616,17.972,19.152,1.18,63.97
2018-04-26,253664.957,19.152,21.108,18.4,21.007,1.27,63.41
2018-04-27,229912.657,21.058,21.295,19.551,19.633,1.22,61.63
2018-04-28,305297.317,19.657,22.05,19.5,21.625,1.32,65.16
2018-04-29,456806.155,21.637,23.599,20.266,23.001,1.5,65.88
2018-04-30,589056.706,23.001,25.8,21.666,22.432,1.57,64.53
2018-05-01,338102.986,22.431,22.46,20.5,22.045,1.59,64.78
2018-05-02,207161.7,22.003,22.493,21.304,22.29,1.59,62.67
2018-05-03,341723.592,22.305,23.499,21.64,22.728,1.62,61.52
2018-05-04,219714.159,22.728,23.805,21.6,22.091,1.57,55.35
2018-05-05,158109.23,22.1,23.079,21.882,22.464,1.54,59.4
2018-05-06,337698.981,22.413,23.98,21.323,22.88,1.54,61.31
2018-05-07,176740.228,22.876,22.997,20.34,21.362,1.39,52.68
2018-05-08,94463.37,21.361,21.82,20.32,20.658,1.21,43.55
2018-05-09,169906.068,20.692,20.697,18.968,19.905,0.99,52.98
