date,volume,open,high,low,close,MACD,RSI
2021-08-13,19767.989,638.3,850.0,638.3,768.0,0.0,
2021-08-14,17922.303,767.7,890.0,746.5,765.0,-0.24,
2021-08-15,6678.355,768.8,773.4,671.5,712.1,-4.64,
2021-08-16,9914.322,712.1,748.0,645.0,659.9,-12.21,
2021-08-17,4727.208,659.9,719.9,628.0,631.3,-20.27,
2021-08-18,3725.514,631.0,675.2,603.3,614.7,-27.69,
2021-08-19,5122.087,614.7,669.9,586.3,664.9,-29.18,
2021-08-20,8948.674,661.5,790.0,659.0,742.5,-23.82,
2021-08-21,6668.285,742.6,779.2,682.6,691.0,-23.46,
2021-08-22,4471.026,691.0,749.9,687.1,724.5,-20.24,
2021-08-23,5976.973,722.9,757.0,677.0,693.6,-19.95,
2021-08-24,4049.294,693.1,709.7,649.0,650.4,-22.94,
2021-08-25,3501.518,649.6,670.0,620.0,651.9,-24.9,
2021-08-26,3779.315,653.6,661.0,590.0,602.3,-30.11,
2021-08-27,4224.77,603.1,634.9,586.5,623.8,-32.14,35.94
2021-08-28,3470.893,624.3,635.8,613.3,621.5,-33.54,35.99
2021-08-29,2781.541,622.0,631.8,588.3,606.7,-35.44,38.88
2021-08-30,3893.793,606.7,615.9,560.3,578.8,-38.75,40.98
2021-08-31,2886.791,580.2,602.0,568.3,574.7,-41.22,43.34
2021-09-01,5048.376,574.4,641.8,568.2,611.8,-39.74,49.67
2021-09-02,3616.272,611.7,620.0,556.0,583.7,-40.36,40.42
2021-09-03,3284.934,582.7,591.7,565.0,573.7,-41.18,26.29
2021-09-04,6250.103,572.6,635.0,572.1,628.2,-37.01,41.25
2021-09-05,5307.415,628.2,638.0,591.3,597.8,-35.75,32.2
2021-09-06,3471.661,598.4,606.6,581.1,588.7,-35.08,34.3
2021-09-07,6841.319,588.7,595.0,460.0,505.1,-40.82,30.6
2021-09-08,2251.69,505.9,518.5,457.1,494.8,-45.68,29.51
2021-09-09,4540.702,493.4,528.2,469.3,480.0,-50.14,32.45
2021-09-10,3986.435,478.5,500.0,419.5,429.8,-57.07,24.28
2021-09-11,3235.897,430.3,451.5,428.4,440.4,-61.01,26.51
2021-09-12,2446.07,442.7,459.0,431.1,443.5,-63.15,28.17
2021-09-13,3951.657,443.9,447.9,403.0,412.5,-66.58,27.94
2021-09-14,4879.62,413.1,456.0,410.7,438.6,-66.42,32.94
2021-09-15,29704.565,438.7,613.4,438.5,509.8,-59.87,38.22
2021-09-16,7020.71,510.7,547.8,480.0,492.2,-55.45,39.17
2021-09-17,7584.778,492.2,494.9,455.1,466.2,-53.43,37.74
2021-09-18,7558.166,466.6,495.0,462.5,473.8,-50.64,30.29
2021-09-19,5087.962,473.5,492.4,449.7,449.7,-49.79,30.78
2021-09-20,9489.567,451.0,451.7,390.0,397.2,-52.75,27.67
2021-09-21,10125.898,397.2,440.8,349.0,354.4,-57.88,30.57
2021-09-22,5380.53,353.8,401.4,351.1,394.4,-58.05,37.98
2021-09-23,9003.833,394.4,433.0,377.9,406.2,-56.58,41.1
2021-09-24,5984.344,406.4,409.0,343.5,366.0,-57.99,42.12
2021-09-25,3411.428,365.4,374.8,352.9,358.6,-59.03,39.81
2021-09-26,8868.507,358.7,386.5,327.8,358.8,-59.15,39.37
2021-09-27,9397.781,357.1,397.1,347.4,348.2,-59.42,41.5
2021-09-28,2628.897,348.2,353.1,331.1,336.5,-59.88,35.96
2021-09-29,2785.485,336.2,356.5,330.4,338.1,-59.44,20.81
2021-09-30,3567.598,338.0,366.6,337.1,360.5,-56.62,27.97
2021-10-01,63350.291,360.1,558.9,358.8,433.0,-47.99,45.19
