date,volume,open,high,low,close,MACD,RSI
2021-10-07,15681729.3,9.701,30.5,9.701,17.982,0.0,
2021-10-08,4745139.7,17.965,21.175,15.11,15.722,-0.18,
2021-10-09,1591970.0,15.709,16.946,13.899,14.657,-0.4,
2021-10-10,5777846.0,14.668,21.319,13.752,17.175,-0.37,
2021-10-11,2314732.5,17.181,17.799,14.58,15.455,-0.48,
2021-10-12,839407.9,15.451,15.794,13.9,14.252,-0.66,
2021-10-13,585253.0,14.252,14.831,13.509,13.69,-0.84,
2021-10-14,725393.2,13.702,14.695,13.543,13.895,-0.95,
2021-10-15,645861.5,13.865,13.93,12.453,12.861,-1.11,
2021-10-16,413369.6,12.857,13.315,12.537,12.899,-1.22,
2021-10-17,3447701.9,12.911,18.0,12.596,13.117,-1.27,
2021-10-18,736555.5,13.093,13.806,12.601,12.967,-1.31,
2021-10-19,651046.3,12.967,14.345,12.728,12.961,-1.33,
2021-10-20,468008.4,12.937,13.76,12.889,13.309,-1.3,
2021-10-21,380321.6,13.33,13.394,12.577,12.633,-1.31,27.72
2021-10-22,248356.9,12.652,13.198,12.1,12.455,-1.32,33.53
2021-10-23,208955.0,12.446,12.475,11.923,12.15,-1.34,36.32
2021-10-24,193972.3,12.15,12.214,11.31,11.4,-1.4,10.94
2021-10-25,727802.2,11.4,12.614,11.335,11.709,-1.41,18.69
2021-10-26,285632.2,11.709,11.943,11.304,11.304,-1.43,21.57
2021-10-27,339785.6,11.326,11.566,9.85,9.877,-1.54,18.48
2021-10-28,545181.5,9.877,10.891,9.84,10.48,-1.56,23.51
2021-10-29,284645.2,10.494,10.813,10.198,10.627,-1.55,29.91
2021-10-30,389198.9,10.627,11.4,10.252,10.354,-1.55,28.04
2021-10-31,163321.4,10.355,10.634,10.169,10.44,-1.52,26.36
2021-11-01,705110.5,10.439,11.999,10.07,11.879,-1.37,42.17
2021-11-02,510069.8,11.885,12.556,10.915,11.443,-1.27,39.72
2021-11-03,890933.7,11.443,12.417,10.935,11.781,-1.14,39.64
2021-11-04,383216.3,11.781,12.489,10.951,11.085,-1.09,39.53
2021-11-05,125501.0,11.085,11.226,10.643,10.71,-1.07,38.5
2021-11-06,290642.7,10.71,11.442,10.591,11.086,-1.01,43.05
2021-11-07,152987.5,11.097,11.598,10.998,11.269,-0.93,49.08
2021-11-08,97704.2,11.287,11.413,11.112,11.2,-0.87,46.29
2021-11-09,5025500.5,11.201,17.047,11.167,13.958,-0.59,64.41
2021-11-10,3019197.2,13.98,16.349,11.943,12.396,-0.49,63.48
2021-11-11,2811914.5,12.35,16.78,11.994,13.915,-0.29,66.74
2021-11-12,1216694.1,13.916,14.599,12.5,12.825,-0.21,59.81
2021-11-13,508654.8,12.827,14.188,12.666,13.194,-0.12,62.57
2021-11-14,378224.5,13.197,13.499,12.535,12.822,-0.07,60.28
2021-11-15,2009356.8,12.822,16.611,12.55,14.214,0.08,60.12
2021-11-16,1310927.4,14.209,15.387,13.16,13.375,0.12,58.09
2021-11-17,1112110.1,13.384,16.3,13.165,14.839,0.27,61.7
2021-11-18,590526.0,14.812,14.86,12.603,12.609,0.21,55.22
2021-11-19,327603.5,12.698,13.695,12.6,13.032,0.2,57.93
2021-11-20,320065.3,13.043,13.267,12.596,13.023,0.18,56.78
2021-11-21,776716.7,13.023,14.36,12.66,13.207,0.18,56.79
2021-11-22,348217.2,13.207,13.417,12.395,12.396,0.11,53.98
