date,volume,open,high,low,close,MACD,RSI
2021-03-22,91544062.47,0.68,1.3,0.575,0.5877,0.0,
2021-03-23,18846820.52,0.586,0.589,0.525,0.5415,-0.0,
2021-03-24,86114471.34,0.541,0.8299,0.52,0.6421,0.0,
2021-03-25,45343543.75,0.6445,0.71,0.5212,0.5587,-0.0,
2021-03-26,21866521.34,0.5586,0.659,0.5551,0.6534,0.0,
2021-03-27,32570743.83,0.6534,0.7681,0.6175,0.6786,0.01,
2021-03-28,17171077.39,0.6786,0.76,0.6612,0.6769,0.02,
2021-03-29,19889139.51,0.6745,0.7502,0.6347,0.7298,0.02,
2021-03-30,28064226.65,0.7298,0.8768,0.7284,0.753,0.03,
2021-03-31,19555388.03,0.7531,0.8489,0.7437,0.8224,0.04,
2021-04-01,19513711.86,0.8246,0.8446,0.6735,0.7163,0.04,
2021-04-02,11087307.23,0.7162,0.7343,0.682,0.6911,0.04,
2021-04-03,19740246.59,0.6912,0.6939,0.6014,0.6029,0.03,
2021-04-04,13094403.39,0.6019,0.6585,0.5871,0.6321,0.02,
2021-04-05,15475383.56,0.6321,0.6999,0.593,0.6687,0.02,55.18
2021-04-06,14039631.78,0.6668,0.7382,0.6132,0.6323,0.02,55.87
2021-04-07,10359276.55,0.6316,0.648,0.587,0.6001,0.01,47.02
2021-04-08,16813438.58,0.6028,0.7103,0.5945,0.6875,0.01,59.09
2021-04-09,56558673.19,0.6886,0.99,0.66,0.951,0.04,66.96
2021-04-10,68786466.55,0.9511,0.9897,0.7686,0.8042,0.04,56.29
2021-04-11,16910063.91,0.805,0.8762,0.7783,0.8652,0.05,58.9
2021-04-12,23733675.09,0.8669,0.9309,0.7623,0.8154,0.05,54.06
2021-04-13,19226726.84,0.8151,0.83,0.7302,0.7458,0.05,49.67
2021-04-14,17292154.89,0.7458,0.8389,0.6896,0.8107,0.05,49.47
2021-04-15,21667653.81,0.811,0.84,0.7165,0.7423,0.04,51.23
2021-04-16,12640576.29,0.7423,0.7492,0.6747,0.6806,0.03,49.52
2021-04-17,13980786.6,0.68,0.736,0.662,0.6638,0.03,52.97
2021-04-18,16962116.45,0.6659,0.6754,0.53,0.6414,0.02,50.46
2021-04-19,10121998.17,0.6404,0.6516,0.5532,0.5774,0.0,45.63
2021-04-20,31425526.89,0.5763,0.6248,0.4843,0.6011,-0.0,48.49
2021-04-21,34079648.86,0.6013,0.6175,0.5275,0.5332,-0.02,46.87
2021-04-22,30663760.69,0.5333,0.554,0.4545,0.4714,-0.03,39.63
2021-04-23,18109215.72,0.4713,0.4788,0.3841,0.4506,-0.04,18.71
2021-04-24,38631093.93,0.45,0.451,0.3987,0.4114,-0.05,21.62
2021-04-25,52598273.31,0.4114,0.4764,0.3977,0.4386,-0.06,17.59
2021-04-26,62480956.29,0.4386,0.5325,0.4302,0.5008,-0.06,26.54
2021-04-27,28254466.37,0.5007,0.5648,0.495,0.549,-0.06,34.84
2021-04-28,22870310.69,0.5503,0.582,0.475,0.548,-0.05,27.56
2021-04-29,24051395.07,0.5482,0.5494,0.4811,0.5056,-0.05,28.84
2021-04-30,16614381.91,0.5056,0.527,0.4942,0.5037,-0.05,32.29
2021-05-01,15570262.97,0.5036,0.54,0.496,0.526,-0.05,36.36
2021-05-02,48598468.71,0.526,0.61,0.496,0.6,-0.04,46.28
2021-05-03,59697053.55,0.5999,0.69,0.5901,0.6281,-0.03,54.87
2021-05-04,41638777.29,0.6259,0.688,0.5617,0.6183,-0.02,51.7
2021-05-05,18045299.15,0.6179,0.66,0.6,0.6478,-0.01,62.23
2021-05-06,22413149.92,0.6477,0.7,0.6083,0.6275,-0.01,68.28
2021-05-07,11453626.97,0.6269,0.6415,0.59,0.6033,-0.01,67.74
2021-05-08,8160960.01,0.603,0.6202,0.5932,0.6116,-0.0,75.06
2021-05-09,15608656.07,0.6117,0.6609,0.601,0.6407,0.0,75.18
2021-05-10,13680924.73,0.6399,0.6493,0.509,0.555,-0.0,56.38
2021-05-11,9543249.49,0.5529,0.5631,0.5228,0.56,-0.01,51.44
2021-05-12,18155432.45,0.56,0.5878,0.448,0.4496,-0.02,39.98
2021-05-13,15713609.82,0.449,0.4998,0.4298,0.4379,-0.03,42.65
2021-05-14,13222465.49,0.4388,0.4884,0.4339,0.48,-0.03,47.63
2021-05-15,10206813.91,0.4797,0.4829,0.4147,0.4194,-0.04,40.11
2021-05-16,19415244.27,0.4183,0.5,0.4059,0.4197,-0.04,30.62
2021-05-17,16945379.93,0.4198,0.4205,0.2565,0.374,-0.05,23.68
2021-05-18,13338245.79,0.3749,0.398,0.3622,0.3733,-0.05,24.13
2021-05-19,28714637.19,0.3745,0.3857,0.2,0.2355,-0.07,14.57
2021-05-20,17863858.45,0.2355,0.2887,0.221,0.2649,-0.08,19.32
2021-05-21,13886768.32,0.265,0.2806,0.206,0.2248,-0.09,18.82
2021-05-22,15343997.08,0.2246,0.233,0.1894,0.1972,-0.09,16.91
2021-05-23,23342993.94,0.1972,0.2034,0.123,0.1485,-0.1,11.89
2021-05-24,22355530.61,0.1485,0.2118,0.1441,0.2026,-0.1,21.31
2021-05-25,31481697.96,0.2026,0.2501,0.1784,0.2404,-0.1,25.3
2021-05-26,226266786.28,0.2405,0.46,0.228,0.3378,-0.09,41.18
2021-05-27,67675856.96,0.3378,0.341,0.2775,0.291,-0.08,39.02
2021-05-28,29074107.06,0.291,0.296,0.2301,0.2473,-0.08,32.65
2021-05-29,14850296.02,0.2473,0.2515,0.2104,0.2251,-0.08,34.64
2021-05-30,16578995.37,0.2252,0.25,0.2101,0.234,-0.08,35.51
2021-05-31,13546948.84,0.234,0.2498,0.2227,0.248,-0.07,39.66
2021-06-01,14575223.85,0.248,0.265,0.2292,0.2354,-0.07,38.9
2021-06-02,21620285.85,0.2354,0.28,0.2292,0.2717,-0.07,53.48
2021-06-03,40281491.43,0.2708,0.305,0.2706,0.2866,-0.06,52.15
2021-06-04,25593039.53,0.2862,0.2868,0.233,0.2452,-0.06,52.01
2021-06-05,13849364.47,0.2451,0.2642,0.222,0.2325,-0.06,53.59
2021-06-06,7963821.65,0.2325,0.2493,0.2297,0.2381,-0.05,59.99
2021-06-07,10029296.85,0.2374,0.2496,0.2127,0.2143,-0.05,51.4
2021-06-08,15643896.0,0.2134,0.2229,0.1887,0.2147,-0.05,46.62
2021-06-09,23847933.91,0.2147,0.2619,0.2061,0.2423,-0.05,34.64
2021-06-10,15814727.53,0.2423,0.2442,0.215,0.2299,-0.05,38.95
2021-06-11,10238144.21,0.23,0.2345,0.1991,0.2014,-0.05,41.22
2021-06-12,10805570.21,0.2011,0.2074,0.185,0.1984,-0.04,44.49
2021-06-13,7967983.53,0.1981,0.2181,0.1925,0.2121,-0.04,45.57
2021-06-14,10843029.21,0.2115,0.2206,0.2056,0.2111,-0.04,42.11
2021-06-15,33554116.42,0.2111,0.2586,0.2084,0.2319,-0.04,49.28
2021-06-16,14050019.85,0.2322,0.2329,0.2043,0.2113,-0.04,36.66
2021-06-17,7769252.36,0.2112,0.223,0.2023,0.2072,-0.03,31.59
2021-06-18,5474590.26,0.2072,0.2107,0.19,0.1943,-0.03,36.4
2021-06-19,6127328.7,0.1946,0.1998,0.1897,0.1904,-0.03,38.19
2021-06-20,5881609.28,0.1901,0.1951,0.1795,0.1934,-0.03,37.28
2021-06-21,10665369.16,0.1934,0.1954,0.1554,0.1577,-0.03,34.91
2021-06-22,14697095.68,0.1581,0.1632,0.1339,0.1464,-0.04,32.8
2021-06-23,9651363.9,0.1466,0.1672,0.1443,0.1609,-0.04,28.05
2021-06-24,13391253.0,0.161,0.1681,0.1525,0.1574,-0.04,29.46
2021-06-25,7099745.75,0.1573,0.1662,0.1436,0.1478,-0.04,32.99
2021-06-26,8719206.61,0.1464,0.1496,0.1379,0.1411,-0.04,32.24
2021-06-27,9399223.08,0.1414,0.1597,0.1406,0.1556,-0.04,32.57
2021-06-28,7241203.2,0.156,0.1601,0.1515,0.1583,-0.03,33.88
2021-06-29,10852948.23,0.1585,0.19,0.1581,0.1674,-0.03,28.8
2021-06-30,6982556.32,0.1675,0.1723,0.1544,0.1628,-0.03,32.18
2021-07-01,3442548.97,0.1629,0.1629,0.153,0.1576,-0.03,31.92
2021-07-02,10115085.96,0.1571,0.167,0.1498,0.1565,-0.03,34.93
2021-07-03,14063098.54,0.1566,0.169,0.1535,0.1579,-0.02,36.78
2021-07-04,16063710.1,0.1582,0.1687,0.1546,0.1623,-0.02,37.49
2021-07-05,15265366.24,0.1622,0.175,0.1545,0.1605,-0.02,51.55
2021-07-06,12375715.23,0.1604,0.1704,0.1598,0.1652,-0.02,61.22
2021-07-07,24134812.85,0.1647,0.1869,0.1618,0.1669,-0.02,54.23
2021-07-08,12690100.48,0.1666,0.1678,0.1521,0.1604,-0.02,52.03
2021-07-09,27541469.98,0.1606,0.1849,0.1571,0.1792,-0.01,68.87
2021-07-10,8998853.05,0.1792,0.1838,0.1656,0.1713,-0.01,67.89
2021-07-11,5957189.01,0.1712,0.1779,0.1681,0.1753,-0.01,63.33
2021-07-12,10340596.82,0.1747,0.1878,0.1684,0.1719,-0.01,59.12
2021-07-13,10653050.65,0.1718,0.1772,0.1652,0.1653,-0.01,48.54
2021-07-14,17709403.92,0.1655,0.1691,0.1572,0.1617,-0.01,49.23
2021-07-15,12424595.03,0.1617,0.1675,0.1558,0.1577,-0.01,50.07
2021-07-16,8172417.63,0.158,0.1593,0.1462,0.1472,-0.01,44.14
2021-07-17,4237923.24,0.1471,0.151,0.1445,0.1459,-0.01,42.42
2021-07-18,3911533.35,0.146,0.1544,0.1458,0.1471,-0.01,40.0
2021-07-19,14555681.15,0.1474,0.163,0.1365,0.1405,-0.01,37.62
2021-07-20,10532731.92,0.1408,0.1418,0.1274,0.1286,-0.01,29.2
2021-07-21,11917402.54,0.1286,0.146,0.125,0.1417,-0.01,37.32
2021-07-22,106894761.34,0.1418,0.2058,0.1398,0.1725,-0.01,54.89
2021-07-23,38168154.58,0.172,0.1744,0.1507,0.1626,-0.01,42.77
2021-07-24,29643333.76,0.1626,0.1792,0.1574,0.1718,-0.01,50.22
2021-07-25,87095657.06,0.1717,0.2158,0.1593,0.1885,-0.0,55.12
2021-07-26,31337846.32,0.1882,0.1989,0.1715,0.1744,-0.0,50.9
2021-07-27,71041089.85,0.1744,0.2377,0.1663,0.2003,0.0,61.02
2021-07-28,43241849.93,0.2004,0.2182,0.1939,0.2012,0.0,62.65
2021-07-29,13961001.89,0.2012,0.2019,0.192,0.1949,0.0,61.74
2021-07-30,13133433.45,0.1949,0.2002,0.1824,0.1946,0.01,65.99
2021-07-31,58318667.79,0.1951,0.2325,0.189,0.2237,0.01,72.1
2021-08-01,39798300.27,0.2239,0.227,0.1995,0.2092,0.01,66.4
