date,volume,open,high,low,close,MACD,RSI
2020-06-12,29355.544,14.325,16.988,14.325,14.984,0.0,
2020-06-13,41615.146,14.984,17.233,14.3,16.792,0.14,
2020-06-14,29096.24,16.793,17.168,15.321,15.535,0.16,
2020-06-15,21442.819,15.531,16.173,14.445,15.329,0.15,
2020-06-16,11643.052,15.186,16.018,15.144,15.642,0.16,
2020-06-17,28974.602,15.697,16.476,15.32,16.024,0.2,
2020-06-18,34726.886,16.0,16.677,15.436,16.374,0.26,
2020-06-19,59250.868,16.373,18.819,15.887,18.681,0.49,
2020-06-20,67820.759,18.656,19.449,17.3,17.695,0.58,
2020-06-21,29724.896,17.695,18.189,17.213,17.835,0.66,
2020-06-22,23473.348,17.835,18.296,17.522,18.233,0.74,
2020-06-23,28154.433,18.221,18.997,17.4,17.575,0.75,
2020-06-24,30881.121,17.575,17.838,16.227,16.898,0.69,
2020-06-25,14729.388,16.899,16.931,15.83,16.145,0.58,
2020-06-26,20841.252,16.182,17.839,15.612,17.686,0.6,61.47
2020-06-27,38859.353,17.654,17.96,15.478,16.139,0.5,47.16
2020-06-28,13778.009,16.059,16.689,15.636,15.894,0.38,51.71
2020-06-29,30678.938,16.03,16.989,15.944,16.964,0.38,57.19
2020-06-30,17382.942,16.961,17.601,16.233,16.33,0.32,52.94
2020-07-01,23303.456,16.3,17.247,16.128,16.845,0.31,53.47
2020-07-02,41072.658,16.855,17.423,16.353,16.835,0.3,52.01
2020-07-03,35757.78,16.835,18.53,16.743,18.17,0.39,47.57
2020-07-04,67663.372,18.13,19.668,18.13,18.928,0.52,56.0
2020-07-05,34383.138,18.9,19.054,17.511,18.191,0.56,51.64
2020-07-06,51270.874,18.291,19.578,18.167,19.001,0.65,53.4
2020-07-07,34070.768,19.056,19.932,18.79,19.931,0.78,60.19
2020-07-08,62533.237,19.931,21.14,19.263,20.331,0.91,65.21
2020-07-09,39632.457,20.285,20.285,18.38,19.231,0.91,63.27
2020-07-10,25857.603,19.261,19.933,18.4,19.242,0.91,57.7
2020-07-11,21812.587,19.242,19.42,18.838,19.366,0.9,68.59
2020-07-12,20701.499,19.366,20.024,19.226,19.536,0.9,71.16
2020-07-13,30055.726,19.536,19.85,18.43,18.797,0.83,61.08
2020-07-14,60727.697,18.772,20.358,17.944,20.027,0.86,70.84
2020-07-15,60288.205,20.062,20.506,19.065,19.419,0.83,64.36
2020-07-16,77831.903,19.435,20.094,17.384,19.153,0.77,62.57
2020-07-17,18739.35,19.148,19.331,18.852,19.168,0.72,56.32
2020-07-18,36550.009,19.14,19.674,18.549,19.341,0.69,52.82
2020-07-19,24668.552,19.34,19.505,18.809,19.056,0.63,56.3
2020-07-20,47015.458,19.055,19.887,18.848,19.384,0.6,53.0
2020-07-21,155719.887,19.342,24.2,19.337,23.505,0.91,68.67
2020-07-22,136432.951,23.505,25.549,23.101,23.533,1.13,67.41
2020-07-23,83523.388,23.498,23.9,22.106,22.628,1.23,68.87
2020-07-24,66401.794,22.688,24.398,22.376,23.116,1.33,70.43
2020-07-25,43101.79,23.13,24.374,22.85,22.965,1.38,68.93
2020-07-26,42638.492,23.016,23.018,21.383,22.444,1.36,64.75
2020-07-27,64799.744,22.454,23.62,19.372,20.392,1.16,57.14
2020-07-28,119222.529,20.45,22.246,19.524,21.45,1.08,56.47
2020-07-29,45555.426,21.472,21.627,19.929,20.145,0.9,53.1
2020-07-30,38589.132,19.996,21.173,19.89,20.149,0.75,54.36
2020-07-31,21766.686,20.221,20.49,19.654,19.802,0.6,52.69
2020-08-01,37176.595,19.847,21.0,19.698,20.6,0.53,55.08
2020-08-02,38321.241,20.605,21.071,4.8,18.946,0.35,49.6
2020-08-03,31347.476,18.932,21.135,18.773,20.374,0.31,53.33
2020-08-04,47906.132,20.441,21.8,20.3,20.678,0.3,37.2
2020-08-05,16256.659,20.631,21.071,20.229,20.908,0.31,38.33
2020-08-06,46207.084,20.908,21.674,20.4,21.647,0.37,45.57
2020-08-07,31673.674,21.646,21.7,19.694,20.809,0.35,39.91
2020-08-08,16084.187,20.72,21.293,20.676,21.278,0.36,42.82
2020-08-09,41749.598,21.291,22.07,20.77,22.02,0.43,48.23
2020-08-10,67110.985,22.02,22.246,20.5,21.11,0.41,53.32
2020-08-11,37664.529,21.243,21.311,19.755,20.263,0.31,44.41
2020-08-12,34369.131,20.398,20.524,19.648,20.52,0.26,51.96
