date,volume,open,high,low,close,MACD,RSI
2021-11-27,5385361.76,6.1,7.945,2.5,7.47,0.0,
2021-11-28,2991578.89,7.47,7.827,6.083,6.948,-0.04,
2021-11-29,1362160.41,6.968,7.22,6.333,6.788,-0.09,
2021-11-30,1126567.79,6.795,6.824,6.138,6.268,-0.16,
2021-12-01,3006782.57,6.276,6.36,5.145,5.401,-0.29,
2021-12-02,2336301.6,5.407,5.741,4.92,5.617,-0.37,
2021-12-03,4233336.02,5.616,6.782,4.828,5.1,-0.47,
2021-12-04,5800485.01,5.106,6.074,3.88,5.266,-0.52,
2021-12-05,2819506.64,5.268,5.853,4.374,4.853,-0.6,
2021-12-06,4080140.85,4.861,5.0,3.888,4.894,-0.65,
2021-12-07,1536345.67,4.884,5.174,4.413,4.47,-0.71,
2021-12-08,1227462.71,4.47,4.623,4.21,4.247,-0.77,
2021-12-09,1623437.09,4.256,4.431,3.9,3.903,-0.83,
2021-12-10,1848044.08,3.908,4.099,3.5,3.504,-0.91,
2021-12-11,1032166.22,3.5,3.826,3.436,3.793,-0.93,13.96
2021-12-12,9784942.89,3.788,5.449,3.767,4.963,-0.85,32.74
2021-12-13,6445665.17,4.96,5.095,3.807,4.055,-0.84,28.97
2021-12-14,3117749.97,4.054,4.35,3.701,4.083,-0.83,31.81
2021-12-15,3098473.24,4.084,4.626,3.799,4.243,-0.79,39.07
2021-12-16,3650210.42,4.243,4.896,4.113,4.289,-0.75,37.05
2021-12-17,1557911.64,4.29,4.478,3.907,4.164,-0.72,40.12
2021-12-18,2249028.64,4.169,4.849,4.048,4.5,-0.67,42.19
2021-12-19,2300055.41,4.5,5.0,4.23,4.688,-0.6,48.24
2021-12-20,1798162.44,4.678,4.83,4.163,4.478,-0.56,45.71
2021-12-21,10096773.24,4.478,6.39,4.346,5.506,-0.43,59.5
2021-12-22,5885172.22,5.512,6.52,5.5,5.717,-0.32,63.51
2021-12-23,2730623.58,5.724,6.34,5.587,6.151,-0.18,70.32
2021-12-24,2217931.43,6.135,6.661,5.503,5.576,-0.13,68.15
2021-12-25,1329719.3,5.578,5.91,5.509,5.61,-0.08,66.66
2021-12-26,1727051.05,5.608,5.682,5.125,5.422,-0.05,55.13
2021-12-27,1724656.97,5.421,5.744,5.151,5.156,-0.05,64.38
2021-12-28,1970903.37,5.156,5.387,4.705,4.907,-0.07,60.17
2021-12-29,1698449.36,4.898,5.029,4.515,4.622,-0.11,54.54
2021-12-30,1834530.9,4.615,4.92,4.5,4.61,-0.14,53.88
2021-12-31,1708500.45,4.614,5.108,4.53,4.601,-0.16,55.43
2022-01-01,1342121.2,4.602,4.828,4.374,4.8,-0.16,53.86
2022-01-02,724217.95,4.791,4.869,4.522,4.572,-0.18,48.52
2022-01-03,3801926.52,4.572,5.415,4.51,5.262,-0.13,58.89
2022-01-04,3928565.29,5.264,5.5,4.764,4.813,-0.13,40.95
2022-01-05,3805854.49,4.814,5.122,4.03,4.278,-0.17,32.68
2022-01-06,3791357.58,4.278,4.38,4.063,4.172,-0.21,24.13
2022-01-07,3518981.52,4.175,4.18,3.645,3.686,-0.28,24.71
2022-01-08,2230354.95,3.693,3.85,3.407,3.58,-0.33,23.35
2022-01-09,2556309.59,3.578,3.999,3.467,3.763,-0.36,28.19
2022-01-10,2142062.36,3.764,3.774,3.22,3.499,-0.4,28.2
2022-01-11,2675671.99,3.501,3.6,3.246,3.475,-0.43,29.98
2022-01-12,2730345.71,3.481,4.0,3.304,3.972,-0.4,41.42
2022-01-13,2870440.77,3.972,4.077,3.532,3.547,-0.41,37.35
2022-01-14,1991966.32,3.549,3.628,3.31,3.53,-0.42,37.28
2022-01-15,1165911.26,3.529,3.782,3.459,3.637,-0.41,35.88
2022-01-16,1114316.32,3.636,3.768,3.54,3.598,-0.4,37.6
2022-01-17,1810616.79,3.597,3.625,3.13,3.199,-0.42,21.64
2022-01-18,2447852.63,3.197,3.319,2.88,3.0,-0.45,23.24
2022-01-19,2757651.67,3.0,3.187,2.758,2.965,-0.47,27.26
2022-01-20,2467611.47,2.964,3.372,2.82,2.829,-0.49,26.98
2022-01-21,5283958.03,2.827,2.901,2.262,2.415,-0.53,27.66
2022-01-22,3383954.01,2.413,2.503,1.962,2.145,-0.58,26.15
2022-01-23,1933706.86,2.145,2.38,2.099,2.25,-0.6,24.19
2022-01-24,3273887.7,2.248,2.338,1.801,2.275,-0.61,27.27
2022-01-25,2482562.42,2.275,2.428,2.187,2.301,-0.61,28.21
2022-01-26,2928949.01,2.304,2.637,2.245,2.496,-0.59,19.15
2022-01-27,2928525.16,2.498,2.632,2.361,2.493,-0.56,23.25
2022-01-28,1897069.95,2.493,2.854,2.425,2.835,-0.51,34.86
2022-01-29,4572167.03,2.837,3.247,2.835,3.179,-0.44,40.96
2022-01-30,5756756.93,3.187,3.775,2.947,3.077,-0.38,39.96
2022-01-31,5877567.75,3.079,3.664,2.85,3.493,-0.3,55.63
2022-02-01,5556947.67,3.494,4.06,3.421,3.74,-0.21,63.91
2022-02-02,10715918.19,3.739,4.26,3.25,3.26,-0.18,54.75
2022-02-03,6625649.72,3.264,3.49,3.14,3.367,-0.14,58.75
2022-02-04,5160967.19,3.366,3.667,3.247,3.61,-0.1,70.57
2022-02-05,5290258.03,3.609,4.008,3.494,3.712,-0.05,78.63
2022-02-06,3514899.75,3.712,3.85,3.402,3.573,-0.02,73.87
2022-02-07,4141495.38,3.575,3.85,3.455,3.643,0.01,74.29
2022-02-08,3809107.82,3.645,3.75,3.207,3.393,0.01,67.96
2022-02-09,3778386.7,3.392,3.492,3.208,3.329,0.0,64.32
2022-02-10,4585635.63,3.327,3.48,3.02,3.075,-0.02,59.21
2022-02-11,4034861.06,3.077,3.159,2.581,2.677,-0.07,47.54
2022-02-12,3744651.67,2.676,2.785,2.53,2.694,-0.11,41.61
2022-02-13,4230670.72,2.694,2.976,2.486,2.566,-0.15,41.23
2022-02-14,3492708.46,2.567,2.897,2.53,2.831,-0.15,38.02
2022-02-15,4297978.47,2.834,3.277,2.834,3.249,-0.12,41.64
2022-02-16,7089028.07,3.254,4.04,2.994,3.201,-0.1,48.82
2022-02-17,3599727.14,3.2,3.346,2.723,2.793,-0.12,39.76
2022-02-18,2882244.84,2.791,3.009,2.671,2.696,-0.14,32.81
2022-02-19,1536785.01,2.695,2.785,2.53,2.614,-0.16,29.19
2022-02-20,2101785.49,2.618,2.619,2.337,2.463,-0.18,29.06
2022-02-21,4991440.66,2.465,2.88,2.301,2.361,-0.21,26.1
2022-02-22,3669058.38,2.363,2.504,2.215,2.46,-0.22,31.57
2022-02-23,3335058.6,2.463,2.647,2.344,2.354,-0.23,31.05
2022-02-24,8048710.21,2.354,2.378,2.0,2.34,-0.24,34.25
2022-02-25,5383524.46,2.341,2.6,2.317,2.587,-0.23,47.94
2022-02-26,2764562.26,2.587,2.718,2.45,2.458,-0.22,44.86
2022-02-27,4158866.16,2.458,2.543,2.331,2.382,-0.22,45.9
2022-02-28,3062683.64,2.384,2.687,2.357,2.674,-0.2,46.54
2022-03-01,5403659.82,2.674,3.125,2.531,2.979,-0.15,43.74
2022-03-02,6942893.6,2.979,3.33,2.861,2.892,-0.12,42.96
2022-03-03,3798058.65,2.892,2.944,2.651,2.751,-0.1,48.91
2022-03-04,3351099.88,2.751,2.758,2.484,2.505,-0.11,45.4
2022-03-05,2183375.32,2.507,2.695,2.475,2.618,-0.11,50.09
2022-03-06,1779377.9,2.619,2.642,2.48,2.53,-0.11,51.64
2022-03-07,2164095.77,2.532,2.601,2.412,2.484,-0.11,53.09
2022-03-08,1346165.55,2.486,2.559,2.437,2.506,-0.11,51.2
2022-03-09,2513994.18,2.507,2.779,2.5,2.65,-0.1,57.59
2022-03-10,1502734.37,2.647,2.656,2.478,2.506,-0.1,53.99
2022-03-11,1627876.43,2.506,2.559,2.351,2.382,-0.11,44.76
2022-03-12,711405.41,2.382,2.419,2.354,2.354,-0.12,47.2
2022-03-13,1216846.55,2.354,2.403,2.246,2.26,-0.13,46.74
2022-03-14,821834.34,2.26,2.326,2.226,2.321,-0.13,39.26
2022-03-15,1101491.73,2.319,2.356,2.24,2.332,-0.13,26.02
2022-03-16,2603701.76,2.333,2.532,2.271,2.498,-0.12,36.2
2022-03-17,1244414.02,2.498,2.581,2.414,2.419,-0.11,37.85
2022-03-18,2665905.07,2.42,2.578,2.344,2.556,-0.1,52.03
2022-03-19,4562126.17,2.556,3.099,2.533,2.713,-0.07,53.65
2022-03-20,1464894.16,2.713,2.799,2.513,2.603,-0.05,52.76
2022-03-21,1460378.76,2.606,2.772,2.543,2.658,-0.04,56.53
2022-03-22,2276722.97,2.658,2.91,2.624,2.814,-0.01,60.5
2022-03-23,1433896.4,2.815,2.874,2.718,2.807,0.0,55.91
2022-03-24,1722814.34,2.807,2.95,2.785,2.841,0.02,63.74
2022-03-25,1471009.83,2.841,2.921,2.733,2.744,0.03,65.18
2022-03-26,1138274.22,2.744,2.75,2.622,2.708,0.03,64.75
2022-03-27,1932590.39,2.708,2.816,2.467,2.798,0.04,72.49
2022-03-28,3683010.17,2.798,3.113,2.767,2.939,0.05,74.22
2022-03-29,1919706.05,2.939,3.141,2.856,2.937,0.07,73.88
2022-03-30,1191953.13,2.937,3.05,2.831,3.001,0.08,71.59
2022-03-31,2909040.05,3.001,3.299,2.878,2.927,0.09,71.9
2022-04-01,2326152.41,2.927,3.1,2.811,2.956,0.09,69.01
2022-04-02,2410629.59,2.955,3.241,2.934,3.045,0.1,66.87
2022-04-03,1399110.98,3.046,3.183,3.01,3.058,0.11,75.65
2022-04-04,2314853.08,3.061,3.061,2.73,2.906,0.1,62.6
2022-04-05,1587329.63,2.904,2.979,2.777,2.806,0.09,49.57
2022-04-06,2154204.89,2.806,2.806,2.496,2.497,0.05,37.4
2022-04-07,1497609.71,2.496,2.655,2.466,2.586,0.03,40.08
2022-04-08,2250110.9,2.585,2.611,2.422,2.439,-0.0,38.58
2022-04-09,763870.76,2.437,2.512,2.402,2.504,-0.02,42.52
2022-04-10,661281.93,2.509,2.579,2.448,2.462,-0.04,37.23
2022-04-11,2533173.9,2.458,2.47,2.0,2.069,-0.08,22.26
2022-04-12,3914265.0,2.072,2.158,2.0,2.057,-0.12,22.12
2022-04-13,1856081.54,2.053,2.12,2.001,2.11,-0.14,21.57
2022-04-14,2341413.35,2.108,2.13,1.95,2.015,-0.16,21.28
2022-04-15,923774.81,2.012,2.064,2.003,2.034,-0.18,20.79
2022-04-16,774622.13,2.034,2.048,2.001,2.008,-0.19,15.78
2022-04-17,1297795.79,2.006,2.048,1.975,2.008,-0.2,15.05
2022-04-18,2738295.84,2.006,2.042,1.879,2.007,-0.2,16.73
2022-04-19,3403619.34,2.01,2.182,2.006,2.147,-0.19,26.31
2022-04-20,2405742.23,2.144,2.207,2.024,2.053,-0.19,31.12
2022-04-21,1692347.14,2.051,2.127,1.91,1.912,-0.19,22.56
2022-04-22,1678870.41,1.912,1.97,1.848,1.936,-0.19,27.24
2022-04-23,1143877.11,1.936,1.936,1.85,1.861,-0.2,21.17
2022-04-24,1081427.33,1.86,1.89,1.763,1.773,-0.21,20.33
2022-04-25,3084642.12,1.774,1.8,1.566,1.731,-0.21,29.14
2022-04-26,2848379.91,1.731,1.75,1.484,1.498,-0.24,22.89
2022-04-27,1937457.17,1.501,1.555,1.44,1.486,-0.25,18.48
2022-04-28,3048476.38,1.485,1.622,1.478,1.563,-0.25,26.75
2022-04-29,2086537.28,1.562,1.601,1.369,1.391,-0.27,21.42
2022-04-30,1701621.28,1.394,1.421,1.2,1.213,-0.29,18.87
2022-05-01,21345327.28,1.213,1.8,1.212,1.597,-0.27,37.63
2022-05-02,14643176.67,1.598,1.917,1.519,1.697,-0.25,41.19
2022-05-03,4892643.9,1.699,1.769,1.475,1.497,-0.24,32.14
2022-05-04,5211194.64,1.497,1.811,1.489,1.742,-0.22,42.11
2022-05-05,6728880.93,1.741,1.893,1.479,1.612,-0.2,42.35
2022-05-06,5911332.82,1.611,1.618,1.463,1.509,-0.2,39.53
2022-05-07,4189309.99,1.508,1.514,1.298,1.342,-0.21,37.82
2022-05-08,2895871.93,1.342,1.364,1.28,1.297,-0.21,38.6
2022-05-09,5163165.34,1.297,1.32,1.064,1.118,-0.23,36.22
2022-05-10,7025511.7,1.117,1.262,1.061,1.169,-0.24,41.95
2022-05-11,10109981.1,1.165,1.193,0.717,0.818,-0.27,35.98
2022-05-12,9534318.77,0.816,0.882,0.603,0.785,-0.29,33.36
2022-05-13,5495377.19,0.787,1.09,0.783,0.858,-0.3,38.1
2022-05-14,3910571.98,0.86,0.905,0.744,0.862,-0.3,41.5
2022-05-15,4427749.9,0.862,0.949,0.8,0.948,-0.3,31.64
2022-05-16,7896454.0,0.948,1.096,0.832,0.963,-0.29,28.18
2022-05-17,5696025.64,0.962,1.112,0.907,0.981,-0.27,32.8
2022-05-18,3367653.35,0.981,0.997,0.82,0.828,-0.27,17.54
2022-05-19,2613003.83,0.829,0.937,0.82,0.924,-0.26,24.96
2022-05-20,2913694.22,0.926,0.947,0.853,0.873,-0.25,25.95
2022-05-21,1220623.03,0.872,0.931,0.854,0.896,-0.24,31.07
2022-05-22,1709295.15,0.896,0.94,0.867,0.901,-0.23,32.6
2022-05-23,2789044.92,0.9,0.959,0.847,0.857,-0.22,36.99
2022-05-24,2334012.79,0.857,0.917,0.825,0.916,-0.21,37.49
2022-05-25,1712465.3,0.917,0.929,0.863,0.867,-0.2,53.46
2022-05-26,2784688.41,0.867,0.882,0.741,0.742,-0.2,47.32
2022-05-27,3440412.82,0.743,0.768,0.676,0.695,-0.2,39.48
2022-05-28,1161339.83,0.696,0.73,0.686,0.711,-0.2,40.41
2022-05-29,1424149.33,0.71,0.724,0.68,0.714,-0.2,33.38
2022-05-30,4348426.6,0.714,0.87,0.707,0.839,-0.18,42.38
2022-05-31,10056931.83,0.84,0.92,0.787,0.85,-0.16,41.88
2022-06-01,4855204.6,0.851,0.856,0.721,0.741,-0.16,44.3
2022-06-02,1181183.4,0.742,0.775,0.724,0.77,-0.15,38.94
2022-06-03,1337211.78,0.771,0.772,0.705,0.715,-0.15,38.71
2022-06-04,883504.79,0.715,0.732,0.692,0.723,-0.14,37.37
2022-06-05,960819.83,0.724,0.727,0.678,0.718,-0.14,36.64
2022-06-06,3775948.68,0.718,0.795,0.68,0.71,-0.13,38.67
2022-06-07,3125334.17,0.711,0.749,0.654,0.703,-0.13,32.16
2022-06-08,1236189.45,0.704,0.721,0.682,0.685,-0.12,33.92
2022-06-09,1224220.79,0.685,0.717,0.667,0.694,-0.12,44.67
2022-06-10,2998480.62,0.694,0.71,0.609,0.62,-0.12,42.14
2022-06-11,2456167.37,0.62,0.634,0.547,0.562,-0.12,35.65
2022-06-12,3484528.9,0.562,0.593,0.493,0.51,-0.13,32.04
2022-06-13,17552964.59,0.51,0.551,0.359,0.403,-0.14,10.36
2022-06-14,9659861.14,0.403,0.459,0.361,0.385,-0.15,8.26
2022-06-15,11815944.77,0.383,0.424,0.325,0.411,-0.15,15.19
2022-06-16,6651142.2,0.412,0.419,0.33,0.34,-0.16,8.33
2022-06-17,4141296.39,0.341,0.37,0.337,0.345,-0.16,10.3
2022-06-18,7099284.47,0.344,0.364,0.274,0.323,-0.16,8.33
2022-06-19,41284498.53,0.324,0.587,0.295,0.43,-0.15,25.26
2022-06-20,61045782.26,0.43,0.543,0.422,0.435,-0.15,26.25
2022-06-21,16192742.62,0.435,0.505,0.416,0.437,-0.14,26.83
2022-06-22,25110527.22,0.438,0.555,0.413,0.492,-0.12,34.21
2022-06-23,27518718.64,0.493,0.62,0.492,0.555,-0.11,39.55
2022-06-24,12332061.2,0.555,0.621,0.532,0.558,-0.09,44.78
2022-06-25,5481899.11,0.558,0.575,0.506,0.543,-0.08,48.28
2022-06-26,4622185.82,0.543,0.555,0.477,0.48,-0.08,47.33
2022-06-27,5932322.26,0.48,0.548,0.47,0.482,-0.07,58.64
2022-06-28,34927817.3,0.482,0.705,0.482,0.607,-0.06,69.68
2022-06-29,13796283.04,0.606,0.637,0.553,0.586,-0.05,65.65
2022-06-30,6222148.68,0.586,0.586,0.485,0.529,-0.04,67.34
2022-07-01,5140353.11,0.531,0.548,0.48,0.49,-0.04,62.52
2022-07-02,8557930.59,0.49,0.581,0.456,0.512,-0.04,66.32
