date,volume,open,high,low,close,MACD,RSI
2024-02-05,11739901.03,2.374,3.22,2.374,2.714,0.0,
2024-02-06,12994791.45,2.71,2.816,2.476,2.642,-0.01,
2024-02-07,9364139.01,2.641,2.804,2.497,2.556,-0.02,
2024-02-08,8816119.5,2.556,2.7,2.503,2.513,-0.03,
2024-02-09,8139100.82,2.513,2.597,2.367,2.567,-0.03,
2024-02-10,8790731.58,2.567,2.843,2.52,2.728,-0.02,
2024-02-11,7570464.87,2.729,2.837,2.578,2.692,-0.02,
2024-02-12,4777243.2,2.693,2.805,2.612,2.791,-0.01,
2024-02-13,5005823.72,2.79,2.811,2.591,2.615,-0.01,
2024-02-14,6687595.88,2.615,2.824,2.563,2.728,-0.01,
2024-02-15,11592276.9,2.728,3.005,2.688,2.864,0.01,
2024-02-16,9982686.15,2.865,3.147,2.84,2.948,0.03,
2024-02-17,4176098.6,2.947,3.002,2.736,2.873,0.04,
2024-02-18,14311328.32,2.874,3.4,2.85,3.274,0.07,
2024-02-19,18563796.71,3.273,3.539,3.081,3.469,0.12,71.81
2024-02-20,11725025.4,3.469,3.535,3.169,3.45,0.15,74.08
2024-02-21,11619478.66,3.45,3.48,2.981,3.118,0.15,64.6
2024-02-22,9864183.57,3.119,3.269,2.822,2.897,0.12,59.13
2024-02-23,10896619.7,2.897,3.082,2.842,2.935,0.11,58.82
2024-02-24,4885745.75,2.936,3.075,2.843,3.004,0.1,56.92
2024-02-25,4464953.97,3.003,3.039,2.898,2.975,0.09,57.12
2024-02-26,8907305.58,2.975,3.158,2.956,3.038,0.09,56.33
2024-02-27,5749913.99,3.039,3.124,2.927,3.007,0.08,60.85
2024-02-28,8901037.11,3.007,3.139,2.62,2.95,0.07,56.34
2024-02-29,8710836.08,2.949,2.994,2.635,2.736,0.05,46.5
2024-03-01,5649530.31,2.737,2.783,2.671,2.771,0.03,45.03
2024-03-02,6541441.73,2.772,2.97,2.764,2.941,0.03,51.81
2024-03-03,12050578.86,2.942,3.088,2.672,2.977,0.03,40.16
2024-03-04,7408740.42,2.976,3.043,2.75,2.859,0.02,28.7
2024-03-05,11978267.35,2.86,2.983,2.407,2.645,-0.0,25.26
2024-03-06,7082618.01,2.643,2.976,2.582,2.912,-0.0,43.41
2024-03-07,10920693.96,2.911,3.156,2.818,3.07,0.01,55.77
2024-03-08,10054531.01,3.072,3.47,3.03,3.37,0.05,62.35
2024-03-09,16370384.16,3.369,4.046,3.291,3.877,0.12,69.85
2024-03-10,11249702.0,3.877,4.072,3.616,3.689,0.15,65.14
2024-03-11,14673743.86,3.69,4.252,3.526,3.98,0.2,68.21
2024-03-12,8963426.75,3.982,4.033,3.717,3.971,0.24,68.8
2024-03-13,10046295.17,3.97,4.542,3.926,4.404,0.3,74.73
2024-03-14,6286883.18,4.404,4.43,4.0,4.267,0.33,76.74
2024-03-15,9312851.03,4.268,4.284,3.72,3.874,0.32,67.12
2024-03-16,9235605.62,3.875,4.356,3.652,3.75,0.3,62.74
2024-03-17,5335678.53,3.75,4.061,3.61,3.992,0.3,65.01
2024-03-18,4198808.63,3.992,3.992,3.58,3.669,0.27,61.29
2024-03-19,11119123.49,3.667,3.713,3.158,3.21,0.21,57.37
2024-03-20,12987463.71,3.209,3.679,3.038,3.659,0.19,59.31
2024-03-21,6904594.5,3.658,3.96,3.594,3.925,0.2,60.37
2024-03-22,10182852.32,3.924,4.366,3.785,3.975,0.21,57.81
2024-03-23,6689783.56,3.975,4.45,3.87,4.129,0.22,53.58
2024-03-24,3593922.34,4.128,4.322,4.073,4.223,0.24,57.8
2024-03-25,4931445.02,4.222,4.254,4.02,4.182,0.25,53.18
2024-03-26,5823940.47,4.181,4.46,4.125,4.192,0.25,53.48
2024-03-27,6564274.75,4.192,4.369,4.04,4.184,0.25,46.0
2024-03-28,4141949.72,4.183,4.368,4.096,4.108,0.24,47.04
2024-03-29,3416141.68,4.108,4.191,3.939,4.143,0.23,55.77
2024-03-30,2566401.56,4.143,4.152,3.912,3.944,0.21,54.03
2024-03-31,1839946.32,3.945,4.027,3.914,3.974,0.19,49.59
2024-04-01,3043231.91,3.973,3.991,3.656,3.79,0.16,52.94
2024-04-02,3368197.06,3.793,3.8,3.512,3.581,0.11,60.28
2024-04-03,2811806.87,3.582,3.754,3.461,3.698,0.09,51.32
2024-04-04,3041033.87,3.698,3.888,3.582,3.803,0.08,45.35
2024-04-05,2499908.58,3.802,3.809,3.596,3.776,0.06,42.28
2024-04-06,1380163.49,3.777,3.855,3.764,3.825,0.06,37.16
2024-04-07,1366060.89,3.825,3.855,3.729,3.778,0.05,30.43
2024-04-08,2980842.89,3.778,4.117,3.734,4.09,0.06,46.73
2024-04-09,2235920.37,4.09,4.11,3.745,3.785,0.05,38.05
2024-04-10,2351339.2,3.783,3.808,3.565,3.709,0.03,36.59
2024-04-11,1873056.02,3.709,3.819,3.65,3.664,0.02,37.24
2024-04-12,5245203.8,3.664,3.715,2.82,3.185,-0.03,28.07
2024-04-13,11704406.78,3.185,3.25,2.635,2.963,-0.09,27.78
2024-04-14,8908556.89,2.964,3.28,2.81,3.257,-0.11,35.49
2024-04-15,4775449.56,3.257,3.518,3.136,3.262,-0.13,38.48
2024-04-16,3433214.98,3.264,3.293,3.105,3.201,-0.14,41.14
2024-04-17,2655644.97,3.2,3.223,2.991,3.085,-0.16,35.7
2024-04-18,1748222.59,3.084,3.148,3.012,3.118,-0.17,33.46
2024-04-19,2810489.97,3.117,3.219,2.9,3.169,-0.17,35.51
2024-04-20,1762250.6,3.17,3.456,3.129,3.436,-0.15,41.59
2024-04-21,1107658.77,3.436,3.485,3.337,3.402,-0.14,41.83
2024-04-22,1505764.05,3.4,3.512,3.374,3.403,-0.12,32.73
2024-04-23,1146037.14,3.403,3.425,3.336,3.38,-0.11,38.14
2024-04-24,2232790.29,3.379,3.509,3.19,3.235,-0.11,36.66
2024-04-25,3194167.68,3.235,3.266,3.001,3.027,-0.13,33.57
2024-04-26,3786021.45,3.028,3.041,2.793,2.801,-0.16,38.61
2024-04-27,3650533.6,2.802,2.852,2.68,2.845,-0.18,46.09
2024-04-28,1880506.3,2.845,2.963,2.807,2.82,-0.19,32.36
2024-04-29,1828828.59,2.821,2.864,2.726,2.816,-0.2,31.99
2024-04-30,4140976.49,2.817,2.844,2.491,2.6,-0.22,28.43
2024-05-01,4735241.09,2.599,2.648,2.426,2.625,-0.24,32.33
2024-05-02,2022895.48,2.625,2.713,2.54,2.686,-0.24,33.76
2024-05-03,2161578.08,2.685,2.847,2.636,2.793,-0.23,36.44
2024-05-04,1475230.86,2.794,2.809,2.728,2.744,-0.22,20.38
2024-05-05,1228224.68,2.745,2.831,2.682,2.816,-0.21,25.7
2024-05-06,2053321.37,2.816,2.926,2.758,2.784,-0.2,24.98
2024-05-07,1708022.77,2.785,2.869,2.755,2.757,-0.19,24.9
2024-05-08,2031307.12,2.756,2.808,2.696,2.735,-0.19,27.64
2024-05-09,1608301.46,2.735,2.788,2.674,2.779,-0.17,37.0
2024-05-10,1495989.69,2.778,2.811,2.629,2.649,-0.17,41.14
2024-05-11,2331972.89,2.649,2.679,2.612,2.615,-0.18,36.44
2024-05-12,927059.73,2.616,2.641,2.586,2.613,-0.17,37.45
2024-05-13,2197989.9,2.613,2.625,2.487,2.565,-0.17,35.56
2024-05-14,1366517.25,2.564,2.592,2.463,2.476,-0.18,41.64
